"ID","2AC","3AC","4AC","2R","3R","4R"
"p:Actinobacteria",0.5110813217,1.103543092,1.1244370204,0.4320808268,2.9501989227,1.3825833564
"p:Bacteroidetes",28.6721241627,26.8290038438,42.1667405779,34.7898003537,16.0180506501,40.7988152986
"p:Candidatus_Saccharibacteria",0.1483414382,0.0520526341,0.1208604056,0.0701780465,0.2215779069,0.1527195729
"p:Chloroflexi",0.0191253894,0.0261823423,0.0541223275,0.006540653,0.0339931055,0.0534148571
"p:Cyanobacteria/Chloroplast",0.0012271595,0,0.0012472832,0,0.0066664017,0.0013700563
"p:Elusimicrobia",0.0050928314,0,0.0006355501,0.0060410218,0.0033931531,0
"p:Euryarchaeota",0.6806066991,0.6550501033,1.6189432305,0.2810252544,1.0244890178,2.1466436862
"p:Fibrobacteres",0.803976023,0.0292855043,0.5370770448,5.2411116559,0.1468256922,0.1735010447
"p:Firmicutes",40.5962395623,44.6246606568,22.1096014703,30.4203097788,53.3969465203,23.8918702063
"p:Fusobacteria",17.7565003553,12.4985189511,20.4654236705,17.0247301784,1.5598468766,23.021961281
"p:Lentisphaerae",0.0014113529,0.0005836689,0.0062125988,0.0160366052,0.0025582962,0
"p:Planctomycetes",0.2918833251,0.1666220254,0.8361513108,0.2265775192,0.1943820698,1.0380416645
"p:Proteobacteria",6.3946578541,11.0296332743,6.1767060282,4.4074807117,18.2423840565,4.046008665
"p:Spirochaetes",1.8560498629,0.351331221,0.4668912067,3.9578771857,0.4070053974,0.2471736459
"p:Synergistetes",0.0490271481,0.0271204044,0.7770561564,0.0222431151,0.0210738712,0.512407365
"p:Tenericutes",0.8473818278,1.8737364972,1.164484239,0.7923578996,3.9415525716,0.9738708298
"p:Verrucomicrobia",0.0187435176,0.0042379011,0.2930522203,0.2829064638,0.0871202497,0.047523404
"unclassified",1.3465301689,0.7284378798,2.0803576591,2.0227027302,1.7419352408,1.5120950664
