CAZy	Activity
CBM12 	animal glycans
CBM40	animal glycans
CBM47	animal glycans
CBM51	animal glycans
GH110	animal glycans
GH112	animal glycans
GH123	animal glycans
GH129	animal glycans
GH18	animal glycans
GH19	animal glycans
GH20	animal glycans
GH84	animal glycans
GH85	animal glycans
PL12	animal glycans
PL12_3	animal glycans
PL21_1	animal glycans
CBM50	microbial glycans
CBM66	microbial glycans
GH103	microbial glycans
GH23	microbial glycans
GH24	microbial glycans
GH25	microbial glycans
GH30_3	microbial glycans
GH64	microbial glycans
GH66	microbial glycans
GH73	microbial glycans
GH81	microbial glycans
GH87	microbial glycans
GH99	microbial glycans
CBM32	others
CBM35	others
CBM54	others
GH1	plant cell wall glycans
GH107	others
GH116	others
GH117	others
GH13_29	others
GH13_38	others
GH16	others
GH17	others
GH30	others
GH30_1	others
GH35	others
GH42	others
GH5	plant cell wall glycans
GH5_13	others
GH50	others
GH59	others
GH63	others
PL15	others
PL17	others
PL8	others
CBM25	starch & glycogen
CBM26	starch & glycogen
CBM34	starch & glycogen
CBM48	starch & glycogen
CBM58	starch & glycogen
GH126	starch & glycogen
GH13	starch & glycogen
GH13_11	starch & glycogen
GH13_14	starch & glycogen
GH13_19	starch & glycogen
GH13_20	starch & glycogen
GH13_28	starch & glycogen
GH13_31	starch & glycogen
GH13_39	starch & glycogen
GH13_8	starch & glycogen
GH13_9	starch & glycogen
GH13_3	starch & glycogen
CBM38	sucrose
GH13_4	sucrose
GH32	others
GH3	plant cell wall glycans
GH2	plant cell wall glycans
CBM11	plant cell wall glycans
CBM22	plant cell wall glycans
CBM23	plant cell wall glycans
CBM3	plant cell wall glycans
CBM30	plant cell wall glycans
CBM6	plant cell wall glycans
CBM61	plant cell wall glycans
CBM62	plant cell wall glycans
CBM63	plant cell wall glycans
CBM67	plant cell wall glycans
GH10	plant cell wall glycans
GH105	plant cell wall glycans
GH11	plant cell wall glycans
GH121	plant cell wall glycans
GH124	plant cell wall glycans
GH127	plant cell wall glycans
GH30_4	plant cell wall glycans
GH45	plant cell wall glycans
GH48	plant cell wall glycans
GH5_4	plant cell wall glycans
GH5_2	plant cell wall glycans
GH5_37	plant cell wall glycans
GH5_36	plant cell wall glycans
GH5_38	plant cell wall glycans
GH5_44	plant cell wall glycans
GH5_46	plant cell wall glycans
GH5_52	plant cell wall glycans
GH5_7	plant cell wall glycans
GH54	plant cell wall glycans
GH67	plant cell wall glycans
GH74	plant cell wall glycans
GH78	plant cell wall glycans
GH8	plant cell wall glycans
GH9	plant cell wall glycans
GH94	plant cell wall glycans
PL1_8	plant cell wall glycans
PL10_1	plant cell wall glycans
PL10_2	plant cell wall glycans
PL22	plant cell wall glycans
PL22_2	plant cell wall glycans
PL4_4	plant cell wall glycans
PL9_1	plant cell wall glycans
PL9_2	plant cell wall glycans
