Capybara_CONCOCT.0      IEKMNCOI
Capybara_CONCOCT.100    PEJLDLPI
Capybara_CONCOCT.105    GEHCNCEO
Capybara_CONCOCT.107    EHMNNIKL
Capybara_CONCOCT.112    ADELAMLI
Capybara_CONCOCT.120    GPKOOJOD
Capybara_CONCOCT.121    BCLIDMGN
Capybara_CONCOCT.124    CMDNKPOL
Capybara_CONCOCT.148    OFBLBOGK
Capybara_CONCOCT.14     BKKEJLFF
Capybara_CONCOCT.150    FJFIIHJF
Capybara_CONCOCT.154    LEFPIMDI
Capybara_CONCOCT.176    KNCELONH
Capybara_CONCOCT.177    OMAFBCBN
Capybara_CONCOCT.186    AHCHELNG
Capybara_CONCOCT.188    DCLEDIBG
Capybara_CONCOCT.223    BPLGLIJB
Capybara_CONCOCT.231    IIIKPKLO
Capybara_CONCOCT.33     LEADPIBK
Capybara_CONCOCT.41     APDGPHMD
Capybara_CONCOCT.43     BPDMHICB
Capybara_CONCOCT.59     DGIGLIHH
Capybara_CONCOCT.68     AAIIIFJP
Capybara.MaxBin.034     KGBBODCF
Capybara.MaxBin.046     PFKHPGNA
Capybara.MaxBin.051     GKIOCPCL
Capybara.MaxBin.112     PFIGAMCC
Cecum.128       FHJBGELA
Cecum.142       MILKAIHP
Cecum_2.003     APHBMNOA
Cecum_2.006     OKLMCDPA
Cecum_2.009     GMCBJOHN
Cecum_2.017     JEPBBJLB
Cecum.25        FMPADHJF
Cecum_2.CONCOCT.67      DIIPMDGL
Cecum_2.CONCOCT.82      JLCECMBG
Cecum_3.001     PBPFHPBA
Cecum.31        FJIFJIMM
Cecum_3.CONCOCT.10      FBKLKAAE
Cecum_3.CONCOCT.14      BAEAOJHL
Cecum_3.CONCOCT.22      MLNEDGJG
Cecum_3.CONCOCT.48      HGNOBLHI
Cecum.44        MOKAHJHF
Cecum_4.CONCOCT.18      ENMJLPGO
Cecum_4.CONCOCT.64      OBPDNEJA
Cecum.63        ELJJNMAE
Cecum.69        MNLGBCPI
Cecum.90        FDNFCCKC
MaxBin.018      BGHLOPEG
MaxBin.022      EBFDLAED
MaxBin.025      HAEJEJCK
MaxBin.044      GKJMHOLO
MaxBin.057      JIHGGGPG
MaxBin.063      DJFDGEMF
MaxBin.075      MCDBEAJJ
MaxBin.092      DFGAHNMJ
MaxBin.099      LCINLIHK
MaxBin.100      DOLAIFOP
MaxBin.103      EAFDNLLG
Recto.127       PPNCGBJL
Recto.18        LKAHPAEG
Recto_2.008     EFKHEEKO
Recto_2.017     LIJEEGMH
Recto_2.031     AFFDLEKP
Recto_2.CONCOCT.48      FDLDGOMF
Recto_2.CONCOCT.50      PKMGAMNB
Recto_2.CONCOCT.79      LKFPNCAO
Recto_2.CONCOCT.81      BKMLJIHP
Recto.35        CKGPHOPF
Recto_3.CONCOCT.34      EDAGLLIN
Recto_3.CONCOCT.35      KHELNLJK
Recto_3.CONCOCT.40      IKGDGHFF
Recto_3.CONCOCT.4       HPLLCFNC
Recto_4.019     IPGDFDAF
Recto_4.CONCOCT.0       GBNEBFAP
Recto_4.CONCOCT.48      EJJNKAMC
Recto_4.CONCOCT.52      PNDJHFJE
Recto_4.CONCOCT.6       FKIMHPIF
Recto.95        PHHJLMLM
