MAG10	Recto_2.CONCOCT.81
MAG11	Cecum.25
MAG12	MaxBin.092
MAG13	MaxBin.103
MAG14	MaxBin.100
MAG15	Capybara_CONCOCT.154
MAG16	MaxBin.063
MAG17	Capybara_CONCOCT.176
MAG18	Cecum.128
MAG19	MaxBin.018
MAG1	Capybara_CONCOCT.68
MAG20	Capybara_CONCOCT.105
MAG21	Cecum.63
MAG22	Cecum.69
MAG23	Capybara_CONCOCT.33
MAG24	Capybara_CONCOCT.150
MAG25	MaxBin.022
MAG26	Capybara.MaxBin.051
MAG27	Capybara.MaxBin.112
MAG28	Recto_3.CONCOCT.4
MAG29	Recto_3.CONCOCT.34
MAG2	Recto_3.CONCOCT.35
MAG30	Cecum_3.CONCOCT.22
MAG31	Capybara_CONCOCT.223
MAG32	Cecum_3.CONCOCT.48
MAG33	Capybara_CONCOCT.100
MAG34	Cecum_2.017
MAG35	Recto_4.CONCOCT.6
MAG36	Recto_3.CONCOCT.40
MAG37	MaxBin.099
MAG38	Capybara_CONCOCT.107
MAG39	Cecum.44
MAG3	Recto_4.CONCOCT.48
MAG40	Cecum.142
MAG41	Capybara.MaxBin.046
MAG42	Capybara_CONCOCT.112
MAG43	Cecum.31
MAG44	Recto_4.019
MAG45	Capybara_CONCOCT.59
MAG46	Capybara_CONCOCT.186
MAG47	Capybara_CONCOCT.41
MAG48	Recto_2.017
MAG49	MaxBin.044
MAG4	Recto.95
MAG50	Cecum.90
MAG51	Cecum_2.009
MAG52	Cecum_3.CONCOCT.10
MAG53	Capybara_CONCOCT.120
MAG54	Capybara_CONCOCT.121
MAG55	Cecum_2.006
MAG56	Recto_2.CONCOCT.48
MAG57	Capybara_CONCOCT.14
MAG58	Cecum_2.CONCOCT.82
MAG59	Capybara_CONCOCT.148
MAG5	Recto.18
MAG60	Capybara_CONCOCT.231
MAG61	Cecum_3.CONCOCT.14
MAG62	Recto_4.CONCOCT.52
MAG63	Recto_2.CONCOCT.50
MAG64	Recto_2.008
MAG65	Cecum_3.001
MAG66	Capybara_CONCOCT.188
MAG67	Cecum_2.CONCOCT.67
MAG68	Cecum_4.CONCOCT.18
MAG69	Cecum_2.003
MAG6	Recto.127
MAG70	MaxBin.025
MAG71	MaxBin.057
MAG72	Recto_2.031
MAG73	MaxBin.075
MAG74	Cecum_4.CONCOCT.64
MAG75	Capybara_CONCOCT.177
MAG76	Capybara_CONCOCT.124
MAG77	Capybara_CONCOCT.0
MAG78	Recto.35
MAG79	Recto_4.CONCOCT.0
MAG7	Capybara.MaxBin.034
MAG8	Recto_2.CONCOCT.79
MAG9	Capybara_CONCOCT.43
