	0
K02876	blue
K00693	blue
K06913	blue
K02851	blue
K10191	blue
K01271	blue
K00336	blue
C00330	blue
C02412	blue
C22053	blue
K19710	blue
K00602	blue
K22478	blue
C01151	blue
C00734	blue
K02518	blue
C00140	blue
C11831	blue
C16600	blue
C18055	blue
C04462	blue
K00030	blue
C06113	blue
K01599	blue
K07089	blue
C00013	blue
C06196	blue
K02495	blue
K05896	blue
K19855	blue
C00543	blue
K09647	blue
K00966	blue
K01273	blue
K01958	blue
K02428	blue
C00214	blue
K00666	blue
K01775	blue
C01801	blue
K07492	blue
K20941	blue
K07479	blue
K00123	blue
C04432	blue
K03437	blue
K12507	blue
K00271	blue
K03779	blue
C00003	blue
C04133	blue
K00612	blue
C00718	blue
K04758	blue
C16596	blue
G13118	blue
C21069	blue
C17231	blue
K02867	blue
K07240	blue
C00081	blue
K13480	blue
C01218	blue
K03165	blue
K02621	blue
C17323	blue
K21393	blue
K00754	blue
K17077	blue
C00558	blue
K03554	blue
C00001	blue
C00251	blue
K05362	blue
K19788	blue
K02998	blue
K02810	blue
C00362	blue
C01250	blue
K01001	blue
K18779	blue
C20423	blue
K01176	blue
K10705	blue
K21936	blue
K23617	blue
C00075	blue
C01659	blue
K12978	blue
K02565	blue
K07263	blue
C00862	blue
K00765	blue
K23242	blue
C00184	blue
C05235	blue
K01466	blue
K00087	blue
K01878	blue
C00627	blue
C00061	blue
C20751	blue
K08137	blue
K02938	blue
C17230	blue
K03703	blue
K20742	blue
K02879	blue
K22149	blue
K17505	blue
C04851	blue
K00823	blue
C00055	blue
C21029	blue
K00941	blue
K00049	blue
K05820	blue
K06181	blue
K21636	blue
C05312	blue
K10756	blue
G12573	blue
K19955	blue
K12995	blue
C00048	blue
K03294	blue
C20773	blue
K10899	blue
K07040	blue
C05199	blue
K17680	blue
K01763	blue
C06142	blue
C06124	blue
K09014	blue
K21801	blue
C00103	blue
C21767	blue
K14659	blue
K03596	blue
K01894	blue
C00458	blue
K04760	blue
C00390	blue
K00786	blue
C00445	blue
K03501	blue
C20949	blue
K13052	blue
C21748	blue
C01083	blue
C12320	blue
C00299	blue
K01951	blue
K21910	blue
K23756	blue
K00929	blue
K15407	blue
C01185	blue
K02973	blue
