	0
C03511	blue
K10047	blue
K06044	blue
K07177	blue
K02671	blue
K15257	blue
C01194	blue
K04772	blue
C00082	blue
K00940	blue
K07320	blue
C00617	blue
K00010	blue
K07535	blue
C00188	blue
K01960	blue
K01776	blue
K05343	blue
K07182	blue
K14152	blue
C00323	blue
K01433	blue
C20246	blue
K14385	blue
K06858	blue
K15503	blue
C18174	blue
C20416	blue
C06250	blue
C05421	blue
C04332	blue
K03684	blue
K08301	blue
K02035	blue
K01452	blue
K02012	blue
K01711	blue
K03648	blue
K07263	blue
K17077	blue
K19092	blue
C05759	blue
K01013	blue
K03524	blue
K15230	blue
K06181	blue
K17653	blue
K00972	blue
C21314	blue
K01726	blue
C15914	blue
K00156	blue
K08279	blue
C15524	blue
C14819	blue
C06423	blue
C04590	blue
K17680	blue
K08884	blue
K21502	blue
C00059	blue
K14441	blue
C00636	blue
K08483	blue
K20610	blue
K16787	blue
K02959	blue
K17625	blue
K20257	blue
K18438	blue
C20969	blue
C20240	blue
K03832	blue
K19578	blue
K15549	blue
K22292	blue
C01345	blue
K01951	blue
K15583	blue
C05850	blue
K02806	blue
K02053	blue
C00536	blue
K21031	blue
K01515	blue
K02973	blue
K05887	blue
K18918	blue
K00818	blue
K05825	blue
C03838	blue
C05577	blue
C01134	blue
K15352	blue
C01213	blue
G00428	blue
C03516	blue
K08660	blue
C00692	blue
K00634	blue
K01210	blue
K01733	blue
K20468	blue
K08175	blue
K03307	blue
K00877	blue
K04020	blue
K19449	blue
K00801	blue
K21508	blue
G11160	blue
K00266	blue
K08956	blue
K00882	blue
C20683	blue
K09858	blue
K16951	blue
C01825	blue
K18575	blue
K03685	blue
K05687	blue
K10353	blue
K02337	blue
C15895	blue
K10012	blue
K01071	blue
C19799	blue
K03602	blue
K09568	blue
K13954	blue
K01693	blue
K22311	blue
C05762	blue
K05939	blue
K14696	blue
K05568	blue
C02139	blue
K03214	blue
K15582	blue
C04133	blue
K05809	blue
K03429	blue
C00283	blue
K03075	blue
K13832	blue
K01497	blue
K01736	blue
K06147	blue
K00265	blue
K03749	blue
K21947	blue
K03310	blue
C08313	blue
K20997	blue
C04932	blue
K00619	blue
K05946	blue
K00415	blue
K18912	blue
K10711	blue
K02952	blue
K00554	blue
G13060	blue
C17552	blue
K08161	blue
K00868	blue
C00151	blue
K06019	blue
K02899	blue
K14661	blue
K02257	blue
K21088	blue
C00229	blue
K09571	blue
K16669	blue
K03501	blue
K00925	blue
K09569	blue
K19170	blue
K02066	blue
K02590	blue
C21217	blue
C00256	blue
K01843	blue
K00342	blue
K00520	blue
C11986	blue
K05574	blue
K17523	blue
K03718	blue
K05364	blue
K00800	blue
C07447	blue
K17816	blue
K12339	blue
K02652	blue
K15270	blue
K08093	blue
K13402	blue
C00540	blue
K13038	blue
K03581	blue
K03924	blue
K06024	blue
K02016	blue
K09470	blue
C00470	blue
K18123	blue
K12996	blue
K02005	blue
C21085	blue
K08150	blue
K01924	blue
K15924	blue
K03186	blue
K15034	blue
K00012	blue
C00152	blue
K20971	blue
C00842	blue
K16148	blue
K01079	blue
K04764	blue
K09648	blue
K18420	blue
C02953	blue
K13752	blue
K00066	blue
K02456	blue
K00821	blue
K03578	blue
K07323	blue
K10778	blue
K12823	blue
K15836	blue
C00208	blue
K01779	blue
K03500	blue
K03654	blue
C00168	blue
C00061	blue
K11996	blue
C21453	blue
K06972	blue
K02557	blue
K07392	blue
C04121	blue
K11810	blue
K02313	blue
K19269	blue
C00222	blue
C01118	blue
K18843	blue
K21703	blue
K02004	blue
C03785	blue
K03511	blue
K05575	blue
K06900	blue
K17757	blue
C00615	blue
K09576	blue
K09816	blue
K16092	blue
C00385	blue
K01874	blue
C00219	blue
C03461	blue
K15083	blue
C19078	blue
K16036	blue
C00931	blue
C00212	blue
K15331	blue
K16075	blue
C00016	blue
K22656	blue
K12538	blue
K03655	blue
K10380	blue
K13788	blue
K00703	blue
K16044	blue
C00294	blue
C01050	blue
C00063	blue
C11453	blue
K04751	blue
K02355	blue
K02484	blue
K19955	blue
K02982	blue
K15792	blue
K11710	blue
K16201	blue
K09819	blue
K08189	blue
K07679	blue
K13565	blue
K20534	blue
K18422	blue
K08138	blue
K16370	blue
K00996	blue
K05366	blue
K01251	blue
K11754	blue
K21440	blue
C19875	blue
C15811	blue
K07053	blue
K00051	blue
K11438	blue
K19354	blue
K01749	blue
C03742	blue
K20922	blue
K16963	blue
K01915	blue
K02926	blue
C04895	blue
K01236	blue
K19789	blue
K15986	blue
C00080	blue
K09761	blue
K05591	blue
C17561	blue
C00365	blue
K07358	blue
K12276	blue
K07175	blue
K21022	blue
K09533	blue
K03693	blue
K00832	blue
K08399	blue
K13896	blue
K15502	blue
K22169	blue
K00620	blue
K00852	blue
K08955	blue
C06762	blue
C00266	blue
C02637	blue
K01062	blue
K00983	blue
K02501	blue
K18453	blue
C15861	blue
K17732	blue
K21472	blue
K21019	blue
K13998	blue
C02967	blue
K08289	blue
K06238	blue
C00504	blue
K03658	blue
K12132	blue
K13026	blue
K08071	blue
K07457	blue
K14386	blue
K12998	blue
G13081	blue
K03943	blue
K10771	blue
