	0
K08190	blue
K18556	blue
K06136	blue
K05035	blue
C02679	blue
C20249	blue
K20777	blue
K01195	blue
K19343	blue
K00948	blue
K01069	blue
K00174	blue
K18138	blue
C20375	blue
K03118	blue
C01209	blue
C21603	blue
C01083	blue
K01604	blue
C00543	blue
K20730	blue
C00302	blue
K00788	blue
K06194	blue
C02964	blue
K01925	blue
K14487	blue
C11520	blue
K14002	blue
K21747	blue
C00160	blue
K05515	blue
C16291	blue
K16089	blue
K12999	blue
C05822	blue
C00475	blue
C00062	blue
K10715	blue
C00842	blue
C00666	blue
C18327	blue
K15460	blue
C00577	blue
K12987	blue
K16951	blue
K01176	blue
K23987	blue
C18044	blue
K00742	blue
K02314	blue
C20446	blue
K00343	blue
K02477	blue
K02429	blue
K02535	blue
K11915	blue
K16074	blue
K06091	blue
K00313	blue
C00021	blue
C05772	blue
C06567	blue
K03562	blue
K10772	blue
K07979	blue
C01528	blue
K07096	blue
C04112	blue
K02946	blue
C21608	blue
C06023	blue
K17506	blue
K01191	blue
K02003	blue
C00093	blue
K00128	blue
K06900	blue
C04556	blue
C00454	blue
K03388	blue
K03218	blue
K06379	blue
C00670	blue
C20240	blue
K04764	blue
C06017	blue
K01044	blue
C00886	blue
K03075	blue
K04066	blue
K15524	blue
C15699	blue
C00081	blue
K01874	blue
K14058	blue
K02483	blue
K19802	blue
K21947	blue
K01142	blue
K03328	blue
K18764	blue
K14441	blue
K07456	blue
C21750	blue
K15780	blue
C00163	blue
K03074	blue
K13043	blue
K15329	blue
K00096	blue
K02950	blue
K12852	blue
C02282	blue
K07095	blue
K00705	blue
K07052	blue
K17713	blue
C04877	blue
K13638	blue
C03539	blue
C00448	blue
K00677	blue
K03545	blue
C03512	blue
K04034	blue
C21873	blue
C12481	blue
K06878	blue
K04088	blue
K17989	blue
C20236	blue
C01268	blue
K02395	blue
K00932	blue
K07357	blue
K12600	blue
C05539	blue
C01115	blue
C00402	blue
K00971	blue
K19423	blue
K08741	blue
C04638	blue
K12994	blue
C04438	blue
K00970	blue
K00129	blue
K16150	blue
K05787	blue
K15783	blue
K21105	blue
K10011	blue
K01869	blue
K01392	blue
K07114	blue
K14692	blue
K21749	blue
C11437	blue
K12252	blue
C00546	blue
K02335	blue
K03656	blue
K13797	blue
K22390	blue
C06112	blue
K03667	blue
K03498	blue
K11151	blue
K03979	blue
K00331	blue
C01326	blue
K01057	blue
K01669	blue
K02575	blue
C05284	blue
C00249	blue
C04728	blue
C02686	blue
K00721	blue
K16531	blue
K21787	blue
K10759	blue
K15270	blue
C20750	blue
K11075	blue
K00862	blue
K18677	blue
K07079	blue
K23014	blue
K00383	blue
K16474	blue
C20247	blue
C04188	blue
K19619	blue
C03273	blue
K11719	blue
C02637	blue
K05838	blue
K11752	blue
C00075	blue
K01134	blue
C03125	blue
K03420	blue
K13923	blue
K03472	blue
K03530	blue
C05712	blue
K01829	blue
C20466	blue
C00439	blue
K00179	blue
C15980	blue
C20950	blue
K07320	blue
C01010	blue
K02117	blue
C21074	blue
K06139	blue
C06040	blue
K03089	blue
K00560	blue
K22804	blue
K03572	blue
K00520	blue
C21662	blue
K03715	blue
C04352	blue
K03687	blue
C21156	blue
K01996	blue
K08264	blue
K16050	blue
K15779	blue
K18954	blue
C16999	blue
K02318	blue
K03093	blue
K15518	blue
C02953	blue
K13292	blue
K12448	blue
K18758	blue
K18118	blue
C20451	blue
K03490	blue
K15266	blue
K16011	blue
C00188	blue
K01491	blue
K09482	blue
C00559	blue
K16330	blue
K07478	blue
C21568	blue
C04242	blue
K02054	blue
K03784	blue
K01857	blue
K12854	blue
K22387	blue
G00154	blue
K01887	blue
K00150	blue
K01952	blue
K14506	blue
K07047	blue
K03283	blue
C00385	blue
K14638	blue
K00756	blue
C15812	blue
K00046	blue
K12543	blue
K10726	blue
C00103	blue
C11173	blue
K00076	blue
K01950	blue
K02904	blue
K07122	blue
K12257	blue
K23244	blue
K20257	blue
C00116	blue
K01135	blue
C00870	blue
C02188	blue
K02357	blue
K02945	blue
C06240	blue
C00204	blue
C00527	blue
C02415	blue
K15857	blue
C00073	blue
K12317	blue
C16612	blue
C00253	blue
K20616	blue
K02242	blue
K18300	blue
K15428	blue
K03559	blue
K01270	blue
K01628	blue
K21502	blue
C01092	blue
K12587	blue
K08964	blue
K03575	blue
K02523	blue
K17819	blue
K15773	blue
K07464	blue
K03111	blue
K04773	blue
C00061	blue
C00055	blue
K03571	blue
K01880	blue
K19429	blue
K23078	blue
C03508	blue
K07012	blue
K12308	blue
K05972	blue
C04349	blue
K07056	blue
K01915	blue
K04068	blue
K11636	blue
K13940	blue
C00255	blue
K14655	blue
C21300	blue
C05763	blue
K00943	blue
K15022	blue
K17505	blue
K20444	blue
K09834	blue
K14346	blue
K16554	blue
K01619	blue
K02005	blue
K02893	blue
K02426	blue
C01112	blue
K01139	blue
K03429	blue
K03165	blue
K00761	blue
C19885	blue
C20199	blue
K00973	blue
K09793	blue
K08282	blue
K00289	blue
K11609	blue
K14798	blue
K14416	blue
K19002	blue
K06020	blue
C16217	blue
K18557	blue
K13279	blue
C11987	blue
K03657	blue
C00042	blue
K02784	blue
C19888	blue
K10760	blue
K18908	blue
K08735	blue
C00390	blue
K02601	blue
K13888	blue
K01890	blue
C05312	blue
C01935	blue
K21739	blue
C01079	blue
K07340	blue
K14059	blue
K08303	blue
K08482	blue
K03525	blue
K06949	blue
C21665	blue
C00531	blue
K00335	blue
C06113	blue
K03702	blue
K16698	blue
K01912	blue
C00233	blue
C00954	blue
K13018	blue
K03441	blue
K03707	blue
K03324	blue
K19421	blue
K05542	blue
K21331	blue
K01050	blue
C20251	blue
K22044	blue
K20946	blue
K03703	blue
K07252	blue
K02909	blue
K09835	blue
K00874	blue
K17677	blue
C02097	blue
K19696	blue
C22053	blue
C21663	blue
K16264	blue
K01101	blue
K21573	blue
K23684	blue
C01888	blue
K00831	blue
K03425	blue
C19692	blue
K15856	blue
K06117	blue
K18189	blue
K15268	blue
K09650	blue
K05820	blue
K00175	blue
K18694	blue
C20062	blue
C20373	blue
K10251	blue
K05808	blue
K03531	blue
K15726	blue
K20978	blue
K04718	blue
K06141	blue
K15269	blue
K13278	blue
K09578	blue
C20969	blue
C18028	blue
C00022	blue
K00010	blue
K01694	blue
K08168	blue
C15587	blue
K04095	blue
K02372	blue
K18696	blue
K19349	blue
K03010	blue
K02564	blue
C00387	blue
K01147	blue
K00946	blue
K18989	blue
K14661	blue
K02445	blue
C00044	blue
C06400	blue
K07132	blue
C00526	blue
K01868	blue
K08734	blue
K05961	blue
K02315	blue
K00240	blue
K03775	blue
C04807	blue
K06950	blue
K19789	blue
C01117	blue
K22970	blue
C04646	blue
K20860	blue
K01733	blue
K20543	blue
K00854	blue
K00859	blue
K01785	blue
K23676	blue
C03402	blue
K21027	blue
K18847	blue
K06140	blue
C00864	blue
K03613	blue
K14681	blue
C00280	blue
C20239	blue
K07679	blue
C01182	blue
C21027	blue
K00347	blue
K02282	blue
K22555	blue
K12340	blue
C01367	blue
K02438	blue
K04762	blue
C03684	blue
K02981	blue
C05925	blue
K13067	blue
C20933	blue
K03698	blue
K23352	blue
C16619	blue
K14108	blue
K17363	blue
C21217	blue
C04677	blue
C15974	blue
K16694	blue
K11607	blue
K04763	blue
K01493	blue
K00885	blue
C02659	blue
K02913	blue
K21572	blue
K01778	blue
K00064	blue
C00921	blue
K07137	blue
K14153	blue
K01439	blue
K10730	blue
K02973	blue
C00330	blue
C00352	blue
K03582	blue
C00104	blue
C01455	blue
C15972	blue
K00969	blue
K06378	blue
K06857	blue
K16638	blue
C00169	blue
C02554	blue
K06969	blue
K07037	blue
K03769	blue
C01368	blue
K00783	blue
K01389	blue
C00129	blue
K00342	blue
C05758	blue
K00927	blue
K11540	blue
C03692	blue
C11920	blue
K09470	blue
C00229	blue
K06777	blue
K13998	blue
C15603	blue
C00267	blue
K04757	blue
K06181	blue
K15830	blue
K07705	blue
C03516	blue
K02919	blue
C06022	blue
K14213	blue
K21816	blue
K00790	blue
K01407	blue
C00052	blue
K03771	blue
G13119	blue
C00035	blue
K03811	blue
K20074	blue
K02888	blue
C12457	blue
K04077	blue
K03110	blue
K07391	blue
K01081	blue
C21284	blue
C15811	blue
K02573	blue
K20987	blue
K00763	blue
C00672	blue
K17837	blue
K23514	blue
K09759	blue
C00122	blue
C02713	blue
K03643	blue
K01840	blue
K03564	blue
K19583	blue
K21007	blue
K22904	blue
K10012	blue
C04732	blue
C03291	blue
C20959	blue
K16191	blue
C04832	blue
K09888	blue
K18139	blue
C20423	blue
C01163	blue
K03418	blue
K01236	blue
K03617	blue
C02352	blue
K12944	blue
K00239	blue
K00821	blue
C21336	blue
K18604	blue
K15013	blue
C02163	blue
K00893	blue
C20658	blue
K06921	blue
K13509	blue
K01992	blue
K07752	blue
C06002	blue
K00018	blue
K00241	blue
K03091	blue
K12990	blue
C06056	blue
K12503	blue
C20683	blue
C04133	blue
K21104	blue
G13058	blue
K08744	blue
K22982	blue
C03715	blue
C00818	blue
C19823	blue
K03631	blue
C04037	blue
K03569	blue
K06943	blue
K12978	blue
C00399	blue
C00540	blue
K16695	blue
K04484	blue
K08222	blue
K09760	blue
K18695	blue
K08998	blue
K17625	blue
K12512	blue
K02956	blue
K17828	blue
K00262	blue
K12661	blue
K07788	blue
C00299	blue
K15050	blue
K03387	blue
C20831	blue
K19978	blue
K00609	blue
K15037	blue
C04282	blue
K01811	blue
K08485	blue
C21017	blue
C07447	blue
K11184	blue
K00235	blue
C02110	blue
C00224	blue
C05684	blue
C05838	blue
K05544	blue
C00624	blue
C06891	blue
K01286	blue
K00338	blue
K02612	blue
K06154	blue
C00295	blue
K10901	blue
C00139	blue
C11811	blue
K03164	blue
K01930	blue
C00106	blue
C00198	blue
K22719	blue
K01119	blue
K17759	blue
K01405	blue
K05551	blue
K06965	blue
K13013	blue
K03169	blue
K12297	blue
C06615	blue
C03599	blue
K05030	blue
C15816	blue
C04479	blue
K18944	blue
C00446	blue
C20752	blue
K16618	blue
K00795	blue
K08884	blue
K02121	blue
K03570	blue
K13810	blue
K13252	blue
C04752	blue
K03929	blue
C21357	blue
K01277	blue
K08659	blue
K13798	blue
C01212	blue
K07101	blue
K22214	blue
C00219	blue
C05778	blue
K14358	blue
K16568	blue
K14667	blue
K22222	blue
K22299	blue
K18076	blue
K13935	blue
C19647	blue
K11152	blue
K00067	blue
K00019	blue
K21189	blue
K06179	blue
K12316	blue
K13896	blue
K07783	blue
K22447	blue
K14683	blue
K03588	blue
K13668	blue
C19852	blue
K01881	blue
K21833	blue
K14155	blue
K02118	blue
C00668	blue
K15521	blue
K14163	blue
C00671	blue
C05651	blue
K00349	blue
K10754	blue
K18303	blue
C04919	blue
K01409	blue
C01563	blue
K01779	blue
C15978	blue
K13599	blue
K06189	blue
K01408	blue
C01962	blue
K02823	blue
K11071	blue
K02199	blue
K02349	blue
K01067	blue
K05802	blue
K22493	blue
K01664	blue
C00013	blue
K15781	blue
C20951	blue
K08310	blue
C03127	blue
K03616	blue
K04562	blue
K03404	blue
C00068	blue
C00002	blue
K03335	blue
C21667	blue
K01463	blue
C00721	blue
K05844	blue
C06251	blue
K00261	blue
K08635	blue
K13023	blue
C04146	blue
K18268	blue
K14162	blue
K16196	blue
K19612	blue
K21029	blue
C11915	blue
