	0
K10870	blue
K01869	blue
K16213	blue
K19789	blue
K00065	blue
K04718	blue
C02338	blue
K17830	blue
K14388	blue
C20934	blue
K00701	blue
K03273	blue
K05015	blue
K17768	blue
C07090	blue
C02642	blue
K15407	blue
K14205	blue
G13081	blue
K16695	blue
K10822	blue
K03118	blue
K23385	blue
K03281	blue
C19794	blue
C00071	blue
K20836	blue
K01740	blue
K03021	blue
C06019	blue
C00789	blue
C01246	blue
K15518	blue
K01732	blue
K00274	blue
K20140	blue
K07043	blue
C00128	blue
K00638	blue
K05339	blue
K21460	blue
C21603	blue
K10743	blue
K23107	blue
K18123	blue
K00712	blue
K03630	blue
K19710	blue
K03547	blue
K04757	blue
K12733	blue
K02412	blue
K02108	blue
K03444	blue
K23004	blue
C15975	blue
K14659	blue
K14681	blue
C19929	blue
K01653	blue
K01787	blue
C20376	blue
K02199	blue
K04094	blue
K20707	blue
K15355	blue
K06997	blue
C02554	blue
K02132	blue
K07045	blue
K11325	blue
K02014	blue
K03075	blue
K15268	blue
K09928	blue
K18118	blue
K14346	blue
K14587	blue
K09867	blue
K02485	blue
K03535	blue
K03165	blue
K01735	blue
K04069	blue
C04002	blue
K16705	blue
K01278	blue
K13503	blue
K03337	blue
K02198	blue
C20277	blue
K16710	blue
K01524	blue
C05307	blue
C21609	blue
C00683	blue
K21790	blue
G13118	blue
C04260	blue
C04246	blue
K03495	blue
K02894	blue
C00234	blue
C00438	blue
K01286	blue
K05679	blue
K15315	blue
K16703	blue
K01714	blue
C05922	blue
K22446	blue
K03685	blue
K06950	blue
C03294	blue
K06189	blue
C00129	blue
C02067	blue
K03529	blue
K00150	blue
C16630	blue
C00921	blue
C03127	blue
K07782	blue
K09157	blue
K15226	blue
K12318	blue
K00969	blue
C16565	blue
K00180	blue
K06888	blue
K03558	blue
K05830	blue
C14899	blue
C00459	blue
K04306	blue
K00657	blue
K04307	blue
K00014	blue
C21999	blue
K09820	blue
C00006	blue
K03578	blue
K22101	blue
K01702	blue
K12600	blue
K07010	blue
K01738	blue
C00283	blue
K14667	blue
K12574	blue
K01743	blue
C01185	blue
K06981	blue
K18590	blue
C21065	blue
K06944	blue
K23462	blue
K07152	blue
K05298	blue
C00079	blue
K01916	blue
K03086	blue
C05271	blue
K03536	blue
K14692	blue
K00608	blue
K07713	blue
K05788	blue
K11707	blue
K16846	blue
C16826	blue
C00647	blue
C05125	blue
K03404	blue
C15532	blue
C05750	blue
K03148	blue
C02553	blue
C00508	blue
K16092	blue
K18912	blue
C00588	blue
K14696	blue
K07214	blue
C20421	blue
K07033	blue
K06969	blue
C12112	blue
K18675	blue
K12543	blue
C21955	blue
C00558	blue
K18816	blue
C19887	blue
K12983	blue
C00279	blue
K05874	blue
K15067	blue
K13770	blue
K02960	blue
K01520	blue
K00862	blue
K09808	blue
C11638	blue
K03340	blue
C00343	blue
C21751	blue
C00002	blue
K02169	blue
K16089	blue
K08735	blue
K03816	blue
K07690	blue
K18660	blue
K07675	blue
K08306	blue
K21788	blue
C03345	blue
K02036	blue
C11540	blue
K00769	blue
K09765	blue
C20237	blue
K08770	blue
K15353	blue
K21532	blue
K18856	blue
C00055	blue
C00031	blue
K13954	blue
K18779	blue
G13102	blue
K00760	blue
K09487	blue
K22982	blue
K11441	blue
C15979	blue
K07164	blue
K15857	blue
K18534	blue
K18890	blue
C00108	blue
K18983	blue
C04932	blue
C04294	blue
K02519	blue
K21298	blue
K03154	blue
C03972	blue
K02874	blue
K03438	blue
K17744	blue
C01962	blue
K15739	blue
G13108	blue
K15725	blue
C16426	blue
C00138	blue
K02933	blue
K08736	blue
K12708	blue
K07004	blue
C14145	blue
K15509	blue
C00194	blue
K11250	blue
K23025	blue
G13121	blue
K03324	blue
C04506	blue
C00435	blue
K09569	blue
K17757	blue
C21851	blue
K09903	blue
C13309	blue
K18479	blue
C00993	blue
K07714	blue
K21594	blue
K02854	blue
K02103	blue
K14107	blue
K03284	blue
K17248	blue
C15914	blue
K20345	blue
K02656	blue
G10506	blue
K02503	blue
K21360	blue
C18327	blue
K12587	blue
K02575	blue
C20372	blue
K01669	blue
K07568	blue
C03892	blue
K22216	blue
K11121	blue
K00187	blue
C00794	blue
C02839	blue
K00688	blue
K02172	blue
K11600	blue
K13531	blue
K18288	blue
K02493	blue
K03437	blue
C02647	blue
K11752	blue
K20453	blue
K00004	blue
K00756	blue
K20459	blue
C05583	blue
K19175	blue
K18687	blue
K07340	blue
K15256	blue
K06203	blue
K07711	blue
K13043	blue
K02969	blue
K01887	blue
C04824	blue
K07098	blue
K14539	blue
C18094	blue
K02343	blue
K11621	blue
G00428	blue
C06613	blue
K00884	blue
C06481	blue
K01446	blue
K01663	blue
K17487	blue
C19888	blue
K18302	blue
K23003	blue
K01082	blue
K00289	blue
K12978	blue
C11355	blue
K15254	blue
K06942	blue
K07668	blue
C06124	blue
K00700	blue
C20831	blue
K03289	blue
K04068	blue
K19429	blue
K22307	blue
C01327	blue
K02965	blue
K03697	blue
C05751	blue
K05695	blue
K14391	blue
C18096	blue
K08590	blue
K21417	blue
K09496	blue
K21030	blue
K07452	blue
C00256	blue
K05365	blue
K00384	blue
K01630	blue
C00018	blue
K08138	blue
C00411	blue
K01681	blue
K10457	blue
K14386	blue
C20940	blue
C00160	blue
K07571	blue
K19355	blue
C15930	blue
K08681	blue
C19885	blue
C02474	blue
C21621	blue
K20452	blue
C04046	blue
K22491	blue
C00190	blue
C20137	blue
K03469	blue
C00810	blue
K15022	blue
C00212	blue
K02110	blue
K02565	blue
C05587	blue
K00163	blue
K06413	blue
K03217	blue
K18556	blue
C06222	blue
K06943	blue
K10760	blue
K09647	blue
K03687	blue
C04088	blue
C01107	blue
C00197	blue
K07716	blue
K21972	blue
K06446	blue
K07806	blue
C00206	blue
K01144	blue
C17691	blue
K13941	blue
K19265	blue
K03306	blue
K12951	blue
C00155	blue
K00750	blue
K02372	blue
K22904	blue
K15726	blue
C01755	blue
K12740	blue
K07473	blue
K20444	blue
K02878	blue
K07789	blue
K06215	blue
K23105	blue
C05275	blue
K03819	blue
K00602	blue
K02032	blue
C18174	blue
K03774	blue
C05686	blue
K21571	blue
K22299	blue
C12109	blue
K19613	blue
K14652	blue
K06183	blue
K23181	blue
K01579	blue
K01811	blue
K05343	blue
C02631	blue
K00992	blue
C11406	blue
K18969	blue
C15809	blue
C07838	blue
K00207	blue
K07031	blue
K02838	blue
