	0
K12993	blue
C21767	blue
C05744	blue
K03657	blue
K00806	blue
K07278	blue
K00350	blue
K09759	blue
K07123	blue
C20258	blue
K02913	blue
K01491	blue
K03790	blue
K05830	blue
K14792	blue
C21764	blue
C22160	blue
K02876	blue
K16881	blue
K07744	blue
C15975	blue
K18682	blue
K18947	blue
K03783	blue
K15017	blue
K15912	blue
K21379	blue
C00344	blue
K11996	blue
C14110	blue
C16426	blue
K02016	blue
C00546	blue
K19736	blue
K02518	blue
C16487	blue
C01013	blue
C00016	blue
K00615	blue
K03687	blue
K01726	blue
K07752	blue
C00221	blue
K07571	blue
C04895	blue
C01635	blue
K04095	blue
K00189	blue
C20378	blue
C06196	blue
K01517	blue
K03893	blue
K20530	blue
K23094	blue
C00129	blue
K13798	blue
K15920	blue
K19304	blue
C02554	blue
C01888	blue
C02637	blue
C03692	blue
K06864	blue
K23025	blue
K09667	blue
K00876	blue
K03787	blue
K12795	blue
K00568	blue
K01644	blue
K03466	blue
K12083	blue
K19134	blue
C00269	blue
K18589	blue
K10427	blue
K22538	blue
C05276	blue
C00085	blue
G00161	blue
K08094	blue
G10619	blue
C00127	blue
C05812	blue
K03555	blue
C16631	blue
K01881	blue
K12526	blue
C00002	blue
K04774	blue
K01947	blue
G10481	blue
C02988	blue
K11140	blue
C00483	blue
K01254	blue
C00862	blue
K07014	blue
K02068	blue
C00049	blue
K06900	blue
K07042	blue
C05770	blue
K16358	blue
K09499	blue
C03722	blue
K08253	blue
K15327	blue
K19870	blue
K02313	blue
K01589	blue
K03612	blue
K23181	blue
C15816	blue
K21147	blue
K17830	blue
K01586	blue
K01256	blue
K21062	blue
C05378	blue
K14213	blue
C05379	blue
K07391	blue
C02962	blue
K00046	blue
K11808	blue
K18593	blue
K07317	blue
K07696	blue
C21568	blue
K03046	blue
K05794	blue
C03742	blue
C20238	blue
C14144	blue
K18014	blue
C01219	blue
C04053	blue
K13819	blue
C00092	blue
K23183	blue
K09181	blue
K01591	blue
K15779	blue
K01679	blue
C05923	blue
K03818	blue
K23144	blue
K06189	blue
C05748	blue
K13015	blue
K07552	blue
K00295	blue
K17828	blue
C00141	blue
K03665	blue
K03536	blue
K15269	blue
K01904	blue
K01993	blue
K02992	blue
K13985	blue
K02004	blue
C02702	blue
K01843	blue
K00382	blue
K13927	blue
K04342	blue
K01996	blue
C04738	blue
K02067	blue
C00627	blue
K07568	blue
C00130	blue
K05367	blue
C02934	blue
C21603	blue
C04832	blue
C20357	blue
C05662	blue
C17213	blue
C00641	blue
K22970	blue
K01972	blue
K18118	blue
C16632	blue
K02412	blue
K03715	blue
K20021	blue
K20681	blue
K17757	blue
K00334	blue
K02237	blue
K04771	blue
K18148	blue
K19429	blue
K17677	blue
K11719	blue
K03388	blue
K09552	blue
K11907	blue
K10756	blue
C21997	blue
K07114	blue
K08999	blue
K15518	blue
K21739	blue
C04631	blue
K22391	blue
C12109	blue
K16264	blue
C02188	blue
K03544	blue
C01762	blue
K04773	blue
C06329	blue
K12073	blue
K00812	blue
K17723	blue
C00364	blue
K01942	blue
K03701	blue
C01419	blue
C05848	blue
K01415	blue
K00652	blue
K00786	blue
C00194	blue
K16638	blue
K07689	blue
K23674	blue
K00841	blue
K02916	blue
K20469	blue
K06870	blue
K21378	blue
K11594	blue
K13566	blue
K00260	blue
K02823	blue
K12525	blue
K18640	blue
K07137	blue
K21346	blue
C02051	blue
K13940	blue
K03696	blue
K05717	blue
K05656	blue
C04677	blue
K03234	blue
G10557	blue
C19852	blue
C00222	blue
C06398	blue
K02969	blue
C06567	blue
K02988	blue
K03749	blue
K17490	blue
C20156	blue
C05545	blue
K01372	blue
C17322	blue
C00439	blue
C01045	blue
K06889	blue
C04188	blue
C00234	blue
K06441	blue
C15976	blue
C02872	blue
K16708	blue
K23676	blue
K19997	blue
C06717	blue
K01633	blue
K01392	blue
K07400	blue
K11745	blue
C00048	blue
K03742	blue
C11908	blue
K07714	blue
C06025	blue
K03546	blue
C11926	blue
C03112	blue
K03045	blue
K06446	blue
C00857	blue
K20035	blue
K16164	blue
K09002	blue
K01991	blue
C05753	blue
C00161	blue
K12503	blue
C01672	blue
K14664	blue
K01778	blue
K01775	blue
C20239	blue
K01463	blue
C20279	blue
K00125	blue
C01345	blue
C02953	blue
K00946	blue
C02171	blue
C20642	blue
C20810	blue
K00567	blue
C01080	blue
C00921	blue
K19788	blue
C00184	blue
K05831	blue
K07067	blue
K05643	blue
K00877	blue
K19303	blue
K23980	blue
K01855	blue
K03587	blue
C05751	blue
C00406	blue
K03195	blue
K10773	blue
K03925	blue
K06958	blue
K14689	blue
K13683	blue
K20480	blue
C04002	blue
K18220	blue
K05829	blue
K19354	blue
K03148	blue
C00003	blue
K07252	blue
K03269	blue
C11910	blue
K00588	blue
K03815	blue
K14107	blue
C00454	blue
C05756	blue
K02315	blue
K19427	blue
K20707	blue
K03086	blue
K23684	blue
K13990	blue
K01716	blue
K19781	blue
C06024	blue
K10822	blue
K08669	blue
