	0
G13102	blue
G00526	blue
C00353	blue
K18009	blue
K01744	blue
K02147	blue
K15034	blue
K00249	blue
K05643	blue
K00748	blue
K03575	blue
C20974	blue
K08384	blue
K00981	blue
K04020	blue
C00345	blue
C00146	blue
G10557	blue
K03521	blue
C00159	blue
C05898	blue
K05592	blue
K01661	blue
K14666	blue
C07095	blue
C05394	blue
K07646	blue
K01810	blue
K02806	blue
K18104	blue
K00100	blue
C00957	blue
C20237	blue
C17227	blue
C00323	blue
C19845	blue
C20361	blue
K07277	blue
K00812	blue
K07662	blue
C19569	blue
C05760	blue
K01776	blue
K09951	blue
C16479	blue
K09800	blue
K02282	blue
K16951	blue
K07718	blue
K10539	blue
K05281	blue
K13636	blue
K20457	blue
K20777	blue
K02601	blue
C01898	blue
C00885	blue
K03929	blue
K02103	blue
C00445	blue
K00645	blue
K13747	blue
K21351	blue
K21375	blue
K09155	blue
G10481	blue
K17716	blue
K11719	blue
C00385	blue
C20231	blue
K18991	blue
K02538	blue
K19613	blue
K01708	blue
K21514	blue
K23756	blue
K04656	blue
C02075	blue
K01001	blue
C05272	blue
C00218	blue
K00219	blue
K05784	blue
G00017	blue
C06400	blue
K02854	blue
K12041	blue
K09819	blue
C00416	blue
K13541	blue
C01094	blue
C00409	blue
K22223	blue
K12375	blue
C03239	blue
K18076	blue
C00921	blue
K22457	blue
K09648	blue
K15889	blue
C21504	blue
C03920	blue
K21472	blue
K04758	blue
K23244	blue
C20969	blue
K22617	blue
C11829	blue
C18324	blue
C15646	blue
K00335	blue
C04294	blue
C00319	blue
C16469	blue
K12659	blue
C00984	blue
K05809	blue
C20642	blue
C05634	blue
K01711	blue
C20796	blue
K03499	blue
K02837	blue
K06188	blue
K07320	blue
K11384	blue
C21509	blue
K05515	blue
K10774	blue
K20712	blue
K04771	blue
C00794	blue
C05925	blue
K01736	blue
K00997	blue
C01092	blue
K05551	blue
K02957	blue
K23723	blue
K00720	blue
K01787	blue
C02084	blue
K03833	blue
K03763	blue
K21850	blue
K21511	blue
C05688	blue
K21029	blue
C20889	blue
K13498	blue
K16786	blue
K13313	blue
K02068	blue
K02477	blue
K21417	blue
C02501	blue
K14978	blue
K03615	blue
K13990	blue
K18356	blue
C11540	blue
K03734	blue
K11106	blue
K11751	blue
C00789	blue
K23874	blue
K20861	blue
K13751	blue
C02191	blue
K00558	blue
K05311	blue
K07123	blue
K13641	blue
K07478	blue
K12063	blue
K12583	blue
K20450	blue
K09874	blue
K01834	blue
K18574	blue
K00646	blue
K02011	blue
K17717	blue
K02588	blue
K13694	blue
K00652	blue
K23304	blue
K07039	blue
C00468	blue
K00097	blue
K21833	blue
K11784	blue
C07490	blue
K07005	blue
K12346	blue
K02473	blue
K08195	blue
K09882	blue
C00055	blue
C01355	blue
C20238	blue
K00919	blue
K01466	blue
K22871	blue
K00090	blue
K03230	blue
K01960	blue
K01235	blue
K00942	blue
K19337	blue
K00130	blue
K06895	blue
C00005	blue
C00248	blue
C06054	blue
K01784	blue
C14899	blue
K11905	blue
C20950	blue
K03283	blue
K07351	blue
K03276	blue
K08737	blue
C01134	blue
C04506	blue
K19789	blue
K01912	blue
C16698	blue
K18205	blue
K07020	blue
K14536	blue
K08174	blue
C02872	blue
K02426	blue
C04438	blue
C02189	blue
K02039	blue
C07090	blue
K08172	blue
K01734	blue
C00433	blue
K06154	blue
C21568	blue
K03570	blue
K13812	blue
C01935	blue
G13118	blue
K05838	blue
G00155	blue
K01990	blue
K00559	blue
K20730	blue
K00025	blue
K13770	blue
C00527	blue
K03453	blue
C00341	blue
K01236	blue
K01808	blue
K07399	blue
K02231	blue
K10764	blue
K04044	blue
K02126	blue
K10864	blue
K18422	blue
K00634	blue
K10708	blue
K07139	blue
K12953	blue
K07784	blue
K21499	blue
K23425	blue
K03458	blue
C17556	blue
K07353	blue
C15556	blue
K03424	blue
K00568	blue
K12308	blue
K04047	blue
K14683	blue
K19956	blue
K23683	blue
K01537	blue
K01897	blue
C04255	blue
K21701	blue
K06210	blue
C00124	blue
K18988	blue
C04045	blue
K19270	blue
K00186	blue
K08300	blue
K08003	blue
K07452	blue
K09690	blue
K16846	blue
K05991	blue
C18007	blue
K04074	blue
K00259	blue
K15987	blue
K14153	blue
K03816	blue
K01184	blue
K11809	blue
K20678	blue
K02666	blue
C00039	blue
K02888	blue
K06907	blue
K07724	blue
K19597	blue
K03545	blue
K18704	blue
C00041	blue
K03385	blue
K03366	blue
K01193	blue
K07696	blue
K01607	blue
C06148	blue
K12983	blue
K22297	blue
C00233	blue
K20114	blue
C01185	blue
K12556	blue
K04772	blue
K02239	blue
C06473	blue
K02069	blue
K02145	blue
C10419	blue
K20885	blue
K11939	blue
K00012	blue
K06200	blue
K19701	blue
K20264	blue
K01061	blue
C20236	blue
C00976	blue
K04717	blue
C00060	blue
C00199	blue
K12460	blue
C11437	blue
K16343	blue
K01447	blue
C05125	blue
K21378	blue
C02247	blue
K15921	blue
K23786	blue
K01667	blue
K23497	blue
K09487	blue
K03744	blue
K02508	blue
K08302	blue
K10206	blue
C01230	blue
K07755	blue
K16076	blue
K02835	blue
K00158	blue
K03547	blue
C16632	blue
C01182	blue
K06878	blue
K03771	blue
K06189	blue
K19340	blue
C00446	blue
K20987	blue
C16348	blue
C05478	blue
C01013	blue
K21512	blue
K14440	blue
K00009	blue
K11778	blue
K19508	blue
C01367	blue
K02656	blue
C06366	blue
K02536	blue
K02438	blue
K17462	blue
K03292	blue
K07004	blue
C01097	blue
K12212	blue
K11745	blue
K12111	blue
K14654	blue
C05922	blue
C20679	blue
K03665	blue
K03316	blue
C00069	blue
C19945	blue
C00131	blue
K07132	blue
K06073	blue
K10440	blue
C00035	blue
C05754	blue
C04260	blue
K05642	blue
G00154	blue
K01921	blue
K09922	blue
K07675	blue
C21174	blue
K03530	blue
K02022	blue
K10427	blue
K03732	blue
K04034	blue
K02114	blue
C12739	blue
K14159	blue
C16154	blue
K14681	blue
C02637	blue
C03585	blue
K07124	blue
K19710	blue
K19068	blue
C03671	blue
K03592	blue
C22002	blue
K08168	blue
K01133	blue
K07104	blue
K02569	blue
K20906	blue
K00231	blue
C05651	blue
K12351	blue
C17367	blue
K07658	blue
K03199	blue
C19852	blue
K03931	blue
K03282	blue
K16211	blue
K00858	blue
K13049	blue
K13509	blue
K18901	blue
K04763	blue
K01892	blue
K10875	blue
C20082	blue
K12518	blue
K00147	blue
K02115	blue
K22447	blue
K11121	blue
K00986	blue
K02958	blue
K08068	blue
K09696	blue
K11720	blue
K00046	blue
K00554	blue
K07484	blue
K02988	blue
C16424	blue
C18000	blue
C06210	blue
K07182	blue
K08998	blue
K13497	blue
K23368	blue
K17865	blue
K05290	blue
C03112	blue
K00798	blue
K22846	blue
K13587	blue
K02560	blue
K07110	blue
K09955	blue
K10524	blue
K14660	blue
K01573	blue
K13967	blue
K11928	blue
K03321	blue
K07322	blue
K00274	blue
K18692	blue
K14808	blue
C15978	blue
K16703	blue
G13038	blue
K00859	blue
K08301	blue
K03630	blue
K04562	blue
K09566	blue
C16579	blue
K12252	blue
C16631	blue
K21911	blue
K12555	blue
K19810	blue
K07642	blue
C15976	blue
K04488	blue
C00212	blue
K03856	blue
K15368	blue
C00075	blue
C21608	blue
K15898	blue
K09693	blue
C00541	blue
K00869	blue
K22300	blue
K01159	blue
C00059	blue
K02549	blue
K06204	blue
C11736	blue
K07078	blue
K03818	blue
C16186	blue
