	0
G00051	blue
K00647	blue
K12317	blue
C02659	blue
K08191	blue
K22907	blue
K07670	blue
K09774	blue
C01172	blue
K01813	blue
K01176	blue
K07787	blue
K07107	blue
K03544	blue
K15331	blue
K13010	blue
C20750	blue
C00256	blue
C04932	blue
G00095	blue
C16634	blue
K03634	blue
C00138	blue
G10620	blue
K10678	blue
C00012	blue
C21463	blue
K19354	blue
K00602	blue
K18306	blue
K21353	blue
K11431	blue
K07806	blue
K19425	blue
C00399	blue
K01202	blue
K09696	blue
K10914	blue
K01066	blue
K01493	blue
K00849	blue
K02981	blue
K18758	blue
C01077	blue
C01304	blue
C05980	blue
K01867	blue
K04078	blue
K02864	blue
C05809	blue
C00093	blue
K19223	blue
C17323	blue
K03100	blue
K06373	blue
K07720	blue
K10899	blue
K22538	blue
K23978	blue
K01662	blue
K05603	blue
K15792	blue
C15556	blue
K22245	blue
K22026	blue
K07678	blue
C20831	blue
K00939	blue
K02925	blue
C20861	blue
K01628	blue
K10107	blue
K15013	blue
K01604	blue
K23014	blue
C04691	blue
K08482	blue
K06446	blue
K00077	blue
K13420	blue
K11609	blue
C00035	blue
C01542	blue
K00364	blue
C00015	blue
K00158	blue
K14441	blue
C04145	blue
K18589	blue
C05414	blue
K10782	blue
K11169	blue
C02565	blue
G13119	blue
K08194	blue
K05541	blue
C21898	blue
K15509	blue
K06895	blue
K01133	blue
K02617	blue
G10621	blue
K01938	blue
K14978	blue
K06001	blue
C00114	blue
C03539	blue
K07319	blue
K08794	blue
K03437	blue
K19530	blue
K08688	blue
K14187	blue
C00106	blue
K01189	blue
K18225	blue
K03815	blue
K15017	blue
C00236	blue
C05726	blue
K19755	blue
K13444	blue
K03551	blue
C16999	blue
K00076	blue
K07658	blue
K05589	blue
C00116	blue
C00006	blue
C04046	blue
C11420	blue
C02992	blue
K01803	blue
K18210	blue
K03852	blue
K14445	blue
K02488	blue
K18883	blue
K22083	blue
K01811	blue
K00162	blue
C03198	blue
C00718	blue
K00940	blue
K03856	blue
C02047	blue
C21609	blue
K11392	blue
K16554	blue
K02356	blue
K10300	blue
K09504	blue
K18929	blue
G00054	blue
C07305	blue
K03701	blue
K03426	blue
C04157	blue
K14506	blue
C01209	blue
K13038	blue
K13327	blue
K22871	blue
K09014	blue
C06022	blue
K05034	blue
C11827	blue
K00156	blue
K17506	blue
C00083	blue
K05365	blue
K12504	blue
C00214	blue
K23683	blue
K16698	blue
C01768	blue
K02892	blue
K11170	blue
K11592	blue
K15721	blue
C20897	blue
C03161	blue
K01785	blue
C15861	blue
C00328	blue
K22130	blue
K01492	blue
K21977	blue
K00335	blue
K01896	blue
K05364	blue
C19871	blue
K19869	blue
K18299	blue
K17362	blue
K01696	blue
K07122	blue
K21562	blue
K01790	blue
K15257	blue
K05834	blue
K22478	blue
K02558	blue
K03328	blue
K00220	blue
K02372	blue
K00015	blue
K12410	blue
K12073	blue
K03640	blue
K06015	blue
K02950	blue
K03535	blue
K03772	blue
K11068	blue
K03439	blue
C00568	blue
K15454	blue
K01952	blue
C00198	blue
K03500	blue
K03090	blue
K11717	blue
K13926	blue
C00536	blue
K02548	blue
K15383	blue
K18139	blue
K02965	blue
K08676	blue
K14673	blue
K05802	blue
C03492	blue
K00709	blue
K00566	blue
K12543	blue
C00082	blue
C11173	blue
K01583	blue
K12854	blue
K03734	blue
K01692	blue
K21218	blue
K20697	blue
K03496	blue
K01560	blue
K07281	blue
K11894	blue
C20951	blue
C05116	blue
K19312	blue
K15654	blue
G10555	blue
K02169	blue
K09019	blue
K17256	blue
K16028	blue
K02426	blue
K03615	blue
K11809	blue
K01894	blue
K21375	blue
K01586	blue
K06925	blue
K08326	blue
K19386	blue
K01466	blue
K14571	blue
C03406	blue
K00560	blue
K01372	blue
C20278	blue
K16327	blue
K02341	blue
C02273	blue
K01996	blue
K06378	blue
K18231	blue
K06989	blue
K19224	blue
C00109	blue
C20359	blue
K17249	blue
K15469	blue
C17231	blue
K00928	blue
K06196	blue
K22186	blue
K10543	blue
K02823	blue
K03797	blue
K05657	blue
K13941	blue
K14059	blue
K00995	blue
K03272	blue
C00092	blue
K21136	blue
C00130	blue
K23304	blue
C01146	blue
K18640	blue
K00872	blue
C11472	blue
K21396	blue
K00241	blue
K12555	blue
K15036	blue
C01335	blue
C12455	blue
K00266	blue
K00772	blue
K05801	blue
K03546	blue
K00773	blue
K07579	blue
C15532	blue
C02612	blue
K03672	blue
K06896	blue
C03511	blue
K00806	blue
C21351	blue
C11453	blue
C21029	blue
C04574	blue
K00874	blue
K04020	blue
K02405	blue
K07027	blue
K16212	blue
K03778	blue
K15519	blue
K05545	blue
K03628	blue
C16618	blue
K04765	blue
K09568	blue
K00288	blue
K10667	blue
C21137	blue
K14358	blue
K02948	blue
C17267	blue
G10557	blue
K12257	blue
K09457	blue
K04034	blue
K05515	blue
C15860	blue
G13043	blue
K06238	blue
C01419	blue
