	0
K02911	blue
K07332	blue
C01083	blue
C00043	blue
K04044	blue
C19080	blue
K14587	blue
C20373	blue
C01962	blue
K11912	blue
K15337	blue
K20468	blue
K00952	blue
K00850	blue
K03413	blue
K06212	blue
K03100	blue
K10568	blue
K21567	blue
C21440	blue
C00022	blue
K00939	blue
K03240	blue
C05921	blue
C00886	blue
K00965	blue
K22949	blue
K00111	blue
C00256	blue
K15783	blue
C00615	blue
K00163	blue
K18445	blue
K04043	blue
C00198	blue
C04702	blue
K02528	blue
K12203	blue
K06091	blue
C00014	blue
K03165	blue
C21207	blue
K07574	blue
C03028	blue
C02987	blue
C04713	blue
C00327	blue
K15771	blue
K18909	blue
K02779	blue
K20885	blue
C00559	blue
C19085	blue
K03810	blue
K03595	blue
K03208	blue
K02343	blue
K12960	blue
K01567	blue
K03527	blue
K03471	blue
K18332	blue
C02430	blue
K22132	blue
K11592	blue
K02662	blue
K02981	blue
C00055	blue
K01873	blue
K17870	blue
K06148	blue
K01487	blue
K02113	blue
K12506	blue
K18830	blue
K21109	blue
K09552	blue
C00224	blue
K14262	blue
K11070	blue
C05838	blue
C04646	blue
K03047	blue
C01659	blue
C00006	blue
C09332	blue
K11726	blue
K06870	blue
C01097	blue
K00058	blue
K01534	blue
K14162	blue
K02333	blue
K03298	blue
K01629	blue
C01190	blue
K02160	blue
K15581	blue
K05586	blue
C00352	blue
C00091	blue
K16248	blue
K03040	blue
K23242	blue
C06215	blue
K00161	blue
K03555	blue
K00945	blue
K03710	blue
K02477	blue
K03593	blue
C00286	blue
C00166	blue
K02004	blue
C00053	blue
K09014	blue
K02940	blue
K13059	blue
K09944	blue
C19798	blue
K07464	blue
K04477	blue
K05788	blue
C04501	blue
K21903	blue
K07476	blue
K00661	blue
C02713	blue
K03743	blue
C00061	blue
K02434	blue
K17884	blue
K02992	blue
K21947	blue
K05540	blue
C00016	blue
C20758	blue
K19449	blue
C00195	blue
K21701	blue
K06967	blue
K14026	blue
C05686	blue
K02475	blue
G00711	blue
K00861	blue
K07457	blue
K15034	blue
C06407	blue
K19329	blue
K23278	blue
C18243	blue
K02454	blue
C00266	blue
C05223	blue
K10122	blue
K08282	blue
K06044	blue
C00068	blue
C02995	blue
K03687	blue
K00962	blue
K01229	blue
K02622	blue
K17725	blue
C02483	blue
K07050	blue
C00387	blue
K07465	blue
K10238	blue
C00301	blue
K02999	blue
K03657	blue
K00925	blue
K01949	blue
K02950	blue
K03435	blue
C00084	blue
K04483	blue
K03278	blue
C05414	blue
C15814	blue
K17999	blue
K12954	blue
K09013	blue
K15865	blue
K03892	blue
K15585	blue
K11915	blue
K00533	blue
K11153	blue
K07979	blue
K00556	blue
K20884	blue
C00691	blue
K03499	blue
K10763	blue
K01669	blue
K17320	blue
K01938	blue
K01958	blue
C00168	blue
K11162	blue
K07240	blue
K07729	blue
K13522	blue
K03545	blue
K16889	blue
K04567	blue
K06861	blue
K03089	blue
C00073	blue
K15580	blue
K02886	blue
C00097	blue
K03546	blue
K18284	blue
C12215	blue
K03722	blue
K01223	blue
K20846	blue
K10120	blue
K02109	blue
K10108	blue
C00106	blue
K02968	blue
K01091	blue
C03127	blue
K02938	blue
K15781	blue
K07137	blue
K20791	blue
K02052	blue
K22245	blue
K06213	blue
K21910	blue
K01820	blue
C05927	blue
K22685	blue
C02553	blue
K05832	blue
C20750	blue
K06179	blue
C05712	blue
K02238	blue
K07586	blue
C00252	blue
K16567	blue
K00657	blue
C06441	blue
K07707	blue
K16703	blue
C00346	blue
C00144	blue
K08587	blue
C00109	blue
C11811	blue
C02745	blue
K01989	blue
C20427	blue
C01762	blue
G09660	blue
C00681	blue
K07030	blue
K01953	blue
C12354	blue
K00700	blue
K07570	blue
K22871	blue
C16596	blue
K04562	blue
C00159	blue
K03526	blue
G00108	blue
K20373	blue
C01134	blue
K02988	blue
K00754	blue
C04613	blue
K09762	blue
C00409	blue
C00031	blue
K00756	blue
K00881	blue
K11600	blue
K08955	blue
K17722	blue
K06960	blue
K15441	blue
K10762	blue
K09835	blue
K05809	blue
K02876	blue
K03658	blue
C16487	blue
G01391	blue
K03702	blue
K21021	blue
K16898	blue
K03215	blue
K08736	blue
K03602	blue
C00561	blue
C00083	blue
K02871	blue
C16146	blue
K10837	blue
C00638	blue
K16817	blue
K18889	blue
C05684	blue
K18969	blue
K20457	blue
C00147	blue
C06329	blue
C00253	blue
K00763	blue
K03283	blue
K05816	blue
C03233	blue
K01761	blue
K02050	blue
K02136	blue
K07017	blue
C00533	blue
K02337	blue
K17506	blue
C16681	blue
C12355	blue
C00167	blue
K07486	blue
K01150	blue
K13799	blue
C21873	blue
K08740	blue
K17816	blue
K00942	blue
C00130	blue
C00390	blue
C00976	blue
K02803	blue
K02964	blue
K02647	blue
K07110	blue
C00378	blue
K03168	blue
K04034	blue
K18456	blue
K03018	blue
K01533	blue
K01537	blue
K03330	blue
K18220	blue
K08591	blue
C00712	blue
K18234	blue
K07456	blue
C11477	blue
K20962	blue
C05759	blue
K02503	blue
K16209	blue
K11391	blue
K02182	blue
K16881	blue
K06173	blue
K01426	blue
K00244	blue
K00302	blue
C00077	blue
K00859	blue
C16348	blue
C05698	blue
C15603	blue
K15577	blue
K01817	blue
K04851	blue
C16155	blue
C00498	blue
K11747	blue
C02679	blue
C00067	blue
G13058	blue
K15341	blue
K01071	blue
K03737	blue
K06946	blue
K07358	blue
C00330	blue
K10755	blue
K02890	blue
K03565	blue
K02965	blue
K07978	blue
K00855	blue
K04075	blue
K23352	blue
C00119	blue
K18947	blue
C12203	blue
K02958	blue
C01168	blue
K03818	blue
K21022	blue
K02026	blue
K01212	blue
K00849	blue
K02945	blue
K08741	blue
K01176	blue
K21801	blue
K12132	blue
C01269	blue
K02479	blue
K01889	blue
K22074	blue
C06567	blue
C00081	blue
C03511	blue
K19640	blue
K00150	blue
K00133	blue
C00332	blue
K02564	blue
C19151	blue
K06413	blue
C06427	blue
K03292	blue
K07400	blue
K02621	blue
K01268	blue
K02404	blue
C00473	blue
K03798	blue
C02686	blue
C02412	blue
K12076	blue
K09584	blue
K11273	blue
C16154	blue
K14538	blue
K13513	blue
C03692	blue
K08302	blue
K01872	blue
C04635	blue
K09470	blue
K02863	blue
C00103	blue
K02837	blue
C00131	blue
K09580	blue
C00721	blue
C00248	blue
C02336	blue
K10112	blue
C00140	blue
K02035	blue
K05985	blue
C00089	blue
K00638	blue
K16786	blue
K07053	blue
K13892	blue
K01887	blue
K03569	blue
K02952	blue
K02111	blue
K07320	blue
K06889	blue
C00283	blue
K01929	blue
K00034	blue
K00845	blue
G00092	blue
K00789	blue
C21368	blue
C05432	blue
G00093	blue
K17425	blue
C18059	blue
K21911	blue
C04257	blue
K03093	blue
C03089	blue
K21886	blue
C05696	blue
C20377	blue
K02963	blue
K10118	blue
K10210	blue
K13987	blue
K12343	blue
K03335	blue
K20074	blue
K00944	blue
K03742	blue
K01057	blue
K14314	blue
K02126	blue
C15813	blue
C11830	blue
C00842	blue
K00970	blue
C05336	blue
K03048	blue
K21880	blue
K17830	blue
C17010	blue
K03041	blue
K04045	blue
C06424	blue
K03090	blue
K06943	blue
K02994	blue
K01090	blue
K21019	blue
K06287	blue
C00877	blue
K07041	blue
K13004	blue
C03892	blue
K00023	blue
C00535	blue
K01209	blue
K01804	blue
K02099	blue
K00134	blue
C11545	blue
K14717	blue
K17505	blue
K15460	blue
K15475	blue
K22222	blue
C05841	blue
C04432	blue
C02843	blue
C00479	blue
C00112	blue
K00973	blue
C01260	blue
C06365	blue
C00508	blue
K03733	blue
K02884	blue
K04042	blue
C00344	blue
K07478	blue
K13704	blue
K19664	blue
C00118	blue
K17487	blue
K14210	blue
C02984	blue
K12448	blue
K10119	blue
C01931	blue
C00319	blue
K18967	blue
C01801	blue
K05350	blue
C20423	blue
C12739	blue
K21024	blue
K03625	blue
K06075	blue
C04638	blue
K00564	blue
C05922	blue
C00001	blue
K02996	blue
K23266	blue
K13679	blue
K07244	blue
K07271	blue
K22745	blue
K03496	blue
C15812	blue
K03664	blue
K01886	blue
K02931	blue
K21061	blue
C05431	blue
K03501	blue
K01489	blue
C06023	blue
K11074	blue
K11201	blue
K08744	blue
K07015	blue
K00678	blue
K00006	blue
K02914	blue
C02222	blue
K07301	blue
K02653	blue
C03539	blue
C00145	blue
K21053	blue
C00162	blue
C01326	blue
K02913	blue
C20991	blue
K03328	blue
C11907	blue
K01267	blue
K21025	blue
K12410	blue
K02839	blue
K05813	blue
K00121	blue
C16426	blue
K18640	blue
C04287	blue
K06409	blue
K11103	blue
K07027	blue
C17569	blue
K14191	blue
K01240	blue
K03763	blue
K19710	blue
K10027	blue
C00249	blue
K22292	blue
K02357	blue
K03630	blue
C15587	blue
C03859	blue
C01935	blue
K06441	blue
K00218	blue
K00757	blue
K00048	blue
K03554	blue
C00810	blue
C01179	blue
K07133	blue
K00969	blue
K08956	blue
K17246	blue
K03281	blue
K07177	blue
K19788	blue
K02341	blue
K02867	blue
C05744	blue
C01187	blue
K09787	blue
C00399	blue
C17323	blue
K19278	blue
K03455	blue
C16633	blue
C00969	blue
K00705	blue
K02825	blue
C17556	blue
C00666	blue
K01056	blue
K15986	blue
C15699	blue
K03609	blue
K11183	blue
K02025	blue
K03980	blue
C00024	blue
C07086	blue
K04076	blue
C00180	blue
K05543	blue
K03437	blue
K01270	blue
K14709	blue
C18055	blue
K01930	blue
K22837	blue
K00375	blue
K20965	blue
C21878	blue
C00104	blue
K09903	blue
C05430	blue
C14099	blue
K00879	blue
G10620	blue
K09988	blue
C00033	blue
K21065	blue
K13893	blue
K14940	blue
K01867	blue
C00155	blue
K03234	blue
K02529	blue
C20986	blue
C00718	blue
K19583	blue
K00791	blue
K21031	blue
K11752	blue
K03601	blue
K16697	blue
C00954	blue
K01069	blue
K19422	blue
K02967	blue
C00459	blue
K18910	blue
K05853	blue
K19417	blue
K03086	blue
K02133	blue
C22085	blue
K22982	blue
C00229	blue
C15972	blue
K23104	blue
K02847	blue
K09015	blue
C00282	blue
G13110	blue
K03021	blue
K18968	blue
K20976	blue
K07407	blue
K10110	blue
C00206	blue
K17837	blue
C00526	blue
K21682	blue
K05343	blue
K02658	blue
K08602	blue
K06191	blue
K03648	blue
C00042	blue
K13819	blue
K07577	blue
K02959	blue
K01892	blue
K21594	blue
K02946	blue
C15867	blue
K01624	blue
K11144	blue
K05838	blue
K03241	blue
K20861	blue
K19837	blue
K01262	blue
K22223	blue
C01101	blue
K19589	blue
C00153	blue
K20527	blue
C00096	blue
K21071	blue
C00331	blue
K03218	blue
C00580	blue
K05522	blue
K10743	blue
K02990	blue
K07096	blue
C06112	blue
K17242	blue
C00380	blue
C12632	blue
K11413	blue
C00004	blue
K01915	blue
K07052	blue
K12527	blue
C04419	blue
K12733	blue
C06148	blue
C00005	blue
K15770	blue
K02110	blue
C00060	blue
C00860	blue
K09834	blue
K00557	blue
K06207	blue
K03196	blue
K08743	blue
K22026	blue
K12264	blue
K01870	blue
K01619	blue
K01536	blue
K19418	blue
K02916	blue
C00037	blue
K05808	blue
K17686	blue
K04022	blue
K03656	blue
K03076	blue
K07679	blue
K04524	blue
K07012	blue
K09747	blue
K00966	blue
C00044	blue
K02925	blue
C00234	blue
K19548	blue
C00063	blue
C18040	blue
K02868	blue
K01060	blue
K23498	blue
K10193	blue
K11325	blue
C00100	blue
C00476	blue
K11991	blue
C19839	blue
K09024	blue
C08362	blue
C00141	blue
K01766	blue
K02518	blue
K07720	blue
K10871	blue
C00078	blue
K03416	blue
K01835	blue
K03698	blue
C05512	blue
C00617	blue
K13280	blue
K01803	blue
C00048	blue
K11075	blue
K00880	blue
K03575	blue
K01876	blue
K02854	blue
C20755	blue
C00345	blue
K04094	blue
K05787	blue
C12366	blue
K00057	blue
K10011	blue
K15538	blue
K09698	blue
C00003	blue
C17552	blue
K02835	blue
C20642	blue
K14537	blue
K01813	blue
K14655	blue
C00040	blue
K22617	blue
C01151	blue
K10111	blue
K00928	blue
K18673	blue
C00027	blue
C00154	blue
C04282	blue
K10598	blue
C05404	blue
C04317	blue
K03784	blue
C00369	blue
C00475	blue
C12214	blue
K00703	blue
K08312	blue
C00620	blue
K18310	blue
K01096	blue
K15047	blue
K13815	blue
C16551	blue
K20427	blue
K05827	blue
K07726	blue
K01192	blue
K03651	blue
K00566	blue
K02935	blue
K13402	blue
K16202	blue
K03470	blue
K06019	blue
K03079	blue
K08974	blue
K14761	blue
K05521	blue
C06240	blue
C04877	blue
K21401	blue
K03073	blue
C02163	blue
K00400	blue
K05814	blue
C00242	blue
K17797	blue
K00852	blue
K14416	blue
K04940	blue
C21750	blue
K01462	blue
K15289	blue
K15552	blue
K22339	blue
K00666	blue
K03592	blue
C00152	blue
K16139	blue
C03508	blue
K13954	blue
C00864	blue
K15599	blue
C04442	blue
K10781	blue
K03170	blue
K20859	blue
K00382	blue
K07357	blue
K12257	blue
K12278	blue
K13891	blue
K00066	blue
K02078	blue
C01081	blue
C21879	blue
K09647	blue
K02948	blue
K01894	blue
C05974	blue
C00861	blue
K00975	blue
K02115	blue
K01243	blue
G13103	blue
K01784	blue
K00633	blue
K07175	blue
C06056	blue
K12736	blue
K02989	blue
K08675	blue
C00789	blue
K03530	blue
K11104	blue
K00996	blue
K07482	blue
K22340	blue
K01881	blue
K03685	blue
C05688	blue
K02970	blue
K11121	blue
C00343	blue
C00655	blue
K02939	blue
K05988	blue
C00424	blue
K18533	blue
K23864	blue
C03082	blue
K03590	blue
C00059	blue
C00009	blue
K03712	blue
K10823	blue
K06001	blue
C18068	blue
C19929	blue
K00059	blue
C01345	blue
K01808	blue
K07742	blue
C00075	blue
K11416	blue
C19787	blue
C16220	blue
K00625	blue
K23351	blue
C11436	blue
K16639	blue
K04717	blue
K03332	blue
C21210	blue
C03125	blue
C06891	blue
C04233	blue
C00214	blue
K00086	blue
K01890	blue
C00267	blue
K01628	blue
K01763	blue
K18918	blue
K06167	blue
C02415	blue
C04132	blue
C00116	blue
K17195	blue
K07497	blue
C00406	blue
C00857	blue
K11071	blue
K04088	blue
C00262	blue
C05796	blue
K01960	blue
K03495	blue
K10194	blue
K03624	blue
K07033	blue
K08669	blue
C21861	blue
K17998	blue
K22441	blue
C00191	blue
K07566	blue
C07091	blue
K23617	blue
K15582	blue
K02956	blue
K18847	blue
K04087	blue
C00415	blue
C00236	blue
K00773	blue
C00121	blue
K12111	blue
K16330	blue
K01488	blue
K15772	blue
K00012	blue
K00109	blue
K00639	blue
K03075	blue
K10709	blue
C16424	blue
K19883	blue
C00065	blue
C00105	blue
K00655	blue
K00895	blue
C15811	blue
K06133	blue
K02068	blue
K03046	blue
K21571	blue
C15645	blue
K21681	blue
C02188	blue
K02079	blue
C00111	blue
K04066	blue
K09748	blue
K02240	blue
K10117	blue
K00848	blue
C02097	blue
K17286	blue
C00540	blue
K22803	blue
K23253	blue
C04260	blue
K00334	blue
K02892	blue
K03705	blue
K03790	blue
C00095	blue
K00783	blue
K15454	blue
K10236	blue
K21171	blue
K14952	blue
K01554	blue
K03833	blue
K18785	blue
K01880	blue
K02032	blue
C16999	blue
K14188	blue
C00672	blue
K03270	blue
K00289	blue
C03541	blue
C01769	blue
K09490	blue
K03387	blue
K08310	blue
K12152	blue
C21881	blue
K05613	blue
K00919	blue
C20737	blue
C01346	blue
K04749	blue
K07485	blue
K03701	blue
K01507	blue
C00362	blue
K01710	blue
K06944	blue
K02838	blue
K04760	blue
C02075	blue
K09946	blue
K04479	blue
K00712	blue
K15519	blue
K20812	blue
C00527	blue
K10773	blue
K23779	blue
C07490	blue
K08311	blue
C01352	blue
C01131	blue
C00259	blue
C05378	blue
C00794	blue
K00894	blue
C00385	blue
K01409	blue
C05726	blue
K19691	blue
K05984	blue
C03294	blue
K07168	blue
C20446	blue
G02515	blue
K11687	blue
C00294	blue
K10760	blue
C02839	blue
K07026	blue
K03655	blue
C20858	blue
K07214	blue
K15442	blue
K19301	blue
K19572	blue
K04074	blue
K18891	blue
C00177	blue
K10213	blue
K16329	blue
K15856	blue
K00018	blue
C16148	blue
C18096	blue
C01182	blue
K06286	blue
C18305	blue
K12700	blue
K18331	blue
K07684	blue
K21310	blue
K18707	blue
C03402	blue
C05980	blue
K15452	blue
K01271	blue
K03484	blue
K07097	blue
K13678	blue
K01208	blue
K13525	blue
G10665	blue
K20201	blue
K22927	blue
K02313	blue
K22506	blue
K22601	blue
K01760	blue
K22966	blue
C00178	blue
C00021	blue
K10191	blue
C20562	blue
C20566	blue
K16267	blue
C20683	blue
K17716	blue
C03366	blue
C00354	blue
K20974	blue
K07126	blue
C00882	blue
K04095	blue
K03472	blue
K16200	blue
C12835	blue
C04377	blue
C21616	blue
C00685	blue
C14899	blue
C21748	blue
K02348	blue
K03309	blue
C05756	blue
K13086	blue
C00350	blue
K06187	blue
K07736	blue
K09812	blue
C00264	blue
K15013	blue
C02554	blue
K02242	blue
K16784	blue
K04656	blue
K06949	blue
K16705	blue
C06423	blue
C00101	blue
K16890	blue
K02669	blue
K00568	blue
C00138	blue
C20796	blue
C01222	blue
K03217	blue
K13292	blue
K23144	blue
C00683	blue
C16634	blue
K17364	blue
K15915	blue
C00227	blue
K03297	blue
C04230	blue
K12574	blue
K02470	blue
K15545	blue
K17319	blue
C00160	blue
K03536	blue
K03502	blue
C00190	blue
C20641	blue
C00239	blue
K20966	blue
C08325	blue
K03767	blue
K02982	blue
C00363	blue
C00504	blue
K01048	blue
K15507	blue
K01188	blue
K03438	blue
K18420	blue
C02323	blue
C02880	blue
K13427	blue
K19954	blue
K10956	blue
C00092	blue
K22043	blue
K02137	blue
K06950	blue
K06942	blue
K06140	blue
K03629	blue
K08884	blue
K01809	blue
C00054	blue
C11173	blue
K06881	blue
K02881	blue
K01486	blue
K09117	blue
K06175	blue
K02600	blue
K03672	blue
K07678	blue
K15635	blue
C00137	blue
K07571	blue
K02054	blue
K06103	blue
K02888	blue
C19794	blue
K14056	blue
K03531	blue
C08733	blue
K11168	blue
K14059	blue
C00011	blue
K07479	blue
K09951	blue
K11412	blue
K22538	blue
K01061	blue
C20753	blue
C06250	blue
K22904	blue
K13582	blue
K06189	blue
K03778	blue
K03556	blue
C01268	blue
K02933	blue
K03671	blue
C20863	blue
C04882	blue
C14151	blue
K16554	blue
K16509	blue
C06113	blue
K10844	blue
K06864	blue
C00020	blue
K20202	blue
C00212	blue
K02086	blue
K06180	blue
K21814	blue
K02003	blue
K07447	blue
K15024	blue
K08482	blue
K22893	blue
K02973	blue
K21029	blue
K23078	blue
K03346	blue
C01978	blue
C03455	blue
K01610	blue
C03150	blue
C00223	blue
C00463	blue
K03087	blue
K11754	blue
K20459	blue
K01515	blue
C01172	blue
K02879	blue
K01006	blue
K07025	blue
K13509	blue
K01874	blue
C03785	blue
K02314	blue
K00847	blue
C20738	blue
K05337	blue
K14058	blue
K05340	blue
C04438	blue
K00955	blue
K13937	blue
C02992	blue
K05341	blue
C01185	blue
K03151	blue
C00080	blue
K01758	blue
K10109	blue
K15779	blue
K19817	blue
K19428	blue
K12852	blue
K22885	blue
K18799	blue
K04801	blue
K15632	blue
K23012	blue
C16619	blue
K10524	blue
K17248	blue
K02652	blue
K02906	blue
K09384	blue
K01866	blue
K03529	blue
K06925	blue
K21147	blue
K02124	blue
K11216	blue
K14718	blue
K18398	blue
K01258	blue
