	0
K13283	blue
K09859	blue
K07588	blue
K00663	blue
K04076	blue
K07669	blue
K07396	blue
K15986	blue
K18199	blue
K07033	blue
K01304	blue
C20940	blue
K07273	blue
K02809	blue
C02988	blue
K17653	blue
C03012	blue
K01176	blue
K14742	blue
K08659	blue
K01431	blue
C00346	blue
K09503	blue
K12339	blue
C14818	blue
K07319	blue
K07001	blue
C00993	blue
K18309	blue
K15739	blue
K01582	blue
K01001	blue
K02981	blue
K06959	blue
C00009	blue
C06427	blue
K08484	blue
K12506	blue
K01271	blue
K09499	blue
K12972	blue
K01537	blue
K20098	blue
K22026	blue
K02412	blue
C20267	blue
K09648	blue
K02086	blue
K11693	blue
C12108	blue
K01681	blue
C12147	blue
K03420	blue
K08399	blue
K01144	blue
C21606	blue
K14664	blue
K03784	blue
K00806	blue
C00415	blue
C17542	blue
K00639	blue
K02079	blue
K19837	blue
K01008	blue
C00267	blue
K06927	blue
K01947	blue
K02952	blue
C06204	blue
K09582	blue
K03527	blue
C00058	blue
C12354	blue
K02523	blue
K16881	blue
K13572	blue
C00244	blue
K01000	blue
K18888	blue
K21977	blue
C01212	blue
K00700	blue
K07017	blue
K13679	blue
K06859	blue
C01117	blue
K03101	blue
K20736	blue
C06397	blue
C06193	blue
K00395	blue
K01273	blue
K03495	blue
K03693	blue
C04153	blue
K05809	blue
K13653	blue
K00261	blue
C03056	blue
K17625	blue
K01232	blue
K00052	blue
C05577	blue
K01809	blue
K21053	blue
K06099	blue
K01054	blue
K15973	blue
C21608	blue
K18889	blue
C06891	blue
K12573	blue
K02008	blue
K00651	blue
K03624	blue
K16963	blue
K15337	blue
K03723	blue
K06916	blue
G00075	blue
C03541	blue
K00520	blue
K07540	blue
K05996	blue
K05516	blue
G00054	blue
C00463	blue
K01240	blue
K02338	blue
K02965	blue
C00020	blue
K06217	blue
C04281	blue
K22441	blue
C00063	blue
K01803	blue
K15781	blue
C03492	blue
K03010	blue
C11922	blue
K11637	blue
K17623	blue
K15270	blue
C00764	blue
K18231	blue
K11074	blue
C19871	blue
C00399	blue
C14099	blue
K03519	blue
C05892	blue
K18344	blue
C00071	blue
K06201	blue
K03497	blue
K02955	blue
C00940	blue
K00743	blue
K19270	blue
K01875	blue
K07473	blue
K02989	blue
K03183	blue
C00229	blue
K07030	blue
K03831	blue
K09470	blue
K01214	blue
K02892	blue
C04257	blue
K12406	blue
K18417	blue
C00044	blue
K02529	blue
K07322	blue
C11907	blue
K03330	blue
K19572	blue
K06386	blue
K13954	blue
K23722	blue
K06175	blue
K11206	blue
C03291	blue
K15637	blue
K21936	blue
C18327	blue
K00600	blue
K05796	blue
C19886	blue
K00326	blue
K01070	blue
K05827	blue
K03438	blue
K22199	blue
K02973	blue
K09976	blue
K19360	blue
C02067	blue
K23864	blue
K10857	blue
K03518	blue
K17428	blue
C00075	blue
C00030	blue
C02992	blue
K03769	blue
K05366	blue
K12251	blue
C12348	blue
C00121	blue
C21603	blue
K11694	blue
C02527	blue
K03488	blue
G13110	blue
K00540	blue
C00159	blue
K05685	blue
C00068	blue
K14162	blue
K09817	blue
K01697	blue
K10563	blue
K00901	blue
C05699	blue
K02902	blue
K18348	blue
K18969	blue
K21919	blue
C00668	blue
K00598	blue
K01462	blue
K02837	blue
K00980	blue
K08326	blue
C00342	blue
K09818	blue
K13770	blue
C00153	blue
K21902	blue
K06636	blue
K03789	blue
K10808	blue
K10569	blue
K02243	blue
K13937	blue
K03825	blue
K04043	blue
K05832	blue
C20183	blue
K01885	blue
K00015	blue
K14655	blue
G13108	blue
K03486	blue
K23060	blue
K05520	blue
C05404	blue
K00991	blue
C04631	blue
K01915	blue
K19092	blue
K14761	blue
C00024	blue
K04045	blue
K17722	blue
K13923	blue
K07122	blue
C02226	blue
K12267	blue
C02780	blue
K09022	blue
C02702	blue
K00196	blue
K03484	blue
K03525	blue
K11962	blue
K08735	blue
K17997	blue
K02109	blue
K07052	blue
K06897	blue
C00099	blue
C00073	blue
C02989	blue
C04501	blue
K06382	blue
K18890	blue
K09157	blue
C16600	blue
K04044	blue
