	0
C12835	blue
K13891	blue
K03828	blue
C00617	blue
C03232	blue
C00022	blue
K01885	blue
K00615	blue
K17420	blue
C00204	blue
C06481	blue
K02907	blue
K15734	blue
C01042	blue
K01835	blue
C09823	blue
K21757	blue
K19423	blue
K07080	blue
K17487	blue
C06114	blue
K19802	blue
K00008	blue
K02112	blue
K01904	blue
K05928	blue
K00760	blue
K01746	blue
C00366	blue
K00878	blue
K04069	blue
K19742	blue
C21508	blue
C17401	blue
K03664	blue
C15814	blue
K08195	blue
K15873	blue
C00886	blue
C00039	blue
K03609	blue
K18592	blue
K10773	blue
C07090	blue
C18304	blue
C02839	blue
K15034	blue
K07014	blue
K10671	blue
K18907	blue
K01533	blue
K22927	blue
K00123	blue
K22026	blue
K01894	blue
K09667	blue
K06973	blue
K11620	blue
C15813	blue
C00327	blue
K07657	blue
K00831	blue
K16164	blue
C00235	blue
K07651	blue
K07668	blue
K16957	blue
K20026	blue
K15441	blue
C01732	blue
K15580	blue
C16588	blue
K02051	blue
K03214	blue
K02136	blue
K02654	blue
K03226	blue
K14798	blue
C00167	blue
K01783	blue
K01892	blue
K03170	blue
K03168	blue
K14416	blue
K00176	blue
C16565	blue
K03575	blue
K03795	blue
K07570	blue
K07447	blue
K18189	blue
C00512	blue
K03087	blue
K03637	blue
K09065	blue
C21029	blue
K13542	blue
C06508	blue
K20707	blue
C00460	blue
K00065	blue
C03125	blue
C03373	blue
K00806	blue
K02428	blue
K01823	blue
K19665	blue
K21025	blue
C03492	blue
K00015	blue
K05882	blue
C02097	blue
C00028	blue
K00183	blue
K02418	blue
K11921	blue
C06040	blue
K21567	blue
C01367	blue
K00619	blue
C00075	blue
K02939	blue
C12109	blue
K16698	blue
K15437	blue
C00153	blue
K00645	blue
K01990	blue
C20581	blue
K00254	blue
K06386	blue
K04518	blue
K08234	blue
K02825	blue
K07642	blue
K22508	blue
C00096	blue
K01066	blue
C06423	blue
K03752	blue
K16860	blue
C03920	blue
C05533	blue
K03979	blue
C00009	blue
K13509	blue
C06364	blue
K00060	blue
C05822	blue
K01658	blue
K02933	blue
K16025	blue
K03210	blue
K03286	blue
K14187	blue
K22246	blue
K09759	blue
K06897	blue
C00279	blue
K22044	blue
K07476	blue
K18359	blue
K04771	blue
K03387	blue
K11788	blue
K03980	blue
K06872	blue
K16345	blue
K02385	blue
C00018	blue
C11437	blue
K01462	blue
C01101	blue
K12733	blue
K23361	blue
C03127	blue
K23060	blue
C15977	blue
K02823	blue
K03739	blue
K12960	blue
C00299	blue
K02243	blue
K02302	blue
K00973	blue
K13012	blue
K14415	blue
K12062	blue
K03496	blue
C00027	blue
K22885	blue
K20742	blue
K03719	blue
K06409	blue
C01117	blue
K02999	blue
K02424	blue
K15782	blue
C06056	blue
C00423	blue
K05499	blue
K10542	blue
K06754	blue
K00768	blue
K08153	blue
K03471	blue
K06154	blue
K22293	blue
K22278	blue
C04349	blue
K03697	blue
K18169	blue
C00166	blue
K11747	blue
K02996	blue
K03711	blue
K02669	blue
K09817	blue
C00387	blue
K00872	blue
K18230	blue
K03196	blue
K01753	blue
C01170	blue
K02940	blue
K14082	blue
K23182	blue
C19694	blue
K03091	blue
C00206	blue
K04940	blue
K02406	blue
K03072	blue
K03650	blue
C00527	blue
K23181	blue
K10902	blue
K15634	blue
K10539	blue
K01751	blue
C06615	blue
K02420	blue
K08187	blue
K02053	blue
K04485	blue
K01301	blue
C09813	blue
K04772	blue
K06857	blue
K00560	blue
K03041	blue
K07444	blue
K17884	blue
K01302	blue
K12943	blue
C17227	blue
K15469	blue
K02998	blue
K04763	blue
K00271	blue
K00348	blue
K12524	blue
K00295	blue
C00194	blue
C05703	blue
K02405	blue
K09935	blue
C20253	blue
K03046	blue
K00052	blue
K02871	blue
K02408	blue
K02967	blue
K02879	blue
C01931	blue
K03501	blue
K03281	blue
K00484	blue
K03503	blue
C20377	blue
K21464	blue
K17677	blue
C04631	blue
C00212	blue
K00121	blue
K01791	blue
K19223	blue
K00929	blue
C02218	blue
K02959	blue
K23269	blue
K20861	blue
K04107	blue
K00315	blue
C01213	blue
K06442	blue
K09826	blue
C02637	blue
C00099	blue
K01048	blue
C04713	blue
K07158	blue
K05844	blue
K17064	blue
K03545	blue
K21502	blue
K00400	blue
K01779	blue
K22551	blue
K05297	blue
K02519	blue
K02890	blue
K08352	blue
C02960	blue
C04582	blue
K00309	blue
C01909	blue
K07446	blue
K00145	blue
K03311	blue
K01889	blue
C04294	blue
K01961	blue
K03060	blue
C20836	blue
C16400	blue
K07157	blue
K07192	blue
K21579	blue
K02855	blue
K03625	blue
C16999	blue
K07397	blue
K05788	blue
K03680	blue
K03328	blue
K09117	blue
K02479	blue
K02338	blue
K23270	blue
K11907	blue
K19354	blue
K12526	blue
K03584	blue
K04719	blue
C00224	blue
K05685	blue
K01705	blue
C00734	blue
K09825	blue
K15037	blue
K18590	blue
C02430	blue
C00234	blue
C21310	blue
K13572	blue
K22843	blue
K17505	blue
K02658	blue
K01840	blue
K08675	blue
K02076	blue
C05577	blue
K00605	blue
K21472	blue
G13102	blue
C00475	blue
C05635	blue
C05620	blue
K06989	blue
K02902	blue
C21851	blue
K14002	blue
K04487	blue
K00767	blue
K12854	blue
K00847	blue
C16390	blue
K02044	blue
K02863	blue
K06891	blue
C11831	blue
K11745	blue
C17212	blue
K07978	blue
K13853	blue
C20231	blue
C03794	blue
K00643	blue
K00925	blue
C00463	blue
K07101	blue
C08491	blue
K15554	blue
K02614	blue
K07456	blue
K10863	blue
K15545	blue
K05830	blue
C14099	blue
K03977	blue
K20095	blue
K15552	blue
K02874	blue
K03924	blue
C00233	blue
K13889	blue
K05985	blue
K07478	blue
K06076	blue
K08319	blue
K18866	blue
K20021	blue
K17362	blue
K21147	blue
C06504	blue
K19504	blue
K01776	blue
K03316	blue
K08258	blue
C00143	blue
K07041	blue
K02505	blue
K06167	blue
C00352	blue
C02780	blue
K00609	blue
K07095	blue
K05874	blue
K07097	blue
C21603	blue
K01856	blue
C00364	blue
K02224	blue
C18040	blue
K07005	blue
K08070	blue
K21613	blue
K21606	blue
K18446	blue
K17213	blue
G10621	blue
C06021	blue
K00362	blue
K00568	blue
K01505	blue
K05876	blue
K00969	blue
K17382	blue
K19340	blue
C21017	blue
K02504	blue
K07139	blue
K13021	blue
C04494	blue
C00804	blue
K00845	blue
C15650	blue
C05759	blue
C00763	blue
K03612	blue
K13052	blue
C15980	blue
K10679	blue
K17077	blue
C15975	blue
K02647	blue
K03090	blue
C02047	blue
C13952	blue
C00006	blue
K02864	blue
K03500	blue
K15783	blue
K01910	blue
K03558	blue
K13566	blue
K08506	blue
K12370	blue
K16918	blue
C21610	blue
K08310	blue
C16237	blue
K00261	blue
K02005	blue
K01293	blue
K19386	blue
K01246	blue
K03596	blue
K07816	blue
K18210	blue
K12203	blue
K19449	blue
K13421	blue
K15600	blue
K07171	blue
K17995	blue
K17797	blue
K01624	blue
C00025	blue
K17080	blue
C01330	blue
K02240	blue
K15633	blue
K05589	blue
K03823	blue
C03291	blue
K11810	blue
K00561	blue
C04046	blue
K11892	blue
K02926	blue
K07075	blue
K02485	blue
K04083	blue
C01289	blue
K21790	blue
K15987	blue
C01212	blue
C20958	blue
K13491	blue
C03979	blue
C17569	blue
C00108	blue
C05312	blue
K08986	blue
C00536	blue
C20258	blue
K23864	blue
K01999	blue
C16159	blue
K15332	blue
K10011	blue
K12410	blue
K14451	blue
K19578	blue
C01941	blue
K03754	blue
K22199	blue
K21681	blue
K04751	blue
K05359	blue
K12528	blue
K00367	blue
K02357	blue
K03093	blue
C19686	blue
K12510	blue
K17837	blue
K13800	blue
K21755	blue
K03424	blue
K19597	blue
K00171	blue
K06210	blue
C21608	blue
K07114	blue
K15865	blue
K00104	blue
K15599	blue
K20456	blue
K02335	blue
K21185	blue
K18591	blue
K19712	blue
K06981	blue
C04646	blue
K09808	blue
C05729	blue
G13094	blue
K08312	blue
K07742	blue
K00006	blue
K02342	blue
K20257	blue
C02984	blue
C02737	blue
C08735	blue
K21960	blue
K02911	blue
K13797	blue
C06755	blue
K21577	blue
K16567	blue
K01026	blue
K11753	blue
K22222	blue
C20816	blue
K20750	blue
K02831	blue
K01676	blue
K13998	blue
C00294	blue
K01876	blue
C00155	blue
C06112	blue
C20378	blue
C00334	blue
K13815	blue
K21607	blue
K03646	blue
K13660	blue
C05763	blue
K07776	blue
K01662	blue
K01938	blue
K02004	blue
K15581	blue
C00543	blue
K10763	blue
K10009	blue
K03315	blue
K06958	blue
C01194	blue
K21592	blue
K02282	blue
C05850	blue
K11939	blue
K03628	blue
C04483	blue
C00154	blue
C12350	blue
K07162	blue
K22226	blue
C00846	blue
C16826	blue
K06158	blue
K07755	blue
K01286	blue
K18332	blue
K03606	blue
K00150	blue
K01966	blue
K07535	blue
K18218	blue
K23107	blue
K23977	blue
K08659	blue
K01097	blue
K07812	blue
K11381	blue
C00311	blue
C00940	blue
K00564	blue
C00103	blue
K00816	blue
K00049	blue
C01134	blue
K02894	blue
K05364	blue
K05785	blue
K16174	blue
K14267	blue
K19781	blue
K04044	blue
K08318	blue
K00443	blue
K13872	blue
K22306	blue
C22053	blue
K03893	blue
K03466	blue
K03809	blue
K14441	blue
K00278	blue
K07273	blue
K18231	blue
C11540	blue
K23675	blue
K14349	blue
K03044	blue
K03292	blue
C15810	blue
C03838	blue
K05936	blue
C15603	blue
C00114	blue
C00671	blue
K03688	blue
C04180	blue
C00151	blue
K15640	blue
K02314	blue
K00226	blue
K21604	blue
K11165	blue
K08068	blue
K09697	blue
K21299	blue
K08282	blue
K18967	blue
K08259	blue
K08587	blue
C01327	blue
C05892	blue
K05939	blue
K00046	blue
K01628	blue
K10914	blue
K02108	blue
K02031	blue
C16152	blue
K01870	blue
K05658	blue
K16150	blue
K11894	blue
K00059	blue
K04782	blue
K02391	blue
K10823	blue
K12972	blue
K01849	blue
K22982	blue
K01838	blue
K03535	blue
K04084	blue
C03401	blue
C00513	blue
K06178	blue
K08174	blue
K08189	blue
K01005	blue
C00693	blue
K06921	blue
K08676	blue
K19697	blue
K07320	blue
K17341	blue
C01242	blue
K13015	blue
K01464	blue
K01515	blue
C00077	blue
K03312	blue
K01126	blue
C02835	blue
C04236	blue
K03521	blue
K09944	blue
K01829	blue
K18856	blue
C02642	blue
C01205	blue
C00405	blue
C05600	blue
K22900	blue
K01265	blue
K02390	blue
K07479	blue
K07778	blue
K01808	blue
K10218	blue
C00283	blue
K19689	blue
K02839	blue
K20459	blue
K23514	blue
K03433	blue
C20446	blue
K00639	blue
C00245	blue
K06864	blue
K11530	blue
K19963	blue
K02413	blue
K03492	blue
K07369	blue
K02456	blue
K23373	blue
K19268	blue
K21022	blue
K19969	blue
C00079	blue
K13279	blue
K00604	blue
K05829	blue
K11991	blue
K03282	blue
K15778	blue
C00864	blue
C00957	blue
C20451	blue
K22042	blue
K02015	blue
K07012	blue
K21947	blue
K17997	blue
C00555	blue
K02960	blue
C02527	blue
C00231	blue
C01368	blue
K20487	blue
K00124	blue
K17675	blue
K22510	blue
C00810	blue
C00147	blue
K01297	blue
K03402	blue
K00533	blue
K16423	blue
C01051	blue
C03231	blue
K08602	blue
K06346	blue
K18990	blue
C21877	blue
K00385	blue
K07079	blue
C00061	blue
C20679	blue
K04093	blue
C12325	blue
K00204	blue
K10710	blue
C00229	blue
K08656	blue
C02714	blue
C02477	blue
K00946	blue
K02412	blue
K16238	blue
C00184	blue
K01951	blue
C19889	blue
K08190	blue
K01174	blue
K05366	blue
K06962	blue
C00488	blue
K00805	blue
K01934	blue
K03405	blue
C02362	blue
K02893	blue
K01684	blue
C11436	blue
K06221	blue
K23265	blue
K16959	blue
C00134	blue
C11481	blue
C21879	blue
K15577	blue
K19872	blue
K01923	blue
K04691	blue
K16787	blue
K14742	blue
C00322	blue
C05570	blue
K03639	blue
K06177	blue
K10672	blue
C02992	blue
K14792	blue
K00349	blue
K00927	blue
C20751	blue
K14335	blue
K16788	blue
K05613	blue
K01500	blue
K02057	blue
K14541	blue
C20683	blue
K00783	blue
K17686	blue
C18305	blue
K01492	blue
C21999	blue
K01591	blue
K12529	blue
K19224	blue
K08372	blue
K01153	blue
K01819	blue
C02315	blue
K03602	blue
K18348	blue
C14152	blue
C00692	blue
K19664	blue
K02876	blue
K11608	blue
K00554	blue
K00995	blue
K11072	blue
C22073	blue
K22704	blue
C00112	blue
K00057	blue
C06002	blue
K07568	blue
C00350	blue
K02553	blue
C00862	blue
K01589	blue
C00125	blue
K01926	blue
K13923	blue
K03470	blue
K01054	blue
C03508	blue
K07341	blue
K20156	blue
K22299	blue
K17830	blue
C00130	blue
C01255	blue
K03458	blue
K03491	blue
C14154	blue
C00007	blue
K19338	blue
K13786	blue
K03648	blue
C00218	blue
K06871	blue
C00223	blue
K03218	blue
K02407	blue
K03442	blue
K02189	blue
K06942	blue
K19681	blue
K23448	blue
C09332	blue
C03082	blue
K03234	blue
C00718	blue
C04257	blue
K01669	blue
K19221	blue
C00270	blue
K02137	blue
C00380	blue
C04282	blue
C02946	blue
K07297	blue
K09835	blue
C03997	blue
K01534	blue
K06881	blue
K14539	blue
C00672	blue
K06946	blue
C14090	blue
C00461	blue
K00230	blue
K16961	blue
K02938	blue
K21826	blue
K09648	blue
C04260	blue
C03114	blue
K16169	blue
C01268	blue
K17723	blue
C00341	blue
K07502	blue
K08225	blue
K00980	blue
K03407	blue
K06131	blue
K02182	blue
G13108	blue
C04188	blue
C06322	blue
K09569	blue
K21902	blue
C14819	blue
K04094	blue
K00219	blue
C04778	blue
K00951	blue
K02032	blue
K01784	blue
K19360	blue
K06944	blue
C05980	blue
C00048	blue
K03640	blue
K20490	blue
K00372	blue
C00004	blue
K09681	blue
C11435	blue
C05859	blue
K07334	blue
K21935	blue
K23059	blue
K02422	blue
C15699	blue
K18672	blue
K18770	blue
K05787	blue
K07160	blue
C00789	blue
K15889	blue
K22010	blue
C12356	blue
K00970	blue
K02204	blue
C05343	blue
K15017	blue
K13403	blue
K14287	blue
K06185	blue
C00499	blue
K15067	blue
K10924	blue
C01571	blue
K03499	blue
K20202	blue
K10956	blue
K02854	blue
K06936	blue
K02488	blue
C05748	blue
K03043	blue
K03553	blue
K16705	blue
C07086	blue
C01455	blue
C00119	blue
K03655	blue
C02565	blue
K07053	blue
C00448	blue
K04076	blue
C00122	blue
K16962	blue
C00630	blue
K14059	blue
K07133	blue
K16789	blue
K07319	blue
K22515	blue
K10797	blue
K03824	blue
K03449	blue
K04116	blue
K13292	blue
C11453	blue
K03525	blue
K19171	blue
K22227	blue
K01156	blue
K02860	blue
K11617	blue
C05925	blue
K18944	blue
K16554	blue
K22043	blue
C00011	blue
K18021	blue
K21469	blue
K04762	blue
C05539	blue
K16618	blue
K01055	blue
K06381	blue
K03734	blue
K08316	blue
K01056	blue
K00087	blue
K05540	blue
C01163	blue
C18239	blue
C00647	blue
K09748	blue
K21564	blue
K19510	blue
K18367	blue
C12215	blue
C00198	blue
K06182	blue
K15496	blue
K06175	blue
K12345	blue
C00002	blue
K14058	blue
K02304	blue
K02931	blue
K23238	blue
K22516	blue
C05691	blue
C02679	blue
K00999	blue
K11183	blue
K23498	blue
K01955	blue
K02495	blue
C03363	blue
K12369	blue
K21462	blue
K02011	blue
K15584	blue
C00385	blue
C04882	blue
K23466	blue
K12448	blue
K18913	blue
C01080	blue
K15781	blue
K02013	blue
K02437	blue
C00190	blue
K18478	blue
C06552	blue
K09561	blue
K13777	blue
C05688	blue
K01960	blue
K01115	blue
C12834	blue
K03687	blue
C01172	blue
K06636	blue
K21903	blue
K09458	blue
C00468	blue
K01610	blue
K04096	blue
C00944	blue
C16631	blue
K15780	blue
C04442	blue
C04734	blue
C00645	blue
C00966	blue
K21591	blue
C06251	blue
C16392	blue
K18589	blue
K08691	blue
K16555	blue
K00991	blue
K21479	blue
C02282	blue
K00220	blue
K04562	blue
K16199	blue
C01097	blue
K07313	blue
K01586	blue
K14213	blue
K02417	blue
K02027	blue
K19270	blue
K06179	blue
C00655	blue
K00414	blue
K02397	blue
K00010	blue
K00611	blue
C04419	blue
K06950	blue
C00410	blue
K21701	blue
K00075	blue
K04034	blue
K08955	blue
K17816	blue
C18237	blue
K03582	blue
K03515	blue
K04715	blue
K06148	blue
K16113	blue
C02412	blue
K05396	blue
K18220	blue
K21910	blue
K02364	blue
K13638	blue
K02040	blue
K03767	blue
C20656	blue
C01115	blue
K21011	blue
K05800	blue
C16219	blue
K17073	blue
C01563	blue
K04112	blue
C00090	blue
K03556	blue
K02523	blue
K20712	blue
K07032	blue
K19190	blue
C01181	blue
K02239	blue
K07246	blue
K01273	blue
K13069	blue
K00162	blue
K03774	blue
K06037	blue
K02445	blue
C01769	blue
K07284	blue
C00253	blue
C11922	blue
K20011	blue
C11537	blue
C04146	blue
K18682	blue
K01587	blue
C04157	blue
K18258	blue
K01627	blue
K06336	blue
K07035	blue
C16463	blue
K02012	blue
C01020	blue
K00885	blue
K07010	blue
K03086	blue
K14314	blue
C00073	blue
K01965	blue
C00013	blue
K07658	blue
K02834	blue
K00953	blue
K11541	blue
K07110	blue
K07744	blue
C04246	blue
C21621	blue
C00101	blue
C03167	blue
K00600	blue
K00858	blue
K13490	blue
K05877	blue
K23385	blue
K03581	blue
K01761	blue
K10742	blue
K11476	blue
K11524	blue
K16363	blue
C17556	blue
K00800	blue
K01738	blue
C06505	blue
K16020	blue
C05336	blue
K05823	blue
C18904	blue
K01138	blue
K14677	blue
K03169	blue
K17733	blue
K00042	blue
K01507	blue
K10439	blue
K03547	blue
K13525	blue
K03365	blue
C00860	blue
C18327	blue
K13663	blue
C01352	blue
K00939	blue
K03548	blue
K06959	blue
K07059	blue
K08724	blue
K13252	blue
K03725	blue
K23424	blue
C01250	blue
K06024	blue
K04800	blue
K02480	blue
K07388	blue
C04334	blue
K16203	blue
C06250	blue
C20641	blue
K01752	blue
K23184	blue
K02886	blue
K03654	blue
K09504	blue
C00136	blue
C04153	blue
K23786	blue
K01744	blue
K04087	blue
K01457	blue
K00520	blue
K03151	blue
C18309	blue
K03073	blue
K18694	blue
K02906	blue
K03438	blue
K08326	blue
K13402	blue
K00012	blue
K03778	blue
K07587	blue
K03165	blue
K05541	blue
K01342	blue
C01010	blue
C00624	blue
K08309	blue
K00863	blue
C01345	blue
K00612	blue
K02086	blue
K02190	blue
K02600	blue
K09496	blue
C05744	blue
K00897	blue
C16221	blue
C21585	blue
K14188	blue
K21900	blue
K05896	blue
K02199	blue
K11102	blue
K03416	blue
K02283	blue
K14326	blue
K07636	blue
K13633	blue
K07135	blue
C00213	blue
K01298	blue
K19591	blue
K21711	blue
K00375	blue
K03699	blue
K20997	blue
K02469	blue
C19929	blue
C00014	blue
K02857	blue
K15327	blue
K01857	blue
K06183	blue
K21562	blue
K04769	blue
C16615	blue
K03388	blue
K13932	blue
C00040	blue
K03339	blue
K10041	blue
K21977	blue
C04051	blue
K05824	blue
K03224	blue
K03206	blue
C00131	blue
K02279	blue
K13967	blue
K01677	blue
C00828	blue
C00012	blue
K16568	blue
C20247	blue
C05726	blue
C16502	blue
K01424	blue
K01480	blue
K19796	blue
K03561	blue
K11121	blue
K03152	blue
C16243	blue
K18988	blue
K00030	blue
C15812	blue
K01465	blue
K02431	blue
K01130	blue
K20509	blue
K02528	blue
K07149	blue
K13796	blue
C20466	blue
K03976	blue
K21024	blue
K03696	blue
K03408	blue
C11811	blue
C00064	blue
K21171	blue
C03599	blue
K13573	blue
C03402	blue
K01958	blue
C16477	blue
C00954	blue
K19575	blue
K13038	blue
K01008	blue
K18969	blue
C20752	blue
K06956	blue
C00032	blue
K01372	blue
C06509	blue
K22549	blue
K00347	blue
K11181	blue
C00092	blue
C06027	blue
C00627	blue
K03892	blue
G00002	blue
K01573	blue
K03530	blue
C01081	blue
K03925	blue
K00602	blue
K00263	blue
K06181	blue
C20267	blue
K09688	blue
K07358	blue
K19304	blue
K03526	blue
K09482	blue
K09689	blue
C01161	blue
C17022	blue
K04761	blue
K08094	blue
K00346	blue
K01754	blue
K02895	blue
K00231	blue
C06032	blue
C00415	blue
C21153	blue
C00020	blue
C00081	blue
K18471	blue
C21880	blue
K02472	blue
K18831	blue
K19339	blue
K17883	blue
K14592	blue
K01491	blue
K07402	blue
K07219	blue
C00705	blue
K00960	blue
K15661	blue
K15979	blue
C07095	blue
K15739	blue
K16899	blue
K19788	blue
K08161	blue
C00323	blue
K01270	blue
K03671	blue
C00802	blue
C12622	blue
K21168	blue
K11912	blue
C20750	blue
K06878	blue
