	0
C21603	blue
K11415	blue
K07345	blue
K09954	blue
K08077	blue
K00673	blue
K17686	blue
K07755	blue
K15461	blue
K01548	blue
K02221	blue
K15653	blue
K19183	blue
K00097	blue
C15587	blue
C21069	blue
K20202	blue
K18500	blue
C05472	blue
C03671	blue
C19852	blue
K03827	blue
K11203	blue
C14083	blue
K14727	blue
K03560	blue
K09711	blue
K11692	blue
K00362	blue
K07153	blue
K03072	blue
K01669	blue
C00049	blue
C16567	blue
K08884	blue
C11173	blue
K20838	blue
K01124	blue
K16261	blue
K01093	blue
K07821	blue
K02244	blue
C01697	blue
K00841	blue
K00646	blue
K07168	blue
K12138	blue
C06553	blue
C00233	blue
K16087	blue
K12957	blue
K01875	blue
K09276	blue
K04751	blue
K01933	blue
K18649	blue
K03693	blue
K21331	blue
C04112	blue
K22597	blue
K03605	blue
K23015	blue
C15556	blue
K07676	blue
C06040	blue
K03785	blue
K19825	blue
C01182	blue
K07711	blue
K12280	blue
K22015	blue
K07390	blue
K02552	blue
K23385	blue
K15104	blue
C21748	blue
K18003	blue
K15408	blue
K12147	blue
C04282	blue
K03655	blue
K03881	blue
K03310	blue
K04562	blue
C07086	blue
C00026	blue
C03724	blue
K03453	blue
K02884	blue
K03304	blue
K02773	blue
K18235	blue
C16789	blue
K21028	blue
C01222	blue
K00150	blue
K10820	blue
K02033	blue
C05763	blue
K00862	blue
K03439	blue
K07080	blue
K18573	blue
K00705	blue
K00336	blue
K23094	blue
K10011	blue
C01641	blue
K23007	blue
K12265	blue
C03127	blue
K03222	blue
K13017	blue
K00337	blue
K11325	blue
C01888	blue
C19692	blue
K18829	blue
C05265	blue
K03147	blue
K01839	blue
K23059	blue
K18921	blue
K00414	blue
K11081	blue
K02661	blue
K14349	blue
K07707	blue
K09159	blue
K02256	blue
C17561	blue
C14848	blue
C16688	blue
C00531	blue
K02815	blue
K19092	blue
K02196	blue
K19055	blue
K04061	blue
K18446	blue
K00604	blue
K09815	blue
K10831	blue
C05533	blue
K00016	blue
K18331	blue
K02113	blue
C19723	blue
K04691	blue
K01698	blue
K23486	blue
K11076	blue
K18377	blue
C05335	blue
K12450	blue
K11528	blue
C00333	blue
K23497	blue
K10555	blue
K02854	blue
K03587	blue
C01190	blue
K02909	blue
C02504	blue
K01993	blue
K13679	blue
K16711	blue
K17570	blue
K21748	blue
K06133	blue
K05582	blue
K17830	blue
C05261	blue
K07104	blue
K15759	blue
K00926	blue
K21022	blue
K12940	blue
K01433	blue
K09896	blue
K19225	blue
C00417	blue
K02200	blue
C04895	blue
K10913	blue
C05404	blue
K01714	blue
G13042	blue
K07340	blue
K01423	blue
K23548	blue
K05351	blue
K09761	blue
K21061	blue
K17725	blue
C06224	blue
K21965	blue
K10124	blue
K11615	blue
K07262	blue
K21403	blue
K12823	blue
C00311	blue
K12963	blue
K03291	blue
K20997	blue
K02429	blue
K01055	blue
K04021	blue
K01963	blue
K02394	blue
K17713	blue
K02876	blue
K07669	blue
K10829	blue
K00529	blue
K05016	blue
K22676	blue
K03532	blue
K02913	blue
K13811	blue
K04066	blue
K03750	blue
K15536	blue
K01947	blue
K02032	blue
K18455	blue
K20452	blue
C06510	blue
K13936	blue
C00237	blue
K09980	blue
C20378	blue
K03337	blue
K05939	blue
K07090	blue
K22745	blue
K07032	blue
K00881	blue
C00905	blue
C17552	blue
K02240	blue
K15329	blue
K15868	blue
K18458	blue
C02964	blue
C00134	blue
K18347	blue
K03738	blue
C05841	blue
K01097	blue
K22393	blue
K02961	blue
K15829	blue
C20747	blue
C01636	blue
K00858	blue
K19869	blue
K20423	blue
C19772	blue
C02843	blue
K13007	blue
C00029	blue
K01443	blue
C04778	blue
K07506	blue
K17217	blue
K07146	blue
K03595	blue
C00103	blue
K09125	blue
K00151	blue
C00617	blue
K15977	blue
K02109	blue
C05974	blue
C00280	blue
C03765	blue
K20457	blue
C05985	blue
K00788	blue
C06196	blue
C17226	blue
K14718	blue
K13315	blue
K06956	blue
K00186	blue
C00721	blue
C05332	blue
K20439	blue
K06887	blue
K00639	blue
K05798	blue
K10541	blue
K02844	blue
K00575	blue
K06077	blue
C04916	blue
K01465	blue
C00242	blue
K13256	blue
K00754	blue
C00097	blue
K03562	blue
K03930	blue
C12624	blue
K20759	blue
C17323	blue
K23247	blue
K07353	blue
K01992	blue
K02167	blue
K01546	blue
C04051	blue
C13952	blue
K19507	blue
C14863	blue
K00824	blue
K02011	blue
C00533	blue
K19239	blue
K02775	blue
K03753	blue
K04092	blue
K05780	blue
K12210	blue
K05526	blue
K18005	blue
C05645	blue
K08640	blue
C01909	blue
C05267	blue
K12974	blue
C05125	blue
C01606	blue
K00026	blue
K21135	blue
K07774	blue
K00015	blue
C00187	blue
K00568	blue
C20581	blue
K13283	blue
K00123	blue
C01112	blue
K08692	blue
K19802	blue
K00048	blue
C00199	blue
C15602	blue
K06144	blue
K10985	blue
K03497	blue
K09876	blue
C07721	blue
K07054	blue
C04133	blue
C01300	blue
C04919	blue
C20753	blue
C19154	blue
C11481	blue
K15509	blue
K09893	blue
C00885	blue
C00315	blue
K09696	blue
K23009	blue
G00011	blue
K14382	blue
C06508	blue
C00978	blue
K13292	blue
C15883	blue
C05539	blue
K15554	blue
K12585	blue
K09915	blue
K15466	blue
K06173	blue
C15810	blue
K15257	blue
K17286	blue
K09825	blue
C00402	blue
K09960	blue
K07301	blue
K01624	blue
C01356	blue
K07749	blue
K01673	blue
K11474	blue
K03594	blue
K03412	blue
K03825	blue
K01628	blue
C02666	blue
K22233	blue
K02548	blue
K07703	blue
C19153	blue
C00519	blue
C20641	blue
G00319	blue
K00091	blue
K02998	blue
C04236	blue
K12818	blue
K13726	blue
K02774	blue
C06503	blue
K13997	blue
K13431	blue
C14144	blue
K22480	blue
C15524	blue
K00093	blue
K13530	blue
K19124	blue
K16246	blue
K13483	blue
K02864	blue
K09801	blue
K11608	blue
K01704	blue
C00043	blue
C02218	blue
K13987	blue
K22509	blue
K02396	blue
K10008	blue
K03482	blue
K19229	blue
C05313	blue
K02316	blue
K01004	blue
K19591	blue
C00058	blue
K07456	blue
G00001	blue
K18589	blue
C16487	blue
C20327	blue
K17290	blue
C06614	blue
C20379	blue
K22345	blue
C02067	blue
K07096	blue
C04570	blue
K00285	blue
K04874	blue
K08482	blue
K17244	blue
C01161	blue
K00303	blue
K07789	blue
K01785	blue
K15020	blue
K07352	blue
K22041	blue
K21393	blue
K01318	blue
K02897	blue
K12368	blue
K02529	blue
C20498	blue
K13697	blue
C20836	blue
K01885	blue
K02408	blue
K18673	blue
K10222	blue
K02314	blue
K03910	blue
K01697	blue
K03934	blue
K00231	blue
K01671	blue
K21622	blue
K13656	blue
K11050	blue
K02805	blue
K03321	blue
G13060	blue
K12252	blue
K00851	blue
K21729	blue
K01525	blue
K09552	blue
K02492	blue
K01577	blue
K13993	blue
K08100	blue
K13794	blue
K01048	blue
K14389	blue
K12600	blue
K11191	blue
K13509	blue
C21877	blue
K11618	blue
K12700	blue
K01883	blue
K03790	blue
C14871	blue
C11437	blue
K10024	blue
K03852	blue
K01034	blue
K21886	blue
K12144	blue
C00075	blue
K23773	blue
K18324	blue
C05754	blue
K07592	blue
K21378	blue
C07118	blue
K14455	blue
K02236	blue
K05595	blue
K08302	blue
K15526	blue
K14667	blue
K01190	blue
C03979	blue
C00248	blue
K23451	blue
K06019	blue
C21473	blue
K07660	blue
K11536	blue
K23786	blue
K12446	blue
K13040	blue
K15634	blue
K21004	blue
K18591	blue
C00279	blue
C16157	blue
K10705	blue
K07478	blue
K18969	blue
K12973	blue
K04655	blue
K09768	blue
K00643	blue
K00863	blue
K10117	blue
C04225	blue
C00208	blue
K03979	blue
C00413	blue
K09820	blue
C00184	blue
K05544	blue
K22596	blue
K23109	blue
K23462	blue
K11103	blue
K20451	blue
K10037	blue
C03921	blue
K14479	blue
C01762	blue
K03603	blue
K18944	blue
K02982	blue
K01821	blue
K08194	blue
C00217	blue
K04759	blue
K01962	blue
K00654	blue
K21832	blue
K11755	blue
K01347	blue
K23248	blue
K20468	blue
K03212	blue
K01144	blue
K01897	blue
K05884	blue
K13255	blue
C18305	blue
K09892	blue
K00020	blue
C00168	blue
K06099	blue
K14088	blue
K20945	blue
K02822	blue
C02188	blue
C16489	blue
K22292	blue
C04642	blue
K07088	blue
K12813	blue
K01643	blue
C05640	blue
K00087	blue
K10217	blue
K01735	blue
K06600	blue
K01035	blue
K00661	blue
K06187	blue
K00012	blue
K07010	blue
K06890	blue
K11961	blue
C01187	blue
