	0
K02388	blue
K07095	blue
C21851	blue
C05577	blue
C00332	blue
K05814	blue
K01069	blue
K20976	blue
C04558	blue
K05687	blue
K01200	blue
K20611	blue
K02420	blue
C01094	blue
K14403	blue
K12943	blue
K21022	blue
K18678	blue
C05775	blue
K05539	blue
C15813	blue
K02391	blue
K02911	blue
C01182	blue
K10041	blue
K00133	blue
K22278	blue
K01787	blue
K01803	blue
K02410	blue
K07673	blue
K00013	blue
K00034	blue
K00991	blue
K03503	blue
K03572	blue
K09820	blue
K19664	blue
C05712	blue
K17828	blue
K07126	blue
C00561	blue
C00624	blue
K14023	blue
C21207	blue
C05430	blue
K02371	blue
K00826	blue
K01814	blue
K04774	blue
K01968	blue
K04562	blue
K06400	blue
K07651	blue
K15503	blue
C17952	blue
K10885	blue
K07096	blue
K02016	blue
K03218	blue
C18351	blue
K03515	blue
K00289	blue
K03093	blue
K03309	blue
K19339	blue
K18704	blue
K07091	blue
K06937	blue
K15745	blue
C15811	blue
K19285	blue
K06382	blue
C01888	blue
C04180	blue
K15355	blue
K05553	blue
K01834	blue
K18482	blue
K21397	blue
K00129	blue
K12585	blue
K21467	blue
K03399	blue
C04882	blue
K12371	blue
K04373	blue
K01467	blue
K23498	blue
K06019	blue
C20763	blue
C20764	blue
C05750	blue
K12284	blue
C00012	blue
C15812	blue
C00705	blue
K21463	blue
C05947	blue
K14152	blue
C19889	blue
C01330	blue
K05789	blue
K00568	blue
C06022	blue
K16639	blue
K16694	blue
C17559	blue
C00818	blue
C02964	blue
C17219	blue
C04419	blue
K02192	blue
K03412	blue
C00016	blue
K06204	blue
K06981	blue
K01769	blue
C00266	blue
K03604	blue
K11412	blue
C00197	blue
K00561	blue
K05546	blue
C21608	blue
C05699	blue
K00997	blue
K01763	blue
K03040	blue
K11928	blue
K13500	blue
K22904	blue
K05803	blue
K01066	blue
K13049	blue
K18907	blue
K15831	blue
K05343	blue
K02528	blue
K22389	blue
K06944	blue
K21727	blue
C07649	blue
K00640	blue
K02768	blue
K20860	blue
K18855	blue
K10560	blue
C00162	blue
K01866	blue
C20641	blue
K14061	blue
K02022	blue
K14051	blue
C00062	blue
K01710	blue
K19360	blue
K13924	blue
C04631	blue
K01934	blue
C00096	blue
K22292	blue
K17246	blue
K08372	blue
K10743	blue
K00939	blue
K03431	blue
C21210	blue
C04691	blue
C16154	blue
K08956	blue
C03373	blue
K02390	blue
C06222	blue
K22307	blue
K03979	blue
C18796	blue
K00975	blue
C00138	blue
C02282	blue
K04043	blue
K12506	blue
K21832	blue
K00840	blue
K13421	blue
C17691	blue
C00559	blue
C04702	blue
K03527	blue
K09882	blue
C02336	blue
K04066	blue
C00030	blue
C05539	blue
K01928	blue
C11920	blue
K03255	blue
K02470	blue
C01161	blue
K06183	blue
K06378	blue
K05817	blue
K07683	blue
K13148	blue
K09808	blue
K01619	blue
K20485	blue
K09749	blue
K23078	blue
K14475	blue
C00455	blue
K08724	blue
K13488	blue
K11783	blue
C03516	blue
K17722	blue
K02955	blue
K19997	blue
K22104	blue
C00330	blue
C00129	blue
C02512	blue
K03330	blue
C20738	blue
K12512	blue
K01874	blue
C15532	blue
K11175	blue
K17245	blue
K01489	blue
K03625	blue
K04759	blue
K18940	blue
K00931	blue
K09748	blue
C00199	blue
C11520	blue
K02652	blue
K15176	blue
K09470	blue
K10188	blue
K02338	blue
K23508	blue
K11719	blue
K14731	blue
K15234	blue
C02876	blue
K00986	blue
K05540	blue
K06361	blue
K04765	blue
K04772	blue
K07657	blue
K18896	blue
K01942	blue
K19002	blue
C15814	blue
K05304	blue
K14393	blue
K01766	blue
K19343	blue
C01345	blue
K02398	blue
K03433	blue
K15738	blue
C17569	blue
K14389	blue
K01811	blue
K18931	blue
K20419	blue
C03150	blue
C00119	blue
K08280	blue
K00818	blue
K20333	blue
C02429	blue
K03587	blue
K00052	blue
K00927	blue
K09650	blue
K00557	blue
K18654	blue
K02422	blue
K00758	blue
C03291	blue
K15865	blue
K08308	blue
K01867	blue
K06921	blue
K02533	blue
C17552	blue
C05336	blue
K11068	blue
C05312	blue
K00859	blue
K07016	blue
K12368	blue
K22322	blue
K16017	blue
K02519	blue
G13108	blue
K09797	blue
C17223	blue
K13283	blue
K07277	blue
K00384	blue
C05754	blue
K02417	blue
K03111	blue
K18479	blue
K01697	blue
K21591	blue
C11404	blue
K14107	blue
K07709	blue
K19870	blue
K11592	blue
C11736	blue
K03977	blue
K12615	blue
C00536	blue
K19341	blue
K15497	blue
K16020	blue
C00489	blue
K07010	blue
C03492	blue
C00018	blue
K06409	blue
K11935	blue
K05365	blue
K02389	blue
K00128	blue
K00945	blue
K03797	blue
K03292	blue
K07114	blue
C00558	blue
K21053	blue
K00192	blue
K09576	blue
K03407	blue
K20453	blue
K23304	blue
C00252	blue
C02659	blue
K02935	blue
C00101	blue
C15886	blue
K21063	blue
C04046	blue
K12264	blue
C05927	blue
C00214	blue
K01358	blue
K03650	blue
K00824	blue
K03519	blue
K05297	blue
K03243	blue
K19176	blue
K02412	blue
C01031	blue
K06990	blue
K14441	blue
K13626	blue
C00693	blue
K02851	blue
K14168	blue
C05212	blue
G10619	blue
K06368	blue
K11078	blue
C00132	blue
C05748	blue
K07012	blue
K09798	blue
K11621	blue
K13010	blue
K03584	blue
C00206	blue
K07738	blue
K03833	blue
K06952	blue
K17836	blue
K06217	blue
K07319	blue
K16363	blue
C00789	blue
K05896	blue
K19673	blue
K03699	blue
G09660	blue
K19788	blue
K00845	blue
K02280	blue
C01672	blue
K00264	blue
C21614	blue
C17227	blue
K12823	blue
K23181	blue
K22293	blue
K08259	blue
C11417	blue
K03615	blue
K08320	blue
C00061	blue
K22949	blue
K03770	blue
K07679	blue
C04037	blue
K07098	blue
K03893	blue
K23466	blue
K23373	blue
C12441	blue
K02481	blue
C06364	blue
K18989	blue
K01259	blue
K11102	blue
K10899	blue
C06148	blue
K13034	blue
K21021	blue
C06020	blue
K21929	blue
K15332	blue
K21364	blue
K10009	blue
K09667	blue
K15772	blue
C00671	blue
C00672	blue
K23756	blue
K03656	blue
K02343	blue
K19349	blue
C17222	blue
K18820	blue
K03308	blue
K13252	blue
C00231	blue
C01115	blue
C15867	blue
C00169	blue
K07736	blue
K02110	blue
K18827	blue
K08082	blue
K23535	blue
C00884	blue
K00645	blue
C20758	blue
K14781	blue
K18912	blue
C12366	blue
K01268	blue
K17653	blue
K12073	blue
K19969	blue
K12310	blue
K05873	blue
K21147	blue
K00950	blue
K07712	blue
K00604	blue
K18770	blue
C18327	blue
C16221	blue
K00106	blue
C05345	blue
K02025	blue
K06936	blue
K13491	blue
K23683	blue
K12855	blue
K00796	blue
C00584	blue
K08675	blue
K03413	blue
K02493	blue
K00347	blue
K02282	blue
K08399	blue
C00001	blue
K01466	blue
K11072	blue
K19633	blue
K02015	blue
K09537	blue
C03160	blue
K21360	blue
C00244	blue
C12215	blue
K15888	blue
K07115	blue
K06023	blue
C04242	blue
K01696	blue
K01194	blue
C04121	blue
C00668	blue
K01420	blue
K09552	blue
C00218	blue
K20331	blue
C00366	blue
K23012	blue
C00441	blue
K11076	blue
K09648	blue
K06024	blue
C00721	blue
C05674	blue
K00612	blue
K02404	blue
C00582	blue
K00287	blue
G13107	blue
C22073	blue
K02434	blue
C05645	blue
K01930	blue
C19879	blue
K03767	blue
K00633	blue
C00042	blue
K10242	blue
K21285	blue
K00925	blue
K02396	blue
K07042	blue
K21453	blue
K02563	blue
K08676	blue
C02679	blue
K21701	blue
K03658	blue
K11184	blue
C04352	blue
K01488	blue
K01689	blue
K14688	blue
K05515	blue
K07403	blue
K07777	blue
K20974	blue
K08679	blue
K13530	blue
K15407	blue
C11830	blue
K21346	blue
K11081	blue
K15508	blue
K01694	blue
K07244	blue
K01886	blue
K03530	blue
K22199	blue
K03410	blue
K13935	blue
K01776	blue
C20646	blue
C00136	blue
K01925	blue
K10241	blue
C00399	blue
K03718	blue
K06207	blue
K19302	blue
K21961	blue
C05763	blue
C21749	blue
K09793	blue
K02065	blue
K01939	blue
C03684	blue
K12525	blue
K03570	blue
K07029	blue
K00869	blue
K07124	blue
K01880	blue
K11688	blue
K13889	blue
C00380	blue
K03076	blue
K22804	blue
K07082	blue
K15580	blue
K12152	blue
K02149	blue
K02529	blue
C00009	blue
K18348	blue
C00568	blue
K01883	blue
K04074	blue
K01049	blue
K18660	blue
K20203	blue
C04895	blue
C21113	blue
K00951	blue
K01258	blue
K17425	blue
K11475	blue
K09005	blue
K00016	blue
C00683	blue
K07278	blue
K02049	blue
K05011	blue
K03551	blue
C01250	blue
K00564	blue
K04045	blue
K08602	blue
K00215	blue
K17250	blue
K11809	blue
C04506	blue
K00868	blue
K07175	blue
K09065	blue
C00137	blue
K09584	blue
K19766	blue
K02658	blue
K07030	blue
K11473	blue
C03231	blue
C00513	blue
C00126	blue
C20581	blue
K02655	blue
K00688	blue
K09503	blue
K02427	blue
K00590	blue
C06103	blue
C21328	blue
K02580	blue
K03426	blue
K21064	blue
K01791	blue
K06113	blue
K05946	blue
K00666	blue
K02385	blue
C16156	blue
K06218	blue
K18851	blue
K02372	blue
K19374	blue
C08362	blue
K07744	blue
C01180	blue
K06401	blue
C00166	blue
K19504	blue
K03560	blue
C21018	blue
K13832	blue
K14213	blue
C01563	blue
K22750	blue
K20446	blue
K18540	blue
K11747	blue
K18910	blue
K06094	blue
K01409	blue
K13616	blue
K06412	blue
C11827	blue
C08325	blue
K06665	blue
C06400	blue
K03298	blue
K02006	blue
C00302	blue
K03210	blue
K07376	blue
K04744	blue
K18889	blue
K19782	blue
C11355	blue
C00301	blue
C05512	blue
C01132	blue
K06896	blue
K02010	blue
K17399	blue
K01056	blue
K09770	blue
K13660	blue
K02117	blue
C00461	blue
K02034	blue
K21030	blue
K07101	blue
K06942	blue
K15727	blue
K15983	blue
K02996	blue
K00832	blue
C21751	blue
K21562	blue
K09569	blue
K07052	blue
K07714	blue
K22226	blue
K15546	blue
C04628	blue
C00688	blue
K06148	blue
C00390	blue
K03820	blue
K06402	blue
K22600	blue
K02415	blue
C00094	blue
C00251	blue
K14162	blue
K15509	blue
C11477	blue
K02756	blue
C16688	blue
K11594	blue
C02226	blue
C20062	blue
K10038	blue
K03415	blue
K03590	blue
C01110	blue
C17214	blue
K09710	blue
K06140	blue
K15554	blue
K11391	blue
K06037	blue
K03219	blue
K16199	blue
C00152	blue
K03072	blue
K17062	blue
K01868	blue
C00712	blue
K08736	blue
K10407	blue
K12733	blue
K01419	blue
K03924	blue
K21502	blue
K02990	blue
K00335	blue
K07704	blue
C00180	blue
C04260	blue
K10708	blue
C05684	blue
K01567	blue
C21881	blue
K22481	blue
K03774	blue
K03617	blue
K14830	blue
C02737	blue
K22311	blue
K02860	blue
K16091	blue
C11907	blue
C04666	blue
K02441	blue
K03574	blue
C05584	blue
K02014	blue
K18231	blue
C05235	blue
C00144	blue
C04713	blue
C06251	blue
K03453	blue
K04749	blue
K15921	blue
K06956	blue
K03733	blue
K10117	blue
K07730	blue
K07018	blue
C00267	blue
C05223	blue
K06013	blue
K22405	blue
K03577	blue
C16591	blue
K13679	blue
K19607	blue
C01080	blue
K18941	blue
K03165	blue
K11907	blue
K09826	blue
G00160	blue
K02341	blue
K23265	blue
C02835	blue
C21873	blue
K04800	blue
C19852	blue
C21154	blue
C00143	blue
C21880	blue
C00037	blue
K23237	blue
K03665	blue
K01736	blue
K06145	blue
K01560	blue
K07690	blue
K01408	blue
K01951	blue
K15336	blue
K20283	blue
C07086	blue
C03028	blue
C14090	blue
K00880	blue
K02536	blue
K02067	blue
K07652	blue
K09125	blue
K16248	blue
K10037	blue
K00067	blue
C02763	blue
K07506	blue
K02056	blue
K18478	blue
K03531	blue
K01295	blue
K05359	blue
C04650	blue
C05974	blue
K04748	blue
K03745	blue
K22297	blue
K01198	blue
K03511	blue
K04762	blue
K07183	blue
K17256	blue
K18866	blue
C17556	blue
K03169	blue
K04517	blue
K03010	blue
K01494	blue
K05544	blue
K16474	blue
K11958	blue
C17568	blue
K02469	blue
K03810	blue
K21472	blue
C00224	blue
K00941	blue
C05980	blue
K23055	blue
K05010	blue
K07667	blue
K22339	blue
C21508	blue
C16463	blue
C21861	blue
K07107	blue
C00109	blue
K01916	blue
K09761	blue
K09846	blue
K01955	blue
K15475	blue
K08723	blue
K06881	blue
K05991	blue
K10804	blue
K07776	blue
K00646	blue
C16356	blue
C01346	blue
K15585	blue
K03722	blue
K01218	blue
K10026	blue
C00921	blue
K13480	blue
K14445	blue
K03272	blue
C03920	blue
C17213	blue
K01817	blue
K18828	blue
C00877	blue
K14453	blue
K02879	blue
K11962	blue
K06192	blue
K10547	blue
K18354	blue
K18420	blue
K02784	blue
C19823	blue
K12278	blue
C14909	blue
K03749	blue
K22509	blue
K03408	blue
C00007	blue
K01649	blue
K03818	blue
K09811	blue
K10754	blue
K04940	blue
K09458	blue
K14949	blue
K13829	blue
K03776	blue
C00438	blue
C00641	blue
K16881	blue
K00759	blue
K03630	blue
C07447	blue
K02864	blue
K10901	blue
C03541	blue
C00463	blue
C20082	blue
K03558	blue
K02242	blue
K03151	blue
C05703	blue
C05125	blue
K07444	blue
C05394	blue
K03955	blue
K22538	blue
K01214	blue
K13013	blue
K15778	blue
C00385	blue
K00702	blue
K11216	blue
K11913	blue
C19569	blue
C20810	blue
K06994	blue
K17819	blue
K14188	blue
K11690	blue
K00051	blue
K03390	blue
K15739	blue
K01125	blue
K13522	blue
K02855	blue
K11960	blue
K13770	blue
C01251	blue
K22893	blue
K22296	blue
K10781	blue
C00253	blue
K13599	blue
C03838	blue
K03701	blue
K03624	blue
C00124	blue
K13954	blue
K15923	blue
K14660	blue
K09487	blue
K02424	blue
K19422	blue
K11924	blue
C21314	blue
C11453	blue
K21192	blue
K00954	blue
K06997	blue
C20658	blue
C00157	blue
K00979	blue
K00705	blue
K22132	blue
K06999	blue
K17382	blue
K05363	blue
K08303	blue
K06175	blue
C01233	blue
K01156	blue
K12421	blue
K11085	blue
G00159	blue
K18471	blue
K00086	blue
K09903	blue
C03239	blue
K02028	blue
C00198	blue
C00504	blue
K03697	blue
K00966	blue
K00571	blue
K17797	blue
C00387	blue
C11436	blue
C01269	blue
K00046	blue
K10011	blue
K18947	blue
K19286	blue
K07051	blue
C02713	blue
K04486	blue
K22510	blue
K22491	blue
K02837	blue
K01465	blue
K01189	blue
K10823	blue
K11710	blue
C00942	blue
C16637	blue
K02907	blue
K03328	blue
K02063	blue
K21469	blue
C00021	blue
K09473	blue
C02269	blue
C21430	blue
K03321	blue
K00651	blue
C16255	blue
C03892	blue
C01181	blue
C04823	blue
K00533	blue
K09823	blue
C00117	blue
C21440	blue
C21957	blue
K02997	blue
K02154	blue
K16783	blue
K21279	blue
C00905	blue
K09504	blue
K15013	blue
K07150	blue
K03723	blue
K15770	blue
K02806	blue
K14153	blue
K00026	blue
K18302	blue
G00177	blue
K01890	blue
K11105	blue
K06131	blue
K04479	blue
K22507	blue
K12339	blue
K02112	blue
C05897	blue
K08235	blue
K03471	blue
K02988	blue
C02097	blue
K01000	blue
K23182	blue
K03668	blue
K18691	blue
K03639	blue
K14379	blue
K02416	blue
K02960	blue
K11144	blue
C01117	blue
K02124	blue
C01279	blue
C00492	blue
C02702	blue
C02188	blue
K06154	blue
K22871	blue
K01702	blue
K00850	blue
K16087	blue
K23059	blue
C00979	blue
K16137	blue
K05830	blue
K07023	blue
K00795	blue
K03640	blue
K03499	blue
K00226	blue
K07357	blue
K15920	blue
K06367	blue
K00079	blue
C16619	blue
K09747	blue
K16692	blue
C16600	blue
K02490	blue
K02407	blue
K03613	blue
C17211	blue
K01142	blue
C00106	blue
C11150	blue
K03389	blue
K03491	blue
K16044	blue
K21514	blue
C00647	blue
K23107	blue
C01762	blue
K15583	blue
K20438	blue
K19345	blue
K07056	blue
K03525	blue
K05643	blue
C08607	blue
K01207	blue
K02357	blue
K03657	blue
C00242	blue
K03563	blue
C00636	blue
K07789	blue
C17216	blue
C05688	blue
K07729	blue
K03074	blue
K05876	blue
K18148	blue
K01303	blue
K07662	blue
K00841	blue
K06897	blue
C00575	blue
K08312	blue
C16217	blue
K03816	blue
K00441	blue
K01216	blue
C00104	blue
K00601	blue
C15979	blue
K07688	blue
K03976	blue
K02491	blue
K21606	blue
K00823	blue
K22506	blue
K12818	blue
K20965	blue
C00054	blue
C00475	blue
C19085	blue
K01912	blue
K01007	blue
C01528	blue
C00118	blue
C00134	blue
K10871	blue
K07716	blue
K10822	blue
K14057	blue
K07456	blue
C17226	blue
K01144	blue
C04732	blue
K07479	blue
C20737	blue
K00573	blue
K06441	blue
K09997	blue
K11933	blue
C00222	blue
K07303	blue
K10189	blue
K11959	blue
C01935	blue
C00191	blue
K17243	blue
K08483	blue
K03470	blue
K06072	blue
K17837	blue
K23183	blue
C21368	blue
C20796	blue
K02414	blue
C01212	blue
G10553	blue
C00350	blue
K18199	blue
K09775	blue
K07039	blue
K09685	blue
K04096	blue
K22489	blue
C00208	blue
K11961	blue
K00820	blue
C12350	blue
K00077	blue
K03234	blue
K05499	blue
C00691	blue
C16359	blue
C14899	blue
K01129	blue
C01642	blue
K06168	blue
K09502	blue
K18881	blue
K18995	blue
C21659	blue
K03672	blue
K13694	blue
C00027	blue
K07557	blue
C21879	blue
C00999	blue
K10012	blue
C03082	blue
K08978	blue
K16789	blue
K23242	blue
K01050	blue
K11787	blue
C17230	blue
C05414	blue
C04640	blue
C04233	blue
C16836	blue
K07313	blue
K11708	blue
K01208	blue
C00354	blue
K02411	blue
K05040	blue
K06158	blue
K03585	blue
K07090	blue
K03614	blue
K00220	blue
K02876	blue
C03785	blue
C15996	blue
