	0
C11903	blue
K03680	blue
K13308	blue
K11292	blue
K07213	blue
K01992	blue
K20987	blue
K03150	blue
K20203	blue
K03614	blue
K00029	blue
K00721	blue
C00364	blue
K12132	blue
K20333	blue
K01251	blue
K01857	blue
C00673	blue
C11924	blue
K06943	blue
C03920	blue
K00819	blue
K02028	blue
K00219	blue
K03353	blue
K02839	blue
K02960	blue
K03581	blue
K22347	blue
C00624	blue
K16092	blue
K05553	blue
K08082	blue
C05812	blue
C19080	blue
K00415	blue
K01069	blue
K07059	blue
K02527	blue
K02357	blue
K02904	blue
K10942	blue
K16618	blue
C21878	blue
K02949	blue
K04486	blue
K03405	blue
K17998	blue
K10902	blue
K11473	blue
K03271	blue
C00346	blue
K08326	blue
C00415	blue
K13998	blue
C12325	blue
K03621	blue
K01412	blue
C05299	blue
K05787	blue
K20457	blue
K01744	blue
K01790	blue
K01091	blue
K09482	blue
K01497	blue
K07090	blue
K07577	blue
K21210	blue
C21568	blue
C05382	blue
K02973	blue
K03702	blue
K02490	blue
K07566	blue
K17999	blue
K03856	blue
K21147	blue
K22292	blue
C20642	blue
K01823	blue
K00693	blue
K05606	blue
K23169	blue
K17286	blue
K21275	blue
C03114	blue
C00049	blue
C15814	blue
K00179	blue
K13532	blue
C04652	blue
K21375	blue
K07669	blue
C00155	blue
G09660	blue
K21089	blue
K02959	blue
C00144	blue
G00001	blue
K03569	blue
C21310	blue
K03574	blue
C05753	blue
K07042	blue
C00310	blue
C00105	blue
K07775	blue
K13283	blue
K01277	blue
K08384	blue
K07456	blue
K02878	blue
C18243	blue
C06424	blue
K01000	blue
C00229	blue
C06398	blue
K06175	blue
K15895	blue
K07529	blue
K11626	blue
K03548	blue
K15049	blue
K18907	blue
K12508	blue
K07164	blue
K06153	blue
K03289	blue
K21238	blue
K15773	blue
C21879	blue
K00091	blue
K15329	blue
K07220	blue
K19736	blue
K03365	blue
C03125	blue
K12543	blue
K11412	blue
C00111	blue
K20997	blue
K15067	blue
K00786	blue
K22320	blue
K07459	blue
K02847	blue
C05809	blue
K03743	blue
K12351	blue
K11942	blue
C21358	blue
C04501	blue
K18799	blue
K11744	blue
K19710	blue
K20460	blue
C20738	blue
C04913	blue
K00161	blue
K07101	blue
C04188	blue
K04020	blue
K15856	blue
K01887	blue
K03065	blue
K17722	blue
C00168	blue
C12366	blue
K19002	blue
K18244	blue
K02133	blue
K23874	blue
C19887	blue
K00254	blue
K10756	blue
K22431	blue
K23685	blue
K12503	blue
C05378	blue
C21673	blue
K01880	blue
K19309	blue
K01945	blue
K03624	blue
C00130	blue
K23186	blue
K09499	blue
C18048	blue
K12055	blue
K05602	blue
K15270	blue
K15331	blue
C20949	blue
K02835	blue
K01479	blue
K21726	blue
K01874	blue
K02485	blue
C00127	blue
K02988	blue
K08591	blue
C00712	blue
K09759	blue
K17398	blue
C03175	blue
K02039	blue
K08589	blue
C18310	blue
C21027	blue
K02319	blue
K02886	blue
K03212	blue
C00365	blue
K00350	blue
K02160	blue
C00887	blue
K00097	blue
K00759	blue
C05336	blue
K09015	blue
K09695	blue
C00212	blue
C16392	blue
K11144	blue
K09523	blue
K22885	blue
C00327	blue
K04874	blue
C20641	blue
K21189	blue
K02557	blue
C20897	blue
K01890	blue
K14597	blue
C00055	blue
K00767	blue
K13500	blue
C09813	blue
K07576	blue
K03657	blue
K19421	blue
C00151	blue
C06250	blue
K01207	blue
C00232	blue
K12982	blue
K01409	blue
K03183	blue
C00036	blue
K08483	blue
K00820	blue
K21592	blue
K07107	blue
C00721	blue
K00652	blue
K03111	blue
K17680	blue
K00926	blue
K01752	blue
K16165	blue
K16264	blue
K14792	blue
K02491	blue
K05808	blue
K00067	blue
K08313	blue
C05838	blue
K01492	blue
C04738	blue
K08741	blue
K11778	blue
K13668	blue
K04719	blue
K18901	blue
C00005	blue
C03028	blue
C04732	blue
K17819	blue
K00298	blue
C00074	blue
K03168	blue
K03274	blue
C03576	blue
C02642	blue
K09478	blue
C01769	blue
K08234	blue
K02954	blue
K09529	blue
K05850	blue
K03439	blue
K10251	blue
K22336	blue
C00860	blue
K01996	blue
C15977	blue
K03273	blue
K14287	blue
C00117	blue
K00558	blue
C00957	blue
K04068	blue
K03490	blue
K03455	blue
K14555	blue
K02913	blue
K00010	blue
K23238	blue
K21910	blue
C05748	blue
K02950	blue
K09552	blue
K00176	blue
C19843	blue
K11325	blue
C04242	blue
C21603	blue
C00666	blue
C00082	blue
C00617	blue
G00108	blue
K10956	blue
K07124	blue
K03281	blue
K01089	blue
C16631	blue
K00954	blue
K05838	blue
K06926	blue
C05445	blue
K11781	blue
K01206	blue
C04573	blue
C11638	blue
K10678	blue
K01436	blue
C21317	blue
K06173	blue
C00069	blue
K11216	blue
K01364	blue
K03503	blue
C06614	blue
K20860	blue
C00361	blue
K02864	blue
K18924	blue
K01925	blue
C18305	blue
