	0
K13754	blue
C03692	blue
K07584	blue
C21997	blue
C04043	blue
K11069	blue
K05714	blue
K16922	blue
C05581	blue
K01091	blue
K06182	blue
K03582	blue
K03604	blue
K13895	blue
K19970	blue
C00096	blue
C01190	blue
C00111	blue
K02349	blue
C06240	blue
C00199	blue
C00065	blue
K02495	blue
C16154	blue
K06675	blue
K12954	blue
K03208	blue
C05235	blue
K02011	blue
C00154	blue
C00424	blue
K01439	blue
K01462	blue
K03046	blue
K15779	blue
K08326	blue
K01960	blue
C06112	blue
K10562	blue
K05788	blue
C05512	blue
K11131	blue
K18758	blue
K08083	blue
K14680	blue
K02854	blue
C05634	blue
C16503	blue
K00729	blue
C05577	blue
G10481	blue
K03979	blue
K06409	blue
K15740	blue
C00040	blue
K10858	blue
K16174	blue
C05527	blue
K03786	blue
C02679	blue
C04352	blue
K17722	blue
K15037	blue
K08302	blue
K06881	blue
K02169	blue
K21787	blue
C19080	blue
K02470	blue
K05591	blue
K01182	blue
K12524	blue
C01978	blue
K14213	blue
K06133	blue
K03699	blue
K07003	blue
C02992	blue
K07678	blue
K03093	blue
C01185	blue
K08669	blue
C12147	blue
C00269	blue
K02052	blue
K07479	blue
C05936	blue
K02003	blue
K16345	blue
C00014	blue
C00354	blue
K12944	blue
K05825	blue
C21310	blue
C16255	blue
K01854	blue
K07560	blue
C04506	blue
C06891	blue
C03175	blue
K19883	blue
C18059	blue
K06976	blue
K08082	blue
K07126	blue
K04517	blue
K02136	blue
K03189	blue
C00010	blue
K04763	blue
K10047	blue
C11829	blue
K17100	blue
C02527	blue
K16302	blue
K20608	blue
K13582	blue
K02031	blue
C00536	blue
C00682	blue
K03218	blue
C15811	blue
K06336	blue
C00218	blue
C20991	blue
K15535	blue
C02323	blue
C04419	blue
K10195	blue
C00350	blue
C00197	blue
K13819	blue
C02737	blue
K13923	blue
C03859	blue
K07726	blue
C00097	blue
C20251	blue
K06183	blue
C00343	blue
K05815	blue
C00455	blue
C05394	blue
K01150	blue
K08981	blue
K13679	blue
K03558	blue
C00069	blue
K05939	blue
C03366	blue
K04656	blue
C00445	blue
K16881	blue
K01763	blue
K17623	blue
K03216	blue
K22099	blue
C04442	blue
K18573	blue
K01519	blue
K02990	blue
K03687	blue
K14262	blue
K02824	blue
K01737	blue
K03784	blue
K03270	blue
K02114	blue
K01176	blue
K00756	blue
C01194	blue
K00754	blue
K18675	blue
K08281	blue
K02283	blue
K12950	blue
K03439	blue
K11153	blue
K07316	blue
K04087	blue
K06861	blue
K07462	blue
K23537	blue
K01229	blue
C00101	blue
K18220	blue
C05893	blue
K00811	blue
K06207	blue
K15460	blue
K18961	blue
K06038	blue
K11263	blue
K03575	blue
K02357	blue
K13753	blue
C00387	blue
K03106	blue
K12506	blue
K01866	blue
K16137	blue
K02172	blue
K10119	blue
C00185	blue
K01188	blue
K09812	blue
K03090	blue
K07320	blue
K15331	blue
K18136	blue
K05297	blue
K12075	blue
C00184	blue
K08734	blue
K13075	blue
C03511	blue
K00866	blue
K03625	blue
K02137	blue
K02404	blue
K05808	blue
K00066	blue
C00942	blue
K06902	blue
C01079	blue
C15914	blue
K10188	blue
C00655	blue
C11811	blue
C04732	blue
K18707	blue
K18831	blue
K01951	blue
C00074	blue
K01206	blue
K23779	blue
C00683	blue
C00222	blue
C01187	blue
K01006	blue
K00702	blue
K01950	blue
K03826	blue
K06148	blue
K14059	blue
K16554	blue
C01260	blue
K15428	blue
C19647	blue
K02028	blue
K04034	blue
C00114	blue
C00086	blue
K03292	blue
K06181	blue
K11071	blue
K00942	blue
C00061	blue
K11075	blue
K12370	blue
C04454	blue
K01440	blue
K06177	blue
K02110	blue
G10553	blue
K00701	blue
C00145	blue
C02989	blue
K03387	blue
C00152	blue
K06967	blue
K02315	blue
K22405	blue
K21314	blue
K06167	blue
K23535	blue
K18201	blue
K20609	blue
K22108	blue
C20796	blue
K12978	blue
K15526	blue
C00327	blue
C14099	blue
C05414	blue
K20955	blue
K13892	blue
K03101	blue
K01489	blue
K18682	blue
K15407	blue
K21589	blue
K09490	blue
K03207	blue
K01892	blue
K05832	blue
C21785	blue
K00761	blue
K01491	blue
K06901	blue
K03470	blue
K23384	blue
K01755	blue
K20340	blue
K19691	blue
K12410	blue
C01246	blue
C03684	blue
K07729	blue
K20527	blue
K00218	blue
C00385	blue
C01596	blue
G00289	blue
C00876	blue
C11907	blue
K07041	blue
K06963	blue
K21594	blue
K00086	blue
K03615	blue
C01151	blue
K01485	blue
K00966	blue
K13513	blue
C00526	blue
K03616	blue
C03125	blue
C14899	blue
K06019	blue
K02528	blue
K00929	blue
K11751	blue
K21024	blue
K13983	blue
K23980	blue
C02415	blue
K01624	blue
C00267	blue
K21147	blue
K22305	blue
C16999	blue
K04080	blue
K22042	blue
K13954	blue
K03388	blue
K20490	blue
K11927	blue
K15011	blue
K19449	blue
K04940	blue
K19002	blue
C11354	blue
C01231	blue
K02343	blue
K12956	blue
K17103	blue
K00948	blue
C08734	blue
K05606	blue
C21603	blue
K02338	blue
K03330	blue
K06925	blue
C03742	blue
C00122	blue
K00655	blue
K11717	blue
K07107	blue
K05629	blue
C05841	blue
C00546	blue
K01094	blue
K03399	blue
K07075	blue
K02779	blue
K01466	blue
K01409	blue
C19853	blue
K13292	blue
K12152	blue
K01996	blue
K00850	blue
K04691	blue
C12323	blue
K03429	blue
K21238	blue
C01080	blue
K10947	blue
K11641	blue
C02880	blue
K06013	blue
K13338	blue
K05499	blue
K03458	blue
C02869	blue
K07133	blue
K01126	blue
K03275	blue
C00153	blue
K08234	blue
K09017	blue
C04832	blue
K21686	blue
K17215	blue
K18649	blue
K04075	blue
K02348	blue
K00220	blue
K00349	blue
K02469	blue
C21665	blue
K20201	blue
C00095	blue
K14267	blue
K15634	blue
C00630	blue
C07490	blue
K01752	blue
K10441	blue
K03526	blue
K01914	blue
C08313	blue
K07101	blue
K02435	blue
K00705	blue
K21011	blue
C00166	blue
K02445	blue
K18887	blue
K06897	blue
K07144	blue
C00011	blue
K08175	blue
K07571	blue
K07680	blue
K17487	blue
K00008	blue
K07478	blue
K23675	blue
K02888	blue
C00001	blue
C00105	blue
K02040	blue
C04473	blue
C00295	blue
C18076	blue
K22298	blue
K06147	blue
K05540	blue
K10027	blue
C15813	blue
C00681	blue
C01962	blue
K10210	blue
K18816	blue
C05539	blue
K21031	blue
K21801	blue
K18754	blue
K15441	blue
K01766	blue
K20867	blue
K00010	blue
K03338	blue
K15640	blue
K08968	blue
K02237	blue
K22538	blue
C00035	blue
C00147	blue
C02047	blue
K08678	blue
C11545	blue
C02291	blue
C00641	blue
K07453	blue
C15974	blue
K03824	blue
K21498	blue
K03278	blue
K00783	blue
C00180	blue
C00068	blue
K00598	blue
K20344	blue
K20810	blue
K02622	blue
K01507	blue
K03455	blue
K14002	blue
K23498	blue
C00003	blue
K03744	blue
K04575	blue
K07168	blue
K07588	blue
K02053	blue
K22369	blue
K06185	blue
K10110	blue
K20283	blue
C01530	blue
K00188	blue
C02962	blue
K14540	blue
K02132	blue
K07570	blue
C03733	blue
K05350	blue
K16153	blue
C05921	blue
K07533	blue
K02834	blue
C05639	blue
K00872	blue
K02493	blue
C19839	blue
K07400	blue
C20248	blue
K00625	blue
K11136	blue
C00256	blue
K22345	blue
K00556	blue
K03072	blue
K00295	blue
C04824	blue
K10917	blue
C21851	blue
K01534	blue
K01887	blue
K03438	blue
C00596	blue
K07485	blue
K21029	blue
C00155	blue
K08151	blue
K22579	blue
K06939	blue
K04488	blue
K14155	blue
K16704	blue
K14655	blue
C09694	blue
K00760	blue
K01420	blue
K06286	blue
K03529	blue
K13677	blue
K19171	blue
K04487	blue
K05519	blue
K03617	blue
K06020	blue
C17022	blue
K01480	blue
K07718	blue
C00363	blue
K07767	blue
K07457	blue
K09692	blue
K05846	blue
C18096	blue
K05687	blue
C00037	blue
K02133	blue
K06941	blue
K11991	blue
C00178	blue
C00013	blue
K22222	blue
K22949	blue
K18286	blue
K10705	blue
