	0
K16552	blue
K13522	blue
K01925	blue
K12737	blue
C00156	blue
K06041	blue
K07707	blue
K13821	blue
K16898	blue
C07646	blue
K07050	blue
C00061	blue
C02429	blue
K07315	blue
K11751	blue
K15545	blue
K01412	blue
K14575	blue
K05587	blue
C00004	blue
C20676	blue
K02520	blue
K13525	blue
K19428	blue
K01156	blue
K02005	blue
C00251	blue
K00926	blue
C00513	blue
C03691	blue
K04079	blue
K11778	blue
K15022	blue
K00186	blue
K03350	blue
C00445	blue
G11291	blue
K03614	blue
C02047	blue
C21861	blue
K01847	blue
K02939	blue
K04342	blue
K05012	blue
K01782	blue
C01172	blue
C03723	blue
C05756	blue
C15667	blue
K05542	blue
K03466	blue
K13830	blue
C04732	blue
C21173	blue
K18959	blue
C00683	blue
K02173	blue
C01222	blue
K09552	blue
C19889	blue
K10778	blue
K00295	blue
K20011	blue
G10620	blue
K01975	blue
C00886	blue
K00885	blue
K06189	blue
K00383	blue
K03790	blue
K21063	blue
K04043	blue
K07025	blue
K02033	blue
K14692	blue
K02335	blue
C21663	blue
K07138	blue
K13533	blue
K05343	blue
K00204	blue
K02556	blue
K01135	blue
K18220	blue
K11166	blue
K13402	blue
C03232	blue
C00973	blue
K13431	blue
C01641	blue
K20534	blue
C02714	blue
K01032	blue
K14386	blue
K21405	blue
C00097	blue
C06019	blue
K03771	blue
K07124	blue
K08635	blue
C00785	blue
K03521	blue
K03339	blue
K16020	blue
K03685	blue
K00121	blue
K02004	blue
C02170	blue
K07566	blue
K01219	blue
C00013	blue
K22405	blue
K12854	blue
K03810	blue
K00841	blue
K13789	blue
C01242	blue
K01969	blue
K18580	blue
C11920	blue
K18210	blue
K00414	blue
K03296	blue
K14638	blue
K14661	blue
K19002	blue
K18306	blue
K12141	blue
K07752	blue
K09599	blue
C01161	blue
C01352	blue
C01180	blue
K11729	blue
K21954	blue
K01066	blue
K05568	blue
K05934	blue
K06878	blue
K07638	blue
K16795	blue
K21464	blue
K05016	blue
C21461	blue
C01181	blue
K00876	blue
K16011	blue
K01176	blue
C00310	blue
K00520	blue
K00648	blue
K00046	blue
K02074	blue
K02113	blue
K15201	blue
K15915	blue
C08325	blue
K07257	blue
K00177	blue
C00385	blue
C04640	blue
C16217	blue
K00773	blue
K10902	blue
K12960	blue
K15855	blue
K07447	blue
C03920	blue
K08010	blue
K18681	blue
C06614	blue
K00022	blue
C16157	blue
K01174	blue
C20240	blue
K19423	blue
C05922	blue
C16392	blue
C19772	blue
K02342	blue
C00064	blue
C01260	blue
K07358	blue
K09022	blue
C00160	blue
C05378	blue
K21227	blue
K04096	blue
K11787	blue
C16587	blue
K00303	blue
K01929	blue
K15407	blue
K01866	blue
K00163	blue
K09001	blue
C19085	blue
C00096	blue
C21615	blue
K02823	blue
K22491	blue
K00796	blue
K16474	blue
C20416	blue
K08988	blue
K18589	blue
K02865	blue
C12109	blue
K02474	blue
K05961	blue
C00099	blue
C01186	blue
K09144	blue
K03569	blue
C00258	blue
K02114	blue
K05787	blue
C00984	blue
K02199	blue
K20444	blue
K16153	blue
K09523	blue
C06715	blue
C18353	blue
K11131	blue
K03786	blue
K13998	blue
C04932	blue
K07729	blue
K07291	blue
C00269	blue
K01791	blue
K02477	blue
C00047	blue
K02112	blue
K01819	blue
K00666	blue
K01991	blue
K20093	blue
C00811	blue
K05831	blue
K03224	blue
