	0
K02058	blue
K21465	blue
K00244	blue
K22051	blue
K12978	blue
K03446	blue
K02010	blue
K00996	blue
K01999	blue
K04771	blue
C06050	blue
K03665	blue
K05898	blue
C01769	blue
K00990	blue
K00313	blue
K10560	blue
K06962	blue
K22982	blue
C01468	blue
C16255	blue
C05946	blue
K02996	blue
C00236	blue
C05600	blue
K01873	blue
K01733	blue
C00055	blue
C02992	blue
K14798	blue
C21284	blue
K08302	blue
K20977	blue
K23976	blue
C02047	blue
C00001	blue
K06873	blue
K15835	blue
K02454	blue
K11928	blue
K03065	blue
K03469	blue
C06250	blue
K01639	blue
K09121	blue
K07311	blue
K18908	blue
C00499	blue
K21022	blue
C05921	blue
C00685	blue
K02914	blue
C19883	blue
C00857	blue
K04763	blue
K15738	blue
K02149	blue
K11705	blue
K00058	blue
K14084	blue
K03660	blue
K01627	blue
C17017	blue
K17870	blue
K23121	blue
K06936	blue
K07097	blue
K10542	blue
C03997	blue
K01002	blue
C20376	blue
K01489	blue
K23265	blue
K02075	blue
K14107	blue
K04070	blue
C00073	blue
C16338	blue
K18814	blue
K07402	blue
C20784	blue
K15633	blue
C04628	blue
K23978	blue
C00041	blue
K07739	blue
K23977	blue
K01881	blue
K11941	blue
C00365	blue
K03694	blue
K07669	blue
K00395	blue
K07016	blue
K05936	blue
K22081	blue
C00156	blue
C05760	blue
K11961	blue
K08591	blue
C14818	blue
K02851	blue
K08740	blue
K00176	blue
K05038	blue
K07644	blue
K21169	blue
C19153	blue
K01958	blue
K01953	blue
C00151	blue
K06367	blue
K01557	blue
C00966	blue
K15037	blue
K01075	blue
K23270	blue
K00841	blue
C00441	blue
K16789	blue
C11435	blue
G10920	blue
K02231	blue
K00113	blue
C04046	blue
K01910	blue
K17837	blue
C00741	blue
K01886	blue
K03328	blue
K01486	blue
K22604	blue
K06871	blue
K13953	blue
K18573	blue
K01662	blue
C18028	blue
K00299	blue
K01596	blue
K11954	blue
K22339	blue
K07315	blue
C00234	blue
K23352	blue
K07252	blue
K06721	blue
K07095	blue
K17210	blue
K11528	blue
K03472	blue
K16120	blue
K20882	blue
K09692	blue
K05785	blue
C00705	blue
K19449	blue
C21877	blue
C00043	blue
K09691	blue
K10407	blue
C00512	blue
K00806	blue
C04638	blue
K18331	blue
K11085	blue
C21453	blue
K01874	blue
K02519	blue
K07816	blue
K03426	blue
K17506	blue
K07465	blue
K15376	blue
C05539	blue
C16587	blue
C00327	blue
K02503	blue
K02434	blue
