	0
K07584	blue
K14634	blue
C00060	blue
C02527	blue
C19881	blue
K01792	blue
K11102	blue
C15809	blue
K07465	blue
C16631	blue
K00766	blue
K01096	blue
K02969	blue
C00217	blue
K02028	blue
C00624	blue
C02814	blue
K03169	blue
K21618	blue
K23976	blue
K01444	blue
K05989	blue
C04874	blue
K05350	blue
K00613	blue
K07341	blue
K20901	blue
C00546	blue
K15739	blue
K17872	blue
C05754	blue
K03811	blue
K00996	blue
C07086	blue
K00864	blue
K13049	blue
K19784	blue
K19222	blue
C05382	blue
K06973	blue
K13871	blue
K12574	blue
G13121	blue
K08255	blue
K14441	blue
C20199	blue
K15240	blue
C07089	blue
K08259	blue
K20469	blue
C05927	blue
K09703	blue
K10039	blue
K02810	blue
K13667	blue
K12296	blue
C00117	blue
C05775	blue
K05589	blue
C01571	blue
C04287	blue
C00131	blue
K02551	blue
C16826	blue
C05753	blue
K00839	blue
K01892	blue
C06748	blue
K01554	blue
K02955	blue
C00561	blue
C00685	blue
K13038	blue
K01631	blue
K02428	blue
K07009	blue
C00454	blue
K02518	blue
K03481	blue
K17242	blue
K16554	blue
K22516	blue
K12371	blue
C19794	blue
C21750	blue
K02779	blue
C02091	blue
K11927	blue
K13930	blue
C21651	blue
K23169	blue
K13525	blue
C04442	blue
K18672	blue
K12264	blue
K18456	blue
K15792	blue
C03604	blue
K21829	blue
K20532	blue
K11991	blue
K01938	blue
C20950	blue
K22966	blue
C04145	blue
K11788	blue
K14742	blue
K14708	blue
K08372	blue
K00798	blue
C02188	blue
C18306	blue
K02502	blue
K16788	blue
C00224	blue
C00330	blue
K21038	blue
C16186	blue
K03694	blue
K00571	blue
K22904	blue
K16784	blue
K01467	blue
K03700	blue
K11521	blue
C00905	blue
K03577	blue
K11074	blue
K05364	blue
K21604	blue
K09710	blue
K06183	blue
K00721	blue
K17487	blue
C06019	blue
C07087	blue
C04046	blue
K13694	blue
K18533	blue
C00222	blue
C00004	blue
K02234	blue
K23393	blue
K00859	blue
K02769	blue
C00259	blue
C00836	blue
K00364	blue
K10711	blue
K19226	blue
C00198	blue
K12368	blue
K00951	blue
K01883	blue
K06212	blue
K01440	blue
K13866	blue
K22813	blue
K07587	blue
