	0
C06000	blue
K02137	blue
C04916	blue
K04516	blue
C00168	blue
C06507	blue
K01695	blue
K02818	blue
K04759	blue
K07009	blue
K01693	blue
C21240	blue
K21961	blue
K10956	blue
K11955	blue
K08485	blue
C03287	blue
K14262	blue
K03169	blue
K08314	blue
K22462	blue
C05726	blue
C00286	blue
C05838	blue
K07694	blue
C00633	blue
K00703	blue
K04042	blue
K01715	blue
K00567	blue
C01352	blue
K00077	blue
C19078	blue
K21260	blue
K10562	blue
K15781	blue
C05480	blue
K01817	blue
C17215	blue
C00894	blue
C15979	blue
K01220	blue
K01214	blue
K02000	blue
K03829	blue
K03458	blue
K16020	blue
K03386	blue
K16786	blue
K07447	blue
K13497	blue
K05898	blue
K03577	blue
K19223	blue
K22182	blue
C00031	blue
K01934	blue
C00969	blue
K19269	blue
C03393	blue
K01048	blue
K06943	blue
K11203	blue
K22478	blue
K20282	blue
C03402	blue
K11778	blue
C05824	blue
K00651	blue
C06429	blue
C02336	blue
C20278	blue
K20884	blue
K05985	blue
K23316	blue
C05276	blue
K06240	blue
C20390	blue
K03698	blue
K11530	blue
C00540	blue
K00008	blue
C00411	blue
K00604	blue
K00019	blue
K07657	blue
C00127	blue
K01914	blue
K09181	blue
K15780	blue
C00354	blue
K07213	blue
C00615	blue
K05832	blue
C03912	blue
K00962	blue
K03095	blue
K02357	blue
K03722	blue
K00648	blue
K14168	blue
K18672	blue
K05789	blue
K17686	blue
C18061	blue
C00110	blue
K01409	blue
K14164	blue
C05645	blue
C04186	blue
K00857	blue
K13892	blue
C06377	blue
K01925	blue
K03106	blue
K21251	blue
C06118	blue
K10117	blue
K12294	blue
K18059	blue
K14260	blue
C00345	blue
K08372	blue
C07490	blue
C16393	blue
K15922	blue
K11932	blue
K23514	blue
C21353	blue
K00100	blue
K09022	blue
K10038	blue
C00248	blue
C12835	blue
C03089	blue
K22106	blue
C20589	blue
K03471	blue
K01928	blue
K01155	blue
K03592	blue
K22409	blue
K07668	blue
K03651	blue
C04377	blue
K01012	blue
K03606	blue
K17995	blue
K01060	blue
K08168	blue
C00810	blue
K02458	blue
K06714	blue
C02504	blue
K00288	blue
K02825	blue
K18216	blue
C03794	blue
K02086	blue
K15515	blue
K02784	blue
C00094	blue
K18856	blue
C00047	blue
C02741	blue
K20419	blue
C20062	blue
C06041	blue
K02126	blue
K07029	blue
K08225	blue
K13590	blue
C01929	blue
K08161	blue
K01628	blue
K13509	blue
K17836	blue
K04068	blue
C00463	blue
K22101	blue
K00948	blue
K17428	blue
K23510	blue
C20641	blue
K02612	blue
K03699	blue
K08364	blue
K09016	blue
K20609	blue
K22224	blue
C06142	blue
C01289	blue
C14874	blue
K17737	blue
K02245	blue
K01924	blue
K23150	blue
C03125	blue
K11207	blue
K07053	blue
K11808	blue
K00287	blue
K07149	blue
C20829	blue
C16217	blue
K21743	blue
C00361	blue
K02769	blue
K07097	blue
C09813	blue
K11614	blue
C18327	blue
K01118	blue
K07497	blue
C03692	blue
C06427	blue
C05750	blue
K02546	blue
K11140	blue
C00644	blue
K02232	blue
K06913	blue
K07479	blue
K18136	blue
K03395	blue
K04115	blue
K16874	blue
C00065	blue
C02972	blue
K06189	blue
K06984	blue
K14002	blue
K21600	blue
C20377	blue
C01751	blue
C00141	blue
C21310	blue
K01803	blue
K01658	blue
K06158	blue
K01755	blue
K03753	blue
K09817	blue
K02025	blue
K14798	blue
K22477	blue
C06423	blue
C00223	blue
K02041	blue
K02058	blue
K14724	blue
K14189	blue
C00311	blue
K16153	blue
K03789	blue
K08129	blue
K08681	blue
K02109	blue
K11745	blue
K00156	blue
C12213	blue
K03813	blue
K14058	blue
K09762	blue
K03589	blue
K12997	blue
C01327	blue
K12346	blue
K05011	blue
C12212	blue
K01870	blue
K18889	blue
K07474	blue
K19310	blue
K18707	blue
C00500	blue
K04066	blue
K11070	blue
K14155	blue
K18816	blue
C05817	blue
K12542	blue
K17246	blue
K19294	blue
K02768	blue
K16922	blue
K17329	blue
K10978	blue
K16025	blue
K00783	blue
K06909	blue
K06442	blue
K00826	blue
C20897	blue
K02653	blue
C00060	blue
K05350	blue
K14681	blue
K00459	blue
K13939	blue
C05727	blue
K21681	blue
K02770	blue
K18556	blue
K10610	blue
K20530	blue
C01769	blue
C12354	blue
C02988	blue
K02815	blue
K00645	blue
K02961	blue
K02433	blue
K02117	blue
K02855	blue
K07727	blue
K08602	blue
C00044	blue
C02320	blue
C21753	blue
C05850	blue
K06941	blue
K02895	blue
C04807	blue
K00996	blue
K10864	blue
K20459	blue
C05402	blue
C14847	blue
K03492	blue
K09795	blue
K15256	blue
K03629	blue
K22083	blue
C04677	blue
K05820	blue
K02809	blue
K01959	blue
K02755	blue
K02123	blue
C15977	blue
K07688	blue
C00014	blue
K00661	blue
K02118	blue
K10801	blue
C05396	blue
K00134	blue
K02955	blue
K02013	blue
C16634	blue
K06878	blue
C05758	blue
K16875	blue
K22580	blue
K02476	blue
K20455	blue
C15603	blue
C00126	blue
K09759	blue
K12733	blue
K21469	blue
K08153	blue
K23683	blue
K22871	blue
K03631	blue
K04717	blue
K22223	blue
K02010	blue
K01356	blue
K11617	blue
K05591	blue
K10353	blue
K16618	blue
K16862	blue
C20258	blue
C08325	blue
K18589	blue
K21947	blue
C00864	blue
C00350	blue
K07100	blue
K03664	blue
K11907	blue
K15912	blue
C01077	blue
K02377	blue
K15727	blue
C12355	blue
K22982	blue
C03082	blue
C00372	blue
K16137	blue
K01790	blue
K03529	blue
K01838	blue
C00214	blue
K06183	blue
C01079	blue
K03672	blue
K07056	blue
K00415	blue
C08491	blue
K02824	blue
K13001	blue
K13722	blue
C00536	blue
K02468	blue
K02804	blue
K12661	blue
K13640	blue
K11747	blue
K10871	blue
