	0
C16634	blue
C11827	blue
K03010	blue
K15507	blue
K11907	blue
C00344	blue
C16631	blue
K06168	blue
K01604	blue
C04349	blue
K07168	blue
C00526	blue
K06967	blue
K03210	blue
C00025	blue
K00929	blue
C00194	blue
C15814	blue
K03469	blue
K04042	blue
K17420	blue
K20884	blue
C00096	blue
K14654	blue
C00135	blue
C00559	blue
K14159	blue
K19504	blue
K07727	blue
K21360	blue
K16363	blue
K00264	blue
K01495	blue
K13581	blue
K02938	blue
K02558	blue
C16155	blue
K02960	blue
K00261	blue
K01761	blue
C00269	blue
K15037	blue
K13789	blue
K15904	blue
C00114	blue
C00169	blue
C02565	blue
K03582	blue
K05788	blue
K18425	blue
C14145	blue
K00651	blue
K00254	blue
K03778	blue
C00119	blue
C05748	blue
K02909	blue
C00411	blue
K00615	blue
K19354	blue
K21507	blue
K03472	blue
C00734	blue
C03826	blue
K06942	blue
K21189	blue
C00684	blue
K03687	blue
K13998	blue
C00311	blue
C06508	blue
C04089	blue
C02869	blue
K02886	blue
K01869	blue
K15327	blue
C04242	blue
K10705	blue
K00564	blue
K00825	blue
K11263	blue
K03148	blue
K05298	blue
K02835	blue
C05772	blue
C00365	blue
K16951	blue
K00295	blue
C20359	blue
K01090	blue
K13037	blue
C16424	blue
K03797	blue
K13875	blue
K09504	blue
C17569	blue
K10206	blue
C04076	blue
C00063	blue
K03558	blue
K09688	blue
C03541	blue
C03604	blue
C05921	blue
K06346	blue
K15669	blue
K05353	blue
K11381	blue
C19080	blue
K08314	blue
K07570	blue
K22387	blue
K17195	blue
C05276	blue
K00840	blue
C00750	blue
K12988	blue
K04077	blue
K14168	blue
C01250	blue
K05520	blue
K01763	blue
K19224	blue
C00129	blue
K23007	blue
K03665	blue
C00315	blue
K01666	blue
K03649	blue
C05758	blue
K05939	blue
K03955	blue
C02412	blue
K22317	blue
C00671	blue
K17884	blue
K13830	blue
C06032	blue
C20377	blue
C05684	blue
K22405	blue
K03455	blue
C02987	blue
K08070	blue
K01653	blue
C01231	blue
C12323	blue
K01915	blue
K23269	blue
K06133	blue
C00010	blue
K05785	blue
K02598	blue
K00271	blue
C00180	blue
K17625	blue
K02954	blue
K02876	blue
K16423	blue
K00289	blue
K03178	blue
K06213	blue
K03648	blue
K03470	blue
K15022	blue
C06481	blue
K09647	blue
K07658	blue
K22004	blue
K00931	blue
C03287	blue
C17401	blue
K00016	blue
K03529	blue
C11829	blue
K22047	blue
C20819	blue
K03763	blue
C05947	blue
K00903	blue
K02965	blue
K17241	blue
K09810	blue
C19794	blue
C20969	blue
K22300	blue
C00036	blue
K03572	blue
K11788	blue
C00008	blue
C00086	blue
K06960	blue
K02858	blue
K02955	blue
C21603	blue
K10211	blue
C04133	blue
K01760	blue
K02013	blue
K04483	blue
K22949	blue
K02998	blue
K03658	blue
K17490	blue
C00003	blue
K06099	blue
C15647	blue
K00995	blue
K00013	blue
K00962	blue
C22085	blue
C15556	blue
C06322	blue
C16221	blue
K00786	blue
C00251	blue
K01001	blue
K22893	blue
K14058	blue
C05763	blue
K11915	blue
K12297	blue
K19064	blue
K03394	blue
K17995	blue
K14187	blue
C00015	blue
K22431	blue
K01972	blue
C00214	blue
K03021	blue
C00043	blue
K16196	blue
C04332	blue
C19772	blue
C12355	blue
K02994	blue
C17211	blue
C00079	blue
K04771	blue
K20444	blue
K02964	blue
K03427	blue
K13832	blue
K03065	blue
K11809	blue
C01077	blue
K00794	blue
C20950	blue
K16052	blue
K00944	blue
C00052	blue
C20373	blue
K03429	blue
K02981	blue
K07465	blue
C00206	blue
K07775	blue
K17076	blue
K00793	blue
K21062	blue
K12255	blue
G00161	blue
C05382	blue
C05750	blue
K10864	blue
K02371	blue
K21900	blue
K16899	blue
C15976	blue
K01868	blue
K00762	blue
K02967	blue
K03046	blue
C19723	blue
K23055	blue
C00032	blue
K10111	blue
C20641	blue
C16156	blue
C20755	blue
K13798	blue
K02986	blue
C11477	blue
K03705	blue
K10870	blue
K01938	blue
K13787	blue
K14761	blue
C20376	blue
C03150	blue
K13797	blue
C00037	blue
C05688	blue
C00512	blue
K15256	blue
K07757	blue
K10773	blue
K00313	blue
C06112	blue
K20678	blue
K01094	blue
K05687	blue
K02484	blue
K02601	blue
K03697	blue
K11755	blue
K08282	blue
C17216	blue
K01885	blue
C00692	blue
C00479	blue
K02834	blue
K07316	blue
K03536	blue
K20327	blue
K05643	blue
C05199	blue
C00433	blue
C04734	blue
K20257	blue
K00286	blue
K05540	blue
K08884	blue
K18948	blue
K03685	blue
K13017	blue
K01958	blue
C02939	blue
C16330	blue
K00202	blue
K21346	blue
K01581	blue
K19108	blue
K13829	blue
K02860	blue
K07508	blue
K01659	blue
C16587	blue
K07459	blue
C07490	blue
K00608	blue
K01933	blue
K02355	blue
K09808	blue
K00600	blue
K00034	blue
K00796	blue
K02919	blue
K01492	blue
K07979	blue
K03978	blue
K07052	blue
C00944	blue
C04501	blue
C06010	blue
C01181	blue
K03980	blue
C00028	blue
C00035	blue
K12881	blue
K23948	blue
K15973	blue
K22708	blue
C01659	blue
K01286	blue
K01426	blue
C02527	blue
K02916	blue
K04115	blue
K09490	blue
K01880	blue
K08969	blue
C21332	blue
K17245	blue
K03833	blue
K20074	blue
C00415	blue
C03125	blue
C00048	blue
K03639	blue
K03531	blue
C00237	blue
K01876	blue
C00416	blue
K06390	blue
K01007	blue
C00387	blue
C00005	blue
K03499	blue
K20457	blue
C00099	blue
C20751	blue
K19855	blue
K00026	blue
K02316	blue
K18909	blue
K01968	blue
K15773	blue
K00571	blue
C20758	blue
K09692	blue
C16588	blue
K06878	blue
K01588	blue
K08724	blue
C15578	blue
C14099	blue
K10756	blue
C04702	blue
C03506	blue
K01819	blue
K02333	blue
K04762	blue
C00002	blue
K05825	blue
K07742	blue
K23786	blue
C00330	blue
K00604	blue
K20534	blue
K19789	blue
C00116	blue
K22278	blue
K03240	blue
C00362	blue
K20859	blue
C00668	blue
G10557	blue
C00044	blue
K08316	blue
K07978	blue
K03655	blue
K01923	blue
C16579	blue
K01791	blue
K21947	blue
K05995	blue
K09473	blue
K13007	blue
K07246	blue
C02097	blue
C02953	blue
C17326	blue
C00905	blue
K23498	blue
K11778	blue
