	0
K00364	blue
C07090	blue
K11074	blue
K18907	blue
K07658	blue
K22340	blue
K02239	blue
K01926	blue
K11787	blue
K12408	blue
K07009	blue
K16179	blue
K01845	blue
C00030	blue
K03148	blue
K01856	blue
K01126	blue
C20810	blue
C20914	blue
C00647	blue
K07478	blue
K13052	blue
C11926	blue
C00435	blue
K09951	blue
K20452	blue
C15699	blue
K16345	blue
K18853	blue
C03393	blue
K03687	blue
K00868	blue
K04720	blue
K11755	blue
K00261	blue
K07244	blue
K18425	blue
C00332	blue
K11070	blue
K13749	blue
K05587	blue
K09835	blue
C00763	blue
K18887	blue
K00520	blue
K13894	blue
C18153	blue
K21023	blue
K00188	blue
C00376	blue
K15632	blue
C02745	blue
K14539	blue
K02952	blue
C06010	blue
K01990	blue
K19108	blue
K10754	blue
K09810	blue
K07444	blue
K01639	blue
C05645	blue
C00169	blue
K16105	blue
K01714	blue
K19073	blue
K02347	blue
K07459	blue
C00139	blue
C02984	blue
K22106	blue
C04112	blue
C05922	blue
K02063	blue
C15809	blue
K01776	blue
C00002	blue
C00222	blue
K17758	blue
K10810	blue
K13069	blue
K03733	blue
K17597	blue
K05984	blue
K06180	blue
K20388	blue
K11176	blue
K01069	blue
K19591	blue
C00049	blue
K03149	blue
K21613	blue
C00037	blue
K00762	blue
C03287	blue
K03215	blue
K11325	blue
K16318	blue
C00004	blue
K01910	blue
K03065	blue
C01151	blue
K02864	blue
K03100	blue
C00455	blue
K11932	blue
C01219	blue
C11811	blue
C02972	blue
C16506	blue
C05768	blue
K01886	blue
C05527	blue
K02911	blue
K17570	blue
K18890	blue
C01010	blue
K16899	blue
C06505	blue
K08676	blue
K00006	blue
K20074	blue
K08187	blue
K14487	blue
C15603	blue
K09569	blue
K00018	blue
K02886	blue
C00363	blue
C17017	blue
K03737	blue
C04242	blue
C00059	blue
C01468	blue
C00006	blue
C00217	blue
K17995	blue
K19304	blue
K02824	blue
K06132	blue
K17077	blue
C00627	blue
K04760	blue
K07807	blue
K11206	blue
K12736	blue
K01777	blue
K19742	blue
K00783	blue
C12622	blue
K02959	blue
K14664	blue
K01156	blue
K03439	blue
K03785	blue
K06402	blue
K12308	blue
K01870	blue
G10502	blue
K14056	blue
K06365	blue
K12615	blue
K09808	blue
K16423	blue
K19360	blue
K20627	blue
K16290	blue
K06669	blue
K04771	blue
K04039	blue
K02282	blue
K05364	blue
K01049	blue
K01056	blue
K21567	blue
C19852	blue
K00003	blue
K03077	blue
K02879	blue
K07035	blue
K03774	blue
K05541	blue
C05923	blue
K02986	blue
K00383	blue
K03433	blue
K01624	blue
C00535	blue
C20581	blue
C21879	blue
K08319	blue
K18288	blue
K01259	blue
K00091	blue
K01664	blue
K15261	blue
K22405	blue
K02617	blue
C16834	blue
K09502	blue
K20904	blue
K17870	blue
K23514	blue
K07357	blue
C21509	blue
K22004	blue
C00575	blue
K03809	blue
C20950	blue
C05577	blue
C04573	blue
C00088	blue
C15972	blue
C17336	blue
K01763	blue
K04718	blue
K20257	blue
C00184	blue
K01533	blue
K13714	blue
K07260	blue
K01697	blue
K07566	blue
K04763	blue
C21069	blue
K16787	blue
K11939	blue
K05394	blue
K02242	blue
K03327	blue
K02428	blue
K06926	blue
K04037	blue
K06156	blue
K03715	blue
K21886	blue
K02033	blue
K02654	blue
C03161	blue
K03526	blue
K07301	blue
K21903	blue
K11744	blue
K19386	blue
K03524	blue
K00925	blue
K06131	blue
K10797	blue
C22053	blue
K21755	blue
K00254	blue
C20237	blue
K18358	blue
K22278	blue
K00317	blue
K02890	blue
C02170	blue
K16210	blue
K03667	blue
C11831	blue
C02512	blue
K03234	blue
K00605	blue
K02594	blue
K18824	blue
K01726	blue
K00067	blue
K00283	blue
K01464	blue
K03387	blue
C00047	blue
C05335	blue
C03461	blue
K06941	blue
C05828	blue
K02132	blue
K06338	blue
K17505	blue
K02996	blue
K04486	blue
C06552	blue
K00795	blue
C00188	blue
C00536	blue
K14153	blue
K00015	blue
K07482	blue
C06148	blue
K01897	blue
K02315	blue
K03043	blue
K07063	blue
K04487	blue
K13319	blue
K03498	blue
K13751	blue
K23529	blue
K02588	blue
K09710	blue
C02051	blue
C00063	blue
K01819	blue
K00384	blue
C03684	blue
K11475	blue
K21594	blue
K23059	blue
G10555	blue
C00423	blue
K01633	blue
C14818	blue
K21977	blue
C14899	blue
C11436	blue
K01912	blue
C16588	blue
K13831	blue
C04501	blue
K12983	blue
K06140	blue
K00186	blue
C21310	blue
K23055	blue
K08364	blue
K07007	blue
K00133	blue
K00991	blue
K01743	blue
K09759	blue
C00302	blue
K00097	blue
K05524	blue
K04076	blue
K12297	blue
K01585	blue
K02586	blue
K22246	blue
K02587	blue
K03631	blue
K06857	blue
C00489	blue
K22547	blue
K06943	blue
K11618	blue
K07479	blue
C00857	blue
K01286	blue
K14080	blue
K11717	blue
C02235	blue
K01050	blue
K06964	blue
K07652	blue
K13954	blue
C00458	blue
C02554	blue
K11808	blue
C16600	blue
C05892	blue
K19710	blue
C00439	blue
K07460	blue
C00976	blue
K00663	blue
K07098	blue
K08318	blue
K02961	blue
K00602	blue
K03972	blue
K21084	blue
K03413	blue
K05882	blue
C21008	blue
C00143	blue
K17472	blue
K22477	blue
K01433	blue
K18926	blue
K00174	blue
K11626	blue
K14537	blue
C00084	blue
K07250	blue
C20969	blue
K07571	blue
K17752	blue
K05887	blue
K21405	blue
K09647	blue
K07139	blue
K03091	blue
K01874	blue
K15269	blue
K04078	blue
C17226	blue
K03503	blue
K08740	blue
K01756	blue
C00054	blue
K19597	blue
K07003	blue
C06021	blue
K16177	blue
C00248	blue
K01586	blue
K00163	blue
K02536	blue
K16695	blue
K21472	blue
K16960	blue
K00657	blue
C00036	blue
K02669	blue
K13006	blue
K16698	blue
C06019	blue
K03693	blue
C16589	blue
K06997	blue
K02051	blue
C00417	blue
K12659	blue
K01374	blue
K12525	blue
K19267	blue
K12574	blue
C11638	blue
C01401	blue
K18123	blue
K02933	blue
C00691	blue
K08166	blue
K00955	blue
K08167	blue
C16155	blue
K22132	blue
K02970	blue
K03299	blue
C03794	blue
K18653	blue
C00683	blue
K06168	blue
K13800	blue
K15870	blue
K02114	blue
K16148	blue
K09011	blue
K19647	blue
K02510	blue
K15496	blue
C00061	blue
K22212	blue
C11915	blue
K11263	blue
C06509	blue
C16502	blue
C04295	blue
K03548	blue
K00177	blue
K01409	blue
K21314	blue
K07273	blue
K00027	blue
C20796	blue
K06221	blue
C17219	blue
K14392	blue
K21022	blue
K06037	blue
C00120	blue
C16999	blue
K19504	blue
K03189	blue
K00601	blue
K04517	blue
C04171	blue
K03458	blue
C03175	blue
K20156	blue
K23359	blue
C14090	blue
C00108	blue
K21757	blue
C18061	blue
C02992	blue
C14610	blue
K03802	blue
C21674	blue
K09903	blue
K02055	blue
K05540	blue
K01270	blue
K14023	blue
K17749	blue
C17228	blue
C16635	blue
C01455	blue
C00642	blue
C06113	blue
K04114	blue
K03339	blue
K03577	blue
K12978	blue
K18118	blue
K00548	blue
K17992	blue
K23527	blue
C15812	blue
C00679	blue
K03615	blue
K09996	blue
K00219	blue
C01563	blue
C00641	blue
K07122	blue
K21703	blue
C01847	blue
C00475	blue
K21463	blue
K06167	blue
