	0
C00882	blue
K21027	blue
K00170	blue
K14208	blue
K14055	blue
K03975	blue
C00106	blue
K03813	blue
K08740	blue
C11947	blue
C01134	blue
K08794	blue
C00217	blue
K06178	blue
G00094	blue
C11437	blue
C00254	blue
K03935	blue
K10679	blue
C00344	blue
C00222	blue
K21397	blue
C03862	blue
K02045	blue
K08956	blue
C22160	blue
C02984	blue
C03239	blue
K15894	blue
C00129	blue
K06219	blue
K02468	blue
K03587	blue
C19080	blue
K04487	blue
C05335	blue
K08083	blue
C00026	blue
K01076	blue
K06131	blue
K19429	blue
C04932	blue
K09685	blue
K09482	blue
C20258	blue
K18851	blue
K15765	blue
K23159	blue
K03667	blue
G13118	blue
C00976	blue
K01889	blue
K12524	blue
K18556	blue
K09470	blue
K03438	blue
K02314	blue
K11927	blue
C20247	blue
K09144	blue
C00096	blue
K23723	blue
C20376	blue
K07387	blue
C03453	blue
K03609	blue
K01848	blue
K03927	blue
K03672	blue
K18076	blue
K06200	blue
C19875	blue
K08153	blue
K06942	blue
K03596	blue
C00794	blue
C19975	blue
K13656	blue
C01102	blue
K04760	blue
K07154	blue
K03881	blue
K21790	blue
K02481	blue
K03169	blue
C21137	blue
K05820	blue
K22297	blue
K12503	blue
C00109	blue
K11206	blue
K02028	blue
K13572	blue
C00007	blue
C05272	blue
K03554	blue
K11717	blue
K02575	blue
K03940	blue
K10899	blue
C00125	blue
K13799	blue
K05030	blue
C04501	blue
K03269	blue
K21993	blue
K00034	blue
K01942	blue
K05568	blue
K09758	blue
C00003	blue
K02860	blue
C03461	blue
K03789	blue
K07713	blue
C00042	blue
C00365	blue
K04078	blue
K12448	blue
K00324	blue
K15780	blue
C02282	blue
C18174	blue
K02656	blue
K00220	blue
K13012	blue
K18693	blue
K19817	blue
C00666	blue
K04084	blue
K03590	blue
K02868	blue
K01173	blue
K00426	blue
K03641	blue
K08303	blue
K02994	blue
K22745	blue
C00253	blue
C20390	blue
K02313	blue
K04655	blue
C04823	blue
K00605	blue
C02554	blue
K07042	blue
K11749	blue
K03614	blue
K02015	blue
C02714	blue
C00445	blue
K00800	blue
C01231	blue
K08300	blue
K03703	blue
K01743	blue
C16633	blue
K10901	blue
K01714	blue
K09473	blue
C17432	blue
K04069	blue
K21747	blue
C00048	blue
K04656	blue
K01424	blue
K04773	blue
K02952	blue
K02907	blue
C04877	blue
K03089	blue
K00207	blue
C05922	blue
K03522	blue
K03309	blue
K06409	blue
G10008	blue
K00024	blue
K07392	blue
G10620	blue
K03687	blue
K02338	blue
K21990	blue
K01890	blue
K18284	blue
K01282	blue
K01713	blue
K20432	blue
K06183	blue
K07391	blue
C00362	blue
K06213	blue
K01737	blue
K04024	blue
K17653	blue
C05276	blue
C17010	blue
K02584	blue
C04574	blue
K21062	blue
K11264	blue
K22024	blue
C00459	blue
K03044	blue
K00996	blue
K02890	blue
C00864	blue
K00283	blue
K00824	blue
K02940	blue
C04242	blue
K01182	blue
K02182	blue
K05614	blue
K09761	blue
K02864	blue
K15379	blue
K01591	blue
K18424	blue
C11927	blue
C03167	blue
K03478	blue
C00208	blue
C00122	blue
K03312	blue
C06196	blue
K16795	blue
K20678	blue
K16191	blue
C05817	blue
C21995	blue
C00227	blue
K22168	blue
C00805	blue
K01947	blue
K06898	blue
K09800	blue
K00928	blue
K01439	blue
C00399	blue
C04230	blue
K05807	blue
K00657	blue
K09024	blue
C06017	blue
C04751	blue
K03797	blue
C05756	blue
K11144	blue
C21156	blue
K13573	blue
K04719	blue
K23946	blue
C09306	blue
C12481	blue
C21621	blue
K14506	blue
K18947	blue
C05378	blue
K00343	blue
K03882	blue
C00620	blue
C03150	blue
K21572	blue
K01587	blue
K01811	blue
K02112	blue
C00103	blue
K11626	blue
K20810	blue
C05838	blue
C05703	blue
C15578	blue
K01492	blue
K08312	blue
K15984	blue
C01233	blue
K19340	blue
K11748	blue
K00348	blue
K09695	blue
K15856	blue
K07652	blue
G00001	blue
K17680	blue
C19847	blue
K14759	blue
K05515	blue
C02090	blue
K03449	blue
K01050	blue
C00154	blue
C00475	blue
K07059	blue
K11752	blue
K21017	blue
K00384	blue
K03955	blue
K21179	blue
K01633	blue
C03512	blue
K00111	blue
K07221	blue
K06944	blue
K17717	blue
K01284	blue
K02013	blue
K17490	blue
C06508	blue
C01205	blue
C00077	blue
C03604	blue
C05859	blue
K00612	blue
G12573	blue
