	0
K05614	blue
C05527	blue
C01080	blue
K08175	blue
K21433	blue
K02004	blue
K07709	blue
K19802	blue
K05544	blue
K10902	blue
K21297	blue
K07019	blue
K01631	blue
K03802	blue
K01485	blue
K01921	blue
K13772	blue
C01909	blue
C00120	blue
K12048	blue
K07124	blue
C07086	blue
K20959	blue
K21401	blue
C19884	blue
K02849	blue
C00655	blue
K02530	blue
K01678	blue
K19583	blue
K01232	blue
C00052	blue
K01819	blue
C19946	blue
K18816	blue
K02652	blue
K00082	blue
C01205	blue
K06933	blue
K07029	blue
K00249	blue
K02343	blue
K06203	blue
K14667	blue
K14343	blue
C16551	blue
K07047	blue
K02745	blue
K15342	blue
K22104	blue
K02428	blue
C04919	blue
K18123	blue
K01778	blue
K15583	blue
C19794	blue
K06073	blue
K06237	blue
K14761	blue
C16849	blue
K01278	blue
K07529	blue
K00955	blue
K01887	blue
K03976	blue
K21604	blue
K06917	blue
K17217	blue
K13922	blue
K21745	blue
K11121	blue
C03838	blue
K09502	blue
K22602	blue
K10549	blue
K19755	blue
K00109	blue
K02027	blue
C05161	blue
K09503	blue
K18118	blue
K11201	blue
K14057	blue
K17653	blue
K02909	blue
C02637	blue
K07101	blue
K07455	blue
K16170	blue
C00473	blue
K21586	blue
K17362	blue
K02737	blue
K07107	blue
C03684	blue
K07023	blue
K00048	blue
K22551	blue
K01627	blue
C00190	blue
K03685	blue
K20728	blue
K06206	blue
C00025	blue
K13566	blue
K15975	blue
C01268	blue
K05365	blue
K20810	blue
K13018	blue
K02851	blue
K00975	blue
K07793	blue
K06121	blue
C05673	blue
C04895	blue
K00612	blue
K06885	blue
K00984	blue
K11609	blue
C00369	blue
C05645	blue
K22547	blue
K07461	blue
K05015	blue
K20838	blue
K18005	blue
K03110	blue
K16786	blue
K05499	blue
C21440	blue
K03601	blue
K01792	blue
C00161	blue
K20539	blue
K00873	blue
C01368	blue
K03686	blue
K00862	blue
K02504	blue
C00877	blue
K19997	blue
K20531	blue
K00132	blue
C03541	blue
C00455	blue
K18910	blue
C05378	blue
K21365	blue
K01055	blue
K01274	blue
C00085	blue
C12325	blue
K03705	blue
K01136	blue
C16228	blue
K01843	blue
K16179	blue
C19080	blue
C05312	blue
C00122	blue
K09578	blue
C16634	blue
K09824	blue
C00155	blue
K02050	blue
K07450	blue
K03826	blue
K11710	blue
K09807	blue
C20377	blue
K06998	blue
K07067	blue
C01346	blue
K11781	blue
C03590	blue
K06857	blue
K08710	blue
K03092	blue
K01489	blue
K19745	blue
K19105	blue
C06416	blue
K00533	blue
K03183	blue
C05300	blue
C16273	blue
C00218	blue
K23987	blue
K05985	blue
C04556	blue
C16463	blue
K06346	blue
K06076	blue
K09496	blue
K00019	blue
K09729	blue
C00227	blue
K00849	blue
K13276	blue
K23384	blue
K03612	blue
K05816	blue
K16701	blue
K12736	blue
K05979	blue
K09458	blue
K11925	blue
K03455	blue
K00347	blue
C00197	blue
K03767	blue
K21790	blue
K20543	blue
K00943	blue
K14346	blue
C00644	blue
K08317	blue
K01223	blue
K01770	blue
C16152	blue
K16846	blue
K00944	blue
K00929	blue
K20989	blue
K03722	blue
C17213	blue
K22441	blue
K15529	blue
K18292	blue
K03771	blue
C00327	blue
K13598	blue
K08739	blue
K07799	blue
K19068	blue
K12090	blue
K00001	blue
C02554	blue
K01758	blue
C06547	blue
K09685	blue
K02587	blue
K07823	blue
K17658	blue
K00602	blue
C20562	blue
C11437	blue
C05744	blue
K21563	blue
K00800	blue
K01535	blue
K03631	blue
K11641	blue
K00335	blue
K12686	blue
C00212	blue
K01833	blue
C00886	blue
K02493	blue
K02872	blue
C01289	blue
K06180	blue
K13023	blue
K01554	blue
K01923	blue
C00533	blue
K07474	blue
K02788	blue
C00223	blue
C05545	blue
C21429	blue
K08715	blue
K01753	blue
K14187	blue
C12212	blue
K00830	blue
K13520	blue
C05544	blue
K10001	blue
K12257	blue
C05620	blue
C00003	blue
K03315	blue
