	0
K06861	blue
C00005	blue
C03511	blue
K18220	blue
K05816	blue
K02054	blue
K07050	blue
C00255	blue
K07033	blue
K19955	blue
C05822	blue
K03152	blue
K02126	blue
C00327	blue
K11635	blue
C01219	blue
K02963	blue
K20118	blue
K08484	blue
C00504	blue
C00044	blue
C00064	blue
K16785	blue
C01346	blue
C00286	blue
C03150	blue
K01461	blue
C16637	blue
K19837	blue
C00295	blue
K01539	blue
K00096	blue
K04567	blue
C00095	blue
K15600	blue
K00179	blue
K03582	blue
K14153	blue
K10270	blue
C20796	blue
K03283	blue
K22391	blue
K06015	blue
K02770	blue
K19954	blue
C01081	blue
K11072	blue
C05922	blue
K02337	blue
C20451	blue
C04051	blue
K18104	blue
C21880	blue
C02995	blue
K01493	blue
K03531	blue
C15647	blue
K01056	blue
C14899	blue
C01151	blue
K14587	blue
K12960	blue
C15898	blue
K06168	blue
K02355	blue
K03218	blue
K18331	blue
C05235	blue
K09812	blue
C00886	blue
C00139	blue
K10754	blue
K17215	blue
K18692	blue
C02527	blue
C15980	blue
K12448	blue
K03656	blue
K13868	blue
C05688	blue
K01151	blue
K01956	blue
K05939	blue
K03977	blue
K00287	blue
K17680	blue
K01710	blue
K03511	blue
K00133	blue
C00764	blue
K00556	blue
K06024	blue
K22503	blue
C01231	blue
K06944	blue
K11070	blue
C16615	blue
C05841	blue
K00295	blue
K00661	blue
C00122	blue
K12823	blue
C00387	blue
K11752	blue
K02008	blue
K00134	blue
K04484	blue
K05522	blue
K01819	blue
C00620	blue
K07576	blue
K01096	blue
K23537	blue
K05879	blue
C20753	blue
K06946	blue
K02926	blue
K16786	blue
C00035	blue
K13252	blue
K14540	blue
K15745	blue
K03798	blue
K15034	blue
K21499	blue
C07086	blue
C05414	blue
C21861	blue
K08675	blue
C00214	blue
K07029	blue
C00299	blue
K03214	blue
K16639	blue
K15779	blue
K05878	blue
K03149	blue
K18889	blue
C20247	blue
K01875	blue
C18073	blue
K18590	blue
C15603	blue
K00947	blue
K02115	blue
K12978	blue
K18931	blue
C00178	blue
K01808	blue
K22339	blue
K23786	blue
K16898	blue
K16783	blue
C00147	blue
K01531	blue
K01756	blue
C00446	blue
C21767	blue
K03076	blue
K23535	blue
K23060	blue
K22223	blue
K01954	blue
K13402	blue
C21878	blue
K19285	blue
K03943	blue
K09022	blue
K09013	blue
K14673	blue
C00085	blue
C06148	blue
C00221	blue
K15904	blue
C01279	blue
K04427	blue
C17010	blue
K23976	blue
C00682	blue
K02036	blue
C00051	blue
K02967	blue
K02786	blue
K09580	blue
K11199	blue
K03616	blue
C00212	blue
K18910	blue
C20751	blue
K03074	blue
C03604	blue
K17103	blue
K00998	blue
K10705	blue
K03070	blue
C00222	blue
K11201	blue
C00232	blue
K03818	blue
C15811	blue
C03393	blue
K01886	blue
K11745	blue
K03763	blue
C02218	blue
K02065	blue
K03657	blue
K00005	blue
K01752	blue
K19302	blue
K05516	blue
K22345	blue
C00360	blue
K01785	blue
K11751	blue
