	0
K19339	blue
K04041	blue
K02600	blue
K11778	blue
G10481	blue
K13637	blue
C00378	blue
K00701	blue
K20487	blue
K17331	blue
K07088	blue
K18209	blue
C00333	blue
K01703	blue
C04570	blue
K14755	blue
K03687	blue
K06187	blue
C03175	blue
K11924	blue
K11175	blue
K06925	blue
K21468	blue
C04638	blue
K01057	blue
C00109	blue
K16011	blue
C00455	blue
K01708	blue
K02652	blue
K03742	blue
K07407	blue
C00179	blue
K02878	blue
K12600	blue
C20083	blue
K22510	blue
K11444	blue
K01892	blue
K00244	blue
K00975	blue
K01972	blue
K06156	blue
K09826	blue
C00005	blue
K01775	blue
C12109	blue
C05946	blue
K10440	blue
C03599	blue
G13110	blue
C02352	blue
C21310	blue
K02111	blue
C04748	blue
K07755	blue
C01187	blue
C00026	blue
C18030	blue
K03631	blue
K20032	blue
K02242	blue
K00974	blue
K00761	blue
K02659	blue
C00416	blue
K00640	blue
C01236	blue
C05892	blue
K20831	blue
K22982	blue
K13933	blue
K01584	blue
C06112	blue
K10898	blue
K19576	blue
K13519	blue
K05816	blue
K06020	blue
C00501	blue
K04045	blue
K12143	blue
K17069	blue
K07814	blue
K17641	blue
K01439	blue
C06010	blue
K21000	blue
C05686	blue
K20902	blue
C00068	blue
K19360	blue
G10620	blue
K16918	blue
K00163	blue
K03210	blue
C03287	blue
C17224	blue
K21394	blue
C15883	blue
C20395	blue
K18399	blue
K08191	blue
K11441	blue
K19633	blue
K08167	blue
C00033	blue
C21502	blue
K10907	blue
C00184	blue
K06988	blue
K02477	blue
K22214	blue
C04666	blue
K22106	blue
K07016	blue
K03743	blue
K13222	blue
K00176	blue
K00349	blue
C00097	blue
K14761	blue
K00040	blue
K22345	blue
K02016	blue
C16243	blue
K00193	blue
K00868	blue
C16244	blue
K08300	blue
K00443	blue
C02163	blue
C00247	blue
C00078	blue
C20451	blue
K13252	blue
K06185	blue
K18189	blue
K14335	blue
K01051	blue
K06897	blue
K13540	blue
K20959	blue
K01522	blue
K02904	blue
K11633	blue
K18968	blue
K17828	blue
K03702	blue
K18881	blue
K00090	blue
K22839	blue
K03544	blue
C18076	blue
K02408	blue
K23169	blue
K02472	blue
C00237	blue
C21504	blue
K10715	blue
K18478	blue
C00343	blue
K03817	blue
C07446	blue
C06002	blue
K17420	blue
K22026	blue
K03040	blue
C00310	blue
C16695	blue
K00721	blue
K20904	blue
C05273	blue
K04874	blue
K22506	blue
C00204	blue
C00218	blue
K03100	blue
C00575	blue
K04069	blue
C05812	blue
K13789	blue
K02073	blue
K19303	blue
K10026	blue
K21947	blue
K17884	blue
K00873	blue
C15974	blue
K01585	blue
K00937	blue
K13889	blue
K15779	blue
K02918	blue
K03720	blue
K02414	blue
C00254	blue
K01420	blue
K03458	blue
K06914	blue
K03281	blue
K20626	blue
K03091	blue
C00108	blue
K03386	blue
C12212	blue
K06153	blue
C14463	blue
C00282	blue
K02303	blue
K19277	blue
C04691	blue
K03404	blue
K03046	blue
K00796	blue
C11543	blue
C00028	blue
K15554	blue
K01626	blue
K03106	blue
K05545	blue
K07052	blue
K10012	blue
C02047	blue
C00106	blue
K02033	blue
K06042	blue
K13695	blue
K01589	blue
K00384	blue
C20926	blue
K05601	blue
K18687	blue
K01933	blue
K00284	blue
C20966	blue
K01268	blue
K02939	blue
K14349	blue
K00547	blue
K00202	blue
K09277	blue
C00135	blue
C21430	blue
C00417	blue
K08724	blue
C12632	blue
K21109	blue
K21214	blue
K03212	blue
C00655	blue
K01783	blue
K10556	blue
K22124	blue
K07175	blue
K13796	blue
K19225	blue
C19647	blue
K04516	blue
K14539	blue
K21471	blue
K02428	blue
K00824	blue
K03715	blue
K14689	blue
K02909	blue
K02022	blue
K01942	blue
