	0
C00283	blue
K11747	blue
C00236	blue
C05859	blue
C00012	blue
C00025	blue
K03783	blue
C03082	blue
K05794	blue
C15979	blue
K08093	blue
K00302	blue
K01628	blue
K23144	blue
K06767	blue
K14812	blue
K12943	blue
K14002	blue
C02637	blue
C05125	blue
K12504	blue
K01966	blue
K19427	blue
C00262	blue
K13013	blue
K08153	blue
K20093	blue
K20884	blue
K04892	blue
C07490	blue
K00904	blue
K02556	blue
K02484	blue
K21499	blue
K00205	blue
C00106	blue
C00155	blue
K22223	blue
C16596	blue
K00947	blue
C16663	blue
K00903	blue
C00323	blue
C00546	blue
K03503	blue
C05199	blue
C00327	blue
C20752	blue
K15582	blue
C00264	blue
K00335	blue
C01168	blue
C05923	blue
C00286	blue
K16105	blue
K13573	blue
K03089	blue
K04095	blue
C20810	blue
K16011	blue
K03596	blue
K18691	blue
C00134	blue
K02656	blue
K19429	blue
C06240	blue
C05198	blue
K07173	blue
K07076	blue
K13038	blue
K09484	blue
C21606	blue
K12370	blue
K02430	blue
C15556	blue
K06409	blue
K00121	blue
K15269	blue
K03698	blue
K09144	blue
C20651	blue
C04713	blue
C20562	blue
C00058	blue
K00954	blue
K03545	blue
K04748	blue
K03234	blue
K14416	blue
K19304	blue
K02998	blue
K04045	blue
C00864	blue
C03604	blue
C00163	blue
K21344	blue
C03393	blue
C16999	blue
C17556	blue
C16424	blue
K01408	blue
K13660	blue
C00445	blue
K06950	blue
C00126	blue
K07124	blue
K22708	blue
C04133	blue
C01762	blue
K07259	blue
C01528	blue
G13060	blue
C05703	blue
K12990	blue
C00032	blue
K18928	blue
K15270	blue
C01115	blue
K00204	blue
K07012	blue
K02335	blue
C00081	blue
C03742	blue
K20801	blue
K00981	blue
K13679	blue
C03511	blue
K02133	blue
K02981	blue
C00233	blue
C05925	blue
K01497	blue
C00846	blue
C21878	blue
K02040	blue
C00543	blue
C00218	blue
K04801	blue
K01091	blue
K23683	blue
K19697	blue
K07290	blue
K04759	blue
K03570	blue
K00133	blue
K08740	blue
K02879	blue
K16328	blue
K23779	blue
C06124	blue
C06142	blue
K14726	blue
C21609	blue
C04051	blue
K07319	blue
K23182	blue
K03640	blue
K03980	blue
K17989	blue
C01346	blue
K01847	blue
K03695	blue
K02523	blue
K15792	blue
C15603	blue
K03832	blue
K01894	blue
K00992	blue
C00862	blue
C00369	blue
K03629	blue
K04567	blue
C00014	blue
K08956	blue
K03734	blue
K02973	blue
K01669	blue
K18652	blue
K01155	blue
K06148	blue
K10011	blue
C00020	blue
K10047	blue
K01153	blue
C05312	blue
C03794	blue
K02558	blue
K07014	blue
K00639	blue
K02412	blue
K03613	blue
K16556	blue
K05802	blue
C00253	blue
C05600	blue
C04462	blue
K06158	blue
K07636	blue
K00065	blue
K04342	blue
K08884	blue
K04484	blue
K05120	blue
K22199	blue
K03787	blue
K03624	blue
K15527	blue
K01286	blue
C16826	blue
K21472	blue
C00206	blue
K00207	blue
K01480	blue
K00560	blue
K21137	blue
C01335	blue
K01156	blue
C00944	blue
C00969	blue
K08972	blue
K15778	blue
K01662	blue
K16092	blue
C06397	blue
K03496	blue
K03515	blue
C01186	blue
K05837	blue
C04640	blue
K01519	blue
C01269	blue
C16154	blue
K02426	blue
K01744	blue
K07257	blue
C00001	blue
C00561	blue
K19421	blue
K12512	blue
K06675	blue
K07238	blue
C00223	blue
K15518	blue
C11827	blue
K00088	blue
K09568	blue
C00059	blue
K00782	blue
C00005	blue
K19855	blue
K21063	blue
K09681	blue
K02137	blue
K02313	blue
K02919	blue
K00969	blue
K01144	blue
K01890	blue
C02798	blue
K09577	blue
K08659	blue
C00194	blue
C11435	blue
K00175	blue
K02858	blue
C01170	blue
K01130	blue
K07511	blue
C00232	blue
K15268	blue
K16693	blue
K19055	blue
K07239	blue
K00443	blue
K21573	blue
C02659	blue
K02913	blue
K16267	blue
K19223	blue
K23014	blue
K07571	blue
K04427	blue
K07651	blue
K00939	blue
C21880	blue
K02527	blue
K01929	blue
K05046	blue
C00672	blue
K00764	blue
K09065	blue
K06944	blue
K07462	blue
C00668	blue
