	0
K01939	blue
K12297	blue
K03577	blue
C00004	blue
C14775	blue
C00040	blue
C19794	blue
K03814	blue
K04076	blue
C00411	blue
K01590	blue
K21790	blue
C16837	blue
K03564	blue
C00688	blue
K07447	blue
K03559	blue
K07012	blue
K22223	blue
C01563	blue
K03558	blue
K08482	blue
K08744	blue
K04656	blue
K18301	blue
K01265	blue
K02335	blue
K19429	blue
C21463	blue
K15920	blue
C03319	blue
C00075	blue
K01678	blue
K02564	blue
K16213	blue
K01857	blue
C01769	blue
K07198	blue
K15332	blue
K03832	blue
K20283	blue
K18231	blue
K07636	blue
C00325	blue
C00439	blue
K21109	blue
K18856	blue
K01207	blue
K05546	blue
C02637	blue
K05365	blue
K12992	blue
K20977	blue
K00302	blue
K02556	blue
K01915	blue
K08256	blue
C01051	blue
K11395	blue
C00164	blue
K15017	blue
K01755	blue
K00014	blue
K07157	blue
C06423	blue
C13952	blue
K09903	blue
K01515	blue
C00587	blue
C19694	blue
K01945	blue
K05613	blue
K20203	blue
K02919	blue
C00636	blue
C00118	blue
K01677	blue
C00342	blue
K18691	blue
K10598	blue
K07727	blue
K02838	blue
K01999	blue
K11381	blue
K02237	blue
K02372	blue
K01710	blue
C17952	blue
C22159	blue
K16329	blue
K00705	blue
K03431	blue
K03715	blue
K07297	blue
K21432	blue
K14667	blue
K05016	blue
C03232	blue
C04824	blue
K18989	blue
K00354	blue
K12344	blue
C05300	blue
C05750	blue
K03546	blue
K01771	blue
K19349	blue
C04570	blue
K02855	blue
K18682	blue
G00072	blue
K01372	blue
K21417	blue
K00772	blue
K02878	blue
K14688	blue
C00280	blue
K09579	blue
C02988	blue
K01585	blue
K05597	blue
K00927	blue
K12587	blue
K00976	blue
K05648	blue
K23676	blue
K06491	blue
C12109	blue
C04121	blue
K00059	blue
K17734	blue
K04096	blue
C06041	blue
K02147	blue
K05587	blue
K18233	blue
K09023	blue
K07579	blue
K00652	blue
K01895	blue
C05125	blue
K03329	blue
K10764	blue
C01233	blue
C01118	blue
K18577	blue
K01492	blue
K08723	blue
K15050	blue
K19872	blue
C00705	blue
C00455	blue
K20035	blue
K07076	blue
K22044	blue
K01050	blue
K07357	blue
K07004	blue
K18303	blue
C18040	blue
K03308	blue
K13171	blue
K03327	blue
C02985	blue
C15603	blue
K09666	blue
K22708	blue
C00499	blue
K14392	blue
K03648	blue
K06188	blue
K01338	blue
K05046	blue
K09014	blue
C02501	blue
K03606	blue
K06381	blue
C01185	blue
K00082	blue
C11908	blue
C00044	blue
C00206	blue
K01624	blue
K03651	blue
K12196	blue
K00348	blue
K02493	blue
K07051	blue
K01714	blue
K02198	blue
K02933	blue
K06950	blue
K13543	blue
C20239	blue
K02010	blue
K18785	blue
K04079	blue
K08191	blue
K02467	blue
K09490	blue
K21346	blue
K01924	blue
K20988	blue
K00969	blue
K01115	blue
K03212	blue
C18096	blue
C00460	blue
K16210	blue
K05364	blue
K19430	blue
C06250	blue
C00169	blue
K00240	blue
C17552	blue
K12615	blue
K00284	blue
C21808	blue
K02958	blue
K18909	blue
K02835	blue
K20469	blue
K12317	blue
G10553	blue
K03955	blue
K12076	blue
K19855	blue
C00286	blue
K04069	blue
K16021	blue
K07164	blue
K00962	blue
K05015	blue
K11541	blue
C00049	blue
C01180	blue
C21440	blue
K01940	blue
K02874	blue
C21873	blue
K01886	blue
K02478	blue
K03796	blue
C06481	blue
K18933	blue
C00330	blue
K18758	blue
K20971	blue
C00042	blue
K20697	blue
K17592	blue
K05829	blue
K21275	blue
C00012	blue
C00406	blue
K15739	blue
C07335	blue
