	0
C00011	blue
K03186	blue
C20581	blue
K01236	blue
K03665	blue
K18263	blue
K01432	blue
K10626	blue
K13753	blue
C05223	blue
K03972	blue
C18174	blue
K00347	blue
C00141	blue
C04260	blue
K16248	blue
C00448	blue
C05271	blue
K03086	blue
K01008	blue
K04248	blue
K15738	blue
K04518	blue
K03797	blue
K06175	blue
C20949	blue
C03920	blue
C00044	blue
K02160	blue
K02916	blue
C01978	blue
K07320	blue
C20959	blue
K15855	blue
K11618	blue
K10947	blue
K03768	blue
K11936	blue
C03112	blue
K16017	blue
K21346	blue
K12299	blue
K19036	blue
K05553	blue
K05864	blue
K18104	blue
K00600	blue
K03932	blue
K16181	blue
K11391	blue
K04525	blue
K03405	blue
K01051	blue
K14267	blue
C03082	blue
C04037	blue
K13013	blue
K10871	blue
K10899	blue
K00950	blue
C15587	blue
C00155	blue
K12953	blue
K02502	blue
C01151	blue
K01271	blue
C00138	blue
K06900	blue
K04568	blue
C11811	blue
C18324	blue
C06329	blue
K00289	blue
C01081	blue
K06891	blue
K07164	blue
K00998	blue
K02887	blue
K16862	blue
K01583	blue
C04153	blue
K18145	blue
K03785	blue
C11829	blue
K03577	blue
K00339	blue
K01303	blue
K03771	blue
K03613	blue
C17214	blue
K03701	blue
K03616	blue
K03471	blue
C21861	blue
C16597	blue
C00236	blue
K03688	blue
K04096	blue
K06188	blue
K11787	blue
K00874	blue
K00561	blue
G00109	blue
K00823	blue
C20861	blue
K12506	blue
C20755	blue
C19799	blue
K01358	blue
K03292	blue
K03075	blue
K01001	blue
C17222	blue
K00062	blue
K02575	blue
C08325	blue
K20543	blue
C05838	blue
C21663	blue
K13252	blue
K07010	blue
K02996	blue
K13002	blue
K13403	blue
K14152	blue
K21571	blue
K03609	blue
K19425	blue
C00283	blue
K02617	blue
C00882	blue
K14447	blue
K22164	blue
K18136	blue
K10206	blue
K04801	blue
K01111	blue
K03554	blue
K19817	blue
K01209	blue
K18908	blue
K11085	blue
K16693	blue
C00683	blue
K11060	blue
K06204	blue
K03324	blue
C00085	blue
C04236	blue
K11942	blue
K03672	blue
C14899	blue
C21662	blue
K00097	blue
K06946	blue
C01110	blue
K03628	blue
K13010	blue
K21514	blue
K11392	blue
K03883	blue
C00362	blue
K11608	blue
K11749	blue
K01393	blue
K00954	blue
K01342	blue
K01866	blue
K07560	blue
K00865	blue
C04874	blue
K12152	blue
K03072	blue
C19929	blue
C15974	blue
K02424	blue
K18231	blue
K22446	blue
C12109	blue
K01676	blue
K23351	blue
C00587	blue
K08978	blue
K22166	blue
C00860	blue
C04442	blue
K02852	blue
K03215	blue
K01802	blue
K03070	blue
K03624	blue
G13120	blue
C21453	blue
K14326	blue
K07713	blue
K20457	blue
K14349	blue
K17425	blue
C01209	blue
G00403	blue
C00233	blue
