	0
K11216	blue
K13770	blue
K21378	blue
C21751	blue
G10619	blue
K03786	blue
C20258	blue
C00234	blue
K03581	blue
K01278	blue
C01092	blue
K06951	blue
K10716	blue
K12634	blue
C21608	blue
K03757	blue
K09482	blue
K08234	blue
K00701	blue
K18904	blue
K04760	blue
K01955	blue
C03089	blue
K23978	blue
K03307	blue
C00463	blue
K19710	blue
K08585	blue
C00026	blue
K21681	blue
K02844	blue
K12410	blue
C18243	blue
C01031	blue
K07689	blue
C00365	blue
K15783	blue
K22226	blue
K02242	blue
K01805	blue
K19817	blue
K15921	blue
K03329	blue
C00861	blue
K03328	blue
C00448	blue
K20490	blue
K23105	blue
C00160	blue
K03044	blue
K03929	blue
K16786	blue
K03833	blue
K21171	blue
K02372	blue
K02662	blue
K22311	blue
K07716	blue
C16426	blue
K00608	blue
C00044	blue
C00310	blue
K00188	blue
K07638	blue
K02913	blue
K05540	blue
K21017	blue
C21351	blue
C00191	blue
K15739	blue
K18556	blue
K03284	blue
K19583	blue
K00170	blue
K01743	blue
K06999	blue
K01134	blue
K09818	blue
C04506	blue
K02855	blue
C03294	blue
K03018	blue
K22227	blue
C03012	blue
K00861	blue
K19425	blue
C00588	blue
C05544	blue
K01190	blue
K02600	blue
C00936	blue
K18348	blue
K11636	blue
C06196	blue
C07091	blue
K03612	blue
K00705	blue
K20156	blue
C03511	blue
K15654	blue
C00343	blue
K03231	blue
K03693	blue
K02488	blue
K09512	blue
K04488	blue
K21005	blue
K09015	blue
K10914	blue
C00544	blue
K15257	blue
K05356	blue
K00169	blue
K00901	blue
K14667	blue
C11039	blue
K08259	blue
K11991	blue
K07168	blue
C00031	blue
K01389	blue
C00010	blue
K09065	blue
K03524	blue
K05995	blue
K01176	blue
K14213	blue
C03692	blue
K01876	blue
K18189	blue
C11062	blue
K07138	blue
K06200	blue
K02121	blue
K02490	blue
C00258	blue
C20083	blue
K01519	blue
K21890	blue
K15781	blue
K16318	blue
K18954	blue
K01904	blue
K06378	blue
K07004	blue
C00886	blue
C00131	blue
C06891	blue
K16074	blue
K00058	blue
K03101	blue
K05616	blue
K03315	blue
K08139	blue
K06878	blue
C12023	blue
C06113	blue
K03767	blue
K18674	blue
K00023	blue
K01812	blue
K06926	blue
K15260	blue
K00158	blue
K12615	blue
C00446	blue
C00048	blue
K15379	blue
C04121	blue
K02838	blue
C01888	blue
K16044	blue
K00425	blue
C04556	blue
K12997	blue
K09552	blue
C00760	blue
K01522	blue
C20758	blue
C14463	blue
C00009	blue
K15474	blue
C05791	blue
K07042	blue
K02497	blue
K03711	blue
K18306	blue
K03648	blue
K03651	blue
K02479	blue
K11787	blue
K05850	blue
C04352	blue
K03218	blue
K03214	blue
C01182	blue
K08326	blue
C21808	blue
K14383	blue
K00606	blue
K00884	blue
K10715	blue
K08168	blue
K18059	blue
K10036	blue
K06076	blue
K08582	blue
K23424	blue
C21614	blue
C00406	blue
C16663	blue
K00824	blue
K10442	blue
K10213	blue
K21031	blue
C05821	blue
K03624	blue
K02556	blue
K18577	blue
C21284	blue
K07714	blue
K19224	blue
C01962	blue
C01255	blue
C22053	blue
K19997	blue
K01284	blue
K19302	blue
C01236	blue
K00853	blue
K00564	blue
K01736	blue
C20642	blue
K21064	blue
K16618	blue
K05837	blue
C02737	blue
K16092	blue
K01937	blue
K15778	blue
K21498	blue
C05577	blue
K14158	blue
K00261	blue
K07278	blue
K07214	blue
K02886	blue
K21563	blue
K02136	blue
C01528	blue
K11394	blue
K03780	blue
K03640	blue
C15977	blue
C06112	blue
K06113	blue
K02969	blue
K00034	blue
K01713	blue
K02565	blue
K10206	blue
K06181	blue
K03595	blue
K02440	blue
K01462	blue
K16090	blue
K02612	blue
K14385	blue
K02429	blue
K09807	blue
K01835	blue
K03091	blue
K12600	blue
C00233	blue
K02973	blue
K01092	blue
K07651	blue
K16021	blue
C01467	blue
C00413	blue
K06950	blue
K09811	blue
C00112	blue
C00153	blue
K01373	blue
K01766	blue
K09698	blue
K00812	blue
K14696	blue
K14326	blue
K02066	blue
K08153	blue
K11412	blue
K06139	blue
C01077	blue
C17022	blue
K07033	blue
K03289	blue
C01279	blue
C01847	blue
K00950	blue
C04691	blue
C01230	blue
K19036	blue
K07052	blue
K11753	blue
C05546	blue
C00041	blue
K03602	blue
K03426	blue
C00075	blue
K03784	blue
C00156	blue
C04494	blue
K15507	blue
K01678	blue
K14390	blue
K23330	blue
K13695	blue
K11443	blue
K08955	blue
K02010	blue
C06210	blue
K12503	blue
K07560	blue
C00003	blue
K11688	blue
K02864	blue
K12700	blue
K07175	blue
K10781	blue
C21335	blue
C01222	blue
K14487	blue
C00035	blue
G00002	blue
C00063	blue
K14660	blue
K05989	blue
K11749	blue
K14208	blue
K12351	blue
K01050	blue
K03294	blue
C05402	blue
K08082	blue
K23351	blue
K00895	blue
K02077	blue
C00224	blue
C00118	blue
C06019	blue
K03169	blue
K00053	blue
K02876	blue
C02222	blue
K01208	blue
C06215	blue
K01119	blue
K08256	blue
C20959	blue
K03501	blue
K10743	blue
C02934	blue
C22161	blue
K03526	blue
K08191	blue
K15332	blue
K10978	blue
G13043	blue
K01923	blue
K09484	blue
K01196	blue
C00101	blue
C01355	blue
C20641	blue
K02124	blue
C00330	blue
K13007	blue
K21218	blue
K00652	blue
C05938	blue
K14659	blue
K21557	blue
K02485	blue
K07050	blue
K03469	blue
K18303	blue
C00039	blue
K18454	blue
K02154	blue
C00441	blue
C03150	blue
K07104	blue
K00790	blue
K11604	blue
C17569	blue
K07642	blue
K00625	blue
C06508	blue
C16634	blue
K09820	blue
C00051	blue
K01228	blue
K01951	blue
C01260	blue
K05830	blue
K00289	blue
K13683	blue
K18901	blue
K15780	blue
K16150	blue
K00235	blue
K02499	blue
C06010	blue
C16220	blue
K19824	blue
K10819	blue
K01264	blue
K02067	blue
K21007	blue
K03386	blue
K02834	blue
K05939	blue
K02133	blue
C03862	blue
C00295	blue
K22409	blue
K21136	blue
K03312	blue
K18209	blue
K01925	blue
K06879	blue
C20236	blue
C09816	blue
K15888	blue
K07566	blue
K07720	blue
K02074	blue
K02195	blue
K01677	blue
K12055	blue
C18321	blue
K03429	blue
K23086	blue
K07031	blue
K23589	blue
K14692	blue
K04874	blue
K01811	blue
C01079	blue
K07032	blue
K23750	blue
C05758	blue
K06158	blue
K02823	blue
K06192	blue
K02996	blue
K00014	blue
K00176	blue
K03319	blue
K07704	blue
K19736	blue
C18055	blue
C05841	blue
K00287	blue
K19349	blue
K05016	blue
K12317	blue
K23842	blue
C02362	blue
K11413	blue
K01266	blue
K05617	blue
K08675	blue
C00155	blue
K02619	blue
K11547	blue
C20762	blue
K05882	blue
G13107	blue
C02430	blue
K03768	blue
K15876	blue
K08372	blue
K14445	blue
K11912	blue
K03550	blue
K01554	blue
C19647	blue
K06179	blue
K01497	blue
K04887	blue
K20257	blue
K13313	blue
C18046	blue
K00826	blue
C03785	blue
K02169	blue
K17224	blue
C00021	blue
C00140	blue
K05520	blue
C05946	blue
C03313	blue
K02356	blue
K03609	blue
C00040	blue
K03718	blue
K07386	blue
C01101	blue
K00162	blue
C00007	blue
K03687	blue
K03165	blue
C00129	blue
C03723	blue
K23244	blue
K14108	blue
C05312	blue
C06006	blue
C01725	blue
K02355	blue
C02953	blue
C01302	blue
K18590	blue
K01613	blue
K10678	blue
K10756	blue
K02362	blue
C00684	blue
C00120	blue
K07304	blue
K01848	blue
K04875	blue
K04084	blue
K08302	blue
C00789	blue
C11520	blue
K00059	blue
K11778	blue
K13853	blue
K09696	blue
K17725	blue
K21784	blue
K07058	blue
K01372	blue
K03719	blue
C04332	blue
K02557	blue
K10754	blue
C00122	blue
C03512	blue
K00981	blue
K06890	blue
G00171	blue
K07712	blue
K03852	blue
G13060	blue
K04774	blue
K00845	blue
C03722	blue
K01783	blue
K12454	blue
K14808	blue
K07067	blue
C01346	blue
K04034	blue
C06613	blue
K03977	blue
K08306	blue
K01737	blue
C05533	blue
K01881	blue
K00263	blue
C17211	blue
C03125	blue
G13119	blue
K00525	blue
K01371	blue
C05539	blue
C11811	blue
C19881	blue
K00241	blue
K03498	blue
K03641	blue
K03210	blue
K15261	blue
K07657	blue
K04715	blue
C00323	blue
C04039	blue
C04877	blue
K03696	blue
K03535	blue
K00932	blue
K01947	blue
K16555	blue
K04069	blue
C00005	blue
K06177	blue
K12450	blue
K02030	blue
K00666	blue
K04772	blue
K19694	blue
K05886	blue
K10898	blue
K15033	blue
K03164	blue
K09749	blue
K23107	blue
K03763	blue
K07481	blue
K02198	blue
K15920	blue
G10621	blue
K21910	blue
K01875	blue
K15526	blue
C00630	blue
K07768	blue
C01825	blue
K16196	blue
C00580	blue
C01118	blue
K02952	blue
K03710	blue
K06140	blue
K10524	blue
G00011	blue
K01095	blue
K00091	blue
K02080	blue
K13799	blue
K21109	blue
G13038	blue
C15813	blue
K01627	blue
K22026	blue
K10742	blue
K20011	blue
C00424	blue
C00145	blue
K14160	blue
K02117	blue
C21898	blue
K19783	blue
K03813	blue
K04656	blue
K06132	blue
K07540	blue
K07978	blue
K07465	blue
C00055	blue
C00302	blue
K00323	blue
K20201	blue
C00221	blue
K02851	blue
C15811	blue
K03087	blue
K04744	blue
K00156	blue
K03587	blue
K01652	blue
K21055	blue
K11690	blue
C00054	blue
K00941	blue
K17995	blue
K15329	blue
K00610	blue
K00346	blue
C05336	blue
K00177	blue
C00138	blue
K02837	blue
K17723	blue
C11827	blue
C04153	blue
K03108	blue
K02839	blue
K03388	blue
C00083	blue
K00351	blue
K03270	blue
C00147	blue
K01270	blue
C00322	blue
C02659	blue
K01250	blue
