	0
K06179	blue
K17723	blue
K02906	blue
K23864	blue
K03431	blue
K19427	blue
K03503	blue
C00079	blue
K11808	blue
K18809	blue
K14213	blue
C05688	blue
K00066	blue
K15726	blue
C06424	blue
C02946	blue
C20796	blue
K10117	blue
K15268	blue
K07192	blue
K15770	blue
K00754	blue
K22176	blue
K00841	blue
K18358	blue
K10036	blue
C01260	blue
C20416	blue
C12448	blue
C00461	blue
K09494	blue
K05365	blue
K05810	blue
K03664	blue
C00655	blue
K19853	blue
K06023	blue
K03800	blue
C04598	blue
K16881	blue
K02956	blue
K00094	blue
K09552	blue
K09813	blue
K18856	blue
C01117	blue
K01804	blue
C11477	blue
C17212	blue
C21284	blue
K07333	blue
K13038	blue
K21613	blue
C15980	blue
C12203	blue
K03216	blue
K07126	blue
C00095	blue
C21674	blue
C05753	blue
K14051	blue
C20566	blue
C03263	blue
C03692	blue
C04186	blue
C01978	blue
K20680	blue
K00689	blue
K02047	blue
K03168	blue
K07407	blue
K17215	blue
C19852	blue
K22405	blue
K00658	blue
K02006	blue
K08735	blue
K22949	blue
K02303	blue
K16902	blue
K01734	blue
K03979	blue
C00246	blue
K07067	blue
K10829	blue
C00116	blue
K00046	blue
K06973	blue
C00685	blue
K02981	blue
K19876	blue
K03767	blue
K01208	blue
K11959	blue
K22297	blue
K02485	blue
C17691	blue
K01965	blue
C22159	blue
K10678	blue
K03737	blue
K00008	blue
K07644	blue
K23253	blue
C16596	blue
K01520	blue
K04307	blue
K04021	blue
C05263	blue
C02051	blue
K02404	blue
C06102	blue
K03550	blue
K19109	blue
K07010	blue
C04573	blue
K21567	blue
K03484	blue
K02074	blue
K10679	blue
K00868	blue
C06547	blue
K02502	blue
K07529	blue
C00475	blue
C00100	blue
K21562	blue
K02117	blue
K01818	blue
K02282	blue
C01419	blue
K01959	blue
K03529	blue
K09153	blue
C00105	blue
C01190	blue
K02488	blue
C16633	blue
K00609	blue
K00853	blue
K15634	blue
C21877	blue
K01779	blue
K02687	blue
K03309	blue
K14118	blue
C02745	blue
C05300	blue
C00161	blue
C04419	blue
K18959	blue
K00805	blue
K11102	blue
C00693	blue
C03028	blue
K15355	blue
K18416	blue
K03818	blue
K05038	blue
K02124	blue
K06942	blue
K18888	blue
K04720	blue
K22544	blue
C12481	blue
C01179	blue
K14655	blue
K01366	blue
C20949	blue
K00817	blue
K01537	blue
K01855	blue
K02838	blue
K16927	blue
K12448	blue
C00944	blue
K18890	blue
K03553	blue
K18332	blue
K02101	blue
K06951	blue
K06189	blue
K17997	blue
C01180	blue
K15904	blue
K07315	blue
C16392	blue
K03602	blue
K18700	blue
K02868	blue
K17879	blue
K03703	blue
C00512	blue
K18687	blue
C20951	blue
K06181	blue
K02589	blue
K14673	blue
K22299	blue
C03862	blue
C00344	blue
K00615	blue
K11752	blue
K01926	blue
K00532	blue
K00013	blue
K00156	blue
K06213	blue
K09014	blue
K10441	blue
K02879	blue
K00944	blue
K15780	blue
C18244	blue
K03065	blue
K22468	blue
K00123	blue
K03088	blue
K21171	blue
K01954	blue
K23025	blue
K22130	blue
K21936	blue
K02120	blue
K01876	blue
K04757	blue
K07991	blue
K12998	blue
K23511	blue
C00221	blue
C00460	blue
C01467	blue
C04554	blue
C21207	blue
K01766	blue
K01389	blue
K04801	blue
