	0
K16643	blue
K03469	blue
C01356	blue
G10545	blue
K03723	blue
C05259	blue
K00821	blue
K09884	blue
C21174	blue
C00134	blue
K03698	blue
K04485	blue
K01493	blue
K21571	blue
K22051	blue
K01361	blue
C00132	blue
C02637	blue
C03406	blue
K02874	blue
C00679	blue
K05643	blue
C12108	blue
K02946	blue
C04112	blue
C16635	blue
K00295	blue
K11754	blue
C00630	blue
K17224	blue
K17837	blue
K02468	blue
C01083	blue
K14986	blue
C04506	blue
K12063	blue
K01663	blue
K07062	blue
K00058	blue
K03169	blue
C00125	blue
K14393	blue
K02217	blue
K20974	blue
C19823	blue
K03570	blue
C20251	blue
K09864	blue
K01285	blue
K08364	blue
K07712	blue
C04574	blue
K08680	blue
K03852	blue
K03490	blue
C11453	blue
K05038	blue
C00559	blue
K17609	blue
K00014	blue
K07017	blue
C16834	blue
K17998	blue
C00695	blue
K16787	blue
C18304	blue
K01905	blue
K12448	blue
C16589	blue
C01260	blue
C00198	blue
C16156	blue
K11537	blue
K07651	blue
K10524	blue
K16246	blue
K14689	blue
K06140	blue
C02051	blue
K11749	blue
K02535	blue
K16843	blue
K00118	blue
C16220	blue
C00334	blue
K01154	blue
K01887	blue
K01955	blue
K15895	blue
K08659	blue
K19329	blue
C00741	blue
C00164	blue
C00965	blue
K01894	blue
K00172	blue
C01152	blue
K02342	blue
C00002	blue
K00207	blue
K14688	blue
K17989	blue
K15527	blue
C04728	blue
K09826	blue
C00213	blue
K23786	blue
K00560	blue
K15509	blue
K06956	blue
C01233	blue
K20945	blue
K22044	blue
K07652	blue
C01219	blue
K02005	blue
K07806	blue
C00084	blue
K02134	blue
C05923	blue
K03206	blue
K00721	blue
K01070	blue
K03651	blue
K22982	blue
K00703	blue
C20651	blue
C07446	blue
K16257	blue
K02952	blue
K02110	blue
K07052	blue
K03750	blue
K00818	blue
C03402	blue
K20509	blue
K03629	blue
K03832	blue
K10943	blue
K05604	blue
C00221	blue
C05753	blue
K03473	blue
K08587	blue
K11106	blue
K15778	blue
C04483	blue
K00783	blue
C21880	blue
C05703	blue
K11963	blue
K17964	blue
C05116	blue
K06204	blue
C03512	blue
K03283	blue
C02988	blue
K02028	blue
C01762	blue
C04734	blue
K11392	blue
K18353	blue
K00134	blue
K07704	blue
K05304	blue
K12267	blue
K15888	blue
K11417	blue
K13007	blue
K03546	blue
K13043	blue
K03183	blue
C00071	blue
C00199	blue
K06133	blue
K10105	blue
K07144	blue
K09951	blue
K08740	blue
K05926	blue
K23778	blue
C00138	blue
C18309	blue
K01153	blue
K03594	blue
K12264	blue
K00631	blue
K15832	blue
K17105	blue
K19166	blue
C00438	blue
C00083	blue
K07259	blue
C01941	blue
C00231	blue
K02518	blue
K22102	blue
C21069	blue
K17713	blue
K18676	blue
K07533	blue
K15913	blue
K02472	blue
C00027	blue
K11541	blue
K02169	blue
K08372	blue
K02313	blue
K19220	blue
K05539	blue
C00544	blue
K08679	blue
K00337	blue
C03082	blue
C06054	blue
K15836	blue
C00362	blue
C11831	blue
K05850	blue
K01439	blue
K14660	blue
K02372	blue
K02594	blue
K12963	blue
K22549	blue
K00548	blue
K03327	blue
K06957	blue
C20877	blue
K01505	blue
C16243	blue
C18294	blue
K14155	blue
C20451	blue
K09473	blue
K07816	blue
K04757	blue
C01172	blue
K00991	blue
K07130	blue
K03628	blue
K22305	blue
K18303	blue
G10553	blue
K06238	blue
K01138	blue
K20738	blue
K18139	blue
K00057	blue
K05606	blue
K01392	blue
K22103	blue
C21462	blue
C19692	blue
K07175	blue
K01693	blue
G10920	blue
K09510	blue
C02411	blue
C00145	blue
K13658	blue
C00144	blue
K00965	blue
K03787	blue
K09591	blue
K01273	blue
K00789	blue
K01745	blue
C00984	blue
K07358	blue
K03444	blue
K23776	blue
K06382	blue
K19710	blue
K05361	blue
C03373	blue
C22157	blue
K03212	blue
K04760	blue
K21210	blue
K01756	blue
C11448	blue
K01804	blue
K11787	blue
K19633	blue
K08968	blue
K03942	blue
K09759	blue
K09584	blue
K00570	blue
K13821	blue
C00166	blue
K02945	blue
C05744	blue
K04567	blue
K02935	blue
K03065	blue
K19824	blue
C18237	blue
K10705	blue
K01954	blue
K03110	blue
K08484	blue
K02933	blue
K00170	blue
C20083	blue
C01179	blue
C01165	blue
K00611	blue
K01856	blue
K08310	blue
K10858	blue
K00004	blue
K03817	blue
C00446	blue
K04749	blue
K00240	blue
K03210	blue
C17232	blue
K03070	blue
C03459	blue
C11435	blue
K21189	blue
K06973	blue
C01847	blue
K01518	blue
C00233	blue
K00161	blue
K08138	blue
C02171	blue
K14163	blue
C04132	blue
K11912	blue
K06441	blue
K13543	blue
C03313	blue
C00060	blue
K11717	blue
K01893	blue
C14819	blue
C01352	blue
K03525	blue
K03686	blue
K01412	blue
K02484	blue
C01268	blue
K00826	blue
K00693	blue
K04090	blue
K07029	blue
C00555	blue
K15507	blue
C03125	blue
C05528	blue
K19425	blue
K18540	blue
K13998	blue
K15633	blue
C21335	blue
C05759	blue
C00169	blue
C06503	blue
K02662	blue
K12141	blue
K14444	blue
K20885	blue
K21417	blue
K07713	blue
C00099	blue
K13487	blue
K16092	blue
C01163	blue
K00064	blue
K18650	blue
C00490	blue
K01930	blue
K02343	blue
K02986	blue
K03076	blue
C16242	blue
K18533	blue
C00234	blue
K04715	blue
K02230	blue
K13009	blue
K01692	blue
K08301	blue
K17362	blue
K00007	blue
K02333	blue
K06091	blue
K11004	blue
K09552	blue
K00970	blue
K11183	blue
C03150	blue
K00647	blue
C00483	blue
C05819	blue
C00261	blue
C00887	blue
C02553	blue
K00025	blue
C05751	blue
G00108	blue
K13420	blue
K01069	blue
C00256	blue
K06167	blue
K04013	blue
K11102	blue
K06013	blue
K06175	blue
K10353	blue
K21168	blue
K02114	blue
K22390	blue
C05938	blue
K22115	blue
C20507	blue
K03630	blue
K04744	blue
K00971	blue
K08669	blue
K18076	blue
K21703	blue
K06044	blue
K05515	blue
K01262	blue
K01677	blue
K00414	blue
C00116	blue
C12455	blue
K00156	blue
K11928	blue
K00040	blue
K03021	blue
C03012	blue
C21609	blue
