	0
K07096	blue
K00612	blue
K00564	blue
K01784	blue
K02622	blue
K03852	blue
K16844	blue
C02992	blue
C00417	blue
C00145	blue
K02028	blue
K02888	blue
K04044	blue
K06218	blue
K05946	blue
C00409	blue
K21478	blue
C02565	blue
K00929	blue
K07670	blue
C01324	blue
C04895	blue
C00264	blue
K00588	blue
K11626	blue
K02824	blue
K06147	blue
K06212	blue
C04896	blue
K00522	blue
C00924	blue
K14708	blue
G10555	blue
C16612	blue
K02881	blue
C02872	blue
K06994	blue
K03606	blue
K09748	blue
K01783	blue
K15269	blue
K03170	blue
C02876	blue
C02170	blue
C04002	blue
K21801	blue
C00064	blue
C00147	blue
C05198	blue
K02047	blue
K19736	blue
C20240	blue
K07546	blue
K03596	blue
K01997	blue
K09903	blue
K07082	blue
K02051	blue
C02713	blue
K00265	blue
C04039	blue
K01448	blue
K15583	blue
C01762	blue
K07246	blue
K01854	blue
K07326	blue
K07306	blue
K07552	blue
K11473	blue
K02005	blue
K08691	blue
K14387	blue
K02867	blue
K19975	blue
C00438	blue
K05298	blue
K11258	blue
K13935	blue
C21851	blue
K08264	blue
K12999	blue
K00278	blue
K08196	blue
K04799	blue
K07449	blue
K19171	blue
K07278	blue
C16588	blue
C01228	blue
K09815	blue
K07019	blue
K11703	blue
K21749	blue
C00169	blue
K00052	blue
K03977	blue
K08171	blue
C20679	blue
C00259	blue
K07040	blue
K08737	blue
C00327	blue
K05356	blue
K08326	blue
K03825	blue
K03806	blue
C15811	blue
K09759	blue
K11440	blue
K00235	blue
K21788	blue
C00010	blue
K19597	blue
K03566	blue
K01937	blue
K02000	blue
C05699	blue
K00806	blue
K03629	blue
K21055	blue
K01760	blue
C02412	blue
K00427	blue
K06978	blue
K13815	blue
K16567	blue
K00088	blue
C02642	blue
C05753	blue
K03437	blue
K02965	blue
K03631	blue
C00199	blue
K11892	blue
K06927	blue
K01954	blue
K07642	blue
K21993	blue
K10037	blue
C02631	blue
C05925	blue
C00255	blue
K22481	blue
K21169	blue
K01714	blue
K13402	blue
K14159	blue
K06960	blue
K03924	blue
K05011	blue
C17212	blue
C17228	blue
K13984	blue
C06054	blue
K03696	blue
C03406	blue
K00932	blue
C00615	blue
K10705	blue
K01524	blue
C08313	blue
K02114	blue
K18220	blue
K07862	blue
K18691	blue
C00105	blue
K18681	blue
C03273	blue
K14640	blue
K00790	blue
K11475	blue
K01436	blue
K21218	blue
K06675	blue
C19878	blue
K01440	blue
K08187	blue
K14681	blue
C02047	blue
K16105	blue
K02445	blue
K00372	blue
K16092	blue
K03824	blue
K02563	blue
K15496	blue
K17723	blue
K15017	blue
C05345	blue
K12370	blue
K03278	blue
K23676	blue
C05577	blue
K02500	blue
