	0
C00088	blue
K11216	blue
C20239	blue
C00054	blue
C12355	blue
K17195	blue
K06286	blue
K00057	blue
C00760	blue
K02963	blue
C20738	blue
C00526	blue
C00546	blue
K03671	blue
K04767	blue
K04759	blue
K01819	blue
K07473	blue
K10754	blue
K07154	blue
K02483	blue
K07700	blue
C02188	blue
K18590	blue
C18796	blue
K15545	blue
C15647	blue
C00134	blue
K05629	blue
K07041	blue
K00638	blue
K03531	blue
K19796	blue
C00861	blue
C00363	blue
K11912	blue
K09015	blue
C00124	blue
K09884	blue
K03530	blue
K02313	blue
C01345	blue
K06878	blue
K07012	blue
K12294	blue
K00694	blue
C00860	blue
C00021	blue
K01958	blue
K03705	blue
K06103	blue
C00064	blue
K01007	blue
K08326	blue
C06365	blue
K18847	blue
K21071	blue
K18220	blue
K01193	blue
K08482	blue
C00435	blue
C03539	blue
C19745	blue
K07465	blue
K11080	blue
C00077	blue
K02904	blue
K03424	blue
K00975	blue
K03650	blue
K00805	blue
K09014	blue
K07089	blue
K10760	blue
K02952	blue
K02621	blue
C19765	blue
C19080	blue
K06939	blue
C02659	blue
K17103	blue
C04257	blue
K03240	blue
K13923	blue
K03604	blue
C00035	blue
K16345	blue
K21563	blue
K05349	blue
K03484	blue
K14640	blue
K14441	blue
C02474	blue
C01978	blue
C00059	blue
K02988	blue
C00214	blue
K00347	blue
C15976	blue
C01528	blue
K10190	blue
K00655	blue
C00559	blue
K19002	blue
C00092	blue
K14205	blue
K21030	blue
K07297	blue
C00160	blue
C03294	blue
K02136	blue
C21310	blue
K22222	blue
K00760	blue
K18889	blue
K18672	blue
C00333	blue
C02047	blue
K13798	blue
K07457	blue
K05685	blue
K23779	blue
K03553	blue
C00327	blue
C00032	blue
C20251	blue
K09016	blue
K02495	blue
C00380	blue
C02483	blue
C02415	blue
C03287	blue
K16785	blue
K14537	blue
C01205	blue
C15883	blue
C00387	blue
C16255	blue
C12356	blue
K01222	blue
K02103	blue
K06153	blue
K08640	blue
K05592	blue
K00885	blue
C00013	blue
K11170	blue
C04088	blue
K08235	blue
K15173	blue
K21417	blue
K10235	blue
K09812	blue
K03218	blue
C02686	blue
K01829	blue
K22292	blue
K15738	blue
C02323	blue
K07775	blue
K20344	blue
C21879	blue
K11070	blue
K18967	blue
K15331	blue
K10118	blue
K13522	blue
K08591	blue
K02970	blue
K03471	blue
K03472	blue
K01426	blue
K01734	blue
K02111	blue
K09698	blue
K02940	blue
K07098	blue
C00721	blue
K09882	blue
K00854	blue
K03148	blue
K19329	blue
K18707	blue
K07755	blue
C00139	blue
K19181	blue
K03699	blue
K11074	blue
K00163	blue
K12524	blue
K06378	blue
K02371	blue
C00114	blue
C12366	blue
K00561	blue
C00137	blue
K02863	blue
K11175	blue
C02992	blue
K02109	blue
K02854	blue
K02342	blue
K07584	blue
K04760	blue
C08734	blue
K13069	blue
C05430	blue
K06132	blue
K07406	blue
C00117	blue
K00688	blue
K03010	blue
K19697	blue
C03516	blue
C00681	blue
C01825	blue
C00179	blue
C21767	blue
K01271	blue
K22904	blue
C00350	blue
K03651	blue
K11131	blue
C11435	blue
K22108	blue
K07587	blue
K01270	blue
K00939	blue
K09787	blue
K10562	blue
C00025	blue
C00058	blue
K03438	blue
K05813	blue
K02960	blue
K15024	blue
K09470	blue
K16783	blue
K15538	blue
C00063	blue
K01081	blue
K07459	blue
K23864	blue
K02884	blue
C04376	blue
C00299	blue
K09976	blue
K16639	blue
K03685	blue
C00255	blue
K21636	blue
K00099	blue
K12264	blue
K13019	blue
K00556	blue
K03101	blue
K01487	blue
K21936	blue
K22949	blue
K02986	blue
K01466	blue
K11325	blue
K02469	blue
K02946	blue
K00349	blue
K00800	blue
K04022	blue
C00060	blue
K02837	blue
K11136	blue
K06019	blue
K20956	blue
K03569	blue
C14151	blue
C05922	blue
K13131	blue
C15975	blue
K10193	blue
C02412	blue
C00106	blue
K00850	blue
K02519	blue
K06861	blue
K22230	blue
C19787	blue
K01689	blue
C03892	blue
K12410	blue
K03664	blue
K08744	blue
K06944	blue
C00039	blue
C00147	blue
K21594	blue
K15599	blue
K16200	blue
C05760	blue
C05199	blue
K22601	blue
C16424	blue
K10524	blue
C00071	blue
K03111	blue
K19309	blue
C20641	blue
C05754	blue
C02097	blue
K03524	blue
C06481	blue
K03687	blue
C04112	blue
K11392	blue
K02871	blue
K02341	blue
C00208	blue
K03088	blue
C15811	blue
K08153	blue
K21064	blue
K00600	blue
K10122	blue
K07315	blue
K15266	blue
K17817	blue
K22503	blue
C03291	blue
K03551	blue
C04713	blue
K03498	blue
K11640	blue
K03502	blue
K14188	blue
C16155	blue
K20965	blue
K07757	blue
K02824	blue
K04479	blue
K22132	blue
K01783	blue
K02598	blue
K02968	blue
K21019	blue
K03332	blue
C00459	blue
C11907	blue
K12574	blue
K03703	blue
K01619	blue
K22617	blue
K01990	blue
K02132	blue
K03365	blue
K22804	blue
C02714	blue
K01119	blue
K04066	blue
K07568	blue
K06943	blue
K07027	blue
C15603	blue
K02855	blue
K11783	blue
K06218	blue
K20862	blue
K19828	blue
C00022	blue
K02237	blue
K06441	blue
C00864	blue
C01346	blue
K00867	blue
K20419	blue
K20959	blue
K13075	blue
K15986	blue
K22299	blue
C16399	blue
C01170	blue
C00122	blue
C11453	blue
K02894	blue
K03688	blue
K18890	blue
K02357	blue
K00700	blue
K00150	blue
K01507	blue
K10756	blue
C00084	blue
C01179	blue
K02528	blue
K05298	blue
C00073	blue
C00047	blue
C19647	blue
K01491	blue
C00645	blue
K00769	blue
K11144	blue
K02355	blue
C00475	blue
K16559	blue
C15979	blue
K03282	blue
C00536	blue
K01916	blue
C00152	blue
C00180	blue
K09697	blue
K03110	blue
K15407	blue
K02476	blue
C01185	blue
C05235	blue
K03601	blue
K04775	blue
C00842	blue
K06959	blue
C00705	blue
K01894	blue
K09835	blue
C00794	blue
K07175	blue
K03526	blue
K18429	blue
C15699	blue
C15857	blue
C05312	blue
K02435	blue
K16786	blue
K06871	blue
K05788	blue
C20958	blue
K22901	blue
K03404	blue
K23511	blue
K01573	blue
C00364	blue
K08974	blue
K00375	blue
C05432	blue
K06942	blue
K03980	blue
K09747	blue
K01876	blue
C03028	blue
K01214	blue
C00184	blue
K07340	blue
K22227	blue
K06185	blue
K07033	blue
K02959	blue
K01514	blue
K06191	blue
K13993	blue
K01885	blue
C00042	blue
K02916	blue
K01243	blue
K01855	blue
K11411	blue
C00111	blue
C00802	blue
C07305	blue
K22115	blue
C04317	blue
K00880	blue
K07720	blue
K22223	blue
C00169	blue
C03127	blue
K16795	blue
K16898	blue
K02337	blue
K09867	blue
C06613	blue
K01092	blue
K00970	blue
C05345	blue
C00009	blue
K00944	blue
K06973	blue
C01228	blue
K15441	blue
K00459	blue
K06409	blue
C00112	blue
K01495	blue
K02998	blue
C19078	blue
K02108	blue
C00454	blue
K00557	blue
C15867	blue
K02791	blue
C20758	blue
K09504	blue
C21284	blue
K03742	blue
C04432	blue
K03070	blue
K03575	blue
K03509	blue
C11829	blue
K03046	blue
K00784	blue
K13059	blue
K06188	blue
K05802	blue
C12739	blue
C21621	blue
K19340	blue
C00197	blue
K01947	blue
K07040	blue
K00078	blue
K01420	blue
K03523	blue
K17246	blue
K02346	blue
C08362	blue
K17425	blue
K19817	blue
K15856	blue
C00993	blue
K06921	blue
K12251	blue
K19824	blue
C05402	blue
C04216	blue
K15037	blue
K09516	blue
K13894	blue
K07037	blue
K17884	blue
K07726	blue
K01875	blue
K07979	blue
K02982	blue
K03215	blue
K18416	blue
K18447	blue
K05785	blue
K01506	blue
K04477	blue
K11153	blue
K17830	blue
K00925	blue
C04479	blue
C00162	blue
K01869	blue
C00881	blue
K19955	blue
K12448	blue
K12152	blue
K22893	blue
C00267	blue
K13950	blue
K09759	blue
C05382	blue
C00294	blue
C05691	blue
K14661	blue
K02868	blue
K16153	blue
K18918	blue
K01006	blue
K02965	blue
C00266	blue
K05297	blue
K15921	blue
K22340	blue
C00365	blue
K01955	blue
K04486	blue
C00954	blue
K15507	blue
K03722	blue
C02984	blue
C02987	blue
C02191	blue
K02006	blue
K09762	blue
K07506	blue
C15978	blue
C00399	blue
K13403	blue
K07705	blue
K22390	blue
C00093	blue
C00262	blue
K05815	blue
K20846	blue
K05541	blue
K07496	blue
C19673	blue
K10956	blue
K01212	blue
C02282	blue
K06168	blue
C03692	blue
K18969	blue
K10914	blue
