	0
K02985	blue
C04242	blue
C00862	blue
K00443	blue
C20810	blue
K03437	blue
K12615	blue
C00636	blue
K00177	blue
K00179	blue
K00620	blue
C01213	blue
K21636	blue
K07320	blue
K13017	blue
K09690	blue
C09332	blue
K00239	blue
K03699	blue
K07291	blue
C04638	blue
C06010	blue
K22176	blue
K01431	blue
K01719	blue
K05359	blue
K02969	blue
C20239	blue
K11927	blue
K08741	blue
C05841	blue
K20449	blue
K06158	blue
K17835	blue
C06056	blue
K03058	blue
C06473	blue
K14110	blue
C00039	blue
K16474	blue
C16619	blue
K00872	blue
K13522	blue
K00608	blue
K02191	blue
K04096	blue
K04562	blue
K10747	blue
K03420	blue
K03055	blue
K03818	blue
K17462	blue
C05727	blue
K07590	blue
C00334	blue
K13525	blue
C00627	blue
K02938	blue
K00343	blue
K16119	blue
K20282	blue
K16784	blue
K03790	blue
C16153	blue
K02107	blue
K18482	blue
K03592	blue
K02886	blue
K02424	blue
C01166	blue
C00118	blue
K11778	blue
K14067	blue
C00455	blue
K11741	blue
C21107	blue
K07494	blue
K14108	blue
K03013	blue
K22311	blue
K01641	blue
K07757	blue
K12988	blue
K19427	blue
K00721	blue
C06507	blue
C02565	blue
C00363	blue
K03181	blue
K18287	blue
K05571	blue
C00166	blue
K00533	blue
K11749	blue
C20503	blue
C00095	blue
K00889	blue
K00052	blue
K02932	blue
K03076	blue
C19609	blue
C21504	blue
K01523	blue
K18530	blue
K02486	blue
K22044	blue
C00328	blue
K15396	blue
C00390	blue
C00763	blue
C04092	blue
C05682	blue
K01008	blue
K01892	blue
K13542	blue
K10199	blue
C21153	blue
C01641	blue
C02504	blue
K02967	blue
K07587	blue
C02839	blue
G13118	blue
K07179	blue
K02302	blue
K15895	blue
K01170	blue
C06397	blue
K00383	blue
C00441	blue
K10390	blue
C00053	blue
K23385	blue
C00531	blue
K07176	blue
C00170	blue
C20416	blue
C18153	blue
K18928	blue
K13020	blue
C04644	blue
K01151	blue
K01089	blue
K02182	blue
K03537	blue
K09647	blue
K15832	blue
C00244	blue
K06987	blue
K18934	blue
C21508	blue
C03231	blue
C00190	blue
K07333	blue
K07571	blue
C00266	blue
K05889	blue
K00123	blue
C18061	blue
K19178	blue
K08483	blue
K14682	blue
C01134	blue
K07576	blue
C18152	blue
C00229	blue
K17830	blue
K02501	blue
C03150	blue
C06113	blue
K01261	blue
K03539	blue
C14120	blue
K15827	blue
K15835	blue
K05541	blue
K04488	blue
K14571	blue
K02242	blue
K03177	blue
K01817	blue
K11752	blue
K17759	blue
K23683	blue
C01107	blue
C16565	blue
K00066	blue
K05929	blue
K22222	blue
K19869	blue
K01588	blue
K15667	blue
K22227	blue
K12574	blue
K02325	blue
C06399	blue
K03785	blue
K01607	blue
C20831	blue
K02500	blue
K22099	blue
K22162	blue
K10918	blue
K12234	blue
K12743	blue
K01598	blue
C00014	blue
K05555	blue
K07398	blue
K14123	blue
K02865	blue
K03272	blue
C04349	blue
C00206	blue
C03112	blue
K00096	blue
C19673	blue
K06378	blue
K00868	blue
K14107	blue
K03308	blue
K15888	blue
C00463	blue
K01952	blue
C04376	blue
K03011	blue
K07570	blue
C06625	blue
C00214	blue
C21512	blue
C00120	blue
K01092	blue
K03742	blue
C00789	blue
K01649	blue
K13541	blue
K06869	blue
C00203	blue
K06943	blue
C04851	blue
C20278	blue
K00639	blue
C20419	blue
K17760	blue
C20277	blue
K01893	blue
K14564	blue
K02355	blue
K02877	blue
K07099	blue
C05306	blue
G13094	blue
K07442	blue
K01493	blue
K03657	blue
K03980	blue
C16389	blue
K07031	blue
K06072	blue
K09121	blue
K14244	blue
K03470	blue
K11808	blue
C07305	blue
K06981	blue
K20283	blue
C16242	blue
C15650	blue
C01172	blue
K01766	blue
C00512	blue
C01108	blue
K16180	blue
K01494	blue
K03234	blue
K03243	blue
C04153	blue
C20446	blue
C21615	blue
K07055	blue
K20681	blue
C03313	blue
C20950	blue
C05307	blue
K02978	blue
C00144	blue
C00179	blue
C05932	blue
C00128	blue
K07095	blue
K21801	blue
C00112	blue
K15740	blue
K17884	blue
K09116	blue
K09808	blue
K19285	blue
K07479	blue
K01845	blue
C00016	blue
K00824	blue
K03789	blue
C05819	blue
C11915	blue
K02147	blue
K13540	blue
K09741	blue
G13108	blue
K03727	blue
K03595	blue
K01953	blue
K01470	blue
C16598	blue
K03547	blue
K02338	blue
K07103	blue
K23264	blue
K03546	blue
K01075	blue
K19418	blue
K03239	blue
C01268	blue
K04070	blue
C20507	blue
C01978	blue
K12255	blue
C03652	blue
K02925	blue
C04882	blue
K22345	blue
C04752	blue
K03609	blue
K22900	blue
K02019	blue
K00763	blue
K14775	blue
C03175	blue
C00261	blue
C17401	blue
K11592	blue
K20609	blue
K03168	blue
K08969	blue
C06196	blue
C05814	blue
K07705	blue
K18890	blue
C00279	blue
C14090	blue
K00794	blue
K13329	blue
K10009	blue
K02867	blue
C00002	blue
C05756	blue
C05698	blue
K18881	blue
K00214	blue
C00684	blue
K14561	blue
K02866	blue
K06662	blue
K09011	blue
K08963	blue
C11907	blue
C00954	blue
K21640	blue
K00012	blue
C04501	blue
G13119	blue
K01442	blue
K02120	blue
K11473	blue
C21667	blue
K05520	blue
K19449	blue
K13735	blue
C00671	blue
K10777	blue
K22481	blue
K09126	blue
K00577	blue
K22149	blue
K09142	blue
K02603	blue
K01012	blue
K00284	blue
C21188	blue
C11545	blue
C04122	blue
K11129	blue
K02910	blue
K22164	blue
C00411	blue
K01265	blue
K02502	blue
K15338	blue
K18908	blue
K07690	blue
K00877	blue
K00973	blue
C04294	blue
K01271	blue
K20971	blue
K18882	blue
C04143	blue
K14652	blue
K00945	blue
K09694	blue
K14118	blue
K03523	blue
K07178	blue
K22480	blue
C00055	blue
K20793	blue
K07574	blue
K06213	blue
K08964	blue
K02122	blue
C01327	blue
C11039	blue
K00789	blue
K18593	blue
K21612	blue
K02523	blue
K02028	blue
C16156	blue
K00121	blue
K01874	blue
K07183	blue
K02945	blue
K01582	blue
K11176	blue
K16238	blue
K10530	blue
K11541	blue
C00582	blue
K11183	blue
C02939	blue
C00232	blue
C05922	blue
C21749	blue
C06672	blue
K20861	blue
K00135	blue
K07213	blue
K00788	blue
C00109	blue
K04477	blue
C03920	blue
K16887	blue
C05744	blue
K01883	blue
K03044	blue
K00641	blue
K01975	blue
K01922	blue
K11936	blue
C00966	blue
K11269	blue
C02637	blue
C00080	blue
C05775	blue
K18853	blue
K03365	blue
K18906	blue
K06877	blue
K00840	blue
K10742	blue
C00387	blue
K21977	blue
C04006	blue
K01560	blue
K04655	blue
K19181	blue
C05898	blue
K03810	blue
K22925	blue
K07503	blue
K18232	blue
C02232	blue
C00341	blue
K03712	blue
K15172	blue
K11136	blue
K00260	blue
K13875	blue
C02642	blue
K02358	blue
K03787	blue
K03809	blue
C21861	blue
K22026	blue
K12995	blue
K15010	blue
K10771	blue
K00633	blue
K06015	blue
K10025	blue
C21510	blue
C15809	blue
K14393	blue
C15699	blue
K00018	blue
K05802	blue
K02874	blue
K01533	blue
C00424	blue
K03744	blue
K07101	blue
K01858	blue
C02992	blue
K13749	blue
C16579	blue
K03330	blue
K11260	blue
K02433	blue
K18959	blue
C00141	blue
K00579	blue
K03394	blue
K07739	blue
K00176	blue
C20567	blue
C11831	blue
C02191	blue
K06619	blue
C11920	blue
C15556	blue
K00015	blue
K15898	blue
K12983	blue
K21701	blue
C16999	blue
C16244	blue
C20451	blue
C12211	blue
K14727	blue
K11130	blue
K00261	blue
K01720	blue
K03828	blue
K09499	blue
C16615	blue
K00172	blue
K06410	blue
K12844	blue
K07462	blue
K15894	blue
K21273	blue
K00578	blue
K04652	blue
K22838	blue
K01466	blue
K07744	blue
K00940	blue
K04482	blue
K08068	blue
K02904	blue
C00253	blue
K02047	blue
K03340	blue
K19817	blue
K09722	blue
K14116	blue
C03871	blue
K11600	blue
K12409	blue
C01302	blue
K01175	blue
K02942	blue
K00549	blue
C03722	blue
K03049	blue
K01778	blue
K01971	blue
K06920	blue
C16470	blue
C21877	blue
K02013	blue
K01873	blue
K18356	blue
C06482	blue
K19036	blue
K23265	blue
K02896	blue
K18652	blue
C11926	blue
C00051	blue
K02885	blue
C00022	blue
C20668	blue
K16253	blue
K00145	blue
K10012	blue
C19802	blue
K05386	blue
K07569	blue
K15511	blue
K00869	blue
C04287	blue
K02322	blue
K19789	blue
C20764	blue
C05345	blue
C05312	blue
C05983	blue
K00174	blue
K16918	blue
C19771	blue
C01267	blue
K01921	blue
K00561	blue
C21663	blue
K14415	blue
K16328	blue
C06547	blue
K05716	blue
C18033	blue
K06382	blue
C00099	blue
K04751	blue
K07134	blue
C11355	blue
K12500	blue
C21651	blue
K23270	blue
C00254	blue
C19692	blue
K03166	blue
C02527	blue
K07144	blue
C03512	blue
C14604	blue
C00439	blue
K11784	blue
K11755	blue
K09140	blue
K03416	blue
K15527	blue
C01146	blue
C00352	blue
C11478	blue
C00685	blue
C20737	blue
C17322	blue
K10622	blue
K22082	blue
K20453	blue
C00944	blue
C04330	blue
C21896	blue
C00343	blue
C04002	blue
C00082	blue
K14842	blue
K06148	blue
C02702	blue
K19337	blue
K15496	blue
C07086	blue
C00459	blue
C05893	blue
C00570	blue
C00135	blue
K04749	blue
K01423	blue
K06176	blue
C02553	blue
K03027	blue
C05840	blue
K01689	blue
K00670	blue
K10743	blue
K02224	blue
K02864	blue
C20964	blue
K00640	blue
C00151	blue
C00094	blue
K07304	blue
C02483	blue
K10846	blue
K18430	blue
C14099	blue
K10708	blue
K01520	blue
K02049	blue
K14574	blue
K15914	blue
K00319	blue
K02015	blue
K14392	blue
C00001	blue
K03350	blue
K04654	blue
C18911	blue
K09688	blue
C05651	blue
C00488	blue
K02118	blue
K13252	blue
C00575	blue
K18594	blue
C20914	blue
K06075	blue
K23055	blue
C20246	blue
K00077	blue
K06936	blue
K17892	blue
C16631	blue
K14635	blue
C19794	blue
C21284	blue
K18534	blue
K17989	blue
K19070	blue
K13319	blue
C07490	blue
K17870	blue
K13926	blue
K14403	blue
C00145	blue
K02933	blue
K10037	blue
C00691	blue
K02600	blue
C00433	blue
K21030	blue
K03263	blue
K21378	blue
K17248	blue
C17213	blue
K02626	blue
C00044	blue
K10872	blue
K14589	blue
K03725	blue
K12410	blue
K16318	blue
K05297	blue
K10678	blue
K01755	blue
C00184	blue
C05533	blue
K18926	blue
K04763	blue
C00256	blue
C00536	blue
K10709	blue
C00100	blue
C05686	blue
K16095	blue
C00006	blue
K05597	blue
K03335	blue
K11434	blue
C16393	blue
K01007	blue
K21285	blue
C04574	blue
K02880	blue
K11438	blue
K07457	blue
K18910	blue
C19152	blue
K01696	blue
C00860	blue
K00818	blue
K02830	blue
K10710	blue
K15362	blue
K14498	blue
K03471	blue
K02379	blue
K04090	blue
K03388	blue
K03576	blue
K12852	blue
K15555	blue
K02052	blue
K15661	blue
C00152	blue
K08167	blue
C00688	blue
C05763	blue
K04367	blue
C00018	blue
C21614	blue
K00952	blue
K10598	blue
C17326	blue
K01763	blue
C00126	blue
C00078	blue
C00161	blue
C20863	blue
K02929	blue
K22441	blue
K04044	blue
K01251	blue
K02726	blue
C05699	blue
K01961	blue
K19271	blue
K00931	blue
K13832	blue
K02926	blue
K07013	blue
C01051	blue
K00042	blue
K21346	blue
K02189	blue
K08202	blue
C06006	blue
K03131	blue
K14127	blue
C05235	blue
K08368	blue
K04802	blue
K07097	blue
K15276	blue
K01807	blue
K07254	blue
K01659	blue
K00046	blue
K09693	blue
K00568	blue
K03047	blue
K01740	blue
K09738	blue
C01046	blue
K17062	blue
C00013	blue
K08692	blue
K11206	blue
C17215	blue
K05934	blue
K03702	blue
C05993	blue
C00596	blue
K15323	blue
C05859	blue
C03684	blue
K18233	blue
K06147	blue
K13605	blue
C11540	blue
C00247	blue
C11143	blue
K03602	blue
C03576	blue
K06149	blue
K02953	blue
K02012	blue
K01664	blue
C04832	blue
K07765	blue
K19783	blue
K11436	blue
K03293	blue
K13787	blue
K21787	blue
K02556	blue
C05773	blue
C00617	blue
K00013	blue
K00610	blue
K02883	blue
K07388	blue
K14163	blue
C00097	blue
K00928	blue
K10754	blue
K00372	blue
K06865	blue
K04720	blue
C01117	blue
K15857	blue
C04257	blue
K01648	blue
K16264	blue
K14117	blue
C05894	blue
C20738	blue
