	0
C03516	blue
C02713	blue
C15898	blue
K12999	blue
C16154	blue
K17462	blue
K01972	blue
K11749	blue
C04044	blue
C01097	blue
C20253	blue
K01070	blue
K20847	blue
K23186	blue
K04076	blue
C21621	blue
K03152	blue
K09685	blue
K22373	blue
C01419	blue
C02188	blue
K13049	blue
K17758	blue
K06953	blue
C21210	blue
K07457	blue
K01629	blue
K05824	blue
K07049	blue
K11105	blue
C01161	blue
K23258	blue
K23750	blue
K00996	blue
K03106	blue
K03210	blue
K04718	blue
C15603	blue
K06442	blue
C02995	blue
K02997	blue
K22316	blue
K07053	blue
K07456	blue
K09276	blue
C00615	blue
K12583	blue
K01303	blue
K03527	blue
K03639	blue
C16399	blue
K14536	blue
C02992	blue
K23009	blue
K00661	blue
K00850	blue
K02474	blue
K06168	blue
K01755	blue
C21207	blue
K02651	blue
K05568	blue
C04157	blue
K21887	blue
K23512	blue
K22299	blue
K12257	blue
K00528	blue
C01146	blue
K13069	blue
C00993	blue
K01056	blue
C04236	blue
K08600	blue
K00783	blue
K00791	blue
K00841	blue
K19002	blue
K04072	blue
C16365	blue
K02909	blue
K04044	blue
K17830	blue
K00963	blue
K19715	blue
K11615	blue
C04732	blue
K19179	blue
K02938	blue
C05223	blue
K02431	blue
K01537	blue
K11755	blue
K01231	blue
K08986	blue
K21498	blue
K01803	blue
K01146	blue
K00869	blue
K12556	blue
K11292	blue
C16630	blue
K00302	blue
K08068	blue
K00759	blue
K02008	blue
K03386	blue
C01077	blue
C01118	blue
K19424	blue
C05921	blue
K00942	blue
C16587	blue
K02103	blue
K09747	blue
K09761	blue
K18947	blue
C00624	blue
K01933	blue
K17999	blue
K21757	blue
K17204	blue
K17972	blue
C05696	blue
K03214	blue
K03218	blue
C09813	blue
K01438	blue
K17759	blue
C11907	blue
C06613	blue
K01493	blue
K07465	blue
K01049	blue
K06956	blue
C20969	blue
K03768	blue
K03502	blue
K05655	blue
K12311	blue
K08744	blue
K13730	blue
C02554	blue
K01269	blue
K04083	blue
K17677	blue
C00327	blue
K01224	blue
K06147	blue
K03595	blue
C19879	blue
C03150	blue
K00954	blue
K07533	blue
K02904	blue
K11325	blue
C02835	blue
K00622	blue
C03401	blue
K07050	blue
C01026	blue
K00338	blue
K00962	blue
K03588	blue
K08679	blue
K16843	blue
K07301	blue
C00091	blue
K01814	blue
K09671	blue
K22982	blue
C03838	blue
K09835	blue
K18353	blue
C17440	blue
K12372	blue
K07729	blue
K01940	blue
K19341	blue
C20390	blue
K03294	blue
K03771	blue
K21363	blue
K03332	blue
K05560	blue
K07097	blue
K07107	blue
K22176	blue
C16622	blue
C04317	blue
C00559	blue
K00864	blue
C00862	blue
C03064	blue
C05378	blue
K06139	blue
K00845	blue
K07478	blue
K21561	blue
K15452	blue
C05762	blue
C18796	blue
K13509	blue
K20276	blue
K10771	blue
K11176	blue
K07056	blue
C00498	blue
C01083	blue
C00015	blue
K00288	blue
K07007	blue
K18349	blue
K12915	blue
K12972	blue
K02315	blue
K01409	blue
K01585	blue
K13713	blue
K09951	blue
K16345	blue
K01649	blue
C16273	blue
K01189	blue
K03693	blue
K00795	blue
K05362	blue
K10119	blue
K23341	blue
C17556	blue
K04093	blue
K03291	blue
K00700	blue
K06400	blue
K18331	blue
K13059	blue
K08737	blue
K07679	blue
K17246	blue
K06330	blue
K19828	blue
K03613	blue
K18220	blue
C17231	blue
K23510	blue
K04655	blue
K23237	blue
C03508	blue
K09516	blue
K06177	blue
K01243	blue
K03609	blue
K00965	blue
K02346	blue
C00104	blue
K15986	blue
K01209	blue
C00008	blue
K00666	blue
G13102	blue
K09136	blue
C00789	blue
C00446	blue
K01582	blue
K03217	blue
K09826	blue
C05404	blue
C21113	blue
K00271	blue
K00350	blue
C00295	blue
C00037	blue
C01267	blue
K00226	blue
K02013	blue
K02479	blue
K01241	blue
K01358	blue
K07320	blue
K15549	blue
C04153	blue
K22900	blue
C05703	blue
C15975	blue
C00071	blue
K01631	blue
K09017	blue
K14415	blue
C00248	blue
K09065	blue
C00461	blue
K18808	blue
K02867	blue
C00741	blue
K19967	blue
C21612	blue
K11938	blue
K14645	blue
C17226	blue
K21755	blue
K00520	blue
K20443	blue
K12267	blue
K02076	blue
K12297	blue
C00230	blue
C02953	blue
K07035	blue
K16137	blue
K04761	blue
K03833	blue
C05727	blue
K15736	blue
C02987	blue
C04877	blue
K03651	blue
C00074	blue
K14708	blue
K03930	blue
C03393	blue
C05662	blue
C21877	blue
C16551	blue
K06201	blue
K22340	blue
C12448	blue
C00141	blue
K08969	blue
K20333	blue
K00948	blue
C16470	blue
C19871	blue
K00064	blue
K02756	blue
K02619	blue
K17100	blue
K03665	blue
K07587	blue
K16169	blue
C00053	blue
K07665	blue
K05544	blue
K10012	blue
K18577	blue
C00085	blue
K07082	blue
K02047	blue
K01270	blue
K18888	blue
K14982	blue
K02109	blue
C01151	blue
K03426	blue
K04041	blue
K14453	blue
K00484	blue
K12113	blue
K02021	blue
K06878	blue
K00626	blue
K01125	blue
K11329	blue
K12733	blue
K06927	blue
K09552	blue
K02654	blue
K02040	blue
K07506	blue
K12503	blue
C01236	blue
K09696	blue
K15034	blue
K04758	blue
K07150	blue
K16248	blue
K17716	blue
K07576	blue
C05263	blue
K00254	blue
K17998	blue
K18126	blue
K13811	blue
C02163	blue
K12524	blue
C00354	blue
K17425	blue
K01610	blue
K13810	blue
K10956	blue
K03980	blue
K06949	blue
K08152	blue
K15524	blue
K17195	blue
K22212	blue
K03340	blue
C11417	blue
K12944	blue
C00258	blue
K07726	blue
C05770	blue
K09569	blue
K14983	blue
K08485	blue
K00133	blue
C00362	blue
C14819	blue
C05824	blue
C01769	blue
C03511	blue
K07702	blue
C00635	blue
K22135	blue
K11783	blue
C00302	blue
K07106	blue
C00081	blue
K07775	blue
K01679	blue
K02601	blue
C00054	blue
K22086	blue
K00172	blue
K01873	blue
K02053	blue
K01620	blue
K05942	blue
K15554	blue
K22927	blue
K01192	blue
G00711	blue
C03309	blue
K11136	blue
C19885	blue
K00018	blue
K00013	blue
K00342	blue
C05750	blue
K03686	blue
C18351	blue
C00341	blue
C03459	blue
K23989	blue
K20862	blue
K18330	blue
K23424	blue
K20884	blue
C07276	blue
K01714	blue
K15600	blue
K02239	blue
C00638	blue
K01690	blue
K14459	blue
C17214	blue
G13093	blue
K07402	blue
C00218	blue
K07744	blue
G10557	blue
K07335	blue
K14188	blue
K03656	blue
K02600	blue
C01346	blue
K03685	blue
K02318	blue
C00154	blue
K19689	blue
K01470	blue
K01496	blue
K02006	blue
K12217	blue
C00075	blue
C04432	blue
C16255	blue
K00556	blue
K00003	blue
K00058	blue
C12203	blue
K12954	blue
K00112	blue
K15495	blue
K07135	blue
K07304	blue
K15376	blue
K01738	blue
K15545	blue
K00972	blue
C15973	blue
C00155	blue
C05336	blue
C00655	blue
K16639	blue
K18355	blue
C00198	blue
K00287	blue
K01869	blue
K18180	blue
K01229	blue
K11475	blue
K12132	blue
C21029	blue
K19417	blue
C15860	blue
K00192	blue
K07043	blue
K17653	blue
K06416	blue
K14661	blue
K19876	blue
C00051	blue
K06175	blue
C01182	blue
K23775	blue
C12355	blue
C00764	blue
C20581	blue
C21879	blue
C06426	blue
K00561	blue
K09014	blue
C18321	blue
K16179	blue
C22160	blue
K06287	blue
K14571	blue
K01433	blue
C18933	blue
K03272	blue
K04477	blue
K09011	blue
K11189	blue
K03455	blue
K00966	blue
K17487	blue
K16951	blue
K22387	blue
K03742	blue
K15976	blue
K18687	blue
K16795	blue
K01937	blue
K21900	blue
G00971	blue
K06306	blue
K03079	blue
K13290	blue
K05519	blue
K17725	blue
K13497	blue
C20737	blue
K03469	blue
K03234	blue
K20446	blue
C00352	blue
C05577	blue
C16153	blue
K13787	blue
K23248	blue
C00082	blue
K01866	blue
K10105	blue
K07446	blue
K00347	blue
K09810	blue
K21514	blue
K21000	blue
K03240	blue
K07079	blue
K12448	blue
C21017	blue
K01775	blue
C16631	blue
G13058	blue
C19082	blue
K22719	blue
K19997	blue
K05035	blue
K07138	blue
K00059	blue
K11808	blue
K13590	blue
K01624	blue
K13004	blue
C05635	blue
K01295	blue
K13444	blue
C16334	blue
C00032	blue
K02925	blue
K02888	blue
K03522	blue
K07577	blue
K00156	blue
K16787	blue
C00030	blue
K21903	blue
K17318	blue
K14205	blue
K02899	blue
K06993	blue
K04070	blue
C06472	blue
K14170	blue
K16511	blue
K23462	blue
C01180	blue
K21027	blue
C00310	blue
K13283	blue
K03392	blue
K00878	blue
K03727	blue
C05744	blue
C16635	blue
C00357	blue
K00951	blue
K03695	blue
C20949	blue
C19888	blue
K12657	blue
C00334	blue
K03449	blue
K03471	blue
K01217	blue
C20914	blue
C00672	blue
K12371	blue
C00546	blue
K21029	blue
C20838	blue
K03346	blue
K06943	blue
C04037	blue
K15912	blue
K14575	blue
C12441	blue
K21331	blue
K01261	blue
K06871	blue
C04287	blue
C01163	blue
K07407	blue
K03616	blue
K03698	blue
C00322	blue
C00345	blue
K23181	blue
K05591	blue
C00084	blue
K00161	blue
C15532	blue
C11420	blue
K01761	blue
K03637	blue
K11131	blue
K07736	blue
K13278	blue
K00220	blue
K10882	blue
C00411	blue
C00206	blue
K19309	blue
K13875	blue
K02058	blue
C00543	blue
K15781	blue
C00380	blue
C12147	blue
K01069	blue
C05756	blue
K03177	blue
K07443	blue
K10540	blue
K18891	blue
K08739	blue
C03028	blue
C17699	blue
K12988	blue
C00133	blue
K20460	blue
K15771	blue
K07688	blue
K12555	blue
K05343	blue
C06006	blue
K13582	blue
K03438	blue
K20609	blue
C12366	blue
K06320	blue
K01299	blue
C06755	blue
C06507	blue
K00239	blue
K03617	blue
C00378	blue
K20543	blue
K03569	blue
K06189	blue
C01046	blue
K15466	blue
C20424	blue
K00955	blue
K02503	blue
K06020	blue
K10755	blue
K00027	blue
C02960	blue
C00140	blue
K06921	blue
K16199	blue
K21471	blue
C16597	blue
K11541	blue
K01736	blue
K22010	blue
C00280	blue
K01571	blue
K22186	blue
C06891	blue
K09695	blue
K11924	blue
C00940	blue
K15835	blue
K03090	blue
K17686	blue
C01020	blue
K16918	blue
C05645	blue
C04281	blue
K00221	blue
K02111	blue
K02011	blue
K23184	blue
K00340	blue
K17836	blue
C12632	blue
K03321	blue
K00852	blue
K02169	blue
K21607	blue
K17320	blue
K19339	blue
K01210	blue
K01214	blue
K22408	blue
C05259	blue
K16695	blue
K16924	blue
K03615	blue
K10754	blue
K20859	blue
K10300	blue
K10212	blue
K15599	blue
C22159	blue
K01916	blue
K13694	blue
C15558	blue
K17722	blue
K03481	blue
K00563	blue
K17069	blue
K07110	blue
K21594	blue
K01934	blue
C00079	blue
K19870	blue
K04090	blue
K05991	blue
K22901	blue
K01929	blue
K13789	blue
K20074	blue
K03625	blue
K02982	blue
K03500	blue
K10219	blue
K19418	blue
K14267	blue
K21604	blue
C20144	blue
K01464	blue
K00619	blue
K03060	blue
K03196	blue
C00448	blue
K03606	blue
K06099	blue
K15921	blue
K00609	blue
K02282	blue
K03088	blue
K07124	blue
C01212	blue
K00872	blue
K03216	blue
K07694	blue
K21064	blue
C05691	blue
K01990	blue
K00633	blue
K21185	blue
K23238	blue
C12348	blue
K09016	blue
C17949	blue
K00574	blue
K10750	blue
K17208	blue
K07657	blue
K02342	blue
K03594	blue
K00946	blue
K12956	blue
K22306	blue
C01528	blue
C02226	blue
C16588	blue
K15555	blue
K07991	blue
K08234	blue
K07096	blue
K16016	blue
K03831	blue
K04034	blue
K09013	blue
K03555	blue
K21727	blue
K00602	blue
K06148	blue
C19723	blue
K06967	blue
K10801	blue
K01057	blue
K13752	blue
K00632	blue
K13010	blue
K05879	blue
C20566	blue
K11381	blue
K19070	blue
K07720	blue
K07776	blue
C20986	blue
K12417	blue
C01260	blue
C00431	blue
K13277	blue
K00433	blue
C20758	blue
C04144	blue
C21240	blue
K01779	blue
