	0
C18007	blue
C04734	blue
K23545	blue
K17686	blue
C01213	blue
K06206	blue
C01251	blue
C15650	blue
K23060	blue
K01874	blue
C16399	blue
K07259	blue
K00932	blue
C00299	blue
K05551	blue
K01886	blue
K23253	blue
K07571	blue
K01866	blue
K15778	blue
K00951	blue
K20344	blue
K19386	blue
K16092	blue
K23988	blue
C06322	blue
C20199	blue
K07653	blue
C00264	blue
K07652	blue
K01626	blue
K00459	blue
K02502	blue
K01432	blue
C16618	blue
C00063	blue
K03648	blue
K07333	blue
C00353	blue
K02132	blue
C11543	blue
K03696	blue
C00092	blue
C03859	blue
K02357	blue
K08724	blue
C05756	blue
C12348	blue
K03699	blue
C14090	blue
C05125	blue
K03551	blue
C18237	blue
K01989	blue
K22227	blue
K08964	blue
K07015	blue
K01928	blue
K03240	blue
C16242	blue
K03224	blue
C00121	blue
K03292	blue
K14387	blue
C00387	blue
K07774	blue
K02020	blue
C00237	blue
K04940	blue
K23370	blue
K07479	blue
C01801	blue
C02430	blue
K01599	blue
K01493	blue
K22132	blue
K03613	blue
K16881	blue
C00002	blue
C04153	blue
C19673	blue
K03215	blue
K02500	blue
K02655	blue
K02851	blue
K03165	blue
K06182	blue
K14661	blue
K20966	blue
C16596	blue
K19449	blue
C00430	blue
K22199	blue
C18310	blue
C05753	blue
K03769	blue
K07506	blue
K09123	blue
K02601	blue
K11176	blue
C04334	blue
K03471	blue
K00172	blue
K05298	blue
K15045	blue
K01439	blue
C00020	blue
K06897	blue
C00106	blue
K06857	blue
K07258	blue
C20378	blue
K03533	blue
C00116	blue
C16597	blue
K00927	blue
C03794	blue
C00415	blue
K20742	blue
K00014	blue
K02231	blue
C16227	blue
K02338	blue
K05785	blue
K09153	blue
C20796	blue
K04090	blue
K14026	blue
K07252	blue
K18908	blue
K02364	blue
C16551	blue
K09690	blue
K16169	blue
C00005	blue
K07386	blue
C19692	blue
K03664	blue
K02027	blue
C08735	blue
C04644	blue
K01911	blue
K01138	blue
K22469	blue
K02147	blue
K15582	blue
K00891	blue
K18640	blue
C16635	blue
C02512	blue
K05356	blue
K13509	blue
K11809	blue
K21022	blue
C00352	blue
K01589	blue
K11787	blue
K10556	blue
K20452	blue
C00283	blue
C00390	blue
C00302	blue
K02946	blue
K01487	blue
K03399	blue
K16554	blue
K05362	blue
C00718	blue
K18861	blue
C04260	blue
K03774	blue
C05768	blue
C21879	blue
K23059	blue
K00003	blue
C05382	blue
K19221	blue
K01356	blue
K05519	blue
K06139	blue
K02857	blue
C04677	blue
K10112	blue
K06919	blue
K15552	blue
C01110	blue
K10715	blue
K20327	blue
K02956	blue
C15972	blue
C00054	blue
C00108	blue
C00630	blue
K14152	blue
K01192	blue
K19271	blue
K00760	blue
K05778	blue
K01462	blue
K13542	blue
K19504	blue
K01628	blue
K09650	blue
K07579	blue
K02893	blue
K20956	blue
C03160	blue
C00168	blue
K01998	blue
K03073	blue
K07097	blue
C11831	blue
K04116	blue
K02485	blue
K16963	blue
K22044	blue
K04749	blue
K16843	blue
C20676	blue
K06187	blue
K17490	blue
K01129	blue
C20248	blue
C03373	blue
K19072	blue
K21900	blue
K03789	blue
K22907	blue
K02123	blue
K03455	blue
K01761	blue
C16487	blue
C03402	blue
K20340	blue
K11075	blue
K00700	blue
K09487	blue
C16837	blue
C05231	blue
C19694	blue
K20810	blue
K03088	blue
K07577	blue
K15652	blue
K00625	blue
K02992	blue
K06409	blue
K01520	blue
K07742	blue
K12319	blue
C17222	blue
C02553	blue
K13891	blue
C05261	blue
K02145	blue
K20074	blue
K06020	blue
K07806	blue
K01415	blue
K18348	blue
K21514	blue
K08635	blue
C17323	blue
C05223	blue
C00254	blue
K01804	blue
K02224	blue
K07570	blue
K14163	blue
K18331	blue
K02503	blue
K00557	blue
K03650	blue
K21031	blue
K18013	blue
K05837	blue
K11636	blue
K19349	blue
K01464	blue
K02052	blue
K20469	blue
K07705	blue
C01267	blue
K14415	blue
K05939	blue
K07978	blue
K01465	blue
K17999	blue
C20582	blue
K00929	blue
K07502	blue
C00085	blue
K08737	blue
K09688	blue
K11080	blue
C16612	blue
K01608	blue
K08722	blue
C00093	blue
K08320	blue
K11216	blue
K02647	blue
K04079	blue
K19304	blue
K02945	blue
K21696	blue
C20969	blue
K18356	blue
K02039	blue
K13714	blue
K11808	blue
C02869	blue
C00162	blue
K13832	blue
K10870	blue
C15810	blue
K08969	blue
K21346	blue
C05925	blue
K01923	blue
C16153	blue
K00125	blue
K03734	blue
C04896	blue
K03575	blue
C00424	blue
K03739	blue
C15811	blue
K00567	blue
C01172	blue
K02347	blue
C00860	blue
K07736	blue
K00970	blue
K13017	blue
K18808	blue
K03360	blue
K09569	blue
G00001	blue
K16567	blue
K02341	blue
K07669	blue
C00251	blue
K22306	blue
C04748	blue
K02914	blue
C21568	blue
C00037	blue
K22305	blue
K02053	blue
C21332	blue
K02441	blue
K02217	blue
K03499	blue
K01839	blue
C05272	blue
K15831	blue
K19789	blue
C05594	blue
K12526	blue
K08372	blue
K00595	blue
K16209	blue
K10439	blue
C05703	blue
K02935	blue
K15355	blue
K08189	blue
K05349	blue
C00536	blue
K13888	blue
K01930	blue
K18335	blue
K03585	blue
K22186	blue
C01180	blue
K07576	blue
K22106	blue
C00035	blue
C00658	blue
C12448	blue
K02337	blue
K00589	blue
K00818	blue
K14983	blue
K22893	blue
C05748	blue
K00864	blue
C00647	blue
K08602	blue
K09759	blue
C00596	blue
K08281	blue
K13531	blue
C00999	blue
K12988	blue
K08736	blue
K00317	blue
K01819	blue
C09823	blue
K15270	blue
K05606	blue
K01533	blue
K02669	blue
K01176	blue
K10026	blue
K17680	blue
C00785	blue
K07101	blue
K06167	blue
C00223	blue
K04485	blue
K06889	blue
C01260	blue
C18096	blue
K03555	blue
K04068	blue
K01358	blue
K02099	blue
K15633	blue
K00266	blue
C04349	blue
K01889	blue
K13010	blue
C03239	blue
C05276	blue
C06196	blue
K01956	blue
K00260	blue
K09125	blue
K18209	blue
K18447	blue
C16463	blue
C14819	blue
K01959	blue
K08744	blue
K15507	blue
G09660	blue
K10743	blue
C18305	blue
K16248	blue
K05844	blue
K02016	blue
K03093	blue
K14742	blue
C04691	blue
K02278	blue
K01738	blue
K09835	blue
K00874	blue
K03413	blue
K01873	blue
K07094	blue
K01629	blue
C16619	blue
K00666	blue
K22300	blue
C00350	blue
K11747	blue
K00639	blue
K03710	blue
C21017	blue
K01948	blue
K09748	blue
K01782	blue
K14692	blue
C14604	blue
K19312	blue
K02926	blue
C04494	blue
K01692	blue
K02025	blue
C05814	blue
K03524	blue
K04767	blue
K16290	blue
C00402	blue
K11705	blue
K15201	blue
K10548	blue
K02964	blue
K20480	blue
C00067	blue
C02188	blue
K11907	blue
C21767	blue
K03402	blue
K07307	blue
C02362	blue
C03150	blue
K14394	blue
C15667	blue
K22516	blue
K09571	blue
K02954	blue
C19078	blue
K06977	blue
K21219	blue
K01061	blue
K00754	blue
K14536	blue
K01914	blue
C05936	blue
K02121	blue
K17884	blue
K00996	blue
K01690	blue
K20962	blue
K03148	blue
C03344	blue
K03110	blue
C01117	blue
C05812	blue
K11358	blue
C00105	blue
K11939	blue
K08301	blue
K18979	blue
K00966	blue
K00347	blue
K05548	blue
K07141	blue
K01125	blue
K00346	blue
K05846	blue
K01912	blue
K03484	blue
K21147	blue
K03212	blue
K12279	blue
K02988	blue
K05565	blue
C04281	blue
C12455	blue
K00831	blue
C00459	blue
G12336	blue
K02236	blue
C08733	blue
K02058	blue
K02687	blue
C00101	blue
K11755	blue
K22912	blue
C18799	blue
K00789	blue
K07657	blue
K14162	blue
K07017	blue
K01006	blue
C00405	blue
K02071	blue
C02934	blue
C05898	blue
C00025	blue
K15441	blue
K18302	blue
K02886	blue
K22547	blue
C00445	blue
K21502	blue
K16177	blue
K11389	blue
K09503	blue
C21880	blue
K00974	blue
C20231	blue
K01013	blue
K07080	blue
K23753	blue
K18889	blue
K20707	blue
K00654	blue
K06878	blue
K02865	blue
K12297	blue
C05267	blue
K00271	blue
K02838	blue
K16139	blue
K02122	blue
K03320	blue
K23265	blue
K10539	blue
K00941	blue
K02958	blue
C04157	blue
K20977	blue
K01669	blue
K15986	blue
K06148	blue
K05838	blue
K02994	blue
C02474	blue
K06123	blue
C00734	blue
K12962	blue
K03217	blue
K18533	blue
C00009	blue
K16951	blue
C00940	blue
K09610	blue
C00668	blue
K18332	blue
K06915	blue
C02163	blue
K17487	blue
K13419	blue
K15726	blue
K02533	blue
K04761	blue
C03058	blue
C04738	blue
K01951	blue
K14349	blue
C17231	blue
K00655	blue
K01961	blue
K22405	blue
K02805	blue
K19171	blue
K09473	blue
K01034	blue
K07088	blue
K03602	blue
K21304	blue
K11592	blue
K02424	blue
K05568	blue
K18420	blue
K12510	blue
C00199	blue
K18847	blue
C00126	blue
C03069	blue
K00820	blue
K15575	blue
K09251	blue
K11145	blue
K18355	blue
C16489	blue
K00532	blue
C04216	blue
K00942	blue
K07738	blue
K03234	blue
K11894	blue
C00332	blue
K02035	blue
K02495	blue
K03609	blue
K00156	blue
K07451	blue
C01674	blue
C00197	blue
C11448	blue
K18456	blue
K12372	blue
C00143	blue
K01258	blue
K14681	blue
C20658	blue
K21947	blue
K03617	blue
C05581	blue
K10754	blue
K01519	blue
K02340	blue
K23978	blue
K21472	blue
K03978	blue
K00175	blue
K06669	blue
K20967	blue
K00853	blue
C20144	blue
K02225	blue
K02429	blue
K02834	blue
K03742	blue
C14145	blue
K00962	blue
K03795	blue
K01933	blue
C00135	blue
K05810	blue
K07053	blue
C00362	blue
K03545	blue
K03686	blue
K00610	blue
K16048	blue
K11416	blue
K12371	blue
C00212	blue
K16808	blue
C01269	blue
C04287	blue
C21750	blue
C03972	blue
K05787	blue
G13036	blue
C00141	blue
C17219	blue
C06472	blue
K02652	blue
K11078	blue
K02904	blue
K00194	blue
K03615	blue
K01897	blue
C05697	blue
K01926	blue
C05259	blue
C00323	blue
K01586	blue
K06041	blue
K14982	blue
K16651	blue
K07058	blue
K09144	blue
K17759	blue
K21137	blue
K05364	blue
C20451	blue
K23462	blue
K06338	blue
K15782	blue
K03544	blue
K02519	blue
K01649	blue
C17022	blue
K03276	blue
K02057	blue
K07726	blue
K09016	blue
C00042	blue
K00566	blue
K03601	blue
K14059	blue
K22540	blue
C04702	blue
K05833	blue
K03042	blue
K07447	blue
C01005	blue
C05744	blue
K03943	blue
K11741	blue
K13067	blue
C20421	blue
K12324	blue
K15496	blue
K06881	blue
K11749	blue
K15889	blue
K05879	blue
C00088	blue
K02238	blue
C04652	blue
C20359	blue
C00208	blue
C03313	blue
C00786	blue
C00031	blue
K01229	blue
K01297	blue
K08310	blue
K03072	blue
C00627	blue
C00881	blue
C20810	blue
K23976	blue
C16615	blue
C00862	blue
C00378	blue
K07025	blue
K15460	blue
K22885	blue
K11609	blue
K03629	blue
K09820	blue
C06113	blue
K13998	blue
K21216	blue
C02987	blue
C00721	blue
C03920	blue
K10012	blue
K16174	blue
K04484	blue
K01183	blue
K10797	blue
K05394	blue
K00895	blue
K16792	blue
K00995	blue
C05859	blue
K00768	blue
C01046	blue
C00124	blue
C11827	blue
K00819	blue
K02682	blue
K05788	blue
K21757	blue
C04352	blue
K22432	blue
C00588	blue
G10555	blue
K21473	blue
K22216	blue
K01703	blue
K06024	blue
K06168	blue
K11183	blue
K01048	blue
K05586	blue
K19428	blue
K07126	blue
C00624	blue
C05821	blue
K05545	blue
K05542	blue
C03771	blue
K01857	blue
K02590	blue
K21138	blue
K04771	blue
K02005	blue
C11420	blue
C17210	blue
K02957	blue
K02948	blue
K06968	blue
K15770	blue
C04442	blue
C00043	blue
K14485	blue
K03614	blue
K21993	blue
C16631	blue
K15635	blue
C12356	blue
K03424	blue
C00180	blue
K06442	blue
K06091	blue
K03431	blue
C05924	blue
C05760	blue
K01740	blue
K01236	blue
K04720	blue
C00206	blue
C01118	blue
K14538	blue
K00145	blue
C21328	blue
C04832	blue
C00295	blue
C02291	blue
K21284	blue
K01769	blue
K01869	blue
K21064	blue
C04851	blue
K02343	blue
K23227	blue
K01883	blue
K12511	blue
K11604	blue
C21851	blue
C00423	blue
K02654	blue
K04014	blue
K09812	blue
K02182	blue
K03087	blue
K07282	blue
K03651	blue
K08676	blue
K08286	blue
C01345	blue
K15442	blue
K11069	blue
C00504	blue
K11963	blue
K09504	blue
K13004	blue
C15978	blue
C05539	blue
K07460	blue
K10268	blue
K01026	blue
K03208	blue
K03429	blue
K15268	blue
K00783	blue
K21784	blue
K23351	blue
C06103	blue
C05528	blue
K03698	blue
K10021	blue
K16199	blue
K00355	blue
K11071	blue
K01662	blue
K03637	blue
K16028	blue
K00205	blue
K14688	blue
K02536	blue
C01170	blue
C00258	blue
K04655	blue
K01239	blue
K07056	blue
C15524	blue
K03743	blue
K19817	blue
K12985	blue
K12264	blue
K19239	blue
C00458	blue
C01134	blue
K06959	blue
K01066	blue
C06407	blue
C06891	blue
K03279	blue
C20679	blue
C15975	blue
K17100	blue
K18672	blue
C00468	blue
C00112	blue
K00384	blue
K07651	blue
K21755	blue
C05686	blue
K00008	blue
K11957	blue
K12410	blue
K00134	blue
C02133	blue
C05688	blue
K00350	blue
K22010	blue
C01165	blue
K07023	blue
K06213	blue
K07501	blue
C06041	blue
K05802	blue
K01500	blue
K06981	blue
C00406	blue
C01755	blue
K03738	blue
C00361	blue
K15554	blue
K07462	blue
K18856	blue
K00608	blue
K03893	blue
C05284	blue
K01870	blue
K03196	blue
K12506	blue
K03852	blue
C02352	blue
C06504	blue
C00576	blue
K01715	blue
K02952	blue
K01954	blue
K11810	blue
K02190	blue
K02051	blue
K13815	blue
K02528	blue
K18210	blue
K16302	blue
C01102	blue
K01840	blue
K03546	blue
K03472	blue
C03826	blue
C04051	blue
K06953	blue
K01734	blue
C05198	blue
C05841	blue
K00986	blue
K01777	blue
C03892	blue
C16156	blue
K00239	blue
K02075	blue
K04772	blue
C05892	blue
K02968	blue
C00227	blue
K01448	blue
C02642	blue
K07082	blue
C00118	blue
C03862	blue
C21294	blue
C02411	blue
K20339	blue
K01522	blue
K07331	blue
K15580	blue
K09019	blue
K02504	blue
K11074	blue
C00018	blue
C00993	blue
C04732	blue
K10542	blue
K23244	blue
K06212	blue
K21000	blue
K19225	blue
C00010	blue
C00344	blue
K13796	blue
C02713	blue
K02349	blue
K03091	blue
K11928	blue
C06028	blue
K01133	blue
K08884	blue
K12527	blue
C19929	blue
K01587	blue
K00001	blue
K15329	blue
K03779	blue
K06019	blue
K00858	blue
C00234	blue
C16469	blue
K07766	blue
C16243	blue
K13890	blue
K17658	blue
C01113	blue
K20978	blue
K03625	blue
C17212	blue
C05662	blue
K02040	blue
C00103	blue
C21357	blue
K03587	blue
C20751	blue
K03976	blue
K02476	blue
K00163	blue
K00556	blue
C00154	blue
K02990	blue
K16051	blue
K04801	blue
K23359	blue
C06320	blue
K06178	blue
C12147	blue
K02004	blue
K10804	blue
K18682	blue
K19658	blue
K02470	blue
K02982	blue
K05540	blue
C04488	blue
C00877	blue
C00685	blue
C05651	blue
K02160	blue
K23519	blue
C01929	blue
C02659	blue
K01031	blue
K00059	blue
K09681	blue
C12350	blue
K02501	blue
K10710	blue
K01925	blue
C00894	blue
K12736	blue
K19339	blue
K00609	blue
K10011	blue
K22012	blue
K06978	blue
C16155	blue
K01491	blue
C03461	blue
C20249	blue
K01151	blue
K22982	blue
C01092	blue
K14138	blue
G10553	blue
K05813	blue
C21878	blue
C21881	blue
K01760	blue
K07059	blue
C02415	blue
K03168	blue
C00130	blue
K05515	blue
C00508	blue
K10679	blue
C05275	blue
K13787	blue
K05773	blue
K03106	blue
C00455	blue
K00945	blue
K02464	blue
K03720	blue
K10778	blue
C05696	blue
C15908	blue
K02111	blue
K15019	blue
K06133	blue
K00179	blue
K11413	blue
K18589	blue
K22441	blue
K02890	blue
K01567	blue
K02837	blue
K16363	blue
K07068	blue
K00065	blue
K20862	blue
C00048	blue
K02867	blue
K16025	blue
C05754	blue
K00235	blue
K02888	blue
K02054	blue
K03387	blue
K14441	blue
K22719	blue
C03564	blue
C03511	blue
K10858	blue
K19285	blue
K05657	blue
K19597	blue
C00111	blue
K12657	blue
C04043	blue
C00666	blue
C00153	blue
K07029	blue
K00018	blue
K01029	blue
K11754	blue
K19715	blue
K01756	blue
C21748	blue
K03307	blue
K19423	blue
C00636	blue
K01091	blue
K22478	blue
C04666	blue
K09488	blue
K12278	blue
K03495	blue
K03437	blue
K21880	blue
K17803	blue
K22452	blue
K00759	blue
C16826	blue
K17757	blue
K07478	blue
K15891	blue
K00193	blue
C12203	blue
C21896	blue
K21833	blue
K01118	blue
K00177	blue
K16328	blue
K02010	blue
C00475	blue
K09685	blue
C00044	blue
C11354	blue
C20374	blue
K18288	blue
K19224	blue
C03232	blue
K03439	blue
K11991	blue
K17215	blue
K19746	blue
C00233	blue
K22293	blue
K05832	blue
K01663	blue
C00789	blue
K02044	blue
C00081	blue
