	0
K12524	blue
K01144	blue
K03405	blue
K20525	blue
C00249	blue
K00874	blue
K03487	blue
K06189	blue
K20862	blue
C00630	blue
C21334	blue
K03654	blue
K10899	blue
C20641	blue
C06481	blue
C21957	blue
K04887	blue
K02012	blue
K09384	blue
K09497	blue
K16210	blue
K13713	blue
K16421	blue
C00111	blue
K07317	blue
K07577	blue
C00433	blue
C02953	blue
K04306	blue
K20095	blue
K07337	blue
K18707	blue
K03712	blue
C00229	blue
C05838	blue
K02564	blue
K00864	blue
C05402	blue
K10762	blue
K09133	blue
K18589	blue
K00841	blue
K07642	blue
K03702	blue
K06937	blue
K06607	blue
K18430	blue
C00423	blue
K00885	blue
K05366	blue
C02273	blue
K00003	blue
C01542	blue
K04488	blue
C05527	blue
K14391	blue
K17072	blue
K09144	blue
G00010	blue
K06168	blue
K00065	blue
K06154	blue
K20902	blue
G00011	blue
K19694	blue
K20976	blue
C05893	blue
K01424	blue
C04037	blue
K03546	blue
K11923	blue
K08195	blue
K02982	blue
K20283	blue
K05304	blue
K07114	blue
K07246	blue
K03437	blue
C00332	blue
K02949	blue
K18399	blue
K07465	blue
C00601	blue
C18321	blue
C21435	blue
K05803	blue
C00966	blue
K17105	blue
C00475	blue
C00092	blue
K10546	blue
K16868	blue
K16363	blue
K12452	blue
K00879	blue
C20424	blue
K03719	blue
K16211	blue
C00131	blue
K07497	blue
C00668	blue
C20421	blue
K06001	blue
C00180	blue
K02240	blue
K16292	blue
K01669	blue
K02860	blue
C21608	blue
K15973	blue
K11747	blue
C17552	blue
K07452	blue
K11175	blue
K21567	blue
C00658	blue
K14215	blue
K08484	blue
K04767	blue
C02737	blue
K23281	blue
C00559	blue
K20859	blue
C00096	blue
K09696	blue
K03614	blue
K21636	blue
K14326	blue
K03574	blue
K06148	blue
C04255	blue
K22538	blue
K23237	blue
C00544	blue
C02051	blue
K06182	blue
K02556	blue
C21767	blue
K14349	blue
K03065	blue
K19702	blue
K21310	blue
K09861	blue
K03797	blue
C04702	blue
K07016	blue
K10773	blue
C01755	blue
K21784	blue
K22530	blue
K03762	blue
K15913	blue
K13670	blue
K03694	blue
C16837	blue
K02825	blue
K11751	blue
K04757	blue
K17723	blue
G00052	blue
K06936	blue
C00354	blue
C00352	blue
K07658	blue
C05581	blue
K03310	blue
K02940	blue
K18890	blue
C02266	blue
C00090	blue
C20941	blue
C16588	blue
K13941	blue
K00721	blue
C00264	blue
K10524	blue
C17569	blue
K01007	blue
C00145	blue
C05432	blue
K18557	blue
K18653	blue
K03733	blue
K13984	blue
K00109	blue
C02702	blue
K01759	blue
K07507	blue
K18422	blue
C17222	blue
K12063	blue
K18429	blue
K11904	blue
K15739	blue
K01948	blue
K03545	blue
K15765	blue
K18349	blue
K04771	blue
C05307	blue
K01990	blue
K04749	blue
C00424	blue
C00361	blue
K16327	blue
K21039	blue
C17217	blue
K12999	blue
C00387	blue
C04297	blue
K13810	blue
C03692	blue
K16179	blue
K12297	blue
K06864	blue
K03521	blue
K05614	blue
K11085	blue
K10742	blue
K11292	blue
K02391	blue
K02195	blue
C15979	blue
K00999	blue
K02497	blue
K02495	blue
K03613	blue
K12942	blue
C00134	blue
C06023	blue
C00561	blue
K16329	blue
K01784	blue
C22053	blue
K15507	blue
K00118	blue
K21594	blue
G10511	blue
K02340	blue
K12267	blue
K00234	blue
K00049	blue
K03665	blue
C05892	blue
C00681	blue
K21023	blue
C00162	blue
C01352	blue
C06364	blue
C03541	blue
K07042	blue
C00369	blue
K03165	blue
K12503	blue
C02962	blue
K03724	blue
K00702	blue
K10126	blue
K11941	blue
K03629	blue
K05616	blue
K09811	blue
K00297	blue
K07258	blue
K11443	blue
K23244	blue
K09579	blue
K03892	blue
C21607	blue
C00035	blue
C05748	blue
K02472	blue
K00852	blue
C12448	blue
K01270	blue
K01679	blue
K10561	blue
K00932	blue
C00846	blue
C04732	blue
K01303	blue
K22317	blue
K02895	blue
C05824	blue
K15474	blue
C18032	blue
K20308	blue
K03106	blue
C05980	blue
C00013	blue
K07446	blue
K03169	blue
K13075	blue
K19530	blue
C03089	blue
K03695	blue
K14659	blue
K07720	blue
C00124	blue
K09951	blue
K01008	blue
K03787	blue
C03785	blue
C17216	blue
K03496	blue
C00106	blue
K03930	blue
K02487	blue
C16255	blue
K07043	blue
C02876	blue
K02120	blue
K15895	blue
K11540	blue
K12041	blue
C00705	blue
C02463	blue
C07446	blue
K21090	blue
K21218	blue
C06891	blue
C00490	blue
K07794	blue
K07705	blue
K03818	blue
C11436	blue
C17226	blue
K23169	blue
K19424	blue
C00460	blue
C00078	blue
K12410	blue
K19294	blue
K09000	blue
K02030	blue
K11618	blue
K06180	blue
K10442	blue
K02881	blue
K02844	blue
K16515	blue
C02934	blue
C16612	blue
K11146	blue
K00615	blue
K11216	blue
C00157	blue
K04760	blue
K21394	blue
C05223	blue
K02407	blue
C16389	blue
C00204	blue
C08276	blue
K13069	blue
K02892	blue
K00806	blue
C16789	blue
C00042	blue
