	0
K01875	blue
K07776	blue
K11431	blue
C18043	blue
K03609	blue
K01080	blue
C05763	blue
C00198	blue
K17734	blue
K13753	blue
C16393	blue
C00721	blue
C05796	blue
C04146	blue
K03424	blue
C02972	blue
K13519	blue
K00817	blue
K12988	blue
K01715	blue
K02841	blue
K21594	blue
K05820	blue
K06020	blue
K00059	blue
K13695	blue
K01115	blue
K06411	blue
C01801	blue
C00089	blue
K01183	blue
K07315	blue
K05831	blue
K12357	blue
K03574	blue
K03799	blue
C17323	blue
K03696	blue
K15049	blue
K19755	blue
C04913	blue
K21574	blue
C01079	blue
K02074	blue
K01666	blue
K02049	blue
K00764	blue
K01829	blue
K00651	blue
K00282	blue
K00177	blue
C00253	blue
K09647	blue
C00300	blue
K09835	blue
K09579	blue
C05927	blue
K07177	blue
C06054	blue
C00112	blue
K04757	blue
K08309	blue
K00856	blue
K06491	blue
K11106	blue
C11986	blue
C01769	blue
K22102	blue
K08787	blue
K01361	blue
K01197	blue
K01424	blue
C01931	blue
K00823	blue
G13108	blue
K23184	blue
C00864	blue
C05116	blue
K02017	blue
K13663	blue
C05840	blue
K02517	blue
K20988	blue
K01889	blue
K02469	blue
K03701	blue
K16554	blue
K00788	blue
K01119	blue
K01972	blue
K03319	blue
K11414	blue
K16092	blue
K01443	blue
K01627	blue
K03554	blue
K09591	blue
K15331	blue
K08484	blue
K07486	blue
K12852	blue
K16353	blue
C00343	blue
C00083	blue
K20468	blue
K02195	blue
K20971	blue
C05698	blue
K02497	blue
C00051	blue
K01006	blue
K05785	blue
K09748	blue
K01365	blue
K09797	blue
C03684	blue
K20730	blue
C20951	blue
K12373	blue
K04044	blue
C20784	blue
K19117	blue
C00255	blue
K03182	blue
K08969	blue
K03828	blue
K15782	blue
C03516	blue
K02902	blue
K00606	blue
K07033	blue
K03444	blue
C00077	blue
C00973	blue
C01346	blue
G13121	blue
C05703	blue
K03606	blue
C00013	blue
G01813	blue
C22073	blue
K00864	blue
K13853	blue
K01243	blue
K00849	blue
C03373	blue
C03692	blue
K01138	blue
K22451	blue
K18300	blue
K00995	blue
K03186	blue
K00041	blue
C00060	blue
K00003	blue
K06030	blue
C00004	blue
K13668	blue
C02554	blue
K00219	blue
K03595	blue
K03823	blue
K21109	blue
C05922	blue
C00836	blue
K00564	blue
G00002	blue
K02199	blue
K05592	blue
K16089	blue
K02333	blue
K02444	blue
C01112	blue
K03832	blue
K01945	blue
C19686	blue
K01176	blue
K11153	blue
K06136	blue
C04188	blue
K15525	blue
K00950	blue
K06073	blue
C00483	blue
K12951	blue
K13939	blue
K03565	blue
K00262	blue
C20238	blue
K06889	blue
K21065	blue
K00942	blue
K09800	blue
K15521	blue
K03426	blue
K08010	blue
K03286	blue
K05038	blue
G00428	blue
K07133	blue
C16265	blue
K22885	blue
C03125	blue
K01975	blue
K07748	blue
K00066	blue
K10810	blue
K12264	blue
K13043	blue
C12356	blue
K01809	blue
K11537	blue
K02484	blue
K21005	blue
K13012	blue
C21326	blue
K11528	blue
K00760	blue
K18189	blue
C21215	blue
C02222	blue
K08234	blue
K03298	blue
K03613	blue
C00126	blue
K01136	blue
K21562	blue
K00789	blue
K15318	blue
C00208	blue
K00554	blue
K05544	blue
K02823	blue
K01965	blue
C20451	blue
K00881	blue
K02551	blue
K19449	blue
K22223	blue
K00046	blue
K07704	blue
K00794	blue
K07182	blue
K18682	blue
K22004	blue
C19887	blue
C00264	blue
K11928	blue
K01867	blue
K05934	blue
K07821	blue
K07076	blue
C04598	blue
K12854	blue
C00887	blue
C00040	blue
C12366	blue
K23150	blue
K05046	blue
K23786	blue
C04932	blue
K21972	blue
C00091	blue
K03629	blue
K07192	blue
K02662	blue
K12990	blue
K09458	blue
G12573	blue
K11687	blue
C00940	blue
K02998	blue
K21275	blue
K11216	blue
K01624	blue
K00215	blue
K03169	blue
K01924	blue
K03091	blue
C21614	blue
K05373	blue
C00380	blue
K02843	blue
C05947	blue
K05297	blue
K23674	blue
C01935	blue
C05758	blue
C04442	blue
K06177	blue
C05756	blue
C00242	blue
K03110	blue
K00075	blue
K02479	blue
C01120	blue
K12055	blue
K20836	blue
C00002	blue
K01930	blue
K01133	blue
K21432	blue
C00030	blue
C00333	blue
K00759	blue
K02495	blue
K07652	blue
C20940	blue
K03773	blue
K00045	blue
K01411	blue
K02483	blue
C12739	blue
K00891	blue
K11894	blue
K12960	blue
C19673	blue
C00342	blue
K19955	blue
C20752	blue
K07659	blue
K03269	blue
C17949	blue
K19594	blue
K12450	blue
C11355	blue
C00692	blue
K01206	blue
K15999	blue
C20995	blue
C09813	blue
C21008	blue
C21898	blue
K02864	blue
K13402	blue
C00075	blue
C00666	blue
K05541	blue
K00188	blue
K21768	blue
K06044	blue
K21314	blue
K04767	blue
K18240	blue
K00999	blue
K01338	blue
C04377	blue
K05540	blue
C05404	blue
K20291	blue
K03402	blue
K06926	blue
K10762	blue
C05545	blue
K01881	blue
C04122	blue
K00038	blue
K05367	blue
K17884	blue
K03429	blue
K00748	blue
C18096	blue
K05365	blue
K03455	blue
K04618	blue
K06200	blue
K09504	blue
K06140	blue
C05814	blue
K03234	blue
C22136	blue
C00512	blue
K01173	blue
K18139	blue
K04308	blue
K07775	blue
K07110	blue
K20095	blue
K02428	blue
K03165	blue
K01803	blue
C00254	blue
C16519	blue
K03387	blue
C00411	blue
C01330	blue
K22278	blue
G00317	blue
K03046	blue
K00845	blue
C11827	blue
K02529	blue
K02569	blue
K07164	blue
K15050	blue
K01213	blue
K03399	blue
K07029	blue
K01771	blue
K06179	blue
K16708	blue
K08259	blue
K10829	blue
C21608	blue
C11927	blue
K15855	blue
K07031	blue
C00504	blue
C00979	blue
K00058	blue
C12835	blue
C19929	blue
C00334	blue
K03093	blue
C00862	blue
C11039	blue
K00561	blue
K22391	blue
C15556	blue
K03602	blue
K13694	blue
K04720	blue
K15437	blue
K03170	blue
K00876	blue
K01366	blue
K18557	blue
K18847	blue
K22871	blue
C05276	blue
K16515	blue
K21788	blue
C00139	blue
K19304	blue
K20997	blue
K01960	blue
C06006	blue
K23984	blue
K00248	blue
G13119	blue
K00855	blue
C04349	blue
K01462	blue
K15781	blue
K06669	blue
C00546	blue
K03354	blue
C04919	blue
C20933	blue
C20237	blue
K16918	blue
K21171	blue
K15545	blue
K19270	blue
K19970	blue
G13127	blue
K06871	blue
K18912	blue
K02563	blue
C00194	blue
K21396	blue
K18009	blue
K19954	blue
C06473	blue
K01968	blue
K12823	blue
C06250	blue
C15976	blue
K01465	blue
C18243	blue
K13431	blue
K14059	blue
K16705	blue
C19647	blue
K16327	blue
K01657	blue
C00079	blue
C00065	blue
K02347	blue
K20866	blue
K00354	blue
K21890	blue
K21071	blue
K15342	blue
C06041	blue
K05853	blue
K00666	blue
C04145	blue
K03711	blue
K17723	blue
K03802	blue
K10902	blue
K16639	blue
K02909	blue
K00568	blue
C05762	blue
K01808	blue
K00015	blue
K09015	blue
K16870	blue
C03539	blue
K10754	blue
K01576	blue
K18456	blue
K01506	blue
K01790	blue
K15378	blue
K22843	blue
C03112	blue
C00138	blue
K02836	blue
K10764	blue
K16846	blue
K01658	blue
K18989	blue
C02133	blue
K18673	blue
K04077	blue
K14261	blue
K22409	blue
C21652	blue
C05921	blue
G10555	blue
C21565	blue
K01539	blue
K01918	blue
K12982	blue
G09660	blue
K01497	blue
G13051	blue
C01289	blue
K16074	blue
K13937	blue
K01135	blue
K10763	blue
K04307	blue
K03496	blue
K23105	blue
C05746	blue
K03087	blue
K08302	blue
C04882	blue
C07087	blue
K11271	blue
K19158	blue
K19222	blue
C06210	blue
K04764	blue
C08362	blue
K23182	blue
C02714	blue
C00734	blue
K01939	blue
K01227	blue
K00611	blue
K01591	blue
C00681	blue
C15816	blue
K09610	blue
K20861	blue
K05830	blue
K03778	blue
C00423	blue
K04691	blue
K23352	blue
K11729	blue
C00128	blue
K06131	blue
K13319	blue
K08651	blue
C00233	blue
K07507	blue
C05898	blue
K22320	blue
K21064	blue
K00135	blue
C21488	blue
K00287	blue
K06927	blue
K03332	blue
K01870	blue
K04517	blue
K15727	blue
K05012	blue
K22044	blue
C03291	blue
C03492	blue
K01990	blue
K04034	blue
C03150	blue
C05546	blue
K03978	blue
C16631	blue
K22719	blue
K04249	blue
K07289	blue
C00130	blue
K00610	blue
C21607	blue
K01923	blue
K11808	blue
C12108	blue
K22982	blue
K03386	blue
G10008	blue
C03402	blue
K03308	blue
K01874	blue
K09817	blue
K13896	blue
K15765	blue
C20679	blue
C01101	blue
K03328	blue
C00270	blue
C21808	blue
K14798	blue
K16139	blue
K22132	blue
K00945	blue
C00081	blue
K01761	blue
K00313	blue
C00165	blue
C00159	blue
K09023	blue
K09650	blue
K22292	blue
C20419	blue
K05698	blue
K00057	blue
C03723	blue
K07570	blue
K18302	blue
C00811	blue
K00118	blue
K04041	blue
K04800	blue
K19349	blue
K09021	blue
K22345	blue
K22900	blue
K17641	blue
C00399	blue
K01594	blue
K00773	blue
K01190	blue
C06251	blue
K01745	blue
C00526	blue
K00283	blue
K04484	blue
K06378	blue
C15883	blue
C00117	blue
K13730	blue
K21571	blue
K00350	blue
C02967	blue
C05686	blue
C20357	blue
C21997	blue
K01436	blue
K00088	blue
K03702	blue
K16196	blue
K02552	blue
K18307	blue
C20969	blue
C01097	blue
K08956	blue
K19237	blue
K03183	blue
C00022	blue
C06760	blue
C12348	blue
K22108	blue
K03621	blue
K01740	blue
K03973	blue
K09651	blue
K21936	blue
K02959	blue
C03341	blue
K01995	blue
K01759	blue
K09569	blue
K00226	blue
K05366	blue
K07447	blue
K02066	blue
K12345	blue
C12455	blue
K08688	blue
C20466	blue
C00044	blue
K05887	blue
K01928	blue
K08223	blue
C00266	blue
G13043	blue
K00299	blue
K03544	blue
K04760	blue
K07319	blue
K07752	blue
K21356	blue
C05848	blue
K01868	blue
K00645	blue
C16220	blue
K01996	blue
K14444	blue
C00458	blue
K11416	blue
C16219	blue
K17250	blue
C16238	blue
K16248	blue
K12574	blue
C21336	blue
C00439	blue
K13798	blue
K07228	blue
C00860	blue
K12997	blue
K01839	blue
K01760	blue
K01728	blue
K07387	blue
C15547	blue
C02097	blue
C22161	blue
C03233	blue
K18908	blue
K00189	blue
K03617	blue
K02198	blue
K06175	blue
C00310	blue
K03270	blue
K06920	blue
K16052	blue
K22299	blue
K03469	blue
C00387	blue
K08138	blue
K09882	blue
K16899	blue
K05970	blue
C06224	blue
K10797	blue
K13787	blue
K23385	blue
C05712	blue
C01219	blue
C19885	blue
K22232	blue
C04462	blue
K01284	blue
K06949	blue
K15725	blue
C03794	blue
K12217	blue
K18534	blue
C19889	blue
K08669	blue
K13038	blue
K14188	blue
K03977	blue
K13954	blue
C11947	blue
K00850	blue
K13500	blue
C00685	blue
C06215	blue
K15270	blue
K05800	blue
K01368	blue
K02825	blue
K21168	blue
C05817	blue
K00969	blue
C00519	blue
K05835	blue
K01495	blue
G13060	blue
K01515	blue
K01448	blue
C05748	blue
C16399	blue
C00132	blue
C03453	blue
K01883	blue
C00364	blue
C04713	blue
C19794	blue
K07291	blue
K09704	blue
K07277	blue
C11481	blue
K14759	blue
K16695	blue
G10557	blue
K23183	blue
C02702	blue
K06993	blue
C00227	blue
K18355	blue
K07063	blue
K05679	blue
K23159	blue
K00169	blue
K00784	blue
K03089	blue
C03599	blue
K00571	blue
K02612	blue
K00034	blue
K07707	blue
K08295	blue
K00841	blue
K02548	blue
K09496	blue
K13531	blue
K16787	blue
C14772	blue
K15773	blue
C00185	blue
K23169	blue
C01304	blue
K04749	blue
C04732	blue
K07052	blue
K00818	blue
K21219	blue
C21452	blue
C15647	blue
K20977	blue
K00625	blue
K22457	blue
K15783	blue
K19329	blue
K15054	blue
C11540	blue
K15268	blue
K00661	blue
G13081	blue
K01872	blue
C05199	blue
K15379	blue
C02352	blue
K09612	blue
C00390	blue
C05312	blue
K03044	blue
K20777	blue
G13118	blue
K11787	blue
K14445	blue
K19353	blue
K21055	blue
G06302	blue
K16360	blue
C06124	blue
K15442	blue
K01708	blue
K06201	blue
K01746	blue
K09251	blue
K23304	blue
C04824	blue
K03715	blue
C00679	blue
K01214	blue
K03694	blue
K13797	blue
C19745	blue
K05828	blue
K01610	blue
K05657	blue
K01792	blue
K01144	blue
K13746	blue
K05617	blue
C01151	blue
K07679	blue
K21507	blue
K21227	blue
C00315	blue
K02945	blue
K03329	blue
C00143	blue
K21063	blue
K09820	blue
C05272	blue
K00220	blue
K01268	blue
K06153	blue
K07787	blue
K11527	blue
C02247	blue
C00459	blue
K06116	blue
C21873	blue
K00383	blue
K00901	blue
K00261	blue
K03813	blue
K00294	blue
C05691	blue
K18431	blue
K10678	blue
K22469	blue
C00921	blue
C06025	blue
K23227	blue
K05515	blue
K18555	blue
C06407	blue
C06128	blue
K10899	blue
K15269	blue
C00470	blue
K13277	blue
K02527	blue
K02065	blue
K00040	blue
K19427	blue
K04765	blue
C04691	blue
K19702	blue
K23233	blue
K22347	blue
K22857	blue
K12344	blue
C01267	blue
K09144	blue
K09826	blue
K03517	blue
C00262	blue
K21138	blue
K13006	blue
K01060	blue
K01358	blue
K03798	blue
K03287	blue
K03309	blue
K03774	blue
K12454	blue
C00489	blue
K00295	blue
K03584	blue
C00058	blue
K01051	blue
K02078	blue
K09973	blue
K12421	blue
K13990	blue
K15329	blue
K03734	blue
K01785	blue
C11062	blue
K22491	blue
C18305	blue
C16633	blue
K07714	blue
C01251	blue
C01163	blue
K07122	blue
C01455	blue
K03693	blue
K01236	blue
K07120	blue
K07533	blue
K16694	blue
C14773	blue
G00160	blue
K01438	blue
K01057	blue
K00880	blue
K05939	blue
K08635	blue
K15792	blue
C00042	blue
K19334	blue
C00024	blue
K02481	blue
K01129	blue
C00688	blue
C00012	blue
K01652	blue
