	0
K01002	blue
C00352	blue
C03912	blue
K03596	blue
C17211	blue
K10678	blue
C00080	blue
K09935	blue
C00153	blue
K07304	blue
K18533	blue
C00231	blue
K00048	blue
C19879	blue
K06074	blue
K00615	blue
K03734	blue
C00048	blue
C11039	blue
K02687	blue
K04076	blue
K01519	blue
K19954	blue
K07238	blue
K03455	blue
K16531	blue
C16612	blue
K03687	blue
K15865	blue
K11175	blue
K12999	blue
C22073	blue
K02973	blue
K02347	blue
K07097	blue
K07638	blue
K16696	blue
C22053	blue
C05983	blue
K10866	blue
K02501	blue
K03387	blue
K02945	blue
K11749	blue
K00018	blue
C05760	blue
K02479	blue
C04919	blue
C00245	blue
K02834	blue
C02565	blue
C01250	blue
K16792	blue
K03825	blue
K01091	blue
K12317	blue
K02040	blue
K03438	blue
C02191	blue
K14343	blue
K09494	blue
K00876	blue
K17998	blue
C00114	blue
K16786	blue
K08635	blue
K01708	blue
K23104	blue
C00218	blue
C16631	blue
C01219	blue
K03010	blue
C18096	blue
C16348	blue
K03388	blue
K18681	blue
K16246	blue
K00004	blue
K17471	blue
K03524	blue
K13566	blue
K00065	blue
K03732	blue
K03224	blue
K15379	blue
K00940	blue
K00188	blue
K07054	blue
K00652	blue
K20291	blue
K19424	blue
C05812	blue
C00310	blue
K19265	blue
K01001	blue
K16044	blue
K00523	blue
C16600	blue
K19312	blue
C00189	blue
K00262	blue
K02881	blue
K17486	blue
K01761	blue
K20388	blue
K15460	blue
K09748	blue
K20203	blue
C15979	blue
K15744	blue
K08322	blue
C05898	blue
C00032	blue
K00800	blue
C01113	blue
C00635	blue
C04153	blue
C12458	blue
K04516	blue
K06948	blue
K02958	blue
K07132	blue
C00887	blue
K00077	blue
K01081	blue
K17686	blue
K13730	blue
K03316	blue
C05533	blue
K15741	blue
C04807	blue
K18422	blue
C06251	blue
K07027	blue
K00857	blue
K01785	blue
K04652	blue
K13937	blue
C05332	blue
K03657	blue
K14157	blue
C15699	blue
K12987	blue
C04613	blue
K10907	blue
C21665	blue
C04932	blue
C00483	blue
K01948	blue
K11928	blue
K03320	blue
K02117	blue
K00958	blue
K17865	blue
K03088	blue
C20258	blue
K15765	blue
C01118	blue
K03798	blue
K00712	blue
K01214	blue
K01952	blue
K03500	blue
K16011	blue
K19422	blue
K10219	blue
K01155	blue
C00051	blue
K15050	blue
K03437	blue
K01653	blue
K01704	blue
K13319	blue
K19224	blue
K05828	blue
K00129	blue
K01244	blue
K01258	blue
C02463	blue
C16591	blue
C20751	blue
K03106	blue
K03490	blue
C21435	blue
K00919	blue
C19794	blue
C00004	blue
K08741	blue
C21113	blue
K16043	blue
K02854	blue
C03765	blue
K03787	blue
C02226	blue
K02878	blue
K01676	blue
K13403	blue
K21572	blue
K00249	blue
C16999	blue
K07014	blue
C12354	blue
C00156	blue
C05748	blue
K02614	blue
K13941	blue
K03803	blue
C00138	blue
K03273	blue
K21559	blue
K17837	blue
C15532	blue
K01678	blue
K00818	blue
K07291	blue
C04188	blue
K05589	blue
K18122	blue
K00966	blue
K01585	blue
K03522	blue
K03582	blue
C00647	blue
K03429	blue
C19881	blue
K00693	blue
K09503	blue
K14274	blue
K14341	blue
K01787	blue
C06023	blue
K01791	blue
C01080	blue
C00269	blue
K18912	blue
K01235	blue
K23683	blue
K00604	blue
K02004	blue
C02612	blue
K00790	blue
C06613	blue
C11545	blue
K00912	blue
K03297	blue
K21417	blue
C01302	blue
C01170	blue
K04752	blue
C01352	blue
K07459	blue
K00170	blue
K09458	blue
K07579	blue
K04020	blue
K03564	blue
C02737	blue
C14099	blue
K17757	blue
C00071	blue
K03296	blue
K08585	blue
C05703	blue
C00966	blue
K06374	blue
K19755	blue
K00067	blue
K01972	blue
K05516	blue
C01330	blue
K01150	blue
K04749	blue
K01776	blue
K02041	blue
C00065	blue
C05307	blue
C00544	blue
K00425	blue
C20253	blue
C20582	blue
K13745	blue
K18003	blue
K17420	blue
K03169	blue
K09065	blue
K08309	blue
K01361	blue
C04287	blue
K03763	blue
C00249	blue
C16634	blue
C03402	blue
K01560	blue
K23169	blue
C02474	blue
K03723	blue
K01631	blue
C00877	blue
C00615	blue
C05762	blue
K07679	blue
C06193	blue
K06949	blue
K03074	blue
K07560	blue
K19109	blue
C11435	blue
K03270	blue
K01216	blue
C00152	blue
K03307	blue
C00637	blue
C00040	blue
C04121	blue
K00348	blue
K12823	blue
K06175	blue
C04442	blue
C00198	blue
K03545	blue
C00387	blue
C00519	blue
K20237	blue
K21055	blue
K16899	blue
K09698	blue
K02500	blue
K10764	blue
C06010	blue
K01557	blue
K06915	blue
C04089	blue
G13118	blue
K02032	blue
K01755	blue
C02266	blue
K05887	blue
K17758	blue
K23014	blue
K01934	blue
C00984	blue
C00030	blue
K06132	blue
K22982	blue
K23842	blue
K15779	blue
K01923	blue
K00862	blue
K06136	blue
K01610	blue
K03570	blue
C00111	blue
C05753	blue
K07720	blue
C00074	blue
K18758	blue
K02835	blue
K18700	blue
K18969	blue
K00189	blue
G10920	blue
C05892	blue
C00026	blue
K02051	blue
K07709	blue
C00270	blue
C19929	blue
K15727	blue
K16698	blue
K03814	blue
K09810	blue
K00759	blue
K03711	blue
K08981	blue
K00278	blue
C05763	blue
C16597	blue
C03742	blue
K06020	blue
K02377	blue
K12657	blue
K00950	blue
C03604	blue
C00441	blue
K18234	blue
C00399	blue
K21419	blue
K01209	blue
K05045	blue
C00137	blue
C00445	blue
C00438	blue
K21210	blue
K07331	blue
C06081	blue
C06625	blue
K02874	blue
K00282	blue
K03601	blue
K04764	blue
K16052	blue
K08070	blue
K01809	blue
K02147	blue
C04896	blue
K01195	blue
K01847	blue
C00760	blue
K02897	blue
K16210	blue
C21957	blue
K07566	blue
C00692	blue
K03588	blue
K04773	blue
C00166	blue
K15022	blue
C16789	blue
K06973	blue
K05591	blue
C02642	blue
K01285	blue
K09808	blue
K01056	blue
K21682	blue
K19702	blue
K17609	blue
C00204	blue
K18650	blue
K01652	blue
K12251	blue
K15888	blue
C00502	blue
C00655	blue
K01453	blue
K07005	blue
K19349	blue
C00101	blue
K09022	blue
K01372	blue
K12735	blue
K07432	blue
K23095	blue
C05852	blue
K03267	blue
K13004	blue
K20846	blue
C04638	blue
K08253	blue
K02016	blue
C01132	blue
K05788	blue
K01493	blue
K18205	blue
C04832	blue
G00109	blue
C05746	blue
C00124	blue
C16502	blue
C06006	blue
C00680	blue
K12308	blue
C18007	blue
K04772	blue
K15778	blue
K16898	blue
K01918	blue
C00077	blue
C04132	blue
K01147	blue
K00076	blue
K08723	blue
K08010	blue
K02911	blue
K15332	blue
