	0
K20470	blue
K17103	blue
K00877	blue
K01633	blue
C17439	blue
C03657	blue
K21038	blue
G12573	blue
K06223	blue
K06889	blue
K22900	blue
K23152	blue
C01929	blue
C03492	blue
C12356	blue
K03365	blue
K10956	blue
K05604	blue
K04083	blue
K02077	blue
K02652	blue
K01876	blue
K14575	blue
K18843	blue
K07460	blue
K00480	blue
C06504	blue
K01655	blue
K01807	blue
K21460	blue
K22175	blue
C11830	blue
C00135	blue
C20247	blue
C06024	blue
K14154	blue
K01153	blue
C00083	blue
C02741	blue
K00973	blue
K03240	blue
K11787	blue
K02958	blue
K11606	blue
K09607	blue
C00011	blue
C15810	blue
K00619	blue
K22306	blue
C06423	blue
K01515	blue
K07091	blue
C04352	blue
C19888	blue
C00624	blue
K22441	blue
K09817	blue
C00166	blue
C03461	blue
K09748	blue
K00293	blue
K13298	blue
K14187	blue
C00009	blue
C17322	blue
K13670	blue
K11753	blue
K06335	blue
K10117	blue
K07755	blue
K00979	blue
K19425	blue
K00951	blue
K03715	blue
K20283	blue
K03413	blue
C02843	blue
C00103	blue
K03072	blue
C05431	blue
C01269	blue
K03517	blue
K06287	blue
K04115	blue
K03823	blue
C03838	blue
K03654	blue
K07358	blue
K21919	blue
C15672	blue
K02014	blue
K05559	blue
K14153	blue
K08259	blue
K01819	blue
K08969	blue
K03164	blue
K15539	blue
K09575	blue
C21767	blue
K04767	blue
K18472	blue
K22478	blue
K16370	blue
K01224	blue
K00364	blue
C00041	blue
K19576	blue
C20372	blue
C16155	blue
K18947	blue
K14213	blue
K23258	blue
C06006	blue
K02948	blue
C00673	blue
K02314	blue
K01929	blue
K18968	blue
K12823	blue
K00841	blue
K19869	blue
C00448	blue
C00168	blue
C21018	blue
K14051	blue
K01420	blue
K22457	blue
K00566	blue
K20491	blue
K08641	blue
C04376	blue
K02034	blue
K00694	blue
K23510	blue
K03749	blue
C00061	blue
C00060	blue
K07668	blue
K03742	blue
K00720	blue
K21397	blue
C04677	blue
K15924	blue
K17329	blue
K18672	blue
C00197	blue
K13984	blue
C05804	blue
K05679	blue
K20093	blue
K07459	blue
C03112	blue
C00323	blue
C12350	blue
K00813	blue
K11416	blue
K21071	blue
K11126	blue
K12994	blue
K02663	blue
K07758	blue
K04095	blue
C19802	blue
K09973	blue
K13815	blue
K14081	blue
K01829	blue
K20628	blue
K07799	blue
K03884	blue
K02237	blue
K00234	blue
K09815	blue
K03630	blue
K10380	blue
K01972	blue
K10844	blue
C05235	blue
K07114	blue
K14810	blue
C16632	blue
K14394	blue
K00980	blue
K02584	blue
K15503	blue
K06945	blue
K02160	blue
C05199	blue
K02315	blue
K05578	blue
K00184	blue
K16815	blue
K18988	blue
C15881	blue
K03579	blue
C00286	blue
K22158	blue
K08282	blue
K14163	blue
C00191	blue
K07720	blue
K01308	blue
C20419	blue
K03308	blue
K01297	blue
K11928	blue
C11907	blue
C17432	blue
K14859	blue
K01190	blue
K22223	blue
K22161	blue
C21988	blue
C00655	blue
K03466	blue
C03427	blue
K19969	blue
K07053	blue
C00079	blue
C05751	blue
C00864	blue
C20914	blue
K03281	blue
K16052	blue
C00167	blue
K00335	blue
K14386	blue
C21861	blue
K06994	blue
K00207	blue
K08358	blue
C01046	blue
K01089	blue
K06183	blue
C16392	blue
K01886	blue
K13001	blue
K21591	blue
K01139	blue
K00754	blue
C00233	blue
K23676	blue
K02563	blue
K01192	blue
K06378	blue
C20752	blue
C05527	blue
C02984	blue
K18704	blue
K15711	blue
C00069	blue
K12504	blue
K00931	blue
K07979	blue
K11392	blue
K07647	blue
K11444	blue
K13408	blue
K15268	blue
C20969	blue
K03545	blue
C16156	blue
K15269	blue
C06025	blue
K12991	blue
C21027	blue
K12319	blue
K09125	blue
K23002	blue
C00154	blue
C00120	blue
C05430	blue
K01079	blue
C05726	blue
C05809	blue
K05685	blue
C15977	blue
K09808	blue
C00206	blue
C01194	blue
K00568	blue
K14597	blue
K00286	blue
K02005	blue
K04076	blue
K10947	blue
K01000	blue
K04484	blue
K18231	blue
K00559	blue
K01631	blue
K02864	blue
K19855	blue
K22298	blue
C00130	blue
C00169	blue
C04260	blue
K20469	blue
K01525	blue
K01880	blue
K22452	blue
K01769	blue
K03621	blue
C16619	blue
K13378	blue
C00267	blue
K11783	blue
K02505	blue
G10545	blue
K03767	blue
K07443	blue
K03547	blue
K02952	blue
K06192	blue
K06943	blue
K12634	blue
K03609	blue
K04752	blue
K03798	blue
K11381	blue
K12988	blue
K03684	blue
K07132	blue
K10037	blue
K02172	blue
K16566	blue
K03699	blue
K03711	blue
K14596	blue
C00399	blue
