	0
K09797	blue
K05878	blue
K03478	blue
C04233	blue
C00691	blue
K23123	blue
K05298	blue
K04070	blue
K18347	blue
K12983	blue
K02003	blue
K20861	blue
K08734	blue
K00293	blue
K09711	blue
K04477	blue
K11271	blue
K23242	blue
K17677	blue
K14154	blue
K03307	blue
K10977	blue
K06925	blue
C02137	blue
C00413	blue
K03070	blue
K01501	blue
C21300	blue
K14387	blue
K01737	blue
K15059	blue
K06207	blue
K00929	blue
C15556	blue
C00365	blue
C12434	blue
K01054	blue
K11203	blue
K13831	blue
K19597	blue
K00180	blue
K07706	blue
C04294	blue
C05455	blue
K14163	blue
C00179	blue
K19689	blue
K06167	blue
K14454	blue
K19064	blue
K07270	blue
K12500	blue
K03712	blue
K05587	blue
C01117	blue
K07158	blue
C20642	blue
K00172	blue
K06675	blue
K01941	blue
K10598	blue
K00261	blue
K02488	blue
K00973	blue
K03438	blue
K12282	blue
K03455	blue
K05592	blue
K00076	blue
K00773	blue
K03439	blue
K03672	blue
K14445	blue
K06156	blue
K00015	blue
K12235	blue
K01646	blue
K02072	blue
K22068	blue
K15792	blue
K22311	blue
K02624	blue
K23239	blue
C12739	blue
G13060	blue
C00143	blue
K15332	blue
K11076	blue
K06897	blue
K00128	blue
K23188	blue
K12999	blue
K01586	blue
C12624	blue
C04748	blue
K08688	blue
K11594	blue
C05699	blue
K00640	blue
K02838	blue
K20539	blue
K13643	blue
K07638	blue
K03655	blue
C00559	blue
K10038	blue
K15868	blue
K00219	blue
K08641	blue
K15067	blue
K14120	blue
K03570	blue
K12448	blue
C21461	blue
K02981	blue
K22199	blue
C00860	blue
C03715	blue
C04824	blue
K07568	blue
K21394	blue
C05165	blue
K17680	blue
K00006	blue
K02067	blue
K03458	blue
K05896	blue
K00969	blue
K18940	blue
K02077	blue
K12543	blue
K02006	blue
K13616	blue
C04225	blue
K01857	blue
C00741	blue
K19115	blue
K11687	blue
K00544	blue
K03206	blue
K06180	blue
K21681	blue
K02240	blue
K11145	blue
K00681	blue
K10524	blue
C06426	blue
K11530	blue
C00133	blue
K00826	blue
K02507	blue
K07560	blue
C20249	blue
C00096	blue
C01180	blue
K01759	blue
K06024	blue
K00895	blue
C00881	blue
K03431	blue
K21749	blue
K02560	blue
C17949	blue
K05648	blue
K07736	blue
K14660	blue
K15873	blue
K07823	blue
K09762	blue
K15269	blue
K10863	blue
K19828	blue
C06250	blue
C01345	blue
K09792	blue
K18787	blue
K14681	blue
K21787	blue
K02356	blue
K02479	blue
K11924	blue
C00062	blue
K04113	blue
K13641	blue
K01869	blue
K12310	blue
C05925	blue
C02170	blue
C16631	blue
K02996	blue
K05809	blue
K06073	blue
K13049	blue
K16044	blue
K21910	blue
K07566	blue
K00991	blue
K00880	blue
K03565	blue
C16221	blue
K06950	blue
K09473	blue
K21564	blue
K03780	blue
K09584	blue
C11436	blue
K13810	blue
K08310	blue
K16849	blue
K11931	blue
K08068	blue
K02278	blue
C00160	blue
K06184	blue
K02040	blue
K16908	blue
K02935	blue
K00728	blue
K01439	blue
K08308	blue
K19134	blue
K01304	blue
K21472	blue
C05746	blue
K23481	blue
K15555	blue
K10005	blue
K14393	blue
K09883	blue
K14160	blue
K07313	blue
K19789	blue
K00299	blue
K20265	blue
C00207	blue
K14541	blue
C04752	blue
K04765	blue
K21919	blue
C20896	blue
K00962	blue
C06187	blue
K01440	blue
C02737	blue
K09696	blue
K00703	blue
C00876	blue
K13788	blue
K11165	blue
K02106	blue
K03387	blue
K18908	blue
C01051	blue
C03859	blue
K05245	blue
K02217	blue
K03210	blue
K00303	blue
K19312	blue
K06898	blue
C21995	blue
K00020	blue
K02574	blue
K07096	blue
K08485	blue
K02601	blue
C03684	blue
C06473	blue
C05951	blue
C11827	blue
C16583	blue
K02239	blue
K19118	blue
K00651	blue
K01656	blue
K02961	blue
K23078	blue
K11960	blue
C15914	blue
K01004	blue
K16514	blue
K00609	blue
K00794	blue
C15977	blue
K03823	blue
K03719	blue
K00455	blue
K12406	blue
C00258	blue
C20796	blue
