	0
K21898	blue
C00999	blue
K00087	blue
K09705	blue
K00611	blue
K02318	blue
C01112	blue
C06876	blue
K02688	blue
K18325	blue
K12943	blue
K01142	blue
K19597	blue
K03825	blue
K03334	blue
K11185	blue
C00075	blue
K03583	blue
C05645	blue
K02970	blue
K03353	blue
K01914	blue
K06597	blue
C00561	blue
K13013	blue
K00901	blue
C00245	blue
K12267	blue
K06373	blue
K01933	blue
K19702	blue
K03529	blue
K07478	blue
K00046	blue
K18786	blue
K06872	blue
K03601	blue
K07707	blue
K13310	blue
K12309	blue
C02939	blue
K16567	blue
K02897	blue
C03892	blue
K01956	blue
K03047	blue
C00163	blue
K07611	blue
K14592	blue
C04438	blue
K02488	blue
K06394	blue
K19970	blue
K13771	blue
C15977	blue
C05307	blue
K07823	blue
K15341	blue
K15738	blue
C01024	blue
K12941	blue
K16788	blue
K17816	blue
K00384	blue
K12278	blue
K14153	blue
K01770	blue
C08491	blue
K10797	blue
K07305	blue
K10771	blue
C00009	blue
C19843	blue
C00647	blue
C19153	blue
K00999	blue
K09579	blue
K06413	blue
K10942	blue
K11121	blue
K15831	blue
K10190	blue
K03744	blue
C04501	blue
C03221	blue
K13892	blue
K01190	blue
K01947	blue
K01738	blue
K08234	blue
K07320	blue
C00091	blue
K21224	blue
C06041	blue
C19848	blue
C03561	blue
K03640	blue
K15576	blue
K03831	blue
C11355	blue
K12252	blue
C00015	blue
C01356	blue
C20582	blue
K22405	blue
K11142	blue
K15526	blue
K19302	blue
C02291	blue
C00179	blue
C04181	blue
K13921	blue
K12641	blue
K18691	blue
K02788	blue
C03794	blue
K20469	blue
K01608	blue
K03924	blue
K00170	blue
K02814	blue
K07284	blue
C04230	blue
K20849	blue
K01630	blue
C06508	blue
K03225	blue
K05934	blue
K10855	blue
K01756	blue
C00642	blue
C00409	blue
K10112	blue
K03074	blue
C05223	blue
K11634	blue
K10716	blue
K22508	blue
K21053	blue
K07009	blue
K14026	blue
K22010	blue
K13037	blue
K03612	blue
C00206	blue
K13280	blue
C19945	blue
K06177	blue
K07457	blue
K08693	blue
K03342	blue
C05746	blue
C00027	blue
C04646	blue
K01662	blue
C00155	blue
K08998	blue
C12108	blue
K22296	blue
K07658	blue
C20796	blue
