	0
C21608	blue
K00127	blue
C21603	blue
K00053	blue
K03111	blue
K23379	blue
K01693	blue
K13799	blue
K16169	blue
K01692	blue
C06321	blue
C00018	blue
K10007	blue
K14057	blue
K02072	blue
C00165	blue
K02587	blue
C21999	blue
C00455	blue
C12215	blue
K08326	blue
C20249	blue
K02982	blue
K22549	blue
K14986	blue
K03543	blue
C00399	blue
K00756	blue
C00681	blue
K14613	blue
K17363	blue
C00039	blue
K09011	blue
K18209	blue
K21739	blue
K00789	blue
K21618	blue
K03685	blue
K14444	blue
C00101	blue
K21993	blue
K00242	blue
K03699	blue
K09251	blue
K09458	blue
C01013	blue
K03327	blue
K18232	blue
K06173	blue
K00796	blue
K02112	blue
K00003	blue
C00049	blue
C11453	blue
K02467	blue
C01151	blue
K02535	blue
C20641	blue
C22155	blue
C21008	blue
K04018	blue
K08966	blue
C02992	blue
C01205	blue
K23228	blue
K18770	blue
C01335	blue
K13668	blue
K03437	blue
K23010	blue
K18593	blue
C02612	blue
K00790	blue
K02342	blue
K02335	blue
C05924	blue
K09065	blue
K17103	blue
C05198	blue
K16785	blue
C00094	blue
K01392	blue
K05807	blue
K14054	blue
K03814	blue
C19846	blue
K01954	blue
K01770	blue
C00059	blue
K00382	blue
K00759	blue
K09903	blue
K08365	blue
C00341	blue
C00178	blue
K20530	blue
C01268	blue
K02025	blue
C04257	blue
K02598	blue
K09017	blue
K21002	blue
K18948	blue
C06056	blue
K03503	blue
C05651	blue
K02519	blue
K03599	blue
K14058	blue
K02400	blue
K01845	blue
K01966	blue
K04562	blue
K07658	blue
C20831	blue
K17217	blue
K02052	blue
K22246	blue
K01507	blue
K07094	blue
K13797	blue
K14153	blue
K14267	blue
C02798	blue
C20423	blue
K13316	blue
C01104	blue
K13940	blue
K11752	blue
K01667	blue
K01256	blue
K03695	blue
K11071	blue
K01993	blue
C06142	blue
K08698	blue
K21561	blue
C00448	blue
K22024	blue
C04554	blue
K00023	blue
C01801	blue
K01894	blue
C00670	blue
K02434	blue
K07403	blue
K07003	blue
C00096	blue
K19134	blue
K00014	blue
K08484	blue
C00036	blue
K15778	blue
K13049	blue
K20801	blue
C02741	blue
K13819	blue
K05362	blue
K03701	blue
K01126	blue
K18927	blue
K22081	blue
C06615	blue
K06306	blue
C00679	blue
K18268	blue
K03559	blue
K01714	blue
C06567	blue
K05515	blue
K05794	blue
C05335	blue
K03639	blue
K03310	blue
C06196	blue
C20238	blue
K06147	blue
K05597	blue
K00208	blue
C00146	blue
K00124	blue
K03600	blue
C03402	blue
K03223	blue
K12634	blue
K07645	blue
C00148	blue
C18641	blue
C01825	blue
K13278	blue
C15975	blue
K03455	blue
K18298	blue
K02005	blue
K17883	blue
K13048	blue
C01250	blue
K23380	blue
K08177	blue
K06006	blue
C04823	blue
C04002	blue
K03678	blue
C16587	blue
C20651	blue
K03164	blue
K03091	blue
K03116	blue
K07679	blue
K10439	blue
K13787	blue
C02512	blue
K03772	blue
K01930	blue
K01738	blue
K03224	blue
K05838	blue
K02200	blue
K12961	blue
C15980	blue
K18889	blue
C00527	blue
K11711	blue
C00540	blue
K02483	blue
K19954	blue
C00121	blue
C07095	blue
K02017	blue
K05298	blue
K00172	blue
K03775	blue
K13771	blue
K16267	blue
K03825	blue
K05798	blue
K09807	blue
K14664	blue
K11391	blue
K01167	blue
K09575	blue
K02132	blue
K12573	blue
K21375	blue
K13800	blue
K19789	blue
C00328	blue
K02601	blue
K01451	blue
C02637	blue
C16477	blue
C04652	blue
C02839	blue
K12954	blue
K18199	blue
K01942	blue
K14667	blue
K19142	blue
C00002	blue
K01258	blue
K07536	blue
C22053	blue
K01784	blue
K12067	blue
K13315	blue
K23383	blue
K11690	blue
C02091	blue
C21878	blue
K03089	blue
C04640	blue
C12481	blue
K02010	blue
C04896	blue
K00013	blue
C00365	blue
K00065	blue
K01092	blue
C05345	blue
K03567	blue
K07058	blue
C20199	blue
K10549	blue
K01598	blue
K04748	blue
K06179	blue
K05589	blue
K07313	blue
C06157	blue
K13402	blue
K05835	blue
C14806	blue
C00566	blue
C05946	blue
K14657	blue
K01533	blue
K08160	blue
C05212	blue
K01557	blue
K03229	blue
K20712	blue
C19694	blue
K03100	blue
K15226	blue
C06021	blue
K00130	blue
K00029	blue
C21881	blue
K01814	blue
C05768	blue
K01295	blue
C02835	blue
C20375	blue
K12504	blue
K03222	blue
C06720	blue
K06378	blue
K03972	blue
C05760	blue
K17768	blue
K15460	blue
K08325	blue
K06442	blue
C02191	blue
K17884	blue
K15256	blue
K03680	blue
K00805	blue
K03298	blue
K15023	blue
C03393	blue
C00828	blue
K17214	blue
C17211	blue
K00861	blue
C00044	blue
K07084	blue
K01873	blue
K03636	blue
G13035	blue
K01677	blue
C05688	blue
K22510	blue
K01610	blue
C16631	blue
K00220	blue
K03299	blue
K12909	blue
K12442	blue
K13853	blue
K02160	blue
K02113	blue
K10810	blue
K05544	blue
K17880	blue
K12507	blue
C01213	blue
C00332	blue
K00947	blue
K12736	blue
K07133	blue
C00224	blue
K20543	blue
K21138	blue
K01683	blue
K01855	blue
K20616	blue
C00719	blue
C01050	blue
K06867	blue
C00013	blue
K02493	blue
K12975	blue
C03541	blue
K07321	blue
K11755	blue
C03920	blue
K06980	blue
K07192	blue
K07816	blue
K08344	blue
C00081	blue
C05635	blue
K01684	blue
K02448	blue
C16476	blue
C01269	blue
