	0
K02028	blue
C21215	blue
C00218	blue
K15474	blue
K11710	blue
K03106	blue
C03125	blue
K06950	blue
K03543	blue
C16634	blue
K15050	blue
C02972	blue
C00568	blue
K02225	blue
C00668	blue
K03294	blue
K19975	blue
C06567	blue
K21889	blue
K11934	blue
K05970	blue
K05367	blue
K21850	blue
C05684	blue
C02051	blue
C01081	blue
K10710	blue
K02111	blue
K07571	blue
K15634	blue
K19970	blue
C12441	blue
K02078	blue
K12143	blue
K09748	blue
K13013	blue
C00455	blue
K19781	blue
K00188	blue
K01130	blue
K19425	blue
C21999	blue
C05583	blue
K01990	blue
K02429	blue
C00091	blue
K09552	blue
K18604	blue
K19602	blue
K03503	blue
K03770	blue
C12203	blue
K07776	blue
K01693	blue
K02110	blue
K08969	blue
C11437	blue
K09939	blue
K01537	blue
C04916	blue
K23508	blue
K02878	blue
K03517	blue
K01104	blue
C05754	blue
K01627	blue
K14539	blue
K15475	blue
K02913	blue
K03879	blue
K21311	blue
K03954	blue
K16165	blue
C21607	blue
K02969	blue
K02508	blue
K18903	blue
K20202	blue
C00010	blue
C06113	blue
C05756	blue
K14430	blue
K07138	blue
K07320	blue
K14724	blue
K18231	blue
K08299	blue
K17069	blue
C11910	blue
K00330	blue
K10027	blue
C16469	blue
K00282	blue
K04767	blue
K03281	blue
K18189	blue
K00884	blue
K13998	blue
C05770	blue
K21672	blue
K09696	blue
K10901	blue
K00065	blue
K07056	blue
K00611	blue
K05364	blue
C00295	blue
C03028	blue
G13119	blue
K00796	blue
K01607	blue
K02996	blue
K21071	blue
K00156	blue
K12503	blue
C00140	blue
K14717	blue
C05430	blue
C20373	blue
K23984	blue
K13403	blue
C19802	blue
C20969	blue
K01153	blue
K05362	blue
C02714	blue
K07214	blue
C00085	blue
K06925	blue
K22226	blue
K06207	blue
G10557	blue
K11739	blue
K05807	blue
K21168	blue
K06999	blue
K01409	blue
K09021	blue
K21572	blue
C17556	blue
K07491	blue
K13896	blue
C00673	blue
C00099	blue
C04186	blue
K19530	blue
C21017	blue
C02412	blue
C05198	blue
K03648	blue
K10772	blue
K07007	blue
K01216	blue
K01208	blue
K03742	blue
K13684	blue
C03691	blue
K03878	blue
C00030	blue
K11936	blue
C21029	blue
K01438	blue
K01835	blue
K00023	blue
K14708	blue
K23121	blue
C05379	blue
C20582	blue
K00215	blue
C19885	blue
K19422	blue
K14206	blue
C05759	blue
C04702	blue
K01694	blue
C20359	blue
C01762	blue
K22164	blue
K15437	blue
K19954	blue
C06032	blue
K05356	blue
K14394	blue
K04759	blue
K01911	blue
K09817	blue
K07679	blue
K10421	blue
K00286	blue
K12373	blue
K05365	blue
K09861	blue
C07838	blue
K13797	blue
K00288	blue
K09117	blue
K01737	blue
K07577	blue
C00071	blue
K00841	blue
K02564	blue
C21621	blue
K08484	blue
K02938	blue
K15526	blue
C00630	blue
K06177	blue
K09474	blue
C19647	blue
K13866	blue
C04558	blue
C11925	blue
K02536	blue
K06977	blue
K03326	blue
K21138	blue
C15814	blue
C00864	blue
K17653	blue
K16639	blue
C05414	blue
C00636	blue
C00255	blue
K03763	blue
K13532	blue
K18979	blue
K09800	blue
K06218	blue
K02894	blue
K04765	blue
K10900	blue
C00036	blue
K02004	blue
K02834	blue
C02953	blue
K19312	blue
K03733	blue
C04652	blue
K03927	blue
K12526	blue
K07182	blue
K12991	blue
C03723	blue
K01966	blue
K03551	blue
K04761	blue
K13939	blue
C00155	blue
C16587	blue
K12737	blue
C16480	blue
K03500	blue
K00341	blue
K03420	blue
K03565	blue
K04034	blue
C00688	blue
K01855	blue
K08798	blue
K22684	blue
K01947	blue
C04613	blue
K12055	blue
K07658	blue
C00047	blue
C00345	blue
C00454	blue
K02467	blue
K08282	blue
K15973	blue
K01715	blue
C05892	blue
C19694	blue
K06891	blue
C05814	blue
K06911	blue
C21008	blue
K00082	blue
K00992	blue
K04518	blue
K14726	blue
K03702	blue
K00564	blue
C20466	blue
C00415	blue
C05639	blue
K10808	blue
K11641	blue
K02863	blue
C20416	blue
K03658	blue
K22807	blue
K03852	blue
K00784	blue
C16702	blue
K21147	blue
K19429	blue
K03498	blue
K02115	blue
K22540	blue
C00083	blue
C06481	blue
K19647	blue
K02968	blue
K01057	blue
C11173	blue
K16150	blue
K00791	blue
K17884	blue
C22159	blue
K00205	blue
C16220	blue
K19304	blue
K14571	blue
C00117	blue
K02959	blue
K05787	blue
C15699	blue
K19267	blue
K17732	blue
K07748	blue
C04376	blue
C01345	blue
K01586	blue
K03596	blue
K19223	blue
K15353	blue
K01495	blue
K19353	blue
C00527	blue
C00031	blue
C19692	blue
C00655	blue
K00648	blue
K00852	blue
K09812	blue
C00147	blue
C21453	blue
C03170	blue
K16922	blue
K02925	blue
C20581	blue
K22024	blue
K04485	blue
K13789	blue
K00176	blue
K23270	blue
C21137	blue
C05272	blue
K00946	blue
K19302	blue
K01937	blue
K03562	blue
K09569	blue
K18906	blue
G12573	blue
C15972	blue
K06913	blue
C06002	blue
K01893	blue
C01107	blue
K02500	blue
K22296	blue
K07033	blue
K07175	blue
K21459	blue
C00151	blue
C02504	blue
K08787	blue
K16436	blue
K19418	blue
C01180	blue
C00138	blue
C00966	blue
C01120	blue
C11829	blue
K12977	blue
K21972	blue
C00131	blue
C00330	blue
C20327	blue
C12739	blue
K13884	blue
K00857	blue
C16348	blue
K15520	blue
K13010	blue
K11939	blue
C02988	blue
C11920	blue
K00158	blue
C17211	blue
K09527	blue
K18779	blue
C00212	blue
C04281	blue
K23734	blue
K13522	blue
K06185	blue
K21514	blue
C00199	blue
K16474	blue
C04349	blue
K02015	blue
K03601	blue
K07278	blue
C20897	blue
C00620	blue
K13017	blue
K02945	blue
K10524	blue
C04732	blue
K01890	blue
K21636	blue
C00033	blue
C02934	blue
K18591	blue
K02501	blue
K09504	blue
K08162	blue
K13416	blue
K22745	blue
K01924	blue
C16664	blue
K02965	blue
K13380	blue
K03328	blue
K05784	blue
C00721	blue
C00460	blue
C15606	blue
K01647	blue
K03470	blue
K13668	blue
C14610	blue
K08372	blue
K01915	blue
K08289	blue
K20419	blue
K07979	blue
K02016	blue
K19854	blue
K00566	blue
C00543	blue
G10545	blue
K01006	blue
K06823	blue
K23750	blue
K00177	blue
K13810	blue
C00446	blue
K00525	blue
K07091	blue
K13004	blue
K03651	blue
K02499	blue
K03342	blue
K00026	blue
K13726	blue
C01079	blue
C00055	blue
K12508	blue
K00315	blue
K17623	blue
K01856	blue
K02558	blue
K08651	blue
C06400	blue
C05544	blue
K01689	blue
K02843	blue
C00135	blue
C18174	blue
K03602	blue
K05361	blue
K12339	blue
G10620	blue
K07137	blue
C00468	blue
C05528	blue
C00458	blue
C07090	blue
K16554	blue
C02527	blue
K09818	blue
K13830	blue
K01663	blue
C17691	blue
K13431	blue
K19270	blue
K05685	blue
K11938	blue
K08153	blue
C21084	blue
K01775	blue
K21467	blue
K02904	blue
K03774	blue
K00903	blue
C00309	blue
K17870	blue
K05298	blue
C04896	blue
K00260	blue
C00490	blue
K17250	blue
K17995	blue
C00645	blue
C19929	blue
K06180	blue
C00160	blue
C00020	blue
C11638	blue
K00350	blue
K08308	blue
K05515	blue
K09761	blue
K11941	blue
K04342	blue
K01652	blue
K11927	blue
K02357	blue
K05788	blue
K01576	blue
C00185	blue
K04516	blue
C03979	blue
K01883	blue
K03819	blue
K00557	blue
K05801	blue
K02099	blue
K11719	blue
K14689	blue
C02090	blue
K03553	blue
K11600	blue
K23095	blue
C04713	blue
K11206	blue
C00003	blue
K11126	blue
K22339	blue
C03794	blue
K01408	blue
K21007	blue
C00242	blue
K17840	blue
K03315	blue
K03654	blue
K20712	blue
K03182	blue
C03160	blue
K09577	blue
K02902	blue
K03183	blue
K06921	blue
K12409	blue
K15013	blue
K11186	blue
K15888	blue
C00357	blue
K15067	blue
C00001	blue
K03606	blue
K03207	blue
K05824	blue
K03547	blue
K06223	blue
K12421	blue
C03862	blue
K18902	blue
C00133	blue
C05746	blue
C03082	blue
C03912	blue
K01407	blue
C11827	blue
C02960	blue
K15234	blue
K01282	blue
K06946	blue
K00859	blue
K07059	blue
K20021	blue
K05582	blue
K09835	blue
K18233	blue
C00128	blue
K01193	blue
K17398	blue
K04567	blue
K03972	blue
K09811	blue
K16318	blue
K03168	blue
C17227	blue
C01563	blue
K17213	blue
K00789	blue
C21310	blue
K07258	blue
C00380	blue
K01875	blue
C20654	blue
K13749	blue
C01185	blue
C00666	blue
C18096	blue
C04146	blue
K05800	blue
C00192	blue
K07718	blue
K14536	blue
C00198	blue
K03087	blue
C20941	blue
C01636	blue
K06179	blue
K02469	blue
G13060	blue
K12944	blue
K10715	blue
K04096	blue
C00092	blue
K00876	blue
K16267	blue
C00063	blue
K15329	blue
K13984	blue
K15779	blue
K13533	blue
K03641	blue
K21677	blue
K20207	blue
C00617	blue
K17722	blue
C04742	blue
K00874	blue
K00962	blue
C06054	blue
K01080	blue
K00754	blue
K09503	blue
K02888	blue
G00099	blue
K00162	blue
K11527	blue
C17212	blue
K00688	blue
K18208	blue
C15996	blue
K02890	blue
K00018	blue
K13640	blue
C16393	blue
K23514	blue
C00294	blue
K00901	blue
K00299	blue
C11838	blue
K20697	blue
C04260	blue
K06965	blue
K07301	blue
C01151	blue
C00984	blue
K21502	blue
K16087	blue
C04043	blue
K03697	blue
K11431	blue
K05850	blue
K02478	blue
K03555	blue
C02097	blue
K01939	blue
C00065	blue
C01209	blue
K14386	blue
K11201	blue
C04851	blue
K22199	blue
C01304	blue
C01330	blue
C06215	blue
K03629	blue
C05691	blue
C15979	blue
K09512	blue
K00748	blue
K21499	blue
K01972	blue
C03722	blue
C02686	blue
K01758	blue
C05758	blue
K01000	blue
K01948	blue
K01783	blue
K13798	blue
K20201	blue
C20926	blue
C01046	blue
K08737	blue
C01352	blue
C03341	blue
K12073	blue
C03765	blue
K11105	blue
K12943	blue
C00062	blue
K22300	blue
K05540	blue
K18954	blue
K12600	blue
K01736	blue
K11749	blue
K01738	blue
K02954	blue
K11752	blue
K23373	blue
K07016	blue
K18355	blue
C02553	blue
C05276	blue
K19721	blue
C00203	blue
K07651	blue
C21173	blue
C04932	blue
K15782	blue
C05841	blue
C01962	blue
K02341	blue
K15336	blue
K19969	blue
K03449	blue
K11621	blue
K07405	blue
K07459	blue
K10439	blue
K19548	blue
K07168	blue
K01803	blue
K12999	blue
K03214	blue
K12450	blue
K03640	blue
K21375	blue
K09473	blue
K15856	blue
K03564	blue
K03573	blue
K14445	blue
K15176	blue
K03218	blue
K06985	blue
K01466	blue
C05712	blue
K02333	blue
C03201	blue
K05714	blue
C11915	blue
C11404	blue
C00354	blue
K02935	blue
K22469	blue
C04677	blue
K02997	blue
C01112	blue
K10730	blue
K21154	blue
K01873	blue
K00031	blue
K06959	blue
C03742	blue
K07082	blue
K09458	blue
C00169	blue
K05838	blue
C00032	blue
K01273	blue
K01604	blue
K06870	blue
K19665	blue
C01327	blue
K00927	blue
K00996	blue
K21571	blue
K00261	blue
C00197	blue
C05688	blue
K03497	blue
C01300	blue
K06926	blue
K13531	blue
C00459	blue
K15920	blue
K17828	blue
K12661	blue
C03373	blue
K13421	blue
K19696	blue
C17949	blue
K09808	blue
K13503	blue
K07097	blue
K00343	blue
K18454	blue
K08302	blue
K02342	blue
K03977	blue
K12990	blue
C21440	blue
K01497	blue
K23150	blue
K00756	blue
C01269	blue
K01874	blue
K00425	blue
K07560	blue
K22163	blue
K15904	blue
C20248	blue
K00703	blue
K12555	blue
K00262	blue
K12454	blue
K02887	blue
K01930	blue
K00025	blue
K16555	blue
K21575	blue
K00558	blue
C06224	blue
K03525	blue
C15587	blue
K09015	blue
K13750	blue
K03169	blue
K02851	blue
K13829	blue
K02428	blue
K16090	blue
C16837	blue
K02355	blue
K13950	blue
C00165	blue
K19853	blue
K21977	blue
K02527	blue
K07281	blue
K02949	blue
C00101	blue
K03657	blue
C05762	blue
K01491	blue
K01054	blue
K04562	blue
K14692	blue
K15507	blue
K18676	blue
K02871	blue
K08093	blue
C00229	blue
C00249	blue
K13582	blue
C00633	blue
C16476	blue
C05763	blue
K15022	blue
K07399	blue
K02844	blue
C02839	blue
C12348	blue
C05822	blue
K13926	blue
K01506	blue
K01412	blue
C00194	blue
C01205	blue
C00108	blue
C00254	blue
C20376	blue
K15269	blue
C19945	blue
C04246	blue
K22292	blue
C05748	blue
K23946	blue
C03511	blue
K15407	blue
K00383	blue
K01144	blue
K01493	blue
K18139	blue
K19789	blue
K01817	blue
K01649	blue
K01744	blue
K05568	blue
K02346	blue
K07289	blue
K11907	blue
K16531	blue
K02335	blue
K02836	blue
C00921	blue
C22073	blue
K02022	blue
C02642	blue
C00692	blue
K02356	blue
K07659	blue
K15428	blue
C00145	blue
K18067	blue
K06154	blue
K18076	blue
K07118	blue
K03589	blue
C00223	blue
C04089	blue
K13018	blue
C05819	blue
C01146	blue
K03881	blue
K01411	blue
C05116	blue
K09819	blue
C04479	blue
K01840	blue
K03212	blue
K00003	blue
K07533	blue
K23497	blue
K16045	blue
K03472	blue
K01523	blue
K09809	blue
C04919	blue
K00239	blue
K02958	blue
K03595	blue
K00718	blue
K08306	blue
K00145	blue
K03273	blue
C11927	blue
C00362	blue
C17231	blue
K06199	blue
K00051	blue
K03065	blue
C00118	blue
K03650	blue
C16834	blue
K06373	blue
K20861	blue
K00971	blue
C03372	blue
K23856	blue
K01207	blue
C00109	blue
K08316	blue
C05404	blue
K01271	blue
K03975	blue
C17220	blue
C03459	blue
G10511	blue
K19597	blue
C16596	blue
K06147	blue
C05850	blue
K08956	blue
C02282	blue
K00693	blue
K03502	blue
K11778	blue
K11751	blue
K01522	blue
K03940	blue
C00081	blue
K07710	blue
K19338	blue
K00226	blue
C15980	blue
K01779	blue
K00091	blue
K01784	blue
K03353	blue
K14940	blue
K01001	blue
K05524	blue
C01755	blue
K07739	blue
K03723	blue
K09502	blue
K14661	blue
K00981	blue
