	0
K12999	blue
K01851	blue
K03168	blue
K00663	blue
K08196	blue
K06149	blue
K14348	blue
K01714	blue
K00554	blue
K05542	blue
K06147	blue
K03306	blue
K04561	blue
K10978	blue
K11183	blue
K16786	blue
K02569	blue
C00957	blue
K04034	blue
C15974	blue
C20933	blue
C02504	blue
K23676	blue
K01744	blue
K20997	blue
K00946	blue
K05794	blue
K22522	blue
K01647	blue
K18830	blue
C16598	blue
K03545	blue
K12217	blue
C05176	blue
K03519	blue
K13787	blue
K16898	blue
K22311	blue
C20390	blue
K10977	blue
C00615	blue
C00577	blue
C07086	blue
K22227	blue
K07651	blue
K00865	blue
C04646	blue
C21310	blue
K18890	blue
K07137	blue
K18640	blue
C22085	blue
K03310	blue
K00566	blue
K01997	blue
K00141	blue
K05365	blue
K21344	blue
K19353	blue
K14660	blue
K00235	blue
K21990	blue
K05884	blue
C01063	blue
K02858	blue
K19710	blue
K03234	blue
C05432	blue
K05592	blue
K03281	blue
C20958	blue
K02946	blue
K01719	blue
K18889	blue
C00060	blue
K21462	blue
K06889	blue
K04763	blue
C20581	blue
C20451	blue
C00463	blue
C16630	blue
K02499	blue
K06441	blue
K18299	blue
K02492	blue
K02985	blue
C00479	blue
K02495	blue
K06177	blue
K07098	blue
K17797	blue
C05696	blue
K11203	blue
C21101	blue
C00002	blue
K02835	blue
K21168	blue
K15636	blue
K18332	blue
K00936	blue
C05751	blue
K03072	blue
C04932	blue
K01554	blue
K02528	blue
C05712	blue
K02881	blue
K07306	blue
C16597	blue
K13892	blue
K07168	blue
K03321	blue
K23245	blue
K11126	blue
K14759	blue
K09530	blue
C17568	blue
K02742	blue
K03629	blue
K09817	blue
K11955	blue
K14349	blue
K22081	blue
K16331	blue
C05778	blue
K22336	blue
C00993	blue
K05394	blue
K00790	blue
K01758	blue
C00624	blue
K08259	blue
C00455	blue
K17648	blue
C06506	blue
K15741	blue
K02590	blue
K01845	blue
K00392	blue
K02919	blue
K17051	blue
C17223	blue
K03831	blue
K15856	blue
K11540	blue
K02986	blue
K14798	blue
K03118	blue
K03775	blue
K07357	blue
K12585	blue
K22966	blue
K01810	blue
K17749	blue
K02115	blue
K02132	blue
K23976	blue
C04506	blue
K10025	blue
K03111	blue
C00438	blue
K19073	blue
C01269	blue
K04078	blue
C00147	blue
C19723	blue
C00094	blue
K00969	blue
K03953	blue
C05697	blue
