	0
K00925	blue
C05921	blue
K01787	blue
K04773	blue
C06508	blue
K16246	blue
K02318	blue
K03435	blue
K01049	blue
K04087	blue
K00015	blue
C00119	blue
K20011	blue
C15888	blue
K01273	blue
K06921	blue
K19425	blue
C17022	blue
K10268	blue
K16148	blue
K00196	blue
K12251	blue
K13787	blue
K18225	blue
K01151	blue
K01690	blue
K04765	blue
K00927	blue
K01649	blue
C20651	blue
C00004	blue
K00125	blue
K00220	blue
K08384	blue
K20997	blue
K11719	blue
C02745	blue
K03686	blue
C00582	blue
K00943	blue
K03641	blue
C00159	blue
C02553	blue
K04086	blue
K18589	blue
C03511	blue
K08364	blue
K01736	blue
C05577	blue
G13043	blue
K02014	blue
K05972	blue
C20642	blue
K03313	blue
K19694	blue
C22159	blue
K16694	blue
K02101	blue
K13002	blue
C01596	blue
C04702	blue
K12747	blue
K02237	blue
K01761	blue
K11912	blue
K07452	blue
C07646	blue
K16150	blue
K07788	blue
K03718	blue
K00800	blue
G00092	blue
K10898	blue
C20251	blue
K00646	blue
K04708	blue
K03581	blue
K13280	blue
K17108	blue
K18306	blue
K22339	blue
K04069	blue
K00981	blue
K20801	blue
K01624	blue
K03580	blue
K16554	blue
C04122	blue
C20858	blue
C04442	blue
C20361	blue
K00289	blue
K21780	blue
C00002	blue
K15792	blue
K09021	blue
K01144	blue
K06675	blue
C01931	blue
C00104	blue
K00645	blue
K00161	blue
K02566	blue
K01075	blue
G00148	blue
K02079	blue
C03838	blue
K00014	blue
K06948	blue
K01409	blue
K22982	blue
C03069	blue
K01687	blue
C00112	blue
C17214	blue
K14459	blue
K01213	blue
C00705	blue
K09650	blue
K06145	blue
K09607	blue
K03609	blue
K11809	blue
K12446	blue
K19429	blue
K23265	blue
C05810	blue
K07168	blue
K00969	blue
K00919	blue
C00489	blue
K21790	blue
C00065	blue
K00796	blue
K00335	blue
K00761	blue
K07001	blue
K19956	blue
K07688	blue
C06148	blue
C00069	blue
K12974	blue
K03545	blue
K09000	blue
K01678	blue
K07099	blue
K02080	blue
K01057	blue
K03768	blue
K02894	blue
K02961	blue
C03906	blue
K01147	blue
K06894	blue
K19726	blue
C02047	blue
K00600	blue
C00236	blue
C01118	blue
K02855	blue
C02612	blue
K02508	blue
K07658	blue
K01186	blue
C16463	blue
K04079	blue
C00114	blue
C00040	blue
K23244	blue
K03564	blue
C20933	blue
K00520	blue
K01076	blue
K06133	blue
C00095	blue
K03931	blue
K00064	blue
K03330	blue
C21606	blue
C00006	blue
K00765	blue
C19802	blue
K14445	blue
K13797	blue
C14819	blue
C00042	blue
K00013	blue
K00162	blue
K13531	blue
K04744	blue
K17550	blue
K01342	blue
K03476	blue
C02554	blue
C00218	blue
K05592	blue
C00688	blue
C20236	blue
K04718	blue
C20914	blue
K18209	blue
K03559	blue
K08301	blue
K05364	blue
C18059	blue
K23987	blue
K01925	blue
K03089	blue
K08998	blue
K09013	blue
K08641	blue
K07694	blue
K16886	blue
K07727	blue
K12152	blue
K02876	blue
K19239	blue
K00023	blue
K01193	blue
K10804	blue
K00810	blue
C03512	blue
K07138	blue
C00352	blue
C05361	blue
K07576	blue
K09812	blue
C02659	blue
C21137	blue
K01848	blue
K03337	blue
K16212	blue
G10008	blue
C16237	blue
C00096	blue
K09570	blue
C16635	blue
K18928	blue
K18556	blue
C00882	blue
C00144	blue
K23864	blue
C12203	blue
K01719	blue
C00155	blue
C17224	blue
K01928	blue
K04043	blue
K06442	blue
K01190	blue
C11404	blue
K07447	blue
K12478	blue
C00671	blue
K02835	blue
K15654	blue
C21663	blue
K12507	blue
K01885	blue
C00194	blue
K03797	blue
K05991	blue
K12140	blue
K13950	blue
K18847	blue
K07282	blue
K07566	blue
C00369	blue
C02967	blue
C02702	blue
C05235	blue
C21751	blue
K15532	blue
K03040	blue
C01177	blue
K02118	blue
C02713	blue
K10742	blue
K23228	blue
K01954	blue
K07010	blue
K20992	blue
C11830	blue
K00135	blue
K11050	blue
C19085	blue
K11392	blue
K00351	blue
K06154	blue
K02988	blue
C05580	blue
C05848	blue
K15789	blue
C00350	blue
K21189	blue
K00564	blue
K06188	blue
C00223	blue
K01461	blue
K02004	blue
K04116	blue
C16502	blue
K01206	blue
K07059	blue
K03484	blue
K10301	blue
K03703	blue
K01496	blue
C00438	blue
K01439	blue
K02530	blue
C01080	blue
C00266	blue
C00877	blue
K00561	blue
K00817	blue
K06889	blue
K06949	blue
K20140	blue
K01995	blue
K02864	blue
K17103	blue
K20308	blue
K06870	blue
K16951	blue
C00693	blue
K01301	blue
C00088	blue
K02556	blue
K06888	blue
K19418	blue
C00189	blue
K01711	blue
C00111	blue
K03566	blue
C00390	blue
K03774	blue
K15546	blue
K01452	blue
