	0
K02052	blue
K02506	blue
C01267	blue
C05751	blue
K03566	blue
K19613	blue
K07574	blue
C20896	blue
C00024	blue
K18557	blue
K22871	blue
K02357	blue
K22014	blue
K17995	blue
K19416	blue
K01817	blue
K07012	blue
K19824	blue
K00929	blue
K02047	blue
K00895	blue
K01998	blue
C00122	blue
K19386	blue
K03742	blue
K04078	blue
K18604	blue
C01268	blue
K23186	blue
K11747	blue
K08307	blue
C15861	blue
K08354	blue
K03893	blue
K02066	blue
C00233	blue
K05657	blue
K03526	blue
K00852	blue
K09065	blue
K02558	blue
K02989	blue
K07124	blue
K08264	blue
K19696	blue
C21971	blue
K07340	blue
K00601	blue
K02355	blue
K03100	blue
C05748	blue
K11957	blue
K03342	blue
C21879	blue
K14059	blue
K02000	blue
K01599	blue
K16238	blue
K02798	blue
C11925	blue
C20838	blue
K22068	blue
C16476	blue
K02314	blue
K15497	blue
C03012	blue
K07461	blue
K07636	blue
C00063	blue
K18902	blue
K14346	blue
K16795	blue
K18830	blue
K02454	blue
K03426	blue
C04558	blue
C20722	blue
K10678	blue
C04895	blue
K01452	blue
K03639	blue
C01218	blue
K00169	blue
K23497	blue
K00802	blue
C08734	blue
C00079	blue
C11520	blue
C00120	blue
K18671	blue
K02867	blue
K03640	blue
K02960	blue
K12950	blue
K08724	blue
K14454	blue
C21995	blue
K02838	blue
K07317	blue
K11531	blue
C00014	blue
C16156	blue
K19337	blue
K02996	blue
K00018	blue
C01367	blue
C03657	blue
K14742	blue
K03620	blue
K00525	blue
K02878	blue
C02939	blue
K00654	blue
K13509	blue
K00183	blue
K13637	blue
K13574	blue
C06019	blue
K16180	blue
C07090	blue
K20884	blue
K04762	blue
K00545	blue
K20534	blue
K00772	blue
K21344	blue
K13572	blue
K08281	blue
K14688	blue
K13525	blue
K10808	blue
C05999	blue
K02621	blue
K01356	blue
K22186	blue
K04043	blue
K10705	blue
K00667	blue
C00242	blue
C05726	blue
K12956	blue
K12256	blue
K13891	blue
K02412	blue
K19411	blue
C01172	blue
C11736	blue
C00673	blue
K06958	blue
K02240	blue
C04434	blue
K02071	blue
K14540	blue
K18808	blue
K10706	blue
K06020	blue
