	0
K22225	blue
K03883	blue
C15976	blue
K07114	blue
K08744	blue
K05578	blue
K02939	blue
K20534	blue
K15986	blue
C04748	blue
K06175	blue
C04494	blue
K12447	blue
C21217	blue
K07959	blue
K23169	blue
C04932	blue
K02490	blue
K06381	blue
C05838	blue
K08084	blue
K08602	blue
K01055	blue
K11265	blue
C00104	blue
K01210	blue
C00064	blue
K18556	blue
K05299	blue
K06858	blue
C00125	blue
K00020	blue
C03175	blue
K07482	blue
K05887	blue
K02687	blue
K02488	blue
C00084	blue
K06142	blue
C00670	blue
K13017	blue
K02998	blue
K05343	blue
K18981	blue
K13444	blue
K16150	blue
K22230	blue
C03920	blue
K12942	blue
K03625	blue
K09879	blue
K03797	blue
C00668	blue
K00557	blue
K14540	blue
C18076	blue
K02304	blue
K07463	blue
C05898	blue
K07003	blue
K03743	blue
G10481	blue
C00842	blue
C00251	blue
K18681	blue
C20559	blue
K03880	blue
K11744	blue
C01077	blue
K06888	blue
K19003	blue
C05754	blue
C00361	blue
C11910	blue
K03651	blue
K00815	blue
K07240	blue
K19697	blue
K12543	blue
K11206	blue
C00224	blue
K02439	blue
C05421	blue
K08384	blue
K02441	blue
K22163	blue
C21603	blue
K10107	blue
C12441	blue
C19875	blue
K03150	blue
K04719	blue
K04078	blue
K08137	blue
K03495	blue
K07705	blue
C04877	blue
K11745	blue
C15524	blue
C00568	blue
C00141	blue
K05040	blue
C06364	blue
K03427	blue
C02659	blue
K07033	blue
K21130	blue
K07094	blue
K11050	blue
C00140	blue
K08735	blue
K14441	blue
K21507	blue
K21594	blue
C00122	blue
C02713	blue
K15332	blue
C00882	blue
K07125	blue
K07182	blue
K19269	blue
K10010	blue
C16348	blue
K01147	blue
K05337	blue
K06223	blue
C21017	blue
K08724	blue
C00010	blue
K00942	blue
K03630	blue
K15739	blue
C00940	blue
K01988	blue
K00059	blue
K01268	blue
K02458	blue
K06287	blue
K03975	blue
K03413	blue
C17432	blue
K01209	blue
K00082	blue
K14084	blue
K00766	blue
K07107	blue
K11783	blue
K16461	blue
K02893	blue
K02907	blue
K00185	blue
K07757	blue
K01079	blue
C21156	blue
K00950	blue
K01156	blue
K10917	blue
K00790	blue
K19978	blue
K10760	blue
G13061	blue
K19224	blue
C03263	blue
K20466	blue
K00620	blue
C05759	blue
K09803	blue
C04666	blue
K01150	blue
K22316	blue
C00352	blue
K07030	blue
C16156	blue
C05430	blue
C21607	blue
C00334	blue
K15396	blue
K05582	blue
K01139	blue
K06966	blue
K17490	blue
C00081	blue
K03879	blue
K08734	blue
K20201	blue
G13081	blue
K08289	blue
K07316	blue
K08484	blue
K21397	blue
C01269	blue
K11996	blue
K21171	blue
C00575	blue
K01933	blue
C15908	blue
K08150	blue
K10743	blue
K18693	blue
K23601	blue
C02984	blue
K03558	blue
C05841	blue
C00365	blue
K07199	blue
K16365	blue
C21851	blue
K12308	blue
G13060	blue
K15780	blue
K01666	blue
K21332	blue
K02302	blue
K03545	blue
K01462	blue
C04832	blue
K08312	blue
C00836	blue
K21071	blue
K05838	blue
C15978	blue
K12369	blue
K02986	blue
K01876	blue
C04896	blue
K05807	blue
K12132	blue
K22042	blue
K07317	blue
K06889	blue
C06041	blue
K04764	blue
K20777	blue
K20945	blue
K03527	blue
K01993	blue
K22904	blue
K05034	blue
K11914	blue
C01595	blue
K03733	blue
K04562	blue
C06006	blue
C00857	blue
C05804	blue
C00047	blue
C03599	blue
K02032	blue
K07816	blue
K11527	blue
K19427	blue
K06178	blue
G09660	blue
K09765	blue
K22982	blue
K11592	blue
K11121	blue
C03741	blue
K18575	blue
K00705	blue
K15034	blue
K07064	blue
K06013	blue
K09961	blue
K15924	blue
C00333	blue
K03215	blue
K22506	blue
K23684	blue
C01935	blue
K14191	blue
K09568	blue
C00255	blue
C04046	blue
C21835	blue
K12583	blue
C00119	blue
K18344	blue
K03768	blue
K00861	blue
K00852	blue
K10380	blue
K05970	blue
C04738	blue
K23985	blue
K19589	blue
K06207	blue
K16201	blue
K09584	blue
K08325	blue
K20964	blue
K05602	blue
C20641	blue
K02429	blue
K00912	blue
C21027	blue
K06897	blue
K16703	blue
K14504	blue
C04294	blue
K19220	blue
K07566	blue
K01078	blue
K20859	blue
C08830	blue
C16153	blue
K03439	blue
K00602	blue
K04748	blue
K07014	blue
K02066	blue
K12734	blue
C20374	blue
K03500	blue
K12987	blue
C00204	blue
K04084	blue
K00975	blue
K01138	blue
K11392	blue
K01431	blue
K02916	blue
K21039	blue
C00266	blue
K09023	blue
K00288	blue
K07095	blue
K14170	blue
K20851	blue
C01212	blue
K00981	blue
K14394	blue
K00694	blue
K16052	blue
C00069	blue
K08737	blue
K01855	blue
C01302	blue
K06112	blue
K23498	blue
K03634	blue
K07443	blue
C00436	blue
K00625	blue
K02454	blue
K06872	blue
K09866	blue
K11416	blue
K00999	blue
K10823	blue
C00475	blue
C02094	blue
K02527	blue
C01228	blue
K03773	blue
C07086	blue
K03572	blue
K19312	blue
K00759	blue
K02039	blue
K22305	blue
K02855	blue
K04066	blue
K22047	blue
K06409	blue
K02839	blue
K15045	blue
K19304	blue
K01506	blue
K18231	blue
K15428	blue
K22846	blue
C06118	blue
K07096	blue
K22966	blue
K16302	blue
K11654	blue
K01054	blue
C20277	blue
K12410	blue
K03722	blue
K04771	blue
K06925	blue
C04133	blue
C04677	blue
K08187	blue
K01940	blue
K00954	blue
K00979	blue
C00327	blue
C00705	blue
K11263	blue
K00313	blue
K00031	blue
K07403	blue
K02424	blue
K21467	blue
K22885	blue
K01894	blue
K02031	blue
K01696	blue
K02840	blue
C05840	blue
K00023	blue
K19295	blue
C00364	blue
K01733	blue
K07712	blue
K03802	blue
K17723	blue
C03461	blue
K07481	blue
K18912	blue
K22044	blue
K19853	blue
C00096	blue
K07154	blue
K03702	blue
K02357	blue
K08714	blue
K08740	blue
C00124	blue
K20887	blue
K03789	blue
K03672	blue
K06335	blue
K06138	blue
C00068	blue
C04281	blue
C01185	blue
K00241	blue
K03642	blue
K02005	blue
K16180	blue
K22161	blue
C05199	blue
C00631	blue
K03820	blue
C05923	blue
C04454	blue
C21310	blue
K22391	blue
C20831	blue
K15285	blue
C15672	blue
C00376	blue
C20950	blue
K00970	blue
K02244	blue
K06400	blue
C05812	blue
K05577	blue
C00354	blue
K06151	blue
K02484	blue
K00384	blue
K01066	blue
K02003	blue
C00151	blue
C04851	blue
K09761	blue
K06001	blue
K04656	blue
K22074	blue
K02225	blue
K03426	blue
C20237	blue
C04419	blue
K02343	blue
K03218	blue
C15977	blue
K03581	blue
C03511	blue
C05753	blue
K01886	blue
K02663	blue
C02415	blue
K00657	blue
K03718	blue
K03769	blue
K07704	blue
K11594	blue
K03785	blue
K06200	blue
C17322	blue
K10021	blue
K00800	blue
K03214	blue
K16899	blue
K00619	blue
C14899	blue
K03525	blue
K06984	blue
K03310	blue
K22871	blue
C15914	blue
K10705	blue
K03578	blue
K00340	blue
K02902	blue
K01216	blue
C02553	blue
K13533	blue
C05750	blue
K02303	blue
K19810	blue
C02133	blue
C04144	blue
K03546	blue
K14154	blue
C03232	blue
K21970	blue
K18478	blue
C00673	blue
C00942	blue
K00234	blue
K03177	blue
K01652	blue
K07042	blue
K09697	blue
K02669	blue
K11810	blue
C05726	blue
C00499	blue
C00086	blue
K01190	blue
C00154	blue
K01092	blue
