	0
C20258	blue
K23874	blue
K08312	blue
K03559	blue
K00648	blue
C00014	blue
K13184	blue
K17224	blue
C02745	blue
C01080	blue
K10626	blue
K11788	blue
K18198	blue
C00040	blue
K01295	blue
C05198	blue
K12944	blue
C06112	blue
K03307	blue
K00981	blue
C01250	blue
K16212	blue
K03550	blue
C18321	blue
K05524	blue
K05592	blue
K15226	blue
K02405	blue
C06041	blue
K13875	blue
K03565	blue
G10008	blue
C00310	blue
C20374	blue
K21972	blue
G00109	blue
K22129	blue
C00536	blue
C20562	blue
C00137	blue
K00057	blue
K07221	blue
K08482	blue
K06183	blue
C00184	blue
C03539	blue
C20357	blue
C18174	blue
C19831	blue
K01893	blue
K13067	blue
K22044	blue
K07979	blue
K06019	blue
C20950	blue
K07387	blue
K13788	blue
K03711	blue
K00015	blue
K02316	blue
K07091	blue
K15921	blue
C07838	blue
K03484	blue
K19530	blue
K13937	blue
K03856	blue
C20378	blue
K19755	blue
K16092	blue
C15976	blue
C05394	blue
K03499	blue
K21378	blue
K22108	blue
K23104	blue
K01267	blue
K07696	blue
K00215	blue
K03654	blue
C00354	blue
K03778	blue
K03234	blue
C00084	blue
K11085	blue
K03802	blue
C00191	blue
K22982	blue
K15454	blue
C21748	blue
K16248	blue
C11830	blue
K18218	blue
K23059	blue
K01840	blue
C04006	blue
C20955	blue
K23003	blue
K02895	blue
K01649	blue
G10557	blue
K03613	blue
K19334	blue
C00279	blue
K08384	blue
K07402	blue
K15531	blue
C00233	blue
C05545	blue
K09651	blue
C20861	blue
K22846	blue
C05762	blue
K07789	blue
C17691	blue
C00138	blue
K01000	blue
K01817	blue
K06168	blue
K06965	blue
K08651	blue
K16264	blue
K03685	blue
C15972	blue
C03838	blue
C05763	blue
C00734	blue
G10621	blue
K00348	blue
C12350	blue
C00234	blue
K21063	blue
C02415	blue
G13073	blue
K04477	blue
K11907	blue
K15865	blue
K03292	blue
K17213	blue
K23683	blue
C11477	blue
C11481	blue
K01924	blue
K00951	blue
C20373	blue
K15331	blue
K18454	blue
C11448	blue
K01420	blue
K05576	blue
K16257	blue
K19969	blue
C00415	blue
K02551	blue
K00175	blue
K07405	blue
C06002	blue
C04332	blue
C02412	blue
K20333	blue
G10553	blue
K13832	blue
K13829	blue
C00504	blue
K07101	blue
K03790	blue
K08307	blue
C02843	blue
K18244	blue
K05939	blue
K18580	blue
K15727	blue
K00443	blue
K00850	blue
K02372	blue
C04327	blue
K05684	blue
K15914	blue
K14506	blue
K03439	blue
K00331	blue
K13663	blue
K19036	blue
C02964	blue
K07463	blue
C20755	blue
K01195	blue
K06881	blue
C20830	blue
C20758	blue
C00973	blue
K12795	blue
K00297	blue
K02477	blue
K04760	blue
K15831	blue
C00051	blue
K06287	blue
K01138	blue
C12214	blue
K14341	blue
K19337	blue
K01581	blue
K03273	blue
K18883	blue
C18059	blue
K22166	blue
K00023	blue
K00235	blue
C05703	blue
C01300	blue
K15067	blue
K07733	blue
K19302	blue
K03442	blue
C00255	blue
K01823	blue
K03455	blue
K03694	blue
K18336	blue
K09698	blue
K06985	blue
K02600	blue
K22267	blue
K18209	blue
K00234	blue
K01589	blue
K02030	blue
K16787	blue
K13542	blue
K03087	blue
K02467	blue
K19736	blue
K16703	blue
K19285	blue
K01710	blue
C12108	blue
K01625	blue
K05046	blue
K11927	blue
K08723	blue
K19429	blue
C00399	blue
C05756	blue
C02282	blue
C00409	blue
K02199	blue
K03925	blue
K18650	blue
K09576	blue
K22164	blue
K11624	blue
K14059	blue
C02934	blue
C02047	blue
C19879	blue
K01342	blue
C00627	blue
K01198	blue
K15176	blue
C00031	blue
K09759	blue
C03345	blue
K02890	blue
K11729	blue
C04748	blue
C04919	blue
K13316	blue
C01327	blue
K01945	blue
K09569	blue
C00295	blue
K03535	blue
C00131	blue
K01687	blue
K01955	blue
C19802	blue
C02876	blue
C01769	blue
K07214	blue
K14346	blue
C04884	blue
K07050	blue
K16363	blue
C22053	blue
K02837	blue
K00973	blue
K03615	blue
K21828	blue
K01129	blue
K08978	blue
K09809	blue
K22478	blue
K20679	blue
C00341	blue
K00965	blue
C00033	blue
K05356	blue
K01452	blue
K08741	blue
K15327	blue
K21130	blue
K22161	blue
K19223	blue
K12983	blue
K21993	blue
C16615	blue
K16850	blue
C00470	blue
C01180	blue
K05802	blue
K06001	blue
C00559	blue
K03296	blue
K01776	blue
K12852	blue
C01097	blue
K03340	blue
C12455	blue
K21179	blue
K01690	blue
C00188	blue
K10678	blue
C18796	blue
K01681	blue
K21472	blue
K01506	blue
K03695	blue
K00824	blue
C00208	blue
K22515	blue
C17220	blue
G13108	blue
K22491	blue
K02527	blue
K02377	blue
K03243	blue
K15912	blue
C05345	blue
C00877	blue
K18691	blue
K01496	blue
K22178	blue
C01530	blue
K08369	blue
K01270	blue
K16139	blue
K17195	blue
K19664	blue
C04462	blue
K03076	blue
C11829	blue
K18284	blue
K03955	blue
K08693	blue
K11752	blue
K18205	blue
K20509	blue
K13043	blue
K03733	blue
K19619	blue
K01866	blue
K13020	blue
C00049	blue
K00241	blue
K06927	blue
C02336	blue
K01940	blue
K05820	blue
C16588	blue
K02242	blue
K19870	blue
K02945	blue
K01733	blue
K13313	blue
C00047	blue
K06181	blue
K16195	blue
C05751	blue
K15172	blue
K00841	blue
K09578	blue
K13530	blue
C02273	blue
K07710	blue
K16698	blue
K03534	blue
K05034	blue
K10742	blue
K01080	blue
C00718	blue
K19597	blue
K01858	blue
K02913	blue
C00810	blue
G00010	blue
K15270	blue
K06888	blue
C01212	blue
K02314	blue
K03852	blue
K09065	blue
C01172	blue
C00789	blue
K07259	blue
K07289	blue
C20062	blue
K14645	blue
K19225	blue
K07031	blue
K01560	blue
K06675	blue
C00153	blue
K11412	blue
K02894	blue
C00194	blue
K20777	blue
C00319	blue
C06196	blue
K01130	blue
K13753	blue
K00196	blue
C21991	blue
K09748	blue
K00004	blue
K22457	blue
K10782	blue
C03150	blue
K00278	blue
C00103	blue
C01345	blue
K15355	blue
C20995	blue
K01875	blue
K19386	blue
K07316	blue
C05272	blue
K13421	blue
C00093	blue
K17680	blue
K01760	blue
C00568	blue
K00688	blue
C05822	blue
K04773	blue
K15669	blue
K00919	blue
K13532	blue
K02612	blue
K04772	blue
C06006	blue
K01662	blue
K19549	blue
C00631	blue
K00817	blue
K14107	blue
C21017	blue
K06957	blue
K02500	blue
K03298	blue
K01066	blue
C00037	blue
C21294	blue
C00282	blue
K19304	blue
K02517	blue
K20450	blue
C00431	blue
C00681	blue
K00248	blue
K07017	blue
K08279	blue
K16017	blue
C02631	blue
C00116	blue
K18959	blue
K07168	blue
K21375	blue
C05276	blue
K02594	blue
C04691	blue
C05544	blue
K12607	blue
C17222	blue
C12215	blue
K06113	blue
K03169	blue
K18210	blue
K00556	blue
K04084	blue
K11934	blue
C06441	blue
K10956	blue
K11326	blue
K13310	blue
C19960	blue
K01921	blue
K02282	blue
C21750	blue
K00263	blue
K04758	blue
K00615	blue
K02341	blue
K09022	blue
K03672	blue
K12309	blue
K00034	blue
K14711	blue
K04485	blue
K12297	blue
C21430	blue
K22719	blue
K01078	blue
K03388	blue
C02637	blue
C00232	blue
K01405	blue
C17432	blue
C00015	blue
K06199	blue
K01676	blue
K15773	blue
K08322	blue
K01705	blue
K11392	blue
K13006	blue
K07768	blue
C00343	blue
C15811	blue
C05750	blue
C00531	blue
C00044	blue
K19076	blue
C02504	blue
K03770	blue
K02884	blue
K08344	blue
C04294	blue
K07175	blue
C21621	blue
K19853	blue
C00684	blue
K11089	blue
K22617	blue
K00853	blue
K12251	blue
K09125	blue
C00262	blue
C14144	blue
K01243	blue
K02470	blue
K09011	blue
C01190	blue
K08956	blue
K03289	blue
K18302	blue
C16242	blue
K01889	blue
C00458	blue
K19295	blue
K07053	blue
K22699	blue
K07459	blue
K03212	blue
C00229	blue
K03074	blue
K03797	blue
K05972	blue
K14215	blue
K01181	blue
K00821	blue
K01770	blue
K03983	blue
C06364	blue
C06113	blue
C04832	blue
K16328	blue
K00655	blue
K00611	blue
K01916	blue
C02713	blue
K15781	blue
K13787	blue
K15329	blue
K11540	blue
K05810	blue
C04076	blue
K00333	blue
C00059	blue
C00199	blue
C17224	blue
C00217	blue
K03466	blue
C15532	blue
K03560	blue
K19710	blue
K21672	blue
C01251	blue
K16786	blue
C06625	blue
K13747	blue
K07246	blue
K09566	blue
K01784	blue
K16091	blue
K07290	blue
C00257	blue
C00178	blue
K13378	blue
C00068	blue
K22186	blue
K12674	blue
K02911	blue
K13750	blue
K08259	blue
C16393	blue
C02474	blue
C04916	blue
K01783	blue
K17734	blue
K01262	blue
K03046	blue
C19794	blue
C00028	blue
C19823	blue
C02839	blue
C00221	blue
K01939	blue
K15792	blue
K01686	blue
C16634	blue
K05572	blue
K03315	blue
C00881	blue
C01508	blue
K00602	blue
K17744	blue
C05378	blue
K02013	blue
K13252	blue
K22317	blue
K09571	blue
K20480	blue
C02163	blue
C03892	blue
K01702	blue
K02601	blue
C01101	blue
C04242	blue
K03570	blue
K11745	blue
C12632	blue
C04751	blue
K08289	blue
K21498	blue
K15888	blue
K02065	blue
C05898	blue
C01050	blue
K12574	blue
K03090	blue
K07213	blue
C15977	blue
C20933	blue
K06158	blue
C00082	blue
K08309	blue
K03042	blue
C01330	blue
K12504	blue
K18139	blue
K00634	blue
C03492	blue
K12308	blue
K20906	blue
K03018	blue
K01209	blue
C04442	blue
C18073	blue
K03086	blue
C00468	blue
K01392	blue
K15017	blue
K03627	blue
K08999	blue
C04246	blue
C04352	blue
K17625	blue
K00874	blue
K23976	blue
C15930	blue
K20374	blue
C00861	blue
K03326	blue
K04079	blue
K00831	blue
C02939	blue
C00058	blue
K01393	blue
K21027	blue
C05922	blue
K05499	blue
K01585	blue
K00313	blue
K01438	blue
K21464	blue
K14792	blue
K01952	blue
K18697	blue
K06895	blue
K19157	blue
K11747	blue
K03984	blue
K18947	blue
K09019	blue
C20858	blue
C04506	blue
C00010	blue
K19873	blue
K01652	blue
K18729	blue
K21563	blue
K07133	blue
K06941	blue
K17723	blue
K00806	blue
C20247	blue
C00119	blue
K07152	blue
K18220	blue
K00848	blue
K03696	blue
C00206	blue
K15923	blue
K13987	blue
K12538	blue
K22297	blue
C03393	blue
K02825	blue
K02959	blue
K12943	blue
C03742	blue
C00133	blue
K14213	blue
K08735	blue
C02463	blue
K01849	blue
K04342	blue
K15460	blue
K07729	blue
C04895	blue
K11942	blue
K00066	blue
K01498	blue
K13049	blue
K02483	blue
K07282	blue
K03544	blue
C00095	blue
K11626	blue
C17323	blue
K16153	blue
C04631	blue
K02503	blue
C21509	blue
K16087	blue
C03287	blue
K04078	blue
K05591	blue
K02111	blue
K05359	blue
C19875	blue
K06147	blue
C01222	blue
K23281	blue
K14162	blue
K01587	blue
K01236	blue
C05859	blue
K00701	blue
K06044	blue
K09761	blue
C00122	blue
K14654	blue
K01586	blue
C21878	blue
K00170	blue
K03771	blue
K08300	blue
C15812	blue
C00054	blue
C17230	blue
K01755	blue
C00129	blue
K07281	blue
K07642	blue
K00395	blue
K17722	blue
K03453	blue
K14441	blue
K13998	blue
K03327	blue
K03773	blue
K16568	blue
C21440	blue
K01779	blue
K23014	blue
C01279	blue
K17256	blue
C00130	blue
K00008	blue
K06145	blue
K06864	blue
G13026	blue
K01857	blue
K01001	blue
K17570	blue
K10036	blue
K21575	blue
K21749	blue
K07054	blue
K00950	blue
K00609	blue
K02931	blue
K10754	blue
C00100	blue
C00405	blue
K01633	blue
K21065	blue
K15013	blue
K00207	blue
C00454	blue
K15507	blue
K08218	blue
K03780	blue
C00647	blue
K21364	blue
C05688	blue
C01151	blue
K21788	blue
K04774	blue
K14188	blue
K11415	blue
K21331	blue
C00352	blue
K03591	blue
C16255	blue
K06446	blue
K19576	blue
K13509	blue
C00249	blue
K02068	blue
C04432	blue
K18582	blue
K13034	blue
C16597	blue
K00249	blue
K03404	blue
K03796	blue
K23265	blue
C20239	blue
K09765	blue
K16028	blue
K09021	blue
K16784	blue
C06251	blue
C06026	blue
K23244	blue
K00588	blue
K14392	blue
K01278	blue
K19872	blue
C11420	blue
K06889	blue
C19647	blue
K00013	blue
C00692	blue
K09584	blue
K01960	blue
K07652	blue
C00406	blue
K00012	blue
K06103	blue
K18672	blue
C05662	blue
K06037	blue
K06989	blue
K03732	blue
K06944	blue
K09579	blue
K15049	blue
K07320	blue
K01819	blue
K13380	blue
K02878	blue
K12573	blue
C18910	blue
K06926	blue
C00223	blue
C02553	blue
C01929	blue
K06178	blue
K00903	blue
K11104	blue
K02071	blue
K01954	blue
K03723	blue
K18126	blue
K00812	blue
K05834	blue
K03324	blue
K01206	blue
K01918	blue
C21585	blue
K06177	blue
C04896	blue
C00411	blue
K09647	blue
K11749	blue
K02469	blue
K18861	blue
K03978	blue
C00008	blue
K01737	blue
K03789	blue
K01740	blue
K00991	blue
K04517	blue
K22469	blue
K01493	blue
K02854	blue
K21346	blue
K06981	blue
K07056	blue
K01282	blue
K22159	blue
K03177	blue
K22506	blue
K03386	blue
K06167	blue
K06870	blue
K22503	blue
C15810	blue
C12318	blue
K12600	blue
K01912	blue
K08191	blue
