	0
K16697	blue
C00103	blue
K10010	blue
K03593	blue
C17556	blue
C21107	blue
K12132	blue
K01560	blue
K21613	blue
C20816	blue
K20490	blue
C03175	blue
C00204	blue
C00012	blue
K05788	blue
K19824	blue
K04801	blue
K01873	blue
K17733	blue
K06187	blue
C00877	blue
K03980	blue
K21757	blue
C00080	blue
K02844	blue
K18856	blue
C17569	blue
K06179	blue
K00841	blue
C20940	blue
K02073	blue
C04823	blue
K08070	blue
C19787	blue
K18866	blue
K09016	blue
C01222	blue
K22199	blue
C11537	blue
K07079	blue
C00154	blue
C00168	blue
K00721	blue
K03214	blue
K16911	blue
C04574	blue
K01438	blue
C00236	blue
C15972	blue
K00928	blue
K20074	blue
C16836	blue
K01055	blue
C00162	blue
K00901	blue
K08162	blue
K13786	blue
C00118	blue
K18590	blue
K00790	blue
K06857	blue
C00468	blue
K06346	blue
C00188	blue
K08657	blue
K13327	blue
K22927	blue
K00820	blue
K07636	blue
C02323	blue
K02037	blue
K18456	blue
K00015	blue
K21919	blue
K15584	blue
K17215	blue
K04718	blue
K06181	blue
K02074	blue
C00005	blue
K01854	blue
K14673	blue
K00705	blue
K00891	blue
C00083	blue
C02988	blue
K12943	blue
K15889	blue
C01024	blue
K00065	blue
C11448	blue
K07441	blue
K03501	blue
C21284	blue
K07335	blue
K02113	blue
K12573	blue
K12985	blue
K13998	blue
C05814	blue
K01130	blue
K00941	blue
K02480	blue
K02134	blue
K09811	blue
C03056	blue
C02972	blue
K18847	blue
C03892	blue
K06972	blue
C00886	blue
C00423	blue
K13582	blue
K19285	blue
C06400	blue
K07694	blue
C00145	blue
C21767	blue
K17658	blue
K03276	blue
C02745	blue
C00630	blue
K07507	blue
K12450	blue
K07587	blue
K02500	blue
K02814	blue
K09504	blue
K00602	blue
C01080	blue
K08295	blue
K02989	blue
K02444	blue
K07696	blue
K23169	blue
C05527	blue
K00177	blue
K08256	blue
C21156	blue
K16924	blue
C20758	blue
K01677	blue
K18348	blue
K01468	blue
K19548	blue
K07667	blue
C00248	blue
C00802	blue
K15921	blue
C02720	blue
K00639	blue
K02538	blue
G13127	blue
K18816	blue
K16881	blue
C00015	blue
K16951	blue
K15260	blue
K03498	blue
K03466	blue
K03086	blue
K03553	blue
K05359	blue
K18573	blue
C20642	blue
K11928	blue
K18453	blue
C00881	blue
K01190	blue
K01586	blue
K06950	blue
C05336	blue
K19626	blue
K00283	blue
C20751	blue
K14539	blue
K01048	blue
K03241	blue
K02501	blue
K16786	blue
C00139	blue
K17204	blue
K02439	blue
C17217	blue
K08600	blue
K00688	blue
C00943	blue
K03554	blue
K09499	blue
K15920	blue
K01784	blue
K01222	blue
C02953	blue
K01520	blue
C04534	blue
K19417	blue
K06189	blue
K10551	blue
K11073	blue
K07088	blue
C02659	blue
K06518	blue
K00125	blue
K04083	blue
K07258	blue
K21168	blue
K01690	blue
K19576	blue
K01439	blue
K10191	blue
K09497	blue
K01496	blue
K06401	blue
K01950	blue
K12997	blue
K16927	blue
K00026	blue
K03047	blue
K06872	blue
C05726	blue
K00763	blue
K02854	blue
K05820	blue
K21030	blue
K21866	blue
K07025	blue
K03818	blue
C11354	blue
C05946	blue
C16589	blue
C00071	blue
C02483	blue
K01752	blue
K00625	blue
K19429	blue
K00861	blue
K01522	blue
K01444	blue
K01582	blue
C00399	blue
C03511	blue
K08724	blue
K00385	blue
K10037	blue
K15230	blue
K01938	blue
K02747	blue
K07533	blue
K02356	blue
K22047	blue
K08669	blue
C05345	blue
C00940	blue
K01144	blue
K07031	blue
K01013	blue
K15509	blue
C00008	blue
K02169	blue
K04567	blue
K05970	blue
G12573	blue
K07579	blue
K18345	blue
K18944	blue
C04916	blue
K00824	blue
C20679	blue
K06182	blue
K02405	blue
K01451	blue
K01952	blue
K06183	blue
K02027	blue
K20427	blue
C00222	blue
K01239	blue
C00944	blue
K05365	blue
K08602	blue
K23536	blue
C16159	blue
K13819	blue
K02355	blue
C00224	blue
K02454	blue
K04042	blue
K04749	blue
C20357	blue
K10193	blue
K06939	blue
K02895	blue
K21801	blue
K11196	blue
K23684	blue
K02890	blue
C17323	blue
K10710	blue
K00689	blue
K02435	blue
K14059	blue
K05818	blue
K15176	blue
C00357	blue
C20451	blue
C00341	blue
C00141	blue
C20738	blue
C04037	blue
K22387	blue
C00253	blue
K07486	blue
C01120	blue
K07003	blue
C20838	blue
C00014	blue
K11755	blue
K02750	blue
K14191	blue
C20796	blue
K03488	blue
C20750	blue
C12147	blue
C20863	blue
K02601	blue
C17022	blue
C11830	blue
K02464	blue
K04075	blue
K03164	blue
K03223	blue
K02835	blue
K05714	blue
K11183	blue
K02484	blue
C05892	blue
K02949	blue
C01931	blue
C00185	blue
K06965	blue
C00043	blue
K01267	blue
C05756	blue
C21152	blue
C05300	blue
C00475	blue
K00601	blue
K11184	blue
K10241	blue
C04051	blue
K00281	blue
K11069	blue
K23510	blue
C06720	blue
K22846	blue
K18687	blue
K08372	blue
K23514	blue
K08253	blue
G10619	blue
K11060	blue
K18964	blue
C06658	blue
K01142	blue
C15975	blue
K20534	blue
K09276	blue
K05979	blue
K06196	blue
K23352	blue
K23535	blue
C05703	blue
K11625	blue
K19267	blue
K07041	blue
K03592	blue
K01208	blue
K02236	blue
K18942	blue
K07566	blue
C20231	blue
K23988	blue
K01810	blue
K19338	blue
K00025	blue
K19613	blue
K01744	blue
K01270	blue
C00415	blue
K12506	blue
C00668	blue
K07062	blue
K00849	blue
K22340	blue
C00191	blue
K17213	blue
C20418	blue
K02768	blue
C15667	blue
K01338	blue
C01330	blue
C00681	blue
K09494	blue
K01990	blue
K19005	blue
K18933	blue
K03775	blue
K22212	blue
C00264	blue
K03476	blue
K23238	blue
K17242	blue
C00135	blue
K07574	blue
K07978	blue
C05812	blue
C06103	blue
K21153	blue
K00791	blue
K03602	blue
K12552	blue
K13052	blue
C00164	blue
C15979	blue
G00001	blue
K01273	blue
K03547	blue
K01507	blue
K09591	blue
K03339	blue
K01322	blue
K22153	blue
K22478	blue
C05838	blue
