	0
C05528	blue
K11071	blue
C15978	blue
K02890	blue
K00162	blue
K02346	blue
K02342	blue
C05753	blue
C06142	blue
C21017	blue
K02784	blue
C00065	blue
K00980	blue
K06207	blue
K16263	blue
K00390	blue
K06878	blue
C00639	blue
K13403	blue
C00802	blue
C00037	blue
K02080	blue
C00127	blue
C02323	blue
C03294	blue
C12350	blue
C00693	blue
K03511	blue
K01652	blue
K19340	blue
C02967	blue
C15979	blue
C22160	blue
K20308	blue
C02869	blue
C00239	blue
K00951	blue
C00415	blue
C04494	blue
K03625	blue
K10568	blue
K02018	blue
K04077	blue
K16698	blue
C05577	blue
K07577	blue
K01147	blue
C06157	blue
C02745	blue
K02803	blue
K14665	blue
K02916	blue
K21030	blue
K23535	blue
C02780	blue
K19285	blue
C00232	blue
K22130	blue
C05580	blue
K02113	blue
C16392	blue
C03393	blue
C06006	blue
K01840	blue
K02791	blue
K00020	blue
C04713	blue
K21604	blue
K11075	blue
K00024	blue
K12983	blue
C03287	blue
K02876	blue
K03214	blue
C16154	blue
K13950	blue
K02133	blue
K01867	blue
K03475	blue
K07049	blue
C02984	blue
C00053	blue
K02881	blue
C00033	blue
K23149	blue
K06091	blue
C00012	blue
C16551	blue
K01619	blue
K09761	blue
K10880	blue
C00279	blue
K06442	blue
K07097	blue
K01520	blue
K16944	blue
K00927	blue
K01536	blue
K01870	blue
C16424	blue
K19828	blue
C05923	blue
C00160	blue
C00227	blue
K03672	blue
C00022	blue
C15814	blue
K08884	blue
K05939	blue
K11144	blue
K11216	blue
K00756	blue
K10762	blue
K11783	blue
K14538	blue
C00064	blue
K00955	blue
K03744	blue
C05748	blue
K07478	blue
K11631	blue
K09499	blue
K02778	blue
K06920	blue
K02899	blue
K13895	blue
K00830	blue
K03469	blue
K11717	blue
K22083	blue
C00504	blue
K21739	blue
K02355	blue
K03697	blue
C00681	blue
C00882	blue
K02779	blue
C01161	blue
K00099	blue
C02553	blue
C00104	blue
K21681	blue
K03515	blue
K12953	blue
C11437	blue
K07045	blue
K00952	blue
K07386	blue
K03696	blue
C01146	blue
K21567	blue
C04282	blue
K16784	blue
K09552	blue
C15996	blue
K01426	blue
K02950	blue
K02044	blue
C21284	blue
K22885	blue
C21878	blue
C00186	blue
C05763	blue
C00157	blue
K01658	blue
K06941	blue
C00479	blue
K02933	blue
C11435	blue
K21801	blue
K22601	blue
K13872	blue
K03437	blue
K02938	blue
K18422	blue
C00229	blue
K00167	blue
C11150	blue
K02906	blue
K07051	blue
C00526	blue
K03072	blue
K17506	blue
C02659	blue
K19788	blue
K18959	blue
K07757	blue
K14655	blue
K09952	blue
K05896	blue
K01451	blue
K00880	blue
K03529	blue
K17722	blue
C00887	blue
C00957	blue
K02316	blue
K14742	blue
K01595	blue
K11541	blue
K06942	blue
K03526	blue
K00086	blue
K07010	blue
K00839	blue
K22549	blue
K21416	blue
K06179	blue
K06674	blue
K10843	blue
K01139	blue
K00383	blue
K18758	blue
C12354	blue
K06870	blue
K04068	blue
K02956	blue
C16618	blue
K03168	blue
C02163	blue
K01951	blue
K09759	blue
K11753	blue
C00365	blue
K01415	blue
K01770	blue
K15519	blue
C20240	blue
C16238	blue
K10742	blue
K00134	blue
C04646	blue
K02028	blue
K11938	blue
K20074	blue
C00006	blue
C05582	blue
K02032	blue
K02010	blue
C00024	blue
K15635	blue
K18847	blue
K16785	blue
K01766	blue
C00027	blue
K00766	blue
C20753	blue
K07319	blue
C05922	blue
C00804	blue
K09469	blue
K01892	blue
C00655	blue
K00002	blue
K02040	blue
K07139	blue
K13892	blue
C02835	blue
C06755	blue
C05445	blue
K09699	blue
C00886	blue
C16426	blue
C02282	blue
K07357	blue
K03711	blue
K22966	blue
K03495	blue
K23078	blue
C03125	blue
C00258	blue
K01271	blue
C20248	blue
C04732	blue
K02909	blue
C16663	blue
K07816	blue
K02895	blue
K17797	blue
K09810	blue
K02992	blue
K13869	blue
C00458	blue
K02469	blue
C04133	blue
K20092	blue
K01662	blue
C21310	blue
K19266	blue
C00008	blue
K11072	blue
K05520	blue
K02871	blue
C00039	blue
C01697	blue
K01808	blue
K19781	blue
K01229	blue
K15904	blue
C01172	blue
C00269	blue
K03621	blue
K00088	blue
K18189	blue
K02036	blue
K02338	blue
K01885	blue
C05726	blue
C04260	blue
C00009	blue
K15865	blue
K02958	blue
K11415	blue
K02764	blue
K13896	blue
C01931	blue
K13798	blue
C00206	blue
K11070	blue
K02884	blue
K03664	blue
C00074	blue
K02946	blue
K00131	blue
K14162	blue
C00530	blue
K00556	blue
K02042	blue
K15779	blue
K11540	blue
K00948	blue
K00163	blue
K02959	blue
C06102	blue
K02955	blue
C00148	blue
K09013	blue
K00657	blue
K18672	blue
K03742	blue
K02114	blue
C00299	blue
C05696	blue
K21594	blue
K02053	blue
K05350	blue
K00895	blue
K00011	blue
C00197	blue
K01810	blue
K14441	blue
K22506	blue
C02188	blue
K12732	blue
K02986	blue
K07033	blue
C04554	blue
K00854	blue
K14208	blue
K01866	blue
K06222	blue
K00873	blue
C00489	blue
K06103	blue
C11477	blue
K02109	blue
C00615	blue
C00094	blue
K09951	blue
K09015	blue
C04534	blue
K05522	blue
C00204	blue
K04483	blue
C00099	blue
K02839	blue
K03430	blue
K11131	blue
K00026	blue
K00566	blue
K21947	blue
K15342	blue
K18573	blue
K02879	blue
K02124	blue
K23536	blue
C05759	blue
K10060	blue
K01466	blue
K03979	blue
K03427	blue
K03584	blue
K22544	blue
K00588	blue
K02954	blue
K21502	blue
K02078	blue
C21152	blue
C11453	blue
C18096	blue
K02836	blue
K14059	blue
K03439	blue
K03282	blue
K02356	blue
C00013	blue
