	0
K11693	blue
K22522	blue
C00084	blue
K18770	blue
K20466	blue
K12267	blue
K03435	blue
K06965	blue
K15661	blue
K13654	blue
C00191	blue
K07979	blue
K23183	blue
K00841	blue
K00812	blue
K07101	blue
K07652	blue
K18316	blue
K06409	blue
K06967	blue
K11810	blue
C05824	blue
K06209	blue
C03129	blue
K00443	blue
K02952	blue
K00177	blue
K21031	blue
C19888	blue
K09825	blue
K18204	blue
K01990	blue
C05125	blue
K04074	blue
K11412	blue
C21767	blue
K02062	blue
K05829	blue
K19587	blue
K04087	blue
K16850	blue
K03281	blue
K03217	blue
K01937	blue
K03604	blue
K08190	blue
K04568	blue
C00620	blue
K00088	blue
K03523	blue
K01032	blue
K01948	blue
K01492	blue
K07576	blue
K22549	blue
K07672	blue
C01941	blue
K13984	blue
K18687	blue
K07577	blue
K18909	blue
C04728	blue
K07707	blue
C00411	blue
K03621	blue
K11073	blue
K16209	blue
K11687	blue
C05819	blue
K02868	blue
K01154	blue
K18891	blue
C22161	blue
C01185	blue
K08998	blue
K00970	blue
K03565	blue
K05039	blue
K16639	blue
K11641	blue
K21071	blue
C21310	blue
K01681	blue
K09123	blue
K14267	blue
K17256	blue
K23786	blue
K04487	blue
C00424	blue
K16025	blue
C02702	blue
K04069	blue
K00895	blue
K16785	blue
K15780	blue
C00269	blue
K03436	blue
K00100	blue
K19828	blue
K03925	blue
K09017	blue
K15461	blue
C17541	blue
K03466	blue
K02844	blue
K00298	blue
K10898	blue
C03150	blue
K00606	blue
K22086	blue
K02356	blue
C05662	blue
K10005	blue
K03555	blue
K11075	blue
C20582	blue
K06952	blue
K18786	blue
K11175	blue
K09024	blue
C04734	blue
K01522	blue
K22103	blue
K00520	blue
C00028	blue
C00783	blue
K00048	blue
K13531	blue
C16466	blue
K07079	blue
K15635	blue
K14026	blue
K11216	blue
K11626	blue
K16787	blue
K21993	blue
C03589	blue
C00405	blue
C00641	blue
K02497	blue
K01208	blue
C04076	blue
K07757	blue
K01459	blue
K01810	blue
K11517	blue
C19853	blue
C05791	blue
K12264	blue
C01380	blue
K06330	blue
K13998	blue
K19073	blue
K13889	blue
K03667	blue
K03818	blue
C05817	blue
K00266	blue
K12297	blue
K03312	blue
C05751	blue
K03656	blue
K01630	blue
K05809	blue
K13770	blue
K01026	blue
K07164	blue
K00944	blue
C15811	blue
C00184	blue
K03824	blue
K11102	blue
K20904	blue
K07053	blue
C03453	blue
K03763	blue
C20581	blue
C03892	blue
C00254	blue
K05617	blue
K00086	blue
K03429	blue
K00102	blue
K21936	blue
C07447	blue
K02871	blue
