	0
C05478	blue
K21395	blue
K03927	blue
K05499	blue
K16876	blue
C00424	blue
K02965	blue
K03496	blue
K02479	blue
K22424	blue
K06178	blue
K07405	blue
K11808	blue
K04759	blue
K08223	blue
K09276	blue
K00309	blue
C00106	blue
K09812	blue
C00258	blue
C05893	blue
C06240	blue
K01953	blue
C03920	blue
C17223	blue
C02235	blue
K05800	blue
K07652	blue
K09504	blue
K01699	blue
K19142	blue
C00224	blue
C02463	blue
K01138	blue
K17737	blue
K13984	blue
K00532	blue
K00821	blue
C16476	blue
K13421	blue
K02038	blue
K15261	blue
C04877	blue
K02078	blue
K22579	blue
K13939	blue
K04078	blue
C00681	blue
K11751	blue
K08635	blue
C00104	blue
K07098	blue
C00931	blue
C21607	blue
K02864	blue
K12507	blue
K18064	blue
C00250	blue
C00060	blue
C11453	blue
K06950	blue
K14654	blue
C19975	blue
K02961	blue
K04037	blue
K09133	blue
C00103	blue
K01678	blue
K01599	blue
K21971	blue
C00559	blue
C00966	blue
K01960	blue
K02018	blue
C00763	blue
C06508	blue
C20377	blue
C05273	blue
C16634	blue
K02523	blue
K01487	blue
K04113	blue
C17222	blue
K23451	blue
K13009	blue
C00641	blue
K02244	blue
K09024	blue
C00009	blue
K14162	blue
K00281	blue
K07789	blue
C17322	blue
K00561	blue
C00526	blue
K03767	blue
C04823	blue
C00007	blue
C16221	blue
C00059	blue
K06180	blue
K03342	blue
K02029	blue
K04720	blue
C04932	blue
K10793	blue
C00016	blue
K00087	blue
K00065	blue
C00058	blue
K09825	blue
K03309	blue
K16149	blue
K06946	blue
C00441	blue
K06287	blue
K03789	blue
K02357	blue
K05823	blue
K07688	blue
C21879	blue
K08641	blue
C04832	blue
C04146	blue
C00105	blue
K15475	blue
K00231	blue
C05688	blue
K03294	blue
K01749	blue
K03296	blue
K03437	blue
K15583	blue
K18890	blue
K01716	blue
K03208	blue
C05125	blue
C03283	blue
K19449	blue
K01262	blue
K09014	blue
K12143	blue
K02586	blue
K03324	blue
K02017	blue
K07091	blue
C11811	blue
C21113	blue
K02847	blue
K00930	blue
K05597	blue
K06885	blue
K02907	blue
K01575	blue
K22004	blue
C15980	blue
K06073	blue
K20812	blue
K01758	blue
C11448	blue
C06019	blue
K12196	blue
K20901	blue
K18540	blue
K02960	blue
K16324	blue
C15809	blue
C00354	blue
C02745	blue
K06958	blue
K02988	blue
C00789	blue
K22300	blue
K01949	blue
K00533	blue
K00640	blue
K00761	blue
C05946	blue
C00944	blue
K02918	blue
K01000	blue
C06112	blue
K00932	blue
C05691	blue
C00005	blue
C20357	blue
K16951	blue
K02122	blue
K18456	blue
C00156	blue
K03388	blue
K05544	blue
K22903	blue
K11615	blue
K01893	blue
K18707	blue
K23911	blue
K07533	blue
K11532	blue
K18673	blue
K05614	blue
K09695	blue
K03387	blue
K18330	blue
C16618	blue
C04046	blue
K07130	blue
C06509	blue
K02047	blue
K02601	blue
K06857	blue
K03630	blue
C15814	blue
C02097	blue
C04294	blue
K15913	blue
C00234	blue
C00015	blue
K04027	blue
K06122	blue
C20359	blue
C12108	blue
K06941	blue
K07658	blue
K12406	blue
K07042	blue
C00082	blue
C01185	blue
C05768	blue
K16051	blue
K01702	blue
K00764	blue
K01634	blue
K22316	blue
C00065	blue
K03819	blue
K00177	blue
K14652	blue
C03394	blue
C00030	blue
K11536	blue
K17069	blue
K03270	blue
K14059	blue
C00143	blue
K13006	blue
K23265	blue
C00671	blue
K07326	blue
C00094	blue
K19430	blue
K02950	blue
K00645	blue
K02981	blue
K16013	blue
K21789	blue
K10907	blue
K12251	blue
K03431	blue
K03070	blue
C00668	blue
K02217	blue
K22450	blue
C00232	blue
K05366	blue
C21351	blue
K00841	blue
K13319	blue
K23060	blue
K02892	blue
K03412	blue
K17725	blue
K03719	blue
K18299	blue
C00254	blue
K02340	blue
C01368	blue
K01424	blue
K00863	blue
K19270	blue
C16664	blue
C00248	blue
C01279	blue
K09013	blue
C00036	blue
K07386	blue
K11177	blue
K19427	blue
K01915	blue
C00957	blue
C14144	blue
C05223	blue
C16469	blue
C01146	blue
K23253	blue
K08697	blue
K10823	blue
C02237	blue
C20941	blue
K03556	blue
K12409	blue
C21881	blue
C20683	blue
K06120	blue
C05271	blue
C00499	blue
K03165	blue
C05697	blue
C00688	blue
C00976	blue
K22225	blue
K04567	blue
C00490	blue
C00138	blue
C04051	blue
K00762	blue
K00604	blue
K02588	blue
K05565	blue
K18694	blue
K23144	blue
K07138	blue
K16705	blue
K06154	blue
K01955	blue
K02147	blue
C00439	blue
K01756	blue
C17213	blue
K00383	blue
C00083	blue
K19091	blue
K07126	blue
K00648	blue
C01755	blue
K01486	blue
C21808	blue
G12573	blue
C05852	blue
K13643	blue
C00071	blue
K03595	blue
K08971	blue
K04757	blue
K16148	blue
C04895	blue
K12339	blue
K19970	blue
C01330	blue
K00945	blue
K05847	blue
K08693	blue
K20118	blue
K15268	blue
K01011	blue
K01462	blue
C04702	blue
K05515	blue
K08194	blue
K01766	blue
K21686	blue
K11389	blue
K05658	blue
C20390	blue
K13746	blue
K17363	blue
K03472	blue
K07033	blue
K10440	blue
C03263	blue
K10670	blue
K05643	blue
K19781	blue
C05925	blue
K03500	blue
C01931	blue
K13660	blue
K19171	blue
C20507	blue
K21801	blue
K04029	blue
K23269	blue
C00208	blue
C20376	blue
C19723	blue
C03291	blue
K12369	blue
K23184	blue
C00074	blue
K16703	blue
K01705	blue
K00825	blue
K18779	blue
K02874	blue
K22233	blue
K03621	blue
K17989	blue
K01752	blue
K00587	blue
K22538	blue
K19515	blue
K18322	blue
K03438	blue
C00764	blue
K01703	blue
K02930	blue
K19349	blue
K10041	blue
K17077	blue
K22345	blue
K02779	blue
K00798	blue
C04751	blue
K00335	blue
C01335	blue
K18005	blue
K03568	blue
K18653	blue
K10709	blue
K11103	blue
K18357	blue
K08082	blue
K14940	blue
C00080	blue
K02647	blue
K11938	blue
K00991	blue
C21310	blue
K07040	blue
K06217	blue
C00342	blue
K01305	blue
K04691	blue
K02502	blue
K02825	blue
C00269	blue
K06898	blue
K20998	blue
K05657	blue
K12941	blue
K21767	blue
G13118	blue
K00996	blue
K12659	blue
K17509	blue
C17210	blue
C20969	blue
