	0
K07075	blue
C08362	blue
K00929	blue
K03742	blue
K14273	blue
K23169	blue
K07105	blue
K01522	blue
C01530	blue
K03585	blue
K01408	blue
K06950	blue
K15256	blue
K15634	blue
C11477	blue
C01146	blue
C00299	blue
C01642	blue
C20729	blue
K01659	blue
K13694	blue
K22893	blue
K02906	blue
K01996	blue
K01633	blue
K00790	blue
K11540	blue
K03816	blue
K15575	blue
K03079	blue
K15986	blue
C16596	blue
K13572	blue
K15711	blue
K02594	blue
K13402	blue
C01210	blue
K02031	blue
K18118	blue
K22902	blue
K19285	blue
K04094	blue
K02239	blue
K02505	blue
K06221	blue
K22503	blue
K22374	blue
K23078	blue
K09484	blue
K10716	blue
C20395	blue
K15230	blue
K06075	blue
K14665	blue
C12739	blue
K07665	blue
K13749	blue
K07134	blue
K06994	blue
C01219	blue
K00288	blue
C00475	blue
K01214	blue
C05746	blue
K14441	blue
C00075	blue
K21000	blue
C05932	blue
K01868	blue
K00574	blue
C00279	blue
K07640	blue
K19428	blue
K02499	blue
K09152	blue
K11996	blue
C20359	blue
K09688	blue
K13403	blue
K01924	blue
K08296	blue
K07532	blue
K00690	blue
K03687	blue
K17329	blue
C02183	blue
K03704	blue
K03734	blue
K21219	blue
K02052	blue
K16302	blue
C06473	blue
C01279	blue
K03059	blue
K02865	blue
K02103	blue
K07658	blue
K19178	blue
G10619	blue
C16634	blue
C00051	blue
C05645	blue
K00170	blue
C00159	blue
K11184	blue
K03315	blue
K06920	blue
K02939	blue
K00545	blue
K01139	blue
C06054	blue
C04882	blue
K21498	blue
K00204	blue
K02687	blue
C02992	blue
K16783	blue
K12733	blue
K18330	blue
K03151	blue
K14080	blue
K11618	blue
C03599	blue
K03602	blue
K02099	blue
C06658	blue
K23352	blue
C12203	blue
K03291	blue
K02342	blue
C00513	blue
K00290	blue
K22597	blue
K07529	blue
C00082	blue
K02137	blue
K02931	blue
K18682	blue
K00620	blue
K21298	blue
K18445	blue
C11829	blue
K08161	blue
G00160	blue
K09809	blue
K13995	blue
K18126	blue
C04076	blue
K00172	blue
C01185	blue
K07478	blue
K08303	blue
K09121	blue
K21488	blue
C03373	blue
C00411	blue
K05356	blue
K12446	blue
K09163	blue
C00152	blue
K01023	blue
K03580	blue
K07012	blue
K01710	blue
C20238	blue
K20848	blue
C03287	blue
C00028	blue
K21468	blue
C05814	blue
K04760	blue
K18268	blue
K22293	blue
K14393	blue
K05340	blue
K03470	blue
C00385	blue
G10481	blue
K03797	blue
K10190	blue
K07316	blue
K13480	blue
K21029	blue
C04913	blue
K03010	blue
K10548	blue
K00769	blue
K02017	blue
C05684	blue
K07076	blue
K02018	blue
C06017	blue
K17320	blue
C00530	blue
C18327	blue
K00948	blue
K15585	blue
K00364	blue
K00177	blue
K01438	blue
K02355	blue
K02890	blue
K12525	blue
C00499	blue
K00567	blue
C00005	blue
C20926	blue
K19425	blue
K03481	blue
K03041	blue
K23113	blue
K06998	blue
C00501	blue
K03767	blue
K16137	blue
K16651	blue
C00168	blue
K00341	blue
K22538	blue
C21879	blue
K01495	blue
C00242	blue
K01937	blue
C05302	blue
K17472	blue
C16389	blue
K15266	blue
K23384	blue
C00882	blue
K11954	blue
K02243	blue
C03375	blue
K14023	blue
K00286	blue
K23182	blue
K16703	blue
C02745	blue
K03100	blue
K02338	blue
K00891	blue
C21318	blue
K03106	blue
K07050	blue
K00973	blue
K08591	blue
K02058	blue
C12481	blue
C00531	blue
K00350	blue
K00554	blue
K00060	blue
K19736	blue
K15013	blue
K00441	blue
C00424	blue
C03794	blue
K04074	blue
K13252	blue
C01079	blue
C11545	blue
K00859	blue
K10679	blue
K11961	blue
K00823	blue
K11991	blue
K20469	blue
K07132	blue
K05884	blue
C21188	blue
K13560	blue
K02536	blue
C11927	blue
K11779	blue
C11543	blue
K10763	blue
K00849	blue
K22589	blue
K20361	blue
K14110	blue
K15635	blue
K01524	blue
C15976	blue
K01697	blue
K12978	blue
C00160	blue
K00954	blue
K21416	blue
K22489	blue
K05799	blue
K19070	blue
K16210	blue
C03724	blue
K06636	blue
K07404	blue
C05198	blue
C20755	blue
C11827	blue
K14244	blue
K03631	blue
K10191	blue
K05813	blue
K18944	blue
C00031	blue
K22468	blue
C06891	blue
K16694	blue
K06001	blue
K11201	blue
K07155	blue
C17022	blue
C04851	blue
C00153	blue
C21640	blue
K00788	blue
C02463	blue
K07154	blue
K11751	blue
K22949	blue
C16579	blue
K21168	blue
C16633	blue
K13013	blue
K18640	blue
K17206	blue
K23466	blue
C00957	blue
K07814	blue
C00032	blue
K18331	blue
C20144	blue
K00058	blue
K06168	blue
K09384	blue
K23864	blue
K03723	blue
K18416	blue
K07406	blue
K11062	blue
K02933	blue
K06185	blue
G00711	blue
K11079	blue
K07149	blue
K02968	blue
C01455	blue
K08884	blue
K15778	blue
K00861	blue
K02872	blue
K10118	blue
K12410	blue
C16826	blue
C02047	blue
K19789	blue
K16898	blue
C00633	blue
C00905	blue
K04567	blue
C04037	blue
K01006	blue
C00157	blue
K19270	blue
K15771	blue
C00114	blue
K17241	blue
C00067	blue
C00862	blue
K11687	blue
K20872	blue
K17810	blue
C04419	blue
K00264	blue
C00976	blue
K13786	blue
K17623	blue
C21621	blue
K14949	blue
K01950	blue
K15507	blue
K17830	blue
K02652	blue
K03457	blue
K06413	blue
K07449	blue
C03492	blue
K00065	blue
K01892	blue
K02907	blue
K19417	blue
K16199	blue
C05472	blue
K04773	blue
K13043	blue
K02868	blue
K21393	blue
K01265	blue
K22307	blue
C20966	blue
K07157	blue
K02653	blue
K05820	blue
K02469	blue
K00855	blue
K14575	blue
K07315	blue
K19591	blue
K05560	blue
K02012	blue
K00610	blue
K22900	blue
C15898	blue
C00476	blue
K02528	blue
K01465	blue
K02051	blue
C00091	blue
K00608	blue
K03281	blue
K06139	blue
K23242	blue
K03672	blue
K07168	blue
C00409	blue
K06893	blue
K21071	blue
C00416	blue
K01912	blue
K02902	blue
C11472	blue
K01012	blue
K05343	blue
K12983	blue
K06921	blue
K07475	blue
K12255	blue
K19955	blue
C00333	blue
K00266	blue
K14170	blue
K10685	blue
C19673	blue
K06925	blue
K22708	blue
C21008	blue
K00854	blue
K06412	blue
K05351	blue
K02825	blue
C01094	blue
C11436	blue
K08485	blue
K03278	blue
K10760	blue
K07126	blue
K21472	blue
C04334	blue
K17208	blue
K11263	blue
K02225	blue
K01647	blue
C00129	blue
C15978	blue
K11912	blue
C05539	blue
K03392	blue
K06140	blue
K06441	blue
K07486	blue
K19267	blue
G00289	blue
K07704	blue
K15023	blue
C02554	blue
K11808	blue
C01286	blue
K04758	blue
K13753	blue
K00180	blue
K11693	blue
K03651	blue
K03087	blue
K00944	blue
C05299	blue
C18076	blue
C00086	blue
K11183	blue
K01081	blue
C01252	blue
K00877	blue
C04738	blue
K01576	blue
K01770	blue
K03424	blue
K13815	blue
C14604	blue
C00003	blue
K01652	blue
K02510	blue
K04045	blue
K01881	blue
K00663	blue
C05923	blue
K01060	blue
K02486	blue
C16836	blue
K02431	blue
K18847	blue
C00133	blue
K02333	blue
K08735	blue
K00239	blue
K17998	blue
K13637	blue
C00940	blue
C06021	blue
K05681	blue
C05850	blue
K03697	blue
K04765	blue
K13798	blue
C11406	blue
K03502	blue
C06482	blue
K05576	blue
K06099	blue
K15261	blue
K00930	blue
K02136	blue
K07729	blue
K14392	blue
C20277	blue
C20986	blue
K22617	blue
K02011	blue
K03484	blue
K19304	blue
K02876	blue
K19302	blue
K03711	blue
K03335	blue
K16511	blue
K01759	blue
K02358	blue
K02563	blue
K10870	blue
K03748	blue
K00156	blue
K09510	blue
K10202	blue
C16615	blue
K11392	blue
C20916	blue
K04562	blue
C05859	blue
K05353	blue
C02474	blue
K00348	blue
K18478	blue
K11690	blue
C16393	blue
K03564	blue
C05686	blue
K18059	blue
K00014	blue
K22298	blue
K03437	blue
C01762	blue
C00013	blue
C04314	blue
K04031	blue
K17592	blue
K13663	blue
K20945	blue
K01993	blue
K05362	blue
C04181	blue
C15860	blue
K09698	blue
C12147	blue
K00566	blue
K17757	blue
C20249	blue
K03030	blue
K01097	blue
K02664	blue
K07031	blue
C04807	blue
K23535	blue
K07590	blue
K07670	blue
C16155	blue
K09473	blue
K14213	blue
K18786	blue
K23974	blue
K19965	blue
C20423	blue
C04352	blue
K10110	blue
K03040	blue
K12285	blue
C19889	blue
C05651	blue
K23512	blue
K21961	blue
K11416	blue
K01147	blue
K21085	blue
K20678	blue
K09277	blue
K03932	blue
K02337	blue
K03825	blue
K06969	blue
K07448	blue
C00350	blue
K19064	blue
C04088	blue
K21027	blue
K00926	blue
K14060	blue
K04516	blue
K08734	blue
K17759	blue
C20251	blue
K12112	blue
K00179	blue
K10781	blue
K01928	blue
K07775	blue
K02086	blue
K21363	blue
K15441	blue
C06124	blue
C19694	blue
C04734	blue
C21877	blue
C00197	blue
K07088	blue
K00932	blue
C14102	blue
C00162	blue
K00806	blue
K06936	blue
C04039	blue
K13531	blue
K15783	blue
K14761	blue
K10955	blue
C01020	blue
K00142	blue
K20345	blue
C16334	blue
C20658	blue
K06091	blue
K09697	blue
K10560	blue
K15446	blue
C06400	blue
K00289	blue
C19929	blue
K02784	blue
K14742	blue
K05844	blue
K00700	blue
K02035	blue
C00027	blue
C05892	blue
K11063	blue
C05527	blue
C04778	blue
K00895	blue
K03075	blue
K01945	blue
K09512	blue
K05589	blue
K03497	blue
C00620	blue
K22338	blue
K00008	blue
C16587	blue
K19817	blue
C00764	blue
K08739	blue
K01125	blue
K02026	blue
K04088	blue
C00638	blue
K16902	blue
C00246	blue
K00313	blue
K06927	blue
K16870	blue
C02218	blue
K02109	blue
K22130	blue
K00850	blue
K23948	blue
K01533	blue
K22004	blue
K10678	blue
K07096	blue
K21062	blue
C01117	blue
K16044	blue
K08700	blue
K07456	blue
K22549	blue
K03074	blue
K00655	blue
K18861	blue
K04078	blue
C00100	blue
K01452	blue
K11121	blue
K19108	blue
C21137	blue
K06162	blue
K15442	blue
K04930	blue
K18220	blue
C05999	blue
K09825	blue
C19888	blue
C04702	blue
C00218	blue
K01598	blue
C21608	blue
C20278	blue
K03321	blue
K00874	blue
K03446	blue
K16139	blue
C06006	blue
C02987	blue
C16588	blue
K07651	blue
K22081	blue
K14163	blue
K10841	blue
C05449	blue
C15667	blue
K10559	blue
K12556	blue
K04075	blue
K22230	blue
K01761	blue
K02970	blue
K10004	blue
K07242	blue
K10540	blue
K01897	blue
K02874	blue
C20566	blue
K07239	blue
K20861	blue
K16248	blue
C15532	blue
K00796	blue
K05846	blue
K21019	blue
K01958	blue
C01672	blue
K09470	blue
K15779	blue
C03294	blue
C05762	blue
K11258	blue
C06424	blue
K23537	blue
K07445	blue
C20373	blue
K01664	blue
K22933	blue
K00459	blue
K23253	blue
K13525	blue
K06148	blue
K01880	blue
C01024	blue
K23786	blue
K18959	blue
K22103	blue
C21153	blue
C05760	blue
K10036	blue
C06240	blue
K03545	blue
K02455	blue
K02651	blue
K11787	blue
C04751	blue
C05345	blue
K02115	blue
K14538	blue
K03575	blue
K20884	blue
K01751	blue
K03571	blue
K06940	blue
K07550	blue
C12320	blue
