	0
K22004	blue
C04046	blue
C04713	blue
K08956	blue
C03508	blue
K02892	blue
K06400	blue
K21465	blue
K00566	blue
K15986	blue
C01236	blue
C00160	blue
K07744	blue
K19425	blue
C20446	blue
K03762	blue
K08100	blue
C05848	blue
K00849	blue
K22912	blue
K09494	blue
K06636	blue
C11838	blue
K15654	blue
K00944	blue
K01772	blue
K01060	blue
K11939	blue
K00400	blue
K01766	blue
C20374	blue
K02054	blue
C16254	blue
C01185	blue
K01537	blue
K01955	blue
K07059	blue
C17569	blue
K13522	blue
K15016	blue
K15531	blue
C00133	blue
K06978	blue
K00790	blue
K16018	blue
C16596	blue
C01094	blue
K09019	blue
K03206	blue
C15603	blue
C00059	blue
K12410	blue
C05272	blue
C20906	blue
K07652	blue
K09808	blue
K09878	blue
K11744	blue
C19879	blue
K01597	blue
K05338	blue
K01641	blue
C01929	blue
C05394	blue
C00785	blue
K20707	blue
K00327	blue
K12736	blue
K01616	blue
K00929	blue
K21701	blue
K21961	blue
C15814	blue
C00005	blue
C05824	blue
K04615	blue
K22552	blue
K09762	blue
K02960	blue
K18647	blue
K08092	blue
C05744	blue
K19270	blue
C03231	blue
K12952	blue
C00490	blue
K02243	blue
K01872	blue
C00718	blue
K00023	blue
K03392	blue
G13118	blue
K07571	blue
K02528	blue
K03770	blue
K13772	blue
K01101	blue
K03346	blue
K05553	blue
K02246	blue
C02984	blue
C00124	blue
K08776	blue
C01762	blue
K07560	blue
K07284	blue
C00221	blue
K03366	blue
K02502	blue
K05011	blue
K12993	blue
K13936	blue
K14661	blue
K01142	blue
K17425	blue
K01066	blue
C00322	blue
C00561	blue
C00014	blue
C05980	blue
K15454	blue
K08190	blue
K06693	blue
K00796	blue
K22468	blue
K06140	blue
K06346	blue
K01215	blue
K02342	blue
K01881	blue
K13581	blue
K18533	blue
C00108	blue
C03512	blue
K01966	blue
C15976	blue
C21368	blue
K01212	blue
K00560	blue
K01412	blue
K02483	blue
K21801	blue
C00212	blue
K02855	blue
K03631	blue
C01720	blue
C12044	blue
C00189	blue
K00969	blue
K07387	blue
C21084	blue
K11541	blue
C16221	blue
C05312	blue
K00765	blue
K01265	blue
K06409	blue
K05499	blue
