	0
K03954	blue
K12953	blue
K07657	blue
K15669	blue
K11411	blue
K07096	blue
C03373	blue
K06870	blue
C01468	blue
K01803	blue
K07192	blue
K07804	blue
C00647	blue
C01117	blue
K08735	blue
K03100	blue
C04506	blue
C00042	blue
G13127	blue
K10432	blue
K03074	blue
K19285	blue
K05831	blue
K02171	blue
K11747	blue
K01867	blue
K07579	blue
K02004	blue
K07076	blue
C00436	blue
K01620	blue
K01523	blue
K07460	blue
K09251	blue
C00417	blue
K08675	blue
K16705	blue
K01070	blue
K19302	blue
C06193	blue
K21314	blue
K00901	blue
K05801	blue
K07221	blue
K08094	blue
C03785	blue
K07552	blue
K07799	blue
C00001	blue
C20940	blue
C00636	blue
C05271	blue
K01539	blue
K01193	blue
C04477	blue
K17224	blue
C01151	blue
K02886	blue
K21471	blue
K01874	blue
K20480	blue
K01271	blue
K03809	blue
K02519	blue
K13653	blue
K17995	blue
K01091	blue
C20423	blue
C05824	blue
K00826	blue
K18941	blue
C00693	blue
K08302	blue
K07405	blue
K01156	blue
K13542	blue
K02968	blue
C04002	blue
K18003	blue
K08281	blue
K14346	blue
C17210	blue
C00416	blue
K06145	blue
K15894	blue
C16836	blue
K01776	blue
K12944	blue
K15921	blue
K03826	blue
K19244	blue
K22982	blue
K06133	blue
C00062	blue
C16633	blue
K02058	blue
K07240	blue
K02823	blue
C05756	blue
K17686	blue
K14571	blue
K03212	blue
C00153	blue
C03539	blue
K02508	blue
K20074	blue
C00083	blue
K02619	blue
K03739	blue
K16181	blue
K21138	blue
K01750	blue
C05639	blue
K00156	blue
K14213	blue
C15974	blue
K21346	blue
C20751	blue
C00114	blue
C05814	blue
K12982	blue
K01904	blue
K05602	blue
C02642	blue
C05726	blue
K00547	blue
K09647	blue
K19710	blue
K03556	blue
K17883	blue
K08969	blue
K06926	blue
K21739	blue
C00256	blue
K06238	blue
K04034	blue
C05750	blue
C00096	blue
K16353	blue
K00812	blue
K20444	blue
K10760	blue
K17623	blue
K03521	blue
K13572	blue
K08693	blue
K00266	blue
K00556	blue
K05837	blue
K16246	blue
C17213	blue
K02067	blue
K04751	blue
K02502	blue
K07636	blue
K10266	blue
K01144	blue
C18305	blue
K03041	blue
K13444	blue
C00327	blue
C06113	blue
C05634	blue
K06871	blue
K03088	blue
K06181	blue
K19428	blue
K22043	blue
C00167	blue
K19430	blue
K19697	blue
K13830	blue
C00094	blue
K00950	blue
G13103	blue
K22225	blue
C11838	blue
K10524	blue
K12340	blue
K06714	blue
K00979	blue
K13004	blue
C00212	blue
K02575	blue
K21911	blue
K05717	blue
K03183	blue
K07679	blue
K12216	blue
K07789	blue
C16579	blue
C00155	blue
C19078	blue
C04317	blue
K05939	blue
K01792	blue
K04096	blue
K07392	blue
K21557	blue
K17486	blue
C00360	blue
C04494	blue
K02405	blue
K00974	blue
C05276	blue
C21748	blue
K22970	blue
K18573	blue
K19743	blue
C00044	blue
C18629	blue
K03490	blue
K13940	blue
K18802	blue
C04377	blue
K01147	blue
K06182	blue
K06382	blue
C05897	blue
K01182	blue
C03375	blue
K09681	blue
K06950	blue
K02195	blue
K11788	blue
C19085	blue
K08082	blue
C17223	blue
K01743	blue
K13052	blue
K07478	blue
K00952	blue
K19701	blue
K22297	blue
K06409	blue
K19969	blue
K00605	blue
K14191	blue
K09793	blue
K00611	blue
C02553	blue
C05922	blue
K14326	blue
K21469	blue
K08093	blue
K20095	blue
C00049	blue
K11271	blue
K18831	blue
K03106	blue
K02894	blue
C00354	blue
K19222	blue
C00561	blue
K10598	blue
K21499	blue
K22199	blue
K12339	blue
C17022	blue
K03719	blue
C04352	blue
C00267	blue
K06132	blue
K01453	blue
C00352	blue
C21189	blue
K08740	blue
K19970	blue
K09011	blue
C01005	blue
K03715	blue
K07085	blue
K15460	blue
C07446	blue
K10977	blue
K05642	blue
C05478	blue
K12983	blue
K23095	blue
K03431	blue
C05577	blue
C05796	blue
K09577	blue
K04744	blue
K05366	blue
K10012	blue
K12660	blue
K18284	blue
K21790	blue
K03718	blue
K18903	blue
C00135	blue
C02839	blue
C00011	blue
C00264	blue
C21873	blue
K03500	blue
K06158	blue
K12573	blue
K12854	blue
C00415	blue
K00773	blue
K02169	blue
K01811	blue
K19873	blue
K01258	blue
K09748	blue
K01054	blue
C04677	blue
K13012	blue
K01567	blue
K07050	blue
K06136	blue
K07246	blue
K02113	blue
K21064	blue
K03426	blue
K04045	blue
K07102	blue
K02988	blue
K21179	blue
K00046	blue
K03797	blue
C04884	blue
C00103	blue
K19736	blue
K14349	blue
K22804	blue
K06207	blue
K20156	blue
C04043	blue
K20972	blue
K00564	blue
K14170	blue
K06948	blue
K20678	blue
K21176	blue
K21218	blue
K21147	blue
K23424	blue
C01079	blue
K13726	blue
K02994	blue
K18650	blue
K08676	blue
C00993	blue
K14358	blue
K02338	blue
K00544	blue
K02355	blue
C21430	blue
C06148	blue
K00929	blue
K00351	blue
K01889	blue
K09774	blue
C00040	blue
C00315	blue
K07051	blue
K15831	blue
C20361	blue
K03584	blue
K01270	blue
C16634	blue
K14444	blue
K01928	blue
K07259	blue
K18580	blue
C20755	blue
K00207	blue
C01132	blue
C05199	blue
C00180	blue
C06481	blue
K00759	blue
K07407	blue
C21332	blue
K01209	blue
K00655	blue
K09903	blue
K22004	blue
K07704	blue
C12420	blue
C01330	blue
K07017	blue
C00163	blue
K01854	blue
K23010	blue
C19764	blue
K02109	blue
K06180	blue
K09488	blue
K09759	blue
C02972	blue
K01760	blue
K00821	blue
C07447	blue
C04666	blue
C04121	blue
G13093	blue
C00111	blue
K01409	blue
C00198	blue
C00673	blue
K22927	blue
K15922	blue
K03046	blue
K17749	blue
C00032	blue
C01163	blue
K00018	blue
K03168	blue
C04092	blue
K01130	blue
K18824	blue
K11412	blue
K09610	blue
K16850	blue
K19548	blue
K03973	blue
K06636	blue
C00760	blue
K02485	blue
C22160	blue
K03471	blue
K03148	blue
C03511	blue
K03517	blue
K23352	blue
G02632	blue
K10026	blue
K21375	blue
K16165	blue
K10901	blue
K01761	blue
K16553	blue
K03559	blue
C00224	blue
K02904	blue
K12988	blue
C00470	blue
K00651	blue
K00057	blue
C01222	blue
K06020	blue
K10708	blue
K01492	blue
C01026	blue
K03770	blue
K13017	blue
K19504	blue
K21331	blue
K07357	blue
C21310	blue
K16363	blue
K14058	blue
K11064	blue
C03161	blue
C00536	blue
K21463	blue
K21478	blue
K07457	blue
K03784	blue
K20169	blue
C04294	blue
C00251	blue
C05645	blue
K18431	blue
K15518	blue
K02969	blue
K01138	blue
K01711	blue
K04075	blue
K00951	blue
K03564	blue
K23984	blue
K06373	blue
K09808	blue
K20499	blue
C16631	blue
K11994	blue
K01740	blue
K06400	blue
C01769	blue
C20676	blue
K07459	blue
K13015	blue
C02962	blue
C15977	blue
C05698	blue
K03321	blue
K13370	blue
K03616	blue
K03526	blue
K12450	blue
K06949	blue
K03655	blue
K07728	blue
K01466	blue
K00810	blue
K18674	blue
K21910	blue
K03927	blue
K19304	blue
C20941	blue
K01153	blue
K01613	blue
K14682	blue
K19270	blue
K13668	blue
C00022	blue
C00140	blue
K09951	blue
K15332	blue
C19890	blue
K07228	blue
C00148	blue
K07100	blue
C05748	blue
K21701	blue
C02745	blue
K09650	blue
K19694	blue
K03551	blue
K17462	blue
C00440	blue
C03794	blue
K03315	blue
K00349	blue
K02429	blue
K18814	blue
C00221	blue
K06894	blue
K03174	blue
K01966	blue
K01965	blue
K03544	blue
K03798	blue
K08194	blue
C06240	blue
K03164	blue
C20359	blue
K22871	blue
K00992	blue
C16238	blue
K16846	blue
G09660	blue
K03532	blue
C11537	blue
K19715	blue
C17224	blue
C02226	blue
C22002	blue
