	0
C19929	blue
K05643	blue
K05896	blue
K09996	blue
K01268	blue
C05762	blue
K10706	blue
K18841	blue
K03824	blue
C02702	blue
C08607	blue
C00860	blue
K22547	blue
K00703	blue
C00330	blue
K15314	blue
C20278	blue
K03810	blue
K03925	blue
K06923	blue
K00832	blue
K03726	blue
C00109	blue
C00191	blue
C15811	blue
C03058	blue
K21681	blue
K22387	blue
K11412	blue
K00701	blue
K01867	blue
C00033	blue
K22837	blue
K07003	blue
K02113	blue
K08591	blue
K00189	blue
C03232	blue
K06988	blue
C04851	blue
C01219	blue
K07816	blue
K18831	blue
K07114	blue
C05925	blue
K08313	blue
C00139	blue
C00188	blue
K02133	blue
C04642	blue
K16862	blue
K07177	blue
K03555	blue
K11629	blue
K01261	blue
C17209	blue
K11755	blue
K01924	blue
K02033	blue
K01923	blue
K13307	blue
K09817	blue
K14575	blue
K18350	blue
K02836	blue
C00186	blue
K03696	blue
K19002	blue
C00014	blue
K03592	blue
K05658	blue
K07642	blue
C06041	blue
C05814	blue
K02812	blue
K07776	blue
C01099	blue
K18947	blue
C01120	blue
K12448	blue
K03021	blue
K12953	blue
K11717	blue
K00382	blue
K11690	blue
C05698	blue
C00229	blue
K23121	blue
K19639	blue
K12503	blue
K00156	blue
C05639	blue
K04022	blue
C16255	blue
C00143	blue
K03924	blue
K18268	blue
K12952	blue
K08974	blue
C16334	blue
C06112	blue
K15857	blue
K03574	blue
K09482	blue
K19170	blue
K13789	blue
K19312	blue
K04717	blue
K18889	blue
K01930	blue
K03790	blue
C01563	blue
C20249	blue
K14391	blue
C04144	blue
K03442	blue
C05824	blue
K01200	blue
C00083	blue
K00048	blue
C00671	blue
K15407	blue
K02108	blue
K19285	blue
K18866	blue
K15583	blue
K08884	blue
C17010	blue
K22615	blue
K09808	blue
C21069	blue
K18348	blue
K00759	blue
K11194	blue
C18059	blue
C00642	blue
K13967	blue
C12632	blue
C05791	blue
C00222	blue
K08259	blue
K03091	blue
C00441	blue
K00031	blue
K04486	blue
C07091	blue
K07104	blue
C00320	blue
C11927	blue
C11477	blue
C04088	blue
K02530	blue
C16330	blue
K07076	blue
K12954	blue
C05382	blue
K12553	blue
K02428	blue
C04501	blue
C00627	blue
K10914	blue
K02405	blue
K17758	blue
K09834	blue
K02101	blue
K03646	blue
K02132	blue
K03767	blue
K09748	blue
K19179	blue
K00855	blue
K08281	blue
K21977	blue
K06953	blue
K19055	blue
K00929	blue
K02051	blue
K13829	blue
K01629	blue
K10755	blue
K00467	blue
C00993	blue
K19828	blue
K02759	blue
C04145	blue
C05581	blue
C00576	blue
K03616	blue
K07684	blue
K18284	blue
K00004	blue
C00180	blue
C16619	blue
K18220	blue
K16074	blue
C05753	blue
C00012	blue
K03893	blue
K03831	blue
K01740	blue
C03576	blue
K03502	blue
K00261	blue
K07258	blue
K00264	blue
K19036	blue
C00406	blue
C06427	blue
K09533	blue
K01207	blue
C00166	blue
K16147	blue
K23508	blue
C05265	blue
K02815	blue
C19152	blue
K05887	blue
C01233	blue
K00554	blue
C12214	blue
K22114	blue
G13103	blue
K00999	blue
K12950	blue
C01168	blue
K21466	blue
K00757	blue
K00687	blue
K06858	blue
C00862	blue
K06131	blue
K12598	blue
K03294	blue
K01926	blue
K03338	blue
K05873	blue
K03218	blue
K19789	blue
C00122	blue
K03637	blue
K03789	blue
C02483	blue
K02495	blue
K01839	blue
C05726	blue
K05515	blue
K11783	blue
K18009	blue
K15711	blue
K12252	blue
C03838	blue
C00802	blue
K01916	blue
C16615	blue
C00385	blue
K02226	blue
C06113	blue
K11528	blue
K13983	blue
K02813	blue
C20763	blue
K19337	blue
K02071	blue
K06962	blue
K15327	blue
K23227	blue
C00195	blue
C04631	blue
K23265	blue
K13052	blue
K12132	blue
K00872	blue
C05927	blue
K03554	blue
C03692	blue
K06179	blue
K01299	blue
K10947	blue
K00289	blue
K00556	blue
K07172	blue
C05763	blue
K02865	blue
K00869	blue
K02346	blue
K01498	blue
K11072	blue
K14538	blue
K00290	blue
K00943	blue
C05269	blue
K00941	blue
K16052	blue
K20466	blue
K09020	blue
C00062	blue
K01493	blue
K19575	blue
K01972	blue
K02615	blue
C20758	blue
K19076	blue
C02222	blue
K01880	blue
K05038	blue
K20419	blue
K21910	blue
K05824	blue
K00802	blue
C19879	blue
K01585	blue
K09695	blue
K02080	blue
C16837	blue
K04101	blue
