	0
K00917	blue
K02027	blue
K16139	blue
C11435	blue
K02847	blue
K02899	blue
K03694	blue
C04153	blue
K12111	blue
K00260	blue
K00908	blue
C16630	blue
C03508	blue
K04484	blue
C20959	blue
K11411	blue
C20508	blue
K22904	blue
K18534	blue
K07506	blue
K12511	blue
C00145	blue
K10539	blue
K18005	blue
K07720	blue
C05898	blue
K21889	blue
C05946	blue
K02349	blue
K17231	blue
K13148	blue
K09994	blue
C21310	blue
K02894	blue
K04764	blue
K13311	blue
K01486	blue
K00947	blue
K19286	blue
K01855	blue
C20377	blue
K06976	blue
K00859	blue
K11996	blue
C05814	blue
K07043	blue
K01677	blue
K02779	blue
K02788	blue
K16881	blue
K00705	blue
C01335	blue
K03531	blue
K07783	blue
K15792	blue
K07003	blue
K22390	blue
K02956	blue
K03547	blue
K00029	blue
C01094	blue
K01452	blue
K02318	blue
K15855	blue
K18704	blue
K02454	blue
K02424	blue
K11754	blue
C00627	blue
C00053	blue
K01356	blue
C11831	blue
K17999	blue
K00980	blue
K01200	blue
C21284	blue
K21636	blue
K00944	blue
C00040	blue
K04940	blue
K16202	blue
K00186	blue
K03723	blue
K02795	blue
K00568	blue
C00031	blue
K06943	blue
K00615	blue
K03502	blue
C00369	blue
G02632	blue
K00099	blue
K02086	blue
K20977	blue
C11537	blue
K22901	blue
K00895	blue
K03833	blue
K06024	blue
C03373	blue
C21137	blue
G13074	blue
K18573	blue
K08956	blue
K22298	blue
C00139	blue
K01783	blue
C01289	blue
K01305	blue
K01436	blue
K07096	blue
K07814	blue
K00171	blue
K00563	blue
K13283	blue
K06956	blue
K11102	blue
K01091	blue
K11381	blue
K16438	blue
K11212	blue
K08660	blue
K20444	blue
K02028	blue
K04479	blue
K02479	blue
C00229	blue
K07138	blue
K01998	blue
K18881	blue
C00376	blue
K17972	blue
K08736	blue
K00034	blue
K11074	blue
K11808	blue
C00636	blue
C00689	blue
K21910	blue
C05589	blue
C00160	blue
K05714	blue
K03816	blue
K01533	blue
C20237	blue
C06054	blue
K01487	blue
K05586	blue
K01710	blue
K13525	blue
C01168	blue
C00028	blue
K12960	blue
K16846	blue
K23537	blue
C19609	blue
C04642	blue
K01268	blue
K02786	blue
K00663	blue
K03701	blue
C00327	blue
K07479	blue
K16199	blue
C05533	blue
K07124	blue
K10871	blue
C03785	blue
K03455	blue
C05378	blue
C00011	blue
K01182	blue
K12264	blue
C16618	blue
G10553	blue
K18478	blue
K03546	blue
K02806	blue
K04095	blue
K00204	blue
K22199	blue
C01233	blue
K12555	blue
K11144	blue
K02904	blue
K01056	blue
K01834	blue
C00357	blue
K02343	blue
K23269	blue
K01267	blue
K00532	blue
K01215	blue
C17322	blue
K00051	blue
C00679	blue
C00256	blue
K01889	blue
K00651	blue
K03769	blue
K00954	blue
K00728	blue
C01102	blue
K06969	blue
K03324	blue
K00019	blue
C02872	blue
C00116	blue
K00400	blue
K01916	blue
K23242	blue
K04801	blue
K02652	blue
K21238	blue
K01115	blue
K13789	blue
K02005	blue
K05847	blue
K17213	blue
C02553	blue
K03612	blue
K07273	blue
K02650	blue
K01176	blue
K10219	blue
K01874	blue
K00046	blue
K01165	blue
K01138	blue
K06147	blue
K02825	blue
C02686	blue
K05785	blue
K16789	blue
K03615	blue
C17010	blue
C02047	blue
C20958	blue
C05684	blue
C00333	blue
C00681	blue
K01866	blue
K06178	blue
K13985	blue
K00075	blue
K03930	blue
K01744	blue
K10037	blue
K02855	blue
C19787	blue
K01372	blue
K09490	blue
K03973	blue
K13677	blue
C16551	blue
C01659	blue
K19349	blue
K06927	blue
K02950	blue
C02637	blue
K19275	blue
K03078	blue
C00380	blue
C17569	blue
C18061	blue
K00925	blue
K21138	blue
K00857	blue
C00673	blue
K03705	blue
C06114	blue
K00881	blue
C18028	blue
K03589	blue
C18353	blue
K07047	blue
K07095	blue
K21890	blue
C00416	blue
K00874	blue
K07568	blue
K12573	blue
K00681	blue
K00759	blue
C03089	blue
C00445	blue
K00556	blue
K03212	blue
K03771	blue
K02982	blue
K20967	blue
K04718	blue
C00527	blue
K09818	blue
K03086	blue
K17828	blue
C00022	blue
C04534	blue
K15835	blue
C03492	blue
C21997	blue
K02986	blue
K06346	blue
C00802	blue
K23518	blue
K15635	blue
C00105	blue
K05831	blue
K19548	blue
K02502	blue
K11072	blue
K02493	blue
K08256	blue
C04479	blue
K02012	blue
K00852	blue
K09163	blue
K01873	blue
K07000	blue
C02659	blue
K09702	blue
G10008	blue
K11216	blue
K03779	blue
K02356	blue
K23987	blue
K12700	blue
C02067	blue
K23107	blue
K04562	blue
C16392	blue
K03480	blue
K03558	blue
C00016	blue
C01097	blue
C05587	blue
K12944	blue
K06041	blue
K07478	blue
K01440	blue
K03101	blue
K07018	blue
K00880	blue
K13431	blue
K03648	blue
K19576	blue
C00267	blue
C00423	blue
K01433	blue
K03789	blue
K08722	blue
K07111	blue
K15873	blue
C04598	blue
K05658	blue
K01869	blue
C00269	blue
K03784	blue
C00266	blue
C00013	blue
C03028	blue
K01069	blue
K15921	blue
K03498	blue
K04088	blue
K00975	blue
K14416	blue
K18654	blue
K21911	blue
K09552	blue
K15507	blue
K11473	blue
K03577	blue
K03623	blue
K09005	blue
K19416	blue
K03424	blue
K01937	blue
K22538	blue
C00490	blue
K05591	blue
K10763	blue
C00387	blue
K22246	blue
C06250	blue
C00083	blue
K01070	blue
C00164	blue
C05539	blue
K19837	blue
K01000	blue
K10039	blue
K07456	blue
K06889	blue
K14335	blue
C00190	blue
C04349	blue
K08372	blue
K23159	blue
K07037	blue
C00006	blue
K00712	blue
C15883	blue
C00264	blue
K00557	blue
K19506	blue
K06990	blue
K01857	blue
K06173	blue
K11391	blue
C20863	blue
K00955	blue
K07059	blue
K22452	blue
C00279	blue
K22551	blue
C20758	blue
C04236	blue
K06154	blue
K01951	blue
K19626	blue
K01297	blue
K21677	blue
K09134	blue
C00670	blue
K05519	blue
C15980	blue
C00940	blue
K15738	blue
K03110	blue
K05809	blue
K19338	blue
K10708	blue
K19789	blue
K01134	blue
C20679	blue
K02108	blue
K08151	blue
K00784	blue
K02884	blue
K11069	blue
C05582	blue
C16541	blue
K00757	blue
K01631	blue
K05837	blue
K04093	blue
C00089	blue
C18076	blue
K06213	blue
C00189	blue
K13751	blue
K15581	blue
K02879	blue
C21851	blue
C02415	blue
K21019	blue
G10622	blue
K09765	blue
