	0
K07113	blue
K02015	blue
K21567	blue
K12823	blue
K00014	blue
C16217	blue
K03502	blue
K14415	blue
C00194	blue
K21784	blue
C01468	blue
C20277	blue
K03112	blue
K20327	blue
C05817	blue
K00554	blue
C00846	blue
K00654	blue
C00041	blue
C02504	blue
K02933	blue
K01212	blue
K12070	blue
C00008	blue
K01782	blue
K02238	blue
K19355	blue
K04562	blue
K15475	blue
K01993	blue
K11292	blue
K00059	blue
K18861	blue
K03283	blue
K00997	blue
C18243	blue
C20668	blue
K18573	blue
K12733	blue
K01126	blue
C20395	blue
K14963	blue
K14536	blue
K00700	blue
K03595	blue
K08659	blue
K17073	blue
K22387	blue
K02338	blue
K02529	blue
C00137	blue
K03110	blue
C01181	blue
K00042	blue
K05551	blue
C00695	blue
K22319	blue
K00020	blue
K10441	blue
K00231	blue
K22432	blue
C00424	blue
K12297	blue
K05602	blue
C15816	blue
K00349	blue
K02938	blue
K03650	blue
C00448	blue
C00295	blue
C05404	blue
K01628	blue
K02066	blue
K02666	blue
K02621	blue
C00473	blue
K20432	blue
K01962	blue
K20074	blue
C00186	blue
C04558	blue
K11175	blue
K14346	blue
K12276	blue
K01866	blue
C00055	blue
K14390	blue
C03657	blue
C16220	blue
K07126	blue
K04042	blue
K05275	blue
K04069	blue
K01939	blue
K03010	blue
K20899	blue
C00068	blue
K02528	blue
K13623	blue
C00054	blue
K08739	blue
C02631	blue
K22893	blue
C00231	blue
K08696	blue
K18556	blue
C16693	blue
C20375	blue
K16559	blue
C00219	blue
K18302	blue
K06871	blue
K03183	blue
K23182	blue
C05651	blue
C03585	blue
K07359	blue
K23518	blue
C01725	blue
C20373	blue
K13888	blue
K00128	blue
K03975	blue
C06010	blue
C15809	blue
K05882	blue
K00955	blue
C00064	blue
C20753	blue
K21502	blue
C05265	blue
K01874	blue
K03018	blue
C00249	blue
K21900	blue
C00328	blue
K17105	blue
K03234	blue
K00927	blue
K06943	blue
K01463	blue
C21573	blue
K03582	blue
C12835	blue
C20958	blue
K02982	blue
K02656	blue
C06506	blue
K03243	blue
C05275	blue
C20248	blue
C00084	blue
C01983	blue
C16399	blue
C21334	blue
C16328	blue
K14161	blue
C00223	blue
C00993	blue
K02065	blue
C01222	blue
C01151	blue
C04317	blue
K14163	blue
K22298	blue
G09660	blue
K13408	blue
C12348	blue
C04480	blue
K00034	blue
C12632	blue
C00845	blue
C05223	blue
K01356	blue
K06187	blue
K03614	blue
C05850	blue
K13950	blue
K17828	blue
K11105	blue
C00343	blue
K06999	blue
K06136	blue
C00109	blue
C00492	blue
K21405	blue
K13503	blue
K02959	blue
