	0
K02111	blue
K03093	blue
C20751	blue
K01676	blue
C11417	blue
K16025	blue
K01897	blue
K14188	blue
K01952	blue
K02573	blue
C00112	blue
K03444	blue
K02495	blue
K06925	blue
K14090	blue
K11809	blue
K02199	blue
K06402	blue
K01462	blue
C16348	blue
K20201	blue
C17569	blue
K21405	blue
K01571	blue
C02960	blue
K06951	blue
C02962	blue
K08310	blue
K01468	blue
K07257	blue
K21977	blue
C04613	blue
K00810	blue
C06400	blue
C11830	blue
K14386	blue
K03658	blue
K03928	blue
K10864	blue
K18707	blue
K09065	blue
K09020	blue
K01537	blue
K03146	blue
K03594	blue
K06142	blue
C00435	blue
K01610	blue
K10754	blue
K06915	blue
K03106	blue
K12507	blue
K02867	blue
C11922	blue
K11904	blue
K20202	blue
C00624	blue
K07133	blue
K00857	blue
K11779	blue
K01560	blue
K10900	blue
K22025	blue
C04635	blue
K21574	blue
K03774	blue
K13888	blue
K02994	blue
K03186	blue
K11085	blue
K00864	blue
K22719	blue
K23147	blue
K00945	blue
C21767	blue
K00764	blue
C00169	blue
C03692	blue
K00721	blue
K06861	blue
K12854	blue
K22757	blue
K01881	blue
C06224	blue
K09647	blue
C01885	blue
K13798	blue
K17744	blue
C00681	blue
K03553	blue
K08384	blue
K13829	blue
C00256	blue
K14158	blue
K12454	blue
K20971	blue
K09584	blue
K00655	blue
K01066	blue
C00794	blue
K18672	blue
K02316	blue
K06969	blue
K00787	blue
K06168	blue
K16213	blue
C00647	blue
K02970	blue
K11754	blue
C00077	blue
C06755	blue
K00990	blue
K02854	blue
C01368	blue
K00944	blue
K03575	blue
K00853	blue
K01598	blue
K02154	blue
K00245	blue
K06870	blue
K02126	blue
K10705	blue
K17884	blue
K03559	blue
C00423	blue
C01978	blue
C19852	blue
K05045	blue
C13952	blue
C04046	blue
K18232	blue
K13799	blue
K07713	blue
C00040	blue
K00034	blue
K03496	blue
K02318	blue
K01133	blue
K14792	blue
K21168	blue
K16074	blue
K07647	blue
C00332	blue
C00083	blue
K00788	blue
K03657	blue
K02967	blue
K00872	blue
K03292	blue
C21137	blue
K12962	blue
K13726	blue
C17322	blue
C04501	blue
K00348	blue
C20277	blue
C02869	blue
K11744	blue
C04895	blue
K09497	blue
K13998	blue
K03621	blue
K07114	blue
K20861	blue
K02124	blue
K03218	blue
K00315	blue
C00543	blue
C00081	blue
K03210	blue
C18321	blue
K02441	blue
C20246	blue
K03925	blue
C00156	blue
K03544	blue
C00468	blue
K00700	blue
K19355	blue
K06879	blue
C00363	blue
K01463	blue
C00682	blue
C00125	blue
C05528	blue
K17641	blue
K08655	blue
K01812	blue
K07465	blue
C20753	blue
C00413	blue
C00133	blue
K02907	blue
K12132	blue
K01738	blue
C16219	blue
K18456	blue
K03709	blue
K01007	blue
K11070	blue
K07636	blue
C05703	blue
K21502	blue
C08362	blue
K05034	blue
K11942	blue
K12733	blue
K01258	blue
C06056	blue
C18046	blue
K03439	blue
K03558	blue
K22447	blue
K03568	blue
C02987	blue
K11778	blue
K16643	blue
K13431	blue
K03713	blue
K01662	blue
K02837	blue
K01775	blue
K04078	blue
K12543	blue
K05587	blue
K03775	blue
K15452	blue
C04874	blue
K18824	blue
K15920	blue
K21089	blue
K22982	blue
K17723	blue
K11166	blue
K01189	blue
K03319	blue
K21902	blue
K08259	blue
K01146	blue
C00094	blue
K12267	blue
K23481	blue
C00253	blue
K00895	blue
K15329	blue
K14358	blue
K22904	blue
K07459	blue
C00037	blue
C00458	blue
K03602	blue
C12320	blue
K07079	blue
K02556	blue
K04708	blue
K08955	blue
C01112	blue
K14447	blue
K15779	blue
K23144	blue
K07714	blue
C04631	blue
C04180	blue
K00207	blue
C00069	blue
K23188	blue
K09748	blue
K01668	blue
C15974	blue
K09569	blue
K15327	blue
K02482	blue
K00946	blue
K17609	blue
K13378	blue
C00153	blue
C04044	blue
K13013	blue
K04773	blue
C06251	blue
K01270	blue
C00345	blue
K01407	blue
C12366	blue
K13016	blue
K19429	blue
K15527	blue
K16920	blue
C21335	blue
K01873	blue
K02395	blue
K18847	blue
K02016	blue
K03473	blue
K00170	blue
K00769	blue
K22222	blue
K01589	blue
K10545	blue
C00003	blue
K00867	blue
K18302	blue
K01924	blue
K05285	blue
K03092	blue
C00365	blue
C16836	blue
K14162	blue
C05814	blue
K05546	blue
K01495	blue
C00024	blue
K03595	blue
K02839	blue
C00804	blue
G00317	blue
K03570	blue
K03955	blue
C00360	blue
C01467	blue
K01410	blue
K07404	blue
K19225	blue
K06983	blue
K05830	blue
K18908	blue
K20738	blue
K01408	blue
K03695	blue
K01139	blue
K15332	blue
C00638	blue
K04562	blue
K12974	blue
K06965	blue
K23351	blue
K03405	blue
C11420	blue
K01966	blue
K05606	blue
K07315	blue
C05812	blue
K02981	blue
K01669	blue
K14388	blue
K12503	blue
K00349	blue
K21416	blue
K04075	blue
K20534	blue
K03651	blue
C04088	blue
K22538	blue
K02998	blue
C00222	blue
K07124	blue
K03070	blue
K13853	blue
K02888	blue
K09458	blue
C04752	blue
C04438	blue
K11788	blue
K00611	blue
K02612	blue
C00055	blue
K01282	blue
K02945	blue
K11749	blue
C05527	blue
C05361	blue
K03090	blue
K05784	blue
K17486	blue
K07709	blue
C00111	blue
C05284	blue
K00003	blue
K23734	blue
K01409	blue
K13963	blue
K16149	blue
C02348	blue
K21298	blue
C02218	blue
C06614	blue
K06382	blue
K01625	blue
K05837	blue
K07040	blue
K00342	blue
C02430	blue
K03930	blue
C15977	blue
C05382	blue
K06187	blue
K05365	blue
K06207	blue
C00145	blue
K03484	blue
K07460	blue
K12450	blue
K04076	blue
C15813	blue
C21485	blue
K00384	blue
K00831	blue
K14645	blue
C20249	blue
K14341	blue
K18231	blue
C00445	blue
K00097	blue
C00110	blue
K18758	blue
K18944	blue
C00073	blue
K01389	blue
C00527	blue
K02314	blue
K07478	blue
K07405	blue
C04638	blue
K00796	blue
C00231	blue
K11894	blue
K01520	blue
K08724	blue
K01079	blue
K13531	blue
C15979	blue
K03616	blue
K01928	blue
K03065	blue
K00260	blue
K20859	blue
K01060	blue
K01868	blue
K04765	blue
K01951	blue
K07392	blue
K13052	blue
K09461	blue
C00030	blue
K01414	blue
K17105	blue
K02356	blue
C21314	blue
C00126	blue
K02563	blue
C00671	blue
C01762	blue
K13787	blue
K00065	blue
K05785	blue
K03077	blue
K06903	blue
C02474	blue
C00092	blue
K03785	blue
C15809	blue
K02946	blue
K02973	blue
K21210	blue
K14342	blue
K01006	blue
K17732	blue
K15270	blue
C00546	blue
K06401	blue
K12409	blue
K16786	blue
K16696	blue
K05553	blue
K00912	blue
K03297	blue
C04494	blue
K00983	blue
K02080	blue
C12448	blue
C19694	blue
K17505	blue
K09503	blue
K00849	blue
C06024	blue
C00036	blue
C11910	blue
C21029	blue
K06210	blue
C11453	blue
C00078	blue
K02357	blue
K00798	blue
K00847	blue
K03072	blue
C03794	blue
C00141	blue
K08320	blue
K02863	blue
C11927	blue
C04506	blue
K07082	blue
C02637	blue
K18533	blue
K03416	blue
K20974	blue
C02835	blue
K06182	blue
K00930	blue
C21873	blue
C04257	blue
C16502	blue
C00095	blue
C01931	blue
K03305	blue
C00399	blue
K12111	blue
K22316	blue
K11146	blue
K14155	blue
K03183	blue
K22699	blue
C06017	blue
C05691	blue
K18674	blue
K10804	blue
K23723	blue
C16154	blue
C01260	blue
K07403	blue
K00588	blue
K03737	blue
C02843	blue
K00078	blue
K00881	blue
K03425	blue
K01766	blue
C04352	blue
K08651	blue
G13119	blue
C16834	blue
C06615	blue
K01904	blue
K13020	blue
K18138	blue
K18300	blue
K02004	blue
C19725	blue
K02137	blue
C00180	blue
K01533	blue
C01327	blue
K01915	blue
K08978	blue
C05307	blue
K21911	blue
C05686	blue
K14391	blue
K20011	blue
K22901	blue
K20945	blue
K15598	blue
K11073	blue
K08309	blue
K10870	blue
K03437	blue
K15441	blue
K18573	blue
K02835	blue
C04882	blue
K01956	blue
C02170	blue
K00202	blue
K02874	blue
K15894	blue
C05300	blue
C00001	blue
C16221	blue
K03532	blue
K14153	blue
C19085	blue
K01991	blue
K15889	blue
K06858	blue
K14689	blue
K06942	blue
K00006	blue
C00053	blue
K01930	blue
K08744	blue
K07091	blue
C21861	blue
K06180	blue
K00631	blue
K15545	blue
K03113	blue
K07282	blue
C21310	blue
K01942	blue
K04077	blue
K01867	blue
K08740	blue
C00234	blue
K14267	blue
K00331	blue
K00893	blue
K10715	blue
K01945	blue
K12600	blue
K01787	blue
K10251	blue
C00257	blue
K21138	blue
C00692	blue
K06204	blue
K13075	blue
K02053	blue
K01284	blue
C20562	blue
K05545	blue
C06613	blue
C16156	blue
K07447	blue
C00157	blue
C01269	blue
K07457	blue
K16618	blue
C11173	blue
K13409	blue
C00031	blue
G11291	blue
C19879	blue
C01101	blue
K00643	blue
K14727	blue
K22441	blue
K09013	blue
K22227	blue
K03231	blue
C21615	blue
C14099	blue
K03609	blue
K01269	blue
K21396	blue
K09473	blue
C02714	blue
C17951	blue
C05696	blue
K02065	blue
C02872	blue
C07446	blue
K00019	blue
K02107	blue
K23227	blue
K02992	blue
K00615	blue
K03424	blue
K02011	blue
C00091	blue
K00841	blue
K03763	blue
K17248	blue
K23498	blue
K22101	blue
C04462	blue
C06582	blue
C04146	blue
K02528	blue
C00364	blue
K07277	blue
K08286	blue
C00631	blue
C00886	blue
K02074	blue
K07278	blue
K19701	blue
K00283	blue
C00673	blue
C16399	blue
K13926	blue
K07588	blue
K13542	blue
K03696	blue
C11437	blue
K03536	blue
K10778	blue
C04479	blue
G00011	blue
K09903	blue
K07652	blue
K22130	blue
C05821	blue
K08264	blue
K23980	blue
K03497	blue
K01809	blue
C05199	blue
K14724	blue
C08325	blue
K01493	blue
C00190	blue
K18220	blue
K09695	blue
K03612	blue
K00262	blue
K04759	blue
C00089	blue
K06006	blue
K06997	blue
K09698	blue
K17420	blue
K01745	blue
K11271	blue
K18675	blue
K22345	blue
C18237	blue
C02163	blue
C00242	blue
K02831	blue
K16870	blue
K21703	blue
K14539	blue
C00022	blue
C20375	blue
K00263	blue
K17625	blue
K13370	blue
K17734	blue
K14731	blue
K20509	blue
K02560	blue
K01336	blue
C04570	blue
K12574	blue
C07447	blue
K03495	blue
K17249	blue
K00150	blue
K09021	blue
K11104	blue
C04807	blue
C05946	blue
K22311	blue
K12992	blue
K12500	blue
K12421	blue
K14661	blue
K00169	blue
K21030	blue
K15780	blue
C00984	blue
K01218	blue
K16552	blue
C00483	blue
K09835	blue
C05688	blue
K02039	blue
C00258	blue
K01262	blue
K08741	blue
K20203	blue
K07776	blue
K18076	blue
K16089	blue
K01200	blue
K01686	blue
K21027	blue
C19078	blue
K20499	blue
C11925	blue
C00540	blue
K02013	blue
K12264	blue
