	0
C00333	blue
K22226	blue
K00759	blue
K21029	blue
K06173	blue
K17362	blue
K01647	blue
K07175	blue
K06168	blue
K00756	blue
K01518	blue
K03596	blue
K21399	blue
K13767	blue
K18120	blue
K11440	blue
C00402	blue
C00310	blue
C16159	blue
K06951	blue
C19879	blue
K10774	blue
K03551	blue
K00129	blue
K03778	blue
K15022	blue
K01746	blue
K01270	blue
K03281	blue
K15581	blue
K02851	blue
K02282	blue
K14086	blue
C03273	blue
K00283	blue
K03892	blue
K22446	blue
K07012	blue
K07133	blue
K08220	blue
K10562	blue
K01868	blue
K19421	blue
C00218	blue
C17351	blue
K17450	blue
C00406	blue
K14215	blue
C00387	blue
K06997	blue
C02411	blue
K12676	blue
C19823	blue
K07250	blue
C00139	blue
K15437	blue
K19005	blue
K16195	blue
C00489	blue
C00112	blue
K09903	blue
K02670	blue
K01840	blue
K23948	blue
C00097	blue
K15268	blue
K11250	blue
K01953	blue
C01205	blue
K14445	blue
K03308	blue
C15587	blue
C04076	blue
K14689	blue
C00136	blue
C02992	blue
K21467	blue
K00832	blue
K03802	blue
K01760	blue
K22480	blue
K18357	blue
K18843	blue
K19824	blue
C00857	blue
K18355	blue
K03657	blue
K03457	blue
K20955	blue
K10974	blue
C00051	blue
K03459	blue
K07123	blue
K18344	blue
C00004	blue
C00700	blue
K12978	blue
K10111	blue
K03595	blue
C12366	blue
K00663	blue
K10117	blue
K01485	blue
K16331	blue
K07246	blue
C00343	blue
C03539	blue
K17750	blue
C04574	blue
K00074	blue
K01482	blue
K02899	blue
K21027	blue
K14536	blue
C02686	blue
C21068	blue
K02623	blue
K17734	blue
K16235	blue
K08669	blue
C06507	blue
K14159	blue
C20753	blue
K05788	blue
K12852	blue
K07135	blue
K10763	blue
K19072	blue
K01587	blue
K12524	blue
K20203	blue
K01026	blue
K15023	blue
K02106	blue
K01930	blue
K23144	blue
C07646	blue
K02203	blue
K08384	blue
K07739	blue
K21038	blue
K07684	blue
K13890	blue
K05515	blue
C00513	blue
K18959	blue
K17725	blue
